Id	BranchId	ItemCategoryId	ItemManufacturerId	ProductCode	ImportId	Name	Size	Count	UnitCost	PickOrder	AverageShelfLife	ItemCommissionCategoryId	ItemTaxCategoryId	ItemDepositCategoryId	ItemFinanceCategoryId	ItemCompanyKitchenCategoryId	IsIngredient	IngredientMeasure	PrepickTransferToWarehouseEnabled	Deleted	IsInvoiceOnly	
=277	[NULL]	=39	=39	=150004	=P-150004	=Apple Juice Juice Bowl 11.5oz	[NULL]	=1	=0.3600	=150004	=1 YEAR	=16	=5	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=278	[NULL]	=13	=10	=30000	=P-30000	=Almond Joy 1.61 oz	[NULL]	=1	=0.5500	=B30000	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=279	[NULL]	=13	=19	=30001	=P-30001	=Butterfinger - 2.1oz	[NULL]	=1	=0.5500	=B30001	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=280	[NULL]	=13	=10	=30002	=P-30002	=Hersheys Almond - 1.45oz 2439	=	=1	=0.5520	=B30002	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=281	[NULL]	=50	=84	=30003	=P-30003	=KARS Sweet and Salty - 2oz 66993	=	=1	=0.3067	=B30003	=8 MONTHS	=5	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=282	[NULL]	=13	=16	=30004	=P-30004	=MM Peanut - 1.74oz 2531	=	=1	=0.5550	=B30004	=9 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=283	[NULL]	=13	=10	=30005	=P-30005	=Payday - 1.85oz 202687	=	=1	=0.5550	=B30005	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=284	[NULL]	=13	=10	=30006	=P-30006	=Reeses Peanut Butter Cups - 1.5oz 2444	=	=1	=0.5520	=B30006	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=285	[NULL]	=13	=16	=30007	=P-30007	=Skittles  2.17oz 15016	=	=1	=0.5522	=B30007	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=286	[NULL]	=13	=16	=30008	=P-30008	=Snickers  1.86 oz 749278	=	=1	=0.4925	=B30008	=8 MONTHS	=4	=3	=1	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=287	[NULL]	=13	=16	=30009	=P-30009	=Starburst  2.07oz	[NULL]	=1	=0.4900	=B30009	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=288	[NULL]	=13	=16	=30010	=P-30010	=3 Musketeers  1.92oz 002527	=	=1	=0.5500	=B30010	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=289	[NULL]	=13	=16	=30011	=P-30011	=Twix  1.79oz 328189	=	=1	=0.5520	=B30011	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=290	[NULL]	=13	=16	=	[NULL]	=M&M Plain - 1.12oz	=CASE	=24	=0.4200	[NULL]	=8	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=True	=False	
=291	[NULL]	=13	=16	=30012	=P-30012	=MM Plain  1.12oz Mars 2530	=	=1	=0.5550	=B30012	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=292	[NULL]	=13	=16	=30013	=P-30013	=Milky Way 1.84oz	=	=1	=0.5500	=B30013	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=293	[NULL]	=13	=16	=30014	=P-30014	=Starburst Tropical  2.07oz Mars	[NULL]	=1	=0.5000	=B30014	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=294	[NULL]	=13	=10	=30015	=P-30015	=Take  5  1.5oz	[NULL]	=1	=0.3300	=B30015	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=295	[NULL]	=13	=16	=30016	=P-30016	=Dove Bar  1.3oz Mars	[NULL]	=1	=0.5000	=B30016	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=296	[NULL]	=13	=19	=30017	=P-30017	=Nestle Crunch 1.55oz Mars 012113	=	=1	=0.5500	=B30017	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=297	[NULL]	=13	=10	=30018	=P-30018	=Skor 1.4oz Hershey	[NULL]	=1	=0.4000	=B30018	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=298	[NULL]	=13	=10	=30019	=P-30019	=Heath Bar 1.4oz Hersey	[NULL]	=1	=0.4600	=B30019	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=299	[NULL]	=13	=10	=30020	=P-30020	=Mr Goodbar 1.75oz 2440	=	=1	=0.5520	=B30020	=8 MONTHS	=4	=3	=1	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=300	[NULL]	=13	=10	=30021	=P-30021	=Reeses Whipps 1.9 oz Hershey	[NULL]	=1	=0.5500	=B30021	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=301	[NULL]	=13	=10	=30022	=P-30022	=KitKat Extra Crispy 1.61 oz 933790	=	=1	=0.5520	=B30022	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=302	[NULL]	=11	=85	=30023	=P-30023	=Cracker Jack 1.25oz	[NULL]	=1	=0.2900	=B30023	=5 MONTHS	=6	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=303	[NULL]	=13	=19	=30024	=P-30024	=Butterfinger Crisp 1.76oz Nestle	[NULL]	=1	=0.4400	=B30024	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=304	[NULL]	=13	=19	=30025	=P-30025	=Nestle Crunch Crisp 1.74oz Nestle	[NULL]	=1	=0.4400	=B30025	=8 MONTHS	=4	=3	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=305	[NULL]	=27	=83	=100000	=P-100000	=Gatorade Fruit Punch 20oz bottle	[NULL]	=24	=0.6500	=100000	=6 MONTHS	=13	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=306	[NULL]	=27	=83	=100001	=P-100001	=Gatorade Green 20oz bottle	[NULL]	=24	=0.6500	=100001	=6 MONTHS	=13	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=307	[NULL]	=27	=83	=100002	=P-100002	=Gatorade Orange 20oz bottle	[NULL]	=24	=0.6500	=100002	=6 MONTHS	=13	=2	=2	=3	[NULL]	=False	[NULL]	=True	=True	=False	
=308	[NULL]	=23	=85	=40000	=P-40000	=Cheetos 1oz	=	=1	=0.2300	=40000	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=309	[NULL]	=23	=85	=40001	=P-40001	=Cheetos Flamin Hot 1oz  32627	[NULL]	=1	=0.2300	=40001	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=310	[NULL]	=23	=12	=40002	=P-40002	=CheezIt 1.5oz 15989	[NULL]	=1	=0.2470	=40002	=4 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=311	[NULL]	=23	=85	=40003	=P-40003	=Doritos Nacho Cheese 1oz  32629	[NULL]	=1	=0.2300	=40003	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=312	[NULL]	=23	=85	=40005	=P-40005	=Fritos 1oz	=	=1	=0.2300	=40005	=6 WEEKS	=8	=4	=1	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=313	[NULL]	=23	=85	=40006	=P-40006	=Fritos Chili Cheese 1oz	=	=1	=0.2200	=40006	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=314	[NULL]	=11	=85	=40007	=P-40007	=Product 40007	[NULL]	=1	=0.2500	=50034	=4 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=315	[NULL]	=23	=40	=40008	[NULL]	=Goldfish - 1.5oz	=CASE	=75	=0.2500	=40008	=3 MONTHS	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=True	=False	
=316	[NULL]	=23	=85	=40010	=P-40010	=Lays BBQ 1oz  32620	[NULL]	=1	=0.2300	=40010	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=317	[NULL]	=23	=14	=40011	=P-40011	=Popcorn White Cheddar Cheese 0.75oz  227	[NULL]	=1	=0.2600	=40011	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=318	[NULL]	=23	=41	=40012	=P-40012	=Pork Skins Macs Hot 1oz 710234	[NULL]	=1	=0.2400	=40012	=2 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=319	[NULL]	=23	=85	=40013	=P-40013	=Ruffles Cheddar Sour Cream 1oz  11065	[NULL]	=1	=0.2900	=40013	=2 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=320	[NULL]	=23	=85	=40014	=P-40014	=Ruffles 1oz	[NULL]	=1	=0.2400	=40014	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=321	[NULL]	=23	=85	=40015	=P-40015	=Sun Chips 1oz	=	=1	=0.3000	=40015	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=322	[NULL]	=23	=26	=40016	=P-40016	=TGI Fridays Cheddar & Bacon 1oz	=	=1	=0.2400	=40016	=4 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=323	[NULL]	=35	=87	=40017	=P-40017	=Wheat Thins 1.75oz	[NULL]	=1	=0.3000	=40017	=2 MONTHS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=324	[NULL]	=23	=88	=40018	=P-40018	=Zapps Jalapeno Potato Chips 1oz  6005	[NULL]	=1	=0.3000	=40018	=2 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=325	[NULL]	=23	=89	=40019	=P-40019	=Andy Capps Hot Fries 0.85oz 334055	[NULL]	=1	=0.1900	=40019	=4 MONTHS	=8	=4	=1	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=326	[NULL]	=23	=85	=40020	=P-40020	=Doritos Cool Ranch 1oz	[NULL]	=1	=0.2200	=40020	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=327	[NULL]	=23	=85	=40021	=P-40021	=Funyuns 0.75oz	=	=1	=0.2900	=40021	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=328	[NULL]	=23	=85	=40022	=P-40022	=Lays Classic Potato Chip 1oz	[NULL]	=1	=0.2400	=40022	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=329	[NULL]	=43	=9	=40023	=P-40023	=LSS Chex Mix - 1.75oz 788870	=	=1	=0.2720	=40023	=3 MONTHS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=330	[NULL]	=23	=26	=40024	=P-40024	=Bobs Jalepeno Chips - 1oz  10455	[NULL]	=1	=0.2500	=40024	=4 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=331	[NULL]	=42	=90	=40025	=P-40025	=Pretzels - Snyders - 1.5oz 969030	[NULL]	=1	=0.2163	=40025	=4 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=332	[NULL]	=23	=85	=40026	=P-40026	=FritoLay Chip Variety Pack 1oz	[NULL]	=1	=0.3000	=40026	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=333	[NULL]	=23	=85	=40027	=P-40027	=Ruffles BBQ - 1oz	[NULL]	=1	=0.2600	=40027	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=334	[NULL]	=23	=26	=40028	=P-40028	=Burger King Ketchup Fries	[NULL]	=1	=0.2100	=40028	=4 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=335	[NULL]	=23	=88	=40029	=P-40029	=Zapps Cajun Crawtator - 1oz	[NULL]	=1	=0.2700	=40029	=2 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=336	[NULL]	=23	=85	=40030	=P-40030	=Ruffles Ridged Potato Chip 1 oz. 32624	=1 oz	=1	=0.2200	=40030	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=337	[NULL]	=23	=9	=40031	=P-40031	=Bugles - Regular - 0.875 oz	=	=1	=0.2100	=40031	=2 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=338	[NULL]	=35	=9	=40032	=P-40032	=Chex Mix Hot N Spicy 1.75oz	[NULL]	=1	=0.3800	=40032	=4 MONTHS	=9	=4	=1	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=339	[NULL]	=35	=9	=40033	=P-40033	=Chex Mix Jalapeno Cheddar 1.75oz	[NULL]	=1	=0.3600	=40033	=4 MONTHS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=340	[NULL]	=23	=85	=40034	=P-40034	=Cheetos Jalapeno 1oz	[NULL]	=1	=0.2200	=40034	=6 WEEKS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=341	[NULL]	=35	=59	=45000	=P-45000	=LSS Salsita - 1.5oz  260250	[NULL]	=1	=0.3400	=45000	=3 MONTHS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=342	[NULL]	=35	=85	=45001	=P-45001	=LSS Sun Chip Garden Salsa - 1.5oz	[NULL]	=1	=0.3600	=45001	=2 MONTHS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=343	[NULL]	=43	=85	=45002	=P-45002	=LSS Baked Lays Regular 1.125oz  44396	[NULL]	=1	=0.4200	=45002	=6 WEEKS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=344	[NULL]	=35	=85	=45003	=P-45003	=LSS FritoLay Variety Pack	[NULL]	=1	=0.4000	=45003	=6 WEEKS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=345	[NULL]	=35	=85	=45004	=P-45004	=LSS Miss Vickies Variety	[NULL]	=1	=0.4000	=45004	=6 WEEKS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=346	[NULL]	=35	=85	=45005	=P-45005	=LSS Miss Vickies Jalepeno 1.375oz	[NULL]	=1	=0.4400	=45005	=6 WEEKS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=347	[NULL]	=35	=85	=45006	=P-45006	=LSS Lays Kettle Cooked Jalapeno 1.375oz  44429	[NULL]	=1	=0.4200	=45006	=6 WEEKS	=9	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=348	[NULL]	=29	=82	=130000	=P-130000	=Monster Energy Drink - 16oz  1656	[NULL]	=24	=1.2000	=130000	=6 MONTHS	=53	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=349	[NULL]	=11	=44	=50000	=P-50000	=Danish Shortbread Cookies - 2oz	[NULL]	=1	=0.3300	=50000	=6 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=350	[NULL]	=11	=12	=50001	=P-50001	=Famous Amos Cookies - 2oz 655861	=	=1	=0.2780	=50001	=6 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=351	[NULL]	=11	=85	=50002	=P-50002	=Grandma Vanilla Mini Cookies - 2.12oz  45096	[NULL]	=1	=0.3200	=50002	=5 MONTHS	=6	=4	=1	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=352	[NULL]	=11	=85	=50003	=P-50003	=Grandma's Big Chocolate Chip Cookie - 2.5oz  45092	[NULL]	=60	=0.2960	=50003	=2 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=353	[NULL]	=11	=44	=50004	=P-50004	=Knott's Jam Shortbread Cookie - 2oz 694603	=	=1	=0.2600	=50004	=6 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=354	[NULL]	=50	=87	=50005	=P-50005	=Lorna Doone Cookies - 1.5oz	=	=1	=0.2900	=90009	=6 MONTHS	=5	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=355	[NULL]	=11	=87	=50006	=P-50006	=Nutter Butter Bites - 1.75oz	[NULL]	=1	=0.4100	=50006	=4 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=356	[NULL]	=50	=87	=50007	=P-50007	=Oreos - 2oz 162828	=	=1	=0.3187	=50007	=6 MONTHS	=5	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=357	[NULL]	=42	=12	=50008	=P-50008	=Zoo Animal Crackers - 2 oz 738199	[NULL]	=1	=0.2200	=40055	=4 MONTHS	=8	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=358	[NULL]	=11	=12	=50009	=P-50009	=Fudge Stripes - 2oz	=	=1	=0.2500	=50009	=4 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=359	[NULL]	=11	=16	=50010	=P-50010	=MM Cookie - 1.8oz 151694	=	=1	=0.3100	=50010	=4 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=False	=False	
=360	[NULL]	=50	=18	=50011	=P-50011	=Fig Newton - 2.1oz	[NULL]	=1	=0.3800	=50011	=3 MONTHS	=5	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=361	[NULL]	=11	=44	=50012	=P-50012	=Basil Pecan Shortbread - 2oz	[NULL]	=1	=0.3500	=50012	=6 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=362	[NULL]	=11	=44	=50013	=P-50013	=Vanilla Sandwich Creme Cookie 5oz	[NULL]	=1	=0.4200	=50013	=4 MONTHS	=6	=4	=2	=1	[NULL]	=False	[NULL]	=True	=True	=False	
=363	[NULL]	=15	=87	=120000	=P-120000	=EasyMac Original - 2.05oz	[NULL]	=1	=0.6200	=120000	=1 YEAR	=2	=4	=2	=2	[NULL]	=False	[NULL]	=True	=True	=False	
=364	[NULL]	=15	=45	=120001	=P-120001	=Chicken Salad Premixed - 3.5oz  70350	[NULL]	=1	=1.5800	=120001	=1 YEAR	=46	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=365	[NULL]	=15	=45	=120002	=P-120002	=Tuna Kit w/ Crackers - 4oz  70780	[NULL]	=1	=1.5800	=120002	=1 YEAR	=47	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=366	[NULL]	=15	=89	=120003	=P-120003	=Ravioli Chef BoyRD - 7.5oz	=	=1	=1.0900	=120003	=1 YEAR	=48	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=367	[NULL]	=15	=46	=120004	=P-120004	=Chili - No Bean - 7.5oz	=	=1	=1.0600	=120004	=1 YEAR	=49	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=False	=False	
=368	[NULL]	=15	=46	=120005	=P-120005	=DintyMoore Beef Stew	[NULL]	=1	=0.9400	=120005	=1 YEAR	=2	=4	=2	=2	[NULL]	=False	[NULL]	=True	=True	=False	
=369	[NULL]	=15	=45	=120006	=P-120006	=Tuna Salad Original Recipe - 3.5oz	[NULL]	=1	=1.2600	=120006	=1 YEAR	=2	=4	=2	=2	[NULL]	=False	[NULL]	=True	=True	=False	
