Id	MachineId	CollectionDateTime	RestockUtcDateTime	LastCollectionDateTime	PreviousRestockUtcDateTime	IsRecentCreatedDateTime	IsRecentUtcCreatedDateTime	CreatedBy	Deleted	PrepickId	CollectedBillsCount	CollectedCoinsCount	RefundAmountInCents	BagNumber	AllSalesAmountInCents	LastRestockAllSalesAmountInCents	CashSalesQuantity	LastRestockCashSalesQuantity	CashSalesAmountInCents	LastRestockCashSalesAmountInCents	CardSalesQuantity	LastRestockCardSalesQuantity	CardSalesAmountInCents	LastRestockCardSalesAmountInCents	TokenSalesQuantity	LastRestockTokenSalesQuantity	TokenSalesAmountInCents	LastRestockTokenSalesAmountInCents	FreeSalesQuantity	LastRestockFreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesAmountInCents	CashInAmountInCents	LastRestockCashInAmountInCents	BillsInAmount	LastRestockBillsInAmount	CoinsToTubeAmountInCents	LastRestockCoinsToTubesAmountInCents	CoinsToBoxAmountInCents	LastRestockCoinsToBoxAmountInCents	CashDispensedAmountInCents	LastRestockCashDispensedAmountInCents	CoinRefillAmountInCents	CoinsInTubeAmountInCents	CollectedTokensCount	CollectedTokensValueInCents	LastRestockTestVendAmountInCents	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	ScheduleDate	ScheduleId	RestockSummaryFrozen	
=16145	=1174961	=11/04/2013 07:51:30	=11/04/2013 15:51:30	=10/16/2013 10:02:07	[NULL]	=False	=False	[NULL]	=False	=1910	=73	=975	=0	=134	=454200	=7600	=9162	=152	=454200	=7600	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=757975	=12250	=4581	=73	=231890	=4025	=67985	=925	=285765	=4360	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2309	=False	
=16147	=999971	=11/04/2013 09:18:49	=11/04/2013 17:18:49	=10/29/2013 08:11:41	[NULL]	=False	=False	[NULL]	=False	=1910	=0	=0	=0	=999	=1083350	=0	=23628	=160	=1083350	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1115610	=0	=8943	=0	=119080	=0	=102230	=0	=40960	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2309	=False	
=16148	=999948	=11/04/2013 09:45:56	=11/04/2013 17:45:56	=10/30/2013 10:53:13	[NULL]	=False	=False	[NULL]	=False	=1911	=0	=0	=0	=1005	=635055	=0	=7744	=169	=635055	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=759930	=0	=4252	=0	=150240	=0	=184490	=0	=119785	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2308	=False	
=16151	=999989	=11/04/2013 11:08:32	=11/04/2013 19:08:32	=10/28/2013 12:05:37	[NULL]	=False	=False	[NULL]	=False	=1911	=19	=2225	=0	=117	=647840	=4100	=18991	=164	=647840	=4100	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=834130	=5530	=3905	=19	=187425	=1405	=256205	=2225	=186880	=1430	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2308	=False	
=16153	=999966	=11/04/2013 11:46:33	=11/04/2013 19:46:33	=10/16/2013 14:57:43	[NULL]	=False	=False	[NULL]	=False	=1911	=120	=700	=0	=82	=149775	=12125	=1505	=133	=149775	=12125	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=196615	=17445	=1373	=120	=46450	=4745	=12865	=700	=35175	=4680	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2308	=False	
=16155	=1014674	=11/04/2013 12:18:21	=11/04/2013 20:18:21	=10/30/2013 11:17:01	[NULL]	=False	=False	[NULL]	=False	=1910	=198	=130	=0	=151	=8175825	=19065	=116550	=214	=8175825	=19065	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=11543470	=25000	=80455	=212	=3022295	=3675	=475675	=125	=3368720	=5935	=1700	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2309	=False	
=16157	=999947	=11/04/2013 13:00:18	=11/04/2013 21:00:18	=10/29/2013 11:24:10	[NULL]	=False	=False	[NULL]	=False	=1911	=27	=0	=0	=163	=242325	=3450	=1701	=23	=242325	=3450	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=288365	=3955	=2054	=27	=47205	=1255	=35760	=0	=45135	=505	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2308	=False	
=16158	=1037528	=11/04/2013 13:14:02	=11/04/2013 21:14:02	=10/15/2013 12:50:20	[NULL]	=False	=False	[NULL]	=False	=1911	=105	=3155	=0	=81	=1314640	=13395	=212193	=167	=1314640	=13395	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1314640	=13395	=84803	=107	=0	=0	=2944950	=3090	=0	=0	=200	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2308	=False	
=16160	=1028250	=11/04/2013 13:57:38	=11/04/2013 21:57:38	=10/25/2013 14:06:47	[NULL]	=False	=False	[NULL]	=False	=1911	=135	=1925	=0	=148	=2839190	=13775	=36788	=149	=2839190	=13775	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4204350	=17670	=28450	=135	=881490	=2245	=477860	=1925	=1366210	=3895	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2308	=False	
=16161	=1047478	=11/04/2013 14:49:17	=11/04/2013 22:49:17	=10/04/2013 13:15:00	[NULL]	=False	=False	[NULL]	=False	=1911	=43	=3445	=0	=121	=325305	=8475	=4060	=101	=325305	=8475	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=376945	=9360	=2456	=53	=43095	=615	=88250	=3445	=51705	=885	=1000	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2308	=False	
=16163	=1047477	=11/04/2013 15:17:03	=11/04/2013 23:17:03	=10/03/2013 13:02:00	[NULL]	=False	=False	[NULL]	=False	=1911	=145	=5550	=0	=133	=775395	=20000	=9152	=198	=775395	=20000	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=931705	=22040	=5844	=145	=156095	=2015	=191210	=5525	=156525	=2040	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2308	=False	
=16168	=1157801	=11/05/2013 09:11:17	=11/05/2013 17:11:17	=11/01/2013 13:29:36	=11/01/2013 20:29:36	=False	=False	[NULL]	=False	=1912	=170	=3615	=0	=120	=4494120	=20050	=51190	=230	=4494120	=20050	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=5120000	=22200	=39798	=166	=626545	=2010	=513655	=3590	=626870	=2195	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2310	=False	
=16169	=1157779	=11/05/2013 09:43:44	=11/05/2013 17:43:44	=10/30/2013 11:51:10	[NULL]	=False	=False	[NULL]	=False	=1912	=159	=280	=100	=89	=4114710	=15535	=45972	=170	=4114710	=15535	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=5299055	=18750	=41546	=160	=977120	=2470	=167335	=280	=1184630	=3215	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2310	=False	
=16172	=999994	=11/05/2013 10:42:48	=11/05/2013 18:42:48	=10/11/2013 09:02:36	[NULL]	=False	=False	[NULL]	=False	=1913	=95	=2540	=0	=84	=926010	=11070	=12735	=129	=926010	=11070	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1256625	=17120	=6079	=97	=314585	=5590	=334140	=1830	=272950	=4255	=200	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2311	=False	
=16174	=1180282	=11/05/2013 11:16:25	=11/05/2013 19:16:25	=10/15/2013 07:58:09	[NULL]	=False	=False	[NULL]	=False	=1912	=12	=3525	=0	=102	=1009220	=4690	=15028	=134	=1009220	=4690	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1144560	=5840	=3273	=12	=140290	=1115	=676970	=3525	=137495	=1150	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2310	=False	
=16177	=1180471	=11/05/2013 11:50:50	=11/05/2013 19:50:50	=10/15/2013 08:28:01	[NULL]	=False	=False	[NULL]	=False	=1912	=25	=3740	=0	=162	=3206995	=6195	=40884	=177	=3206995	=6195	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4012770	=8255	=26834	=25	=640565	=2015	=688805	=3740	=803650	=2060	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2310	=False	
=16178	=1180466	=11/05/2013 12:07:10	=11/05/2013 20:07:10	=10/08/2013 09:53:23	[NULL]	=False	=False	[NULL]	=False	=1912	=36	=1440	=0	=83	=430545	=5075	=6497	=145	=430545	=5075	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=531505	=7655	=2651	=36	=104280	=2615	=162125	=1440	=103065	=2580	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2310	=False	
=16180	=1180284	=11/05/2013 12:28:36	=11/05/2013 20:28:36	=10/23/2013 11:43:58	[NULL]	=False	=False	[NULL]	=False	=1912	=45	=2300	=0	=106	=621560	=7110	=17888	=206	=621560	=7110	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=947225	=10695	=4040	=45	=320450	=3965	=222775	=2230	=325985	=3585	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2310	=False	
=16186	=1142314	=11/05/2013 14:49:09	=11/05/2013 22:49:09	=10/24/2013 14:31:31	[NULL]	=False	=False	[NULL]	=False	=1913	=106	=3095	=0	=116	=1888825	=13510	=25446	=185	=1888825	=13510	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=2404115	=17230	=14253	=106	=506835	=3535	=471980	=3095	=517300	=3720	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2311	=False	
=16188	=999955	=11/06/2013 06:03:51	=11/06/2013 14:03:51	=11/04/2013 06:27:12	=11/04/2013 14:27:12	=False	=False	[NULL]	=False	=1914	=0	=0	=0	[NULL]	=2520805	=0	=25036	=78	=2520805	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=2736240	=0	=18774	=0	=209075	=0	=649765	=0	=215155	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16189	=1142313	=11/06/2013 06:56:56	=11/06/2013 14:56:56	=10/31/2013 10:20:38	[NULL]	=False	=False	[NULL]	=False	=1914	=0	=0	=0	[NULL]	=0	=0	=6985	=146	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16190	=1037295	=11/06/2013 07:12:46	=11/06/2013 15:12:46	=11/01/2013 07:13:54	=11/01/2013 14:13:54	=False	=False	[NULL]	=False	=1914	=0	=0	=0	[NULL]	=6269880	=0	=75674	=141	=5052175	=0	=12400	=0	=1217705	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6075720	=0	=35983	=0	=1000964	=0	=1476460	=0	=1019354	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16191	=999977	=11/06/2013 07:38:22	=11/06/2013 15:38:22	=10/31/2013 10:36:49	[NULL]	=False	=False	[NULL]	=False	=1914	=0	=0	=0	[NULL]	=587310	=0	=27541	=152	=-7801298	=0	=0	=0	=0	=0	=0	=0	=8388608	=0	=0	=0	=0	=0	=955795	=0	=487	=0	=495610	=0	=378720	=0	=366615	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16193	=999968	=11/06/2013 09:09:58	=11/06/2013 17:09:58	=10/30/2013 08:40:12	[NULL]	=False	=False	[NULL]	=False	=1915	=43	=3020	=0	=91	=746695	=11195	=7245	=94	=586355	=7710	=1883	=43	=160340	=3485	=0	=0	=0	=0	=0	=0	=0	=0	=737865	=8940	=4417	=43	=145660	=1620	=150505	=3020	=151260	=1230	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2313	=False	
=16195	=1181967	=11/06/2013 10:00:35	=11/06/2013 18:00:35	=10/29/2013 08:57:01	[NULL]	=False	=False	[NULL]	=False	=1915	=42	=4985	=0	=135	=689645	=8500	=24592	=340	=689645	=8500	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=923620	=12550	=2425	=40	=231795	=3590	=449325	=4960	=224705	=4050	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2313	=False	
=16196	=999958	=11/06/2013 10:17:20	=11/06/2013 18:17:20	=10/18/2013 08:38:15	[NULL]	=False	=False	[NULL]	=False	=1914	=62	=955	=0	[NULL]	=1254625	=6575	=9817	=42	=1254625	=6575	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1513065	=8880	=10172	=62	=262760	=1725	=233105	=955	=251705	=2855	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16197	=1192844	=11/06/2013 10:35:37	=11/06/2013 18:35:37	=10/18/2013 09:05:32	[NULL]	=False	=False	[NULL]	=False	=1914	=165	=180	=0	[NULL]	=197450	=16350	=1318	=109	=197450	=16350	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=251375	=20895	=1699	=157	=49390	=5055	=32085	=140	=52230	=4545	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16200	=999959	=11/06/2013 11:19:47	=11/06/2013 19:19:47	=10/18/2013 08:30:11	[NULL]	=False	=False	[NULL]	=False	=1914	=69	=2130	=0	[NULL]	=1555275	=9075	=30085	=60	=1555275	=9075	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=2229325	=10555	=9797	=69	=710950	=1580	=538675	=2075	=674985	=1480	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16202	=1157751	=11/06/2013 13:13:30	=11/06/2013 21:13:30	=10/30/2013 12:20:19	[NULL]	=False	=False	[NULL]	=False	=1914	=163	=2415	=0	=132	=2611280	=18785	=29771	=212	=2611280	=18785	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=2948215	=20780	=22712	=163	=318350	=2085	=358665	=2395	=337210	=2015	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16207	=999987	=11/06/2013 14:43:00	=11/06/2013 22:43:00	=10/22/2013 13:43:04	[NULL]	=False	=False	[NULL]	=False	=1915	=31	=3120	=0	=741	=623050	=5775	=12697	=231	=623050	=5775	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=737540	=8120	=3832	=30	=161600	=2000	=192740	=3120	=116670	=2345	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2313	=False	
=16208	=999976	=11/06/2013 06:12:20	=11/06/2013 14:12:20	=11/04/2013 06:35:01	=11/04/2013 14:35:01	=False	=False	=george@gulpitvending.com	=False	=1914	=0	=0	=0	[NULL]	=213300	=0	=9998	=71	=213300	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=232150	=0	=1510	=0	=35555	=0	=45595	=0	=17360	=0	=0	=0	=0	=0	=0	=2398	[NULL]	[NULL]	[NULL]	=11/06/2013 00:00:00	=2312	=False	
=16209	=1171504	=11/05/2013 08:00:00	=11/05/2013 16:00:00	=10/23/2013 12:39:07	[NULL]	=False	=False	=george@gulpitvending.com	=False	=1913	=123	=3315	=0	=142	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	=0	=0	=0	=0	=2398	[NULL]	[NULL]	[NULL]	=11/05/2013 00:00:00	=2311	=False	
=16210	=1174771	=11/04/2013 08:00:00	=11/04/2013 16:00:00	=10/28/2013 12:14:45	[NULL]	=False	=False	=george@gulpitvending.com	=False	=1910	=29	=1780	=0	=83	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	=0	=0	=0	=0	=2398	[NULL]	[NULL]	[NULL]	=11/04/2013 00:00:00	=2309	=False	
=16211	=1037533	=11/07/2013 06:06:36	=11/07/2013 14:06:36	=10/30/2013 08:55:07	[NULL]	=False	=False	[NULL]	=False	=1916	=0	=0	=0	=999	=18639115	=0	=360502	=134	=18639115	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=25261130	=0	=137974	=0	=5521915	=0	=5941815	=0	=6677800	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2013 00:00:00	=2316	=False	
=16212	=999972	=11/07/2013 06:18:34	=11/07/2013 14:18:34	=11/01/2013 07:00:34	=11/01/2013 14:00:34	=False	=False	[NULL]	=False	=1916	=0	=0	=0	=998	=1011925	=0	=30692	=120	=1011925	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1344710	=0	=6572	=0	=336560	=0	=350950	=0	=365475	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2013 00:00:00	=2316	=False	
=16213	=999971	=11/07/2013 06:35:02	=11/07/2013 14:35:02	=11/04/2013 09:18:49	=11/04/2013 17:18:49	=False	=False	[NULL]	=False	=1916	=0	=0	=0	=997	=1083350	=0	=23790	=162	=1083350	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1115610	=0	=8943	=0	=119080	=0	=102230	=0	=40960	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2013 00:00:00	=2316	=False	
=16215	=1114505	=11/07/2013 07:34:01	=11/07/2013 15:34:01	=10/31/2013 07:50:39	[NULL]	=False	=False	[NULL]	=False	=1916	=117	=2000	=0	=123	=1940275	=13900	=20112	=145	=1940275	=13900	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=2331260	=15965	=17458	=120	=372690	=2160	=212770	=1805	=391810	=2065	=200	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2013 00:00:00	=2316	=False	
=16216	=1171504	=11/07/2013 07:41:19	=11/07/2013 15:41:19	=11/05/2013 08:00:00	=11/05/2013 16:00:00	=False	=False	[NULL]	=False	=1917	=21	=1110	=0	=89	=1363060	=18795	=15002	=205	=1363060	=18795	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=1499550	=20180	=10670	=144	=136425	=1405	=296125	=4375	=137245	=1385	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2013 00:00:00	=2317	=False	
=16217	=1114526	=11/07/2013 07:45:57	=11/07/2013 15:45:57	=10/31/2013 08:10:07	[NULL]	=False	=False	[NULL]	=False	=1916	=121	=1290	=0	=131	=3665510	=12875	=31745	=87	=3665510	=12875	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4409400	=14970	=28814	=118	=738430	=1880	=789570	=1290	=746270	=2195	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2013 00:00:00	=2316	=False	
=16218	=1047479	=11/07/2013 08:04:27	=11/07/2013 16:04:27	=10/31/2013 08:25:29	[NULL]	=False	=False	[NULL]	=False	=1916	=125	=3190	=0	=141	=3075810	=15545	=31543	=160	=3075810	=15545	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=3400590	=16385	=24700	=125	=350080	=695	=580510	=3190	=325690	=840	=0	=0	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=11/07/2013 00:00:00	=2316	=False	
