TaxCommissionPeriodId	MachineId	CommissionPlanDetailId	IsNoCommission	RestockId	TaxCommissionRuleId	ItemId	SalesQuantity	AllocatedSalesAmountInCents	AdjustedAllocatedSalesAmountInCents	TaxAmountInCents	DepositAmountInCents	AllocatedRefundAmountInCents	AllocatedCashlessAmountInCents	AllocatedDoNotDeductCashlessAmountInCents	UnitCostInCents	CommissionAmountInCents	AllocatedGuaranteeAmountInCents	
=1	=999948	=58	=False	=16148	=217	=247	=13	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-910.00000	=0.00000	
=1	=999948	=58	=False	=16148	=217	=248	=20	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1400.00000	=0.00000	
=1	=999948	=58	=False	=16148	=217	=249	=10	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-700.00000	=0.00000	
=1	=999948	=58	=False	=16148	=217	=268	=1	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-70.00000	=0.00000	
=1	=999948	=58	=False	=16148	=217	=626	=19	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1330.00000	=0.00000	
=1	=999948	=58	=False	=16148	=217	=1023	=8	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-560.00000	=0.00000	
=1	=999948	=58	=False	=16148	=217	=1025	=20	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1400.00000	=0.00000	
=1	=999948	=58	=False	=16250	=217	=247	=45	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3150.00000	=0.00000	
=1	=999948	=58	=False	=16250	=217	=248	=51	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3570.00000	=0.00000	
=1	=999948	=58	=False	=16250	=217	=249	=15	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1050.00000	=0.00000	
=1	=999948	=58	=False	=16250	=217	=268	=13	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-910.00000	=0.00000	
=1	=999948	=58	=False	=16250	=217	=626	=54	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3780.00000	=0.00000	
=1	=999948	=58	=False	=16250	=217	=1023	=14	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-980.00000	=0.00000	
=1	=999948	=58	=False	=16250	=217	=1025	=47	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3290.00000	=0.00000	
=1	=999948	=58	=False	=16324	=217	=247	=32	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2240.00000	=0.00000	
=1	=999948	=58	=False	=16324	=217	=248	=26	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1820.00000	=0.00000	
=1	=999948	=58	=False	=16324	=217	=249	=9	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-630.00000	=0.00000	
=1	=999948	=58	=False	=16324	=217	=268	=6	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-420.00000	=0.00000	
=1	=999948	=58	=False	=16324	=217	=626	=33	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2310.00000	=0.00000	
=1	=999948	=58	=False	=16324	=217	=1023	=10	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-700.00000	=0.00000	
=1	=999948	=58	=False	=16324	=217	=1025	=38	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2660.00000	=0.00000	
=1	=999948	=58	=False	=16392	=217	=247	=44	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3080.00000	=0.00000	
=1	=999948	=58	=False	=16392	=217	=248	=31	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2170.00000	=0.00000	
=1	=999948	=58	=False	=16392	=217	=249	=12	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-840.00000	=0.00000	
=1	=999948	=58	=False	=16392	=217	=268	=8	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-560.00000	=0.00000	
=1	=999948	=58	=False	=16392	=217	=626	=54	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3780.00000	=0.00000	
=1	=999948	=58	=False	=16392	=217	=1023	=11	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-770.00000	=0.00000	
=1	=999948	=58	=False	=16392	=217	=1025	=42	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2940.00000	=0.00000	
=1	=999948	=58	=False	=16433	=217	=247	=25	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1750.00000	=0.00000	
=1	=999948	=58	=False	=16433	=217	=248	=27	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1890.00000	=0.00000	
=1	=999948	=58	=False	=16433	=217	=249	=4	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-280.00000	=0.00000	
=1	=999948	=58	=False	=16433	=217	=268	=9	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-630.00000	=0.00000	
=1	=999948	=58	=False	=16433	=217	=626	=20	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1400.00000	=0.00000	
=1	=999948	=58	=False	=16433	=217	=1023	=6	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-420.00000	=0.00000	
=1	=999948	=58	=False	=16433	=217	=1025	=23	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1610.00000	=0.00000	
=1	=999948	=58	=False	=16433	=218	=432	=2	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-400.00000	=0.00000	
=1	=999948	=58	=False	=16495	=217	=247	=27	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1890.00000	=0.00000	
=1	=999948	=58	=False	=16495	=217	=248	=31	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2170.00000	=0.00000	
=1	=999948	=58	=False	=16495	=217	=249	=6	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-420.00000	=0.00000	
=1	=999948	=58	=False	=16495	=217	=268	=6	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-420.00000	=0.00000	
=1	=999948	=58	=False	=16495	=217	=626	=37	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2590.00000	=0.00000	
=1	=999948	=58	=False	=16495	=217	=1023	=9	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-630.00000	=0.00000	
=1	=999948	=58	=False	=16495	=217	=1025	=48	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3360.00000	=0.00000	
=1	=999948	=58	=False	=16495	=218	=439	=18	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3600.00000	=0.00000	
=1	=999948	=58	=False	=16584	=217	=247	=41	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2870.00000	=0.00000	
=1	=999948	=58	=False	=16584	=217	=248	=43	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3010.00000	=0.00000	
=1	=999948	=58	=False	=16584	=217	=249	=3	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-210.00000	=0.00000	
=1	=999948	=58	=False	=16584	=217	=268	=13	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-910.00000	=0.00000	
=1	=999948	=58	=False	=16584	=217	=626	=47	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3290.00000	=0.00000	
=1	=999948	=58	=False	=16584	=217	=1023	=5	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-350.00000	=0.00000	
=1	=999948	=58	=False	=16584	=217	=1025	=45	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3150.00000	=0.00000	
=1	=999948	=58	=False	=16584	=218	=439	=18	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3600.00000	=0.00000	
=1	=999948	=58	=False	=16641	=217	=247	=17	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1190.00000	=0.00000	
=1	=999948	=58	=False	=16641	=217	=248	=28	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1960.00000	=0.00000	
=1	=999948	=58	=False	=16641	=217	=249	=5	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-350.00000	=0.00000	
=1	=999948	=58	=False	=16641	=217	=268	=3	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-210.00000	=0.00000	
=1	=999948	=58	=False	=16641	=217	=626	=24	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1680.00000	=0.00000	
=1	=999948	=58	=False	=16641	=217	=1023	=4	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-280.00000	=0.00000	
=1	=999948	=58	=False	=16641	=217	=1025	=18	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1260.00000	=0.00000	
=1	=999948	=58	=False	=16641	=218	=439	=10	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2000.00000	=0.00000	
=1	=999948	=58	=False	=16713	=217	=247	=32	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2240.00000	=0.00000	
=1	=999948	=58	=False	=16713	=217	=248	=51	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3570.00000	=0.00000	
=1	=999948	=58	=False	=16713	=217	=249	=18	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1260.00000	=0.00000	
=1	=999948	=58	=False	=16713	=217	=268	=15	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1050.00000	=0.00000	
=1	=999948	=58	=False	=16713	=217	=626	=48	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3360.00000	=0.00000	
=1	=999948	=58	=False	=16713	=217	=1023	=5	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-350.00000	=0.00000	
=1	=999948	=58	=False	=16713	=217	=1025	=37	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2590.00000	=0.00000	
=1	=999948	=58	=False	=16713	=218	=439	=19	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3800.00000	=0.00000	
=1	=999948	=58	=False	=16752	=217	=247	=23	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1610.00000	=0.00000	
=1	=999948	=58	=False	=16752	=217	=248	=33	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2310.00000	=0.00000	
=1	=999948	=58	=False	=16752	=217	=249	=8	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-560.00000	=0.00000	
=1	=999948	=58	=False	=16752	=217	=268	=7	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-490.00000	=0.00000	
=1	=999948	=58	=False	=16752	=217	=626	=16	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1120.00000	=0.00000	
=1	=999948	=58	=False	=16752	=217	=1023	=4	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-280.00000	=0.00000	
=1	=999948	=58	=False	=16752	=217	=1025	=22	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1540.00000	=0.00000	
=1	=999948	=58	=False	=16752	=218	=439	=5	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1000.00000	=0.00000	
=1	=999948	=58	=False	=16818	=217	=247	=36	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2520.00000	=0.00000	
=1	=999948	=58	=False	=16818	=217	=248	=43	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3010.00000	=0.00000	
=1	=999948	=58	=False	=16818	=217	=249	=12	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-840.00000	=0.00000	
=1	=999948	=58	=False	=16818	=217	=268	=12	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-840.00000	=0.00000	
=1	=999948	=58	=False	=16818	=217	=626	=31	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2170.00000	=0.00000	
=1	=999948	=58	=False	=16818	=217	=1023	=7	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-490.00000	=0.00000	
=1	=999948	=58	=False	=16818	=217	=1025	=30	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2100.00000	=0.00000	
=1	=999948	=58	=False	=16818	=218	=439	=16	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3200.00000	=0.00000	
=1	=999948	=58	=False	=16893	=217	=247	=54	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-3780.00000	=0.00000	
=1	=999948	=58	=False	=16893	=217	=248	=65	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-4550.00000	=0.00000	
=1	=999948	=58	=False	=16893	=217	=249	=8	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-560.00000	=0.00000	
=1	=999948	=58	=False	=16893	=217	=268	=18	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-1260.00000	=0.00000	
=1	=999948	=58	=False	=16893	=217	=626	=38	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-2660.00000	=0.00000	
=1	=999948	=58	=False	=16893	=217	=1023	=14	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-980.00000	=0.00000	
=1	=999948	=58	=False	=16893	=217	=1025	=71	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-4970.00000	=0.00000	
=1	=999948	=58	=False	=16893	=218	=439	=20	=0	=0.00000	=0.00000	=0	=0	=0.00000	=0.00000	=0.00000	=-4000.00000	=0.00000	
=1	=999952	=1	=True	=16310	=1	=247	=90	=6387	=6387.00000	=746.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16310	=1	=248	=2	=142	=142.00000	=18.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16310	=1	=250	=24	=1704	=1704.00000	=199.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16310	=1	=264	=7	=497	=497.00000	=58.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16310	=1	=348	=41	=8314	=8314.00000	=972.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16310	=1	=707	=10	=1267	=1267.00000	=148.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16310	=1	=726	=39	=2768	=2768.00000	=322.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16310	=1	=739	=22	=1561	=1561.00000	=183.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16438	=1	=247	=85	=5716	=5716.00000	=668.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16438	=1	=248	=5	=336	=336.00000	=39.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16438	=1	=250	=20	=1345	=1345.00000	=158.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16438	=1	=264	=7	=471	=471.00000	=56.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16438	=1	=348	=43	=8263	=8263.00000	=967.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16438	=1	=707	=7	=841	=841.00000	=98.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16438	=1	=726	=32	=2152	=2152.00000	=252.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16438	=1	=739	=27	=1816	=1816.00000	=212.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16569	=1	=247	=70	=5304	=5304.00000	=620.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16569	=1	=248	=13	=985	=985.00000	=117.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16569	=1	=250	=11	=833	=833.00000	=98.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16569	=1	=264	=5	=379	=379.00000	=44.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16569	=1	=348	=35	=7578	=7578.00000	=887.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16569	=1	=707	=3	=406	=406.00000	=47.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16569	=1	=726	=12	=910	=910.00000	=106.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16569	=1	=739	=19	=1440	=1440.00000	=169.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16715	=1	=247	=62	=4089	=4089.00000	=479.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16715	=1	=248	=14	=923	=923.00000	=108.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16715	=1	=250	=11	=726	=726.00000	=84.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16715	=1	=264	=8	=528	=528.00000	=63.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16715	=1	=348	=43	=8103	=8103.00000	=947.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16715	=1	=707	=5	=588	=588.00000	=68.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16715	=1	=726	=22	=1451	=1451.00000	=170.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16715	=1	=739	=28	=1847	=1847.00000	=217.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
=1	=999952	=1	=True	=16884	=1	=247	=87	=6435	=6435.00000	=754.00000	=0	=0	=0.00000	=0.00000	=0.00000	=0.00000	=0.00000	
