TaxCommissionPeriodId	MachineId	RestockId	ItemId	TaxCommissionRuleId	CalculatedCommissionAdjustmentRestockItemAllocatedAmountInCents	CommissionAdjustmentTaxCommissionPeriodId	CommissionAdjustmentMachineId	CommissionAdjustmentAmountInCents	CommissionAdjustmentEffectiveDate	CommissionAdjustmentCreatedBy	CommissionAdjustmentReason	
=1	=999971	=16423	=248	=324	=-82.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16423	=249	=324	=-74.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16423	=264	=324	=-78.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16423	=593	=325	=-24.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16530	=247	=324	=-79.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16530	=248	=324	=-83.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16530	=249	=324	=-78.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16530	=264	=324	=-74.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16530	=593	=325	=-41.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16663	=247	=324	=-76.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16663	=249	=324	=-75.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16663	=264	=324	=-72.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16663	=593	=325	=0.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16758	=247	=324	=-83.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16758	=248	=324	=-84.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16758	=249	=324	=-74.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16758	=264	=324	=-77.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16758	=593	=325	=-30.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16891	=247	=324	=-67.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16891	=249	=324	=-66.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16891	=264	=324	=-68.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999971	=16891	=593	=325	=-1.00000	=1	=999971	=-2457.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16122	=248	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16122	=593	=325	=-56.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16212	=247	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16212	=248	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16212	=249	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16212	=264	=324	=-58.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16212	=593	=325	=-8.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16328	=247	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16328	=248	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16328	=249	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16328	=264	=324	=-58.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16328	=593	=325	=-29.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16425	=247	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16425	=248	=324	=-57.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16425	=249	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16425	=264	=324	=-56.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16425	=593	=325	=-2.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16497	=247	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16497	=248	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16497	=249	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16497	=264	=324	=-58.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16497	=593	=325	=-27.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16616	=247	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16616	=248	=324	=-57.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16616	=249	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16616	=264	=324	=-57.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16616	=593	=325	=0.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16729	=248	=324	=-57.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16729	=249	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16729	=264	=324	=-56.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16729	=593	=325	=-3.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16800	=248	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16800	=249	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16800	=264	=324	=-58.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16800	=593	=325	=-31.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16866	=248	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16866	=249	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16866	=264	=324	=-59.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16866	=593	=325	=-23.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16964	=247	=324	=-58.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16964	=248	=324	=-60.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16964	=249	=324	=-56.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999972	=16964	=593	=325	=-21.00000	=1	=999972	=-2134.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16309	=247	=324	=-39.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16309	=248	=324	=-39.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16309	=249	=324	=-42.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16309	=250	=324	=-42.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16309	=264	=324	=-41.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16309	=593	=325	=-18.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16446	=247	=324	=-42.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16446	=248	=324	=-41.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16446	=249	=324	=-43.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16446	=250	=324	=-43.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16446	=264	=324	=-41.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16446	=593	=325	=0.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16662	=247	=324	=-43.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16662	=248	=324	=-38.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16662	=250	=324	=-42.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16662	=264	=324	=-43.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16662	=593	=325	=-21.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16864	=247	=324	=-35.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16864	=248	=324	=-35.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16864	=249	=324	=-39.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16864	=250	=324	=-41.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16864	=264	=324	=-42.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999974	=16864	=593	=325	=-3.00000	=1	=999974	=-813.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16257	=247	=324	=-43.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16257	=248	=324	=-44.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16257	=249	=324	=-47.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16257	=253	=324	=-47.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16257	=264	=324	=-48.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16257	=593	=325	=-26.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16330	=247	=324	=-44.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16330	=248	=324	=-45.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16330	=249	=324	=-47.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16330	=253	=324	=-46.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16330	=264	=324	=-44.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16330	=593	=325	=-5.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16445	=247	=324	=-42.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16445	=248	=324	=-43.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16445	=249	=324	=-47.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16445	=253	=324	=-47.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16445	=264	=324	=-43.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16445	=593	=325	=0.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16611	=247	=324	=-41.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16611	=248	=324	=-45.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16611	=249	=324	=-46.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16611	=253	=324	=-47.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16611	=264	=324	=-47.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16611	=593	=325	=-20.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16694	=247	=324	=-43.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16694	=248	=324	=-45.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16694	=249	=324	=-45.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16694	=253	=324	=-46.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16694	=264	=324	=-46.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16694	=593	=325	=-25.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16756	=247	=324	=-44.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16756	=248	=324	=-45.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16756	=249	=324	=-46.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16756	=253	=324	=-45.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16756	=264	=324	=-48.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16756	=593	=325	=-24.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16888	=247	=324	=-46.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16888	=248	=324	=-45.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16888	=249	=324	=-48.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16888	=253	=324	=-47.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16888	=264	=324	=-45.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999975	=16888	=593	=325	=-11.00000	=1	=999975	=-1698.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999977	=16191	=593	=325	=-856.00000	=1	=999977	=-3076.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999977	=16360	=593	=325	=-341.00000	=1	=999977	=-3076.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999977	=16451	=593	=325	=-167.00000	=1	=999977	=-3076.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999977	=16596	=593	=325	=-462.00000	=1	=999977	=-3076.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999977	=16731	=593	=325	=0.00000	=1	=999977	=-3076.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999977	=16805	=593	=325	=-756.00000	=1	=999977	=-3076.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=999977	=16932	=593	=325	=-494.00000	=1	=999977	=-3076.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16124	=248	=324	=-43.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16124	=256	=324	=-44.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16124	=259	=324	=-43.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=248	=324	=-25.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=251	=324	=-35.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=252	=324	=-41.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=253	=324	=-39.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=254	=324	=-43.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=256	=324	=-38.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=259	=324	=-18.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=260	=324	=-39.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16311	=623	=324	=-41.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=248	=324	=-19.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=251	=324	=-31.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=252	=324	=-37.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=253	=324	=-35.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=254	=324	=-38.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=256	=324	=-37.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=259	=324	=0.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=260	=324	=-38.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16531	=623	=324	=-34.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=248	=324	=-34.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=251	=324	=-40.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=252	=324	=-41.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=253	=324	=-40.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=254	=324	=-40.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=256	=324	=-40.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=259	=324	=-17.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=260	=324	=-39.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16665	=623	=324	=-42.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=248	=324	=-19.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=251	=324	=-38.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=252	=324	=-30.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=253	=324	=-30.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=254	=324	=-36.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=256	=324	=-33.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=259	=324	=-10.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=260	=324	=-42.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1011774	=16844	=623	=324	=-37.00000	=1	=1011774	=-1326.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16123	=247	=324	=-60.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16123	=248	=324	=-60.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16123	=593	=325	=-59.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16190	=247	=324	=-58.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16190	=248	=324	=-58.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16190	=249	=324	=-59.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16190	=264	=324	=-53.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16190	=593	=325	=-14.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16274	=247	=324	=-57.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16274	=248	=324	=-57.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16274	=249	=324	=-59.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16274	=264	=324	=-57.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16274	=593	=325	=-27.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16326	=247	=324	=-58.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16326	=248	=324	=-57.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16326	=249	=324	=-59.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16326	=264	=324	=-59.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16326	=593	=325	=-40.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16393	=247	=324	=-56.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
=1	=1037295	=16393	=248	=324	=-57.00000	=1	=1037295	=-2746.00000	=12/31/2013 00:00:00	=test@test.com	=test	
