Id	PrepickGroupId	LocationId	SubLocationId	RouteId	SubRouteNumber	AssetId	Barcode	ImportId	DeviceSerialNumber	CentralThirdPartyDeviceId	ManagementAccountCode	ManagementCode	Deployed	Place	Name	UserMachineSerialNumber	IsOnBattery	IsDoorOpen	IsOutOfOrder	OutOfOrderReason	PlanogramId	SyncPlanogram	LastUpdatedByIntegrationUtcDateTime	LastRestockDateTime	ExternalSystemId	HasTemperatureSensor	OfflineMachineType	MeterType	MeterPriceInCents	ReinventoryNextVisit	InventoryAccuracyInPercents	NeedUpdateInventoryAccuracy	InventoryIntervalType	InventoryIntervalInRestocks	InventoryGradeAIntervalInRestocks	InventoryGradeBIntervalInRestocks	InventoryGradeCIntervalInRestocks	InventoryGradeDIntervalInRestocks	InventoryMaxIntervalInDays	HasCashless	UpdateCashlessSeedDeviceNextVisitWelcomeMessage	CashDiscountInCents	CommissionPlanId	TaxJurisdictionId	SeedSyncDownloadCoilDetails	PremiumOfflineStandardPrepickInventoriesCountThreshold	LastContactUtcDateTime	LastDexUtcDateTime	LastSaleUtcDateTime	LastBillsInUtcDateTime	LastCoinsInUtcDateTime	LastInventoryAdjustmentUtcDateTime	MachineConfigurationId	MachineClassId	MachineMakeId	MachineModelId	MachineTypeOverride	IsExceptionPeriodDisabled	LastReportedAlertLowTemperatureInFahrenheit	LastReportedTemperatureInFahrenheit	LastReportedAlertHighTemperatureInFahrenheit	LastReportedTemperatureUtcDateTime	DexMachineSerialNumber	DexMachineModelNumber	DexMachineBuildStandard	CoilCrc	MicromarketId	AlertTargetId	PulledDateTime	SnoozeId	IsDeliveryPoint	DeliveryPricingPlanId	Equipment	Deleted	AcquiredFromCompanyName	PurchaseDate	PurchasePriceInCents	DepreciationInYears	PostDepreciationMonthlyCostInCents	
=10	=2	=1003	[NULL]	=2	=1	=#46	[NULL]	[NULL]	=139376	[NULL]	[NULL]	[NULL]	=1	=Meadows Breakroom	[NULL]	=	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=07/24/2013 12:22:50	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 03:26:00	=08/22/2013 03:26:00	=08/21/2013 19:26:00	=08/21/2013 19:26:00	=08/21/2013 19:26:00	=06/20/2013 09:04:00	[NULL]	=4	=15	=78	=Aquafina Vendo V540HV	=False	[NULL]	[NULL]	[NULL]	[NULL]	=90004233	=VEC 9.3	=2030	=24545	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=11	=1	=1004	[NULL]	=2	=1	=#71	[NULL]	[NULL]	=139367	[NULL]	[NULL]	[NULL]	=1	=Redfield 106	[NULL]	=	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/21/2013 12:15:08	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 02:04:00	=08/22/2013 02:04:00	=08/21/2013 14:04:00	=08/21/2013 14:04:00	=08/16/2013 10:02:00	=07/31/2013 09:13:00	[NULL]	=2	=5	=19	=Crane 181	=False	[NULL]	[NULL]	[NULL]	[NULL]	=CNV17086	=181	=0	=1012	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=12	=2	=1004	[NULL]	=2	=1	=#72	[NULL]	[NULL]	=139380	[NULL]	[NULL]	[NULL]	=1	=Redfield 106	[NULL]	=	=False	=False	=False	[NULL]	[NULL]	=False	[NULL]	=08/21/2013 12:50:45	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 01:51:00	=08/22/2013 01:51:00	=08/21/2013 13:51:00	=08/21/2013 13:51:00	=07/10/2013 09:16:00	=04/03/2013 09:12:00	[NULL]	=4	=15	=78	=Aquafina Vendo V576	=False	[NULL]	[NULL]	[NULL]	[NULL]	=VCS90131789	=VEC 9.1	=2027	=18906	[NULL]	=1	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=13	=2	=1004	[NULL]	=2	=1	=#73	[NULL]	[NULL]	=139334	[NULL]	[NULL]	[NULL]	=1	=Redfield 106	[NULL]	=	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/21/2013 14:11:58	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 02:12:00	=08/22/2013 02:12:00	=08/19/2013 10:10:00	=08/19/2013 10:10:00	=08/16/2013 14:10:00	=07/03/2013 09:21:00	[NULL]	=4	=15	=75	=Aquafina Vendo V821	=False	=-20	[NULL]	=20	=07/26/2010 08:38:00	=D4B24525	=VEC 12.3	=3014	=23012	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=14	=4	=1001	[NULL]	=5	=1	=#1	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=RDMT 100	[NULL]	=	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/19/2013 08:50:00	=	=False	=P	=C	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	=1	[NULL]	=08/19/2013 05:50:00	[NULL]	[NULL]	[NULL]	=08/19/2013 05:50:00	[NULL]	=1	=1	=1	=Shoppertron 431	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=15	=1	=1001	[NULL]	=5	=1	=#2	[NULL]	[NULL]	=139375	[NULL]	[NULL]	[NULL]	=1	=RDMT 100	[NULL]	[NULL]	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=04/29/2013 15:07:00	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 00:03:00	=08/13/2013 12:00:00	=04/26/2013 13:24:00	=04/29/2013 09:26:00	=04/26/2013 13:24:00	=04/29/2013 12:07:00	[NULL]	=7	=1	=1	=USI Combi  3576	=False	[NULL]	[NULL]	[NULL]	[NULL]	=WTN31130340263	=GVC2	=11014	=-7844	[NULL]	=2	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=16	=2	=1001	[NULL]	=5	=1	=#3	[NULL]	[NULL]	=142419	[NULL]	[NULL]	[NULL]	=1	=RDMT100	[NULL]	=	=False	=False	=False	[NULL]	[NULL]	=False	[NULL]	=08/20/2013 11:24:16	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 00:33:00	=08/22/2013 00:33:00	=08/21/2013 12:33:00	=08/21/2013 12:33:00	=08/21/2013 12:33:00	=08/20/2013 08:24:16	[NULL]	=4	=15	=78	=Vend V540	=False	[NULL]	[NULL]	[NULL]	[NULL]	=90001033	=VEC 9.1	=2010	=-18218	[NULL]	=8	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=17	=1	=1005	[NULL]	=6	=1	=#4	[NULL]	[NULL]	=139369	[NULL]	[NULL]	[NULL]	=1	=RDMT 206	[NULL]	=	=False	=False	=False	[NULL]	[NULL]	=False	[NULL]	=08/20/2013 12:03:54	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 02:35:00	=08/22/2013 02:35:00	=08/21/2013 18:35:00	=08/21/2013 06:35:00	=08/21/2013 18:35:00	=08/20/2013 09:04:00	[NULL]	=2	=5	=18	=Crane 158 snack	=False	[NULL]	[NULL]	[NULL]	[NULL]	=000004	=CRANE..VER 15823	[NULL]	=17704	[NULL]	=25	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=18	=7	=1006	[NULL]	=6	=1	=#5	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=RDMT 241	[NULL]	=	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/16/2013 14:20:00	=	=False	=P	=C	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/16/2013 11:20:00	[NULL]	[NULL]	[NULL]	=08/16/2013 11:20:00	[NULL]	=1	=1	=1	=Crane SBC Coffee 677	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=19	=1	=1007	[NULL]	=6	=1	=#6	[NULL]	[NULL]	=139358	[NULL]	[NULL]	[NULL]	=1	=RDMT 210	[NULL]	=	=False	=False	=False	[NULL]	[NULL]	=False	[NULL]	=08/21/2013 09:18:34	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=SIM	=5	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 03:19:00	=08/22/2013 03:19:00	=08/21/2013 17:19:00	=08/21/2013 17:19:00	=08/21/2013 17:19:00	=08/01/2013 07:47:00	[NULL]	=2	=5	=18	=Crane snack157	=False	[NULL]	[NULL]	[NULL]	[NULL]	=000006	=CRANE..VER 15823	[NULL]	=5940	[NULL]	=16	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=20	[NULL]	=1019	[NULL]	=0	[NULL]	=#7	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=RDMT 417	[NULL]	=	[NULL]	[NULL]	=True	=Not hooked up (david.herre@cantaloupesys.com)	[NULL]	=False	[NULL]	[NULL]	=	=False	=F	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=1	=1	=Crane coffee/frozen 485	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=21	=1	=1006	[NULL]	=6	=1	=#11	[NULL]	[NULL]	=139364	[NULL]	[NULL]	[NULL]	=1	=RDMT 241	[NULL]	=	=False	=False	=False	[NULL]	[NULL]	=False	[NULL]	=08/19/2013 12:55:28	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 01:48:00	=08/22/2013 01:48:00	=08/21/2013 17:48:00	=08/21/2013 17:48:00	=08/21/2013 13:48:00	=08/19/2013 09:55:28	[NULL]	=2	=5	=18	=Crane 157 snack	=False	[NULL]	[NULL]	[NULL]	[NULL]	=000011	=CRANE..VER 15823	[NULL]	=-7629	[NULL]	=29	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=22	=2	=1008	[NULL]	=2	=1	=#12	[NULL]	[NULL]	=139371	[NULL]	[NULL]	[NULL]	=1	=Facilities	[NULL]	=	=False	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/21/2013 11:05:36	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 03:15:00	=08/22/2013 03:15:00	=08/21/2013 15:15:00	=08/21/2013 15:15:00	=08/20/2013 15:15:00	=08/07/2013 06:58:00	[NULL]	=4	=15	=78	=Vendo V540	=False	=-20	[NULL]	=20	=07/26/2010 14:14:00	=90001019	=VEC 9.1	=2010	=-1961	[NULL]	=20	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=23	=4	=1003	[NULL]	=2	=1	=#44	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=Meadowood Breakroom	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/21/2013 13:30:00	=	=False	=P	=C	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	=2	[NULL]	=08/21/2013 10:30:00	[NULL]	[NULL]	[NULL]	=08/21/2013 10:30:00	[NULL]	=7	=5	=21	=Shoppertron 431 Food	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=24	=7	=1008	[NULL]	=2	=1	=#14	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=Facilities Breakroom	[NULL]	=	[NULL]	[NULL]	=False	[NULL]	=16	=False	[NULL]	=05/30/2013 12:00:00	=	=False	=P	=C	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	=1	[NULL]	=05/30/2013 09:00:00	[NULL]	[NULL]	[NULL]	=05/30/2013 09:00:00	[NULL]	=1	=1	=1	=Crane 637 Coffee	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=25	=7	=1009	[NULL]	=3	=1	=#15	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=Sierra Lobby	[NULL]	=	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=08/20/2013 10:40:00	=	=False	=P	=C	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=08/20/2013 07:40:00	[NULL]	[NULL]	[NULL]	=08/20/2013 07:40:00	[NULL]	=1	=1	=1	=Crane SBC Coffee 677	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=26	=1	=1009	[NULL]	=3	=1	=#16	[NULL]	[NULL]	=139385	[NULL]	[NULL]	[NULL]	=1	=Sierra Lobby	[NULL]	=	=False	=False	=False	[NULL]	[NULL]	=False	[NULL]	=08/20/2013 10:28:58	=	=False	[NULL]	[NULL]	[NULL]	=False	[NULL]	=True	=SIM	=5	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	[NULL]	=08/22/2013 02:35:00	=08/22/2013 02:35:00	=08/21/2013 17:35:00	=08/21/2013 17:35:00	=08/21/2013 14:35:00	=08/14/2013 06:34:00	[NULL]	=2	=5	=18	=Crane 157 snack	=False	[NULL]	[NULL]	[NULL]	[NULL]	=000016	=CRANE..VER 15823	[NULL]	=9434	[NULL]	=13	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
=27	=1	=1009	[NULL]	=3	=1	=#17	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=1	=Sierra Lobby	[NULL]	[NULL]	=True	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	=03/02/2012 12:58:00	=	=False	=P	=C	[NULL]	=False	[NULL]	=True	[NULL]	=4	=8	=4	=3	=1	[NULL]	=False	=False	=0	[NULL]	[NULL]	[NULL]	=2	=08/16/2012 08:34:00	=08/16/2012 08:26:00	=08/16/2012 08:26:00	=08/16/2012 08:26:00	=08/16/2012 08:26:00	=04/26/2012 10:52:00	[NULL]	=7	=1	=1	=USI Combi  3576	=False	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	[NULL]	=False	[NULL]	[NULL]	=0	=0.00	=0	
