Id	PackId	Barcode	Deleted	
=540	=322	=028400001748	=False	
=541	=18	=07828500	=False	
=542	=968	=07828500	=False	
=543	=969	=48039590	=False	
=544	=419	=072359000550	=False	
=545	=970	=48058772	=False	
=546	=971	=48060550	=True	
=547	=384	=072250008204	=False	
=548	=972	=000284407540	=False	
=549	=262	=028400019095	=False	
=550	=973	=0002840069922	=False	
=551	=712	=028400069922	=False	
=552	=974	=04000052431	=False	
=553	=203	=040000424314	=False	
=554	=667	=04171623110	=False	
=555	=975	=041716841556	=False	
=556	=976	=04369076769	=False	
=557	=145	=043695000122	=False	
=558	=545	=07047000654	=False	
=559	=977	=10070470006540	=False	
=560	=978	=7260002307	=False	
=561	=501	=072600023079	=False	
=562	=200	=010700807229	=False	
=563	=979	=010700963239	=False	
=564	=233	=010700807274	=False	
=565	=980	=010700963277	=False	
=566	=981	=010700961228	=False	
=567	=23	=012000007590	=False	
=568	=982	=012000007590	=False	
=569	=189	=012000012754	=False	
=570	=983	=012546068017	=False	
=571	=435	=012546680028	=False	
=572	=984	=012546068031	=False	
=573	=434	=012546680042	=False	
=574	=985	=012546068123	=False	
=575	=516	=012546680196	=False	
=576	=986	=012546075619	=False	
=577	=431	=012546617567	=False	
=578	=987	=012546097024	=False	
=579	=432	=012546300216	=False	
=580	=988	=012546097093	=False	
=581	=436	=012546301350	=False	
=582	=689	=013800103901	=False	
=583	=989	=013800103901	=False	
=584	=685	=013800144089	=False	
=585	=690	=013800166074	=False	
=586	=990	=013800166074	=False	
=587	=686	=013800552853	=False	
=588	=684	=013800654557	=False	
=589	=287	=014076050104	=False	
=590	=991	=10014076100059	=False	
=591	=371	=014100074038	=False	
=592	=992	=10014100113109	=False	
=593	=331	=014100077602	=False	
=594	=380	=016000111899	=False	
=595	=993	=10016000111896	=False	
=596	=327	=016000113329	=False	
=597	=994	=10016000113326	=False	
=598	=258	=016000122505	=False	
=599	=995	=016000137844	=False	
=600	=996	=016000132887	=False	
=601	=266	=016000612709	=False	
=602	=997	=016000143517	=False	
=603	=474	=016000504622	=False	
=604	=379	=016000166097	=False	
=605	=998	=016000407640	=False	
=606	=512	=016000192980	=False	
=607	=999	=100160001929870307	=False	
=608	=481	=016000194380	=False	
=609	=1000	=10016000194387	=False	
=610	=1001	=016000238404	=False	
=611	=476	=016000264793	=False	
=612	=470	=016000264694	=False	
=613	=1002	=016000441446	=False	
=614	=1003	=016000281097	=False	
=615	=475	=016000506534	=False	
=616	=479	=016000423930	=False	
=617	=1004	=10016000423937	=False	
=618	=472	=016000439894	=False	
=619	=1005	=016000441484	=False	
=620	=480	=016000506022	=False	
=621	=1006	=10016000452821	=False	
=622	=274	=016000614604	=False	
=623	=1007	=10016000614601	=False	
=624	=375	=019320001031	=False	
=625	=1008	=00019320001444	=False	
=626	=729	=044000022815	=False	
=627	=326	=019320007989	=False	
=628	=359	=019320015441	=False	
=629	=1009	=044000013141	=False	
=630	=378	=019320015472	=False	
=631	=1010	=10019320015479	=False	
=632	=370	=019320015489	=False	
=633	=1011	=10019320015486	=False	
=634	=360	=019320015915	=False	
=635	=1012	=10019320015912	=False	
=636	=94	=020500900570	=False	
=637	=95	=020500900600	=False	
=638	=444	=020501716262	=False	
=639	=1013	=60020501716264	=False	
=640	=1014	=021000667918	=False	
=641	=1015	=022000104274	=False	
=642	=1016	=022000114013	=False	
=643	=1017	=022000114020	=False	
=644	=1018	=022000114037	=False	
=645	=1019	=022000114044	=False	
=646	=1020	=022000114051	=False	
=647	=1021	=022000158253	=False	
=648	=50	=022592007014	=False	
=649	=348	=024100123223	=False	
=650	=1022	=10024100123220	=False	
=651	=335	=024622575104	=False	
=652	=1023	=10110024622575101	=False	
=653	=522	=025000056017	=False	
=654	=521	=025000056031	=False	
=655	=700	=025000058028	=False	
=656	=160	=027086069271	=False	
=657	=1024	=20027086069275	=False	
=658	=161	=027086078815	=False	
=659	=1025	=20027086078819	=False	
=660	=220	=028000001360	=False	
=661	=1026	=028000240363	=False	
=662	=196	=028000011598	=False	
=663	=99	=028300000896	=False	
=664	=101	=028300000902	=False	
=665	=100	=028300000995	=False	
=666	=329	=028400000666	=False	
=667	=1027	=00028400443999	=False	
=668	=1028	=00028400001069	=False	
=669	=503	=028400007870	=False	
=670	=357	=028400001465	=True	
=671	=275	=028400002561	=False	
=672	=1029	=00028400110945	=False	
=673	=324	=028400002912	=False	
=674	=1030	=00028400443654	=False	
=675	=315	=028400003001	=False	
=676	=1031	=00028400443586	=False	
=677	=352	=028400004626	=False	
=678	=245	=028400008617	=False	
=679	=1032	=028400043922	=False	
=680	=250	=028400008839	=False	
=681	=1033	=00028400111515	=False	
=682	=337	=028400012126	=False	
=683	=1034	=00028400511117	=False	
=684	=298	=028400012553	=False	
=685	=1035	=00028400444415	=False	
=686	=290	=028400021531	=False	
=687	=1036	=00028400111522	=False	
=688	=338	=028400022170	=False	
=689	=1037	=00028400531528	=False	
=690	=286	=028400023023	=False	
=691	=1038	=00028400526142	=False	
=692	=350	=028400024365	=False	
=693	=1039	=00028400528818	=False	
=694	=383	=028400024532	=False	
=695	=1040	=00028400558389	=False	
=696	=345	=028400025287	=False	
=697	=1041	=00028400443876	=False	
=698	=341	=028400029292	=False	
=699	=1042	=00028400536202	=False	
=700	=277	=028400029926	=False	
=701	=1043	=00028400216425	=False	
=702	=344	=028400033299	=False	
=703	=1044	=00028400542258	=False	
=704	=349	=028400035675	=False	
=705	=1045	=00028400549554	=False	
=706	=299	=028400038447	=False	
=707	=1046	=00028400444293	=False	
=708	=285	=028400039956	=False	
=709	=1047	=00028400309936	=False	
=710	=241	=028400040037	=False	
=711	=1048	=028400043915	=False	
=712	=242	=028400040044	=False	
=713	=1049	=028400043908	=False	
=714	=237	=028400040112	=False	
=715	=1050	=028400044004	=False	
=716	=238	=028400040129	=False	
=717	=1051	=028400044011	=False	
=718	=284	=028400041904	=False	
=719	=1052	=00028400111126	=False	
=720	=289	=028400042437	=False	
=721	=1053	=00028400317481	=False	
=722	=330	=028400043014	=False	
=723	=1054	=00028400443944	=False	
=724	=1055	=028400043939	=False	
=725	=257	=028400090858	=False	
=726	=1056	=028400043977	=False	
=727	=249	=028400090148	=False	
=728	=1057	=028400044028	=False	
=729	=255	=028400091510	=False	
=730	=1058	=028400044035	=False	
=731	=240	=028400090896	=False	
=732	=305	=028400046060	=False	
=733	=1059	=00028400443913	=False	
=734	=461	=028400046428	=False	
=735	=351	=028400046657	=False	
=736	=318	=028400047906	=False	
=737	=1060	=00028400324199	=False	
=738	=332	=028400047913	=False	
=739	=1061	=00028400443685	=False	
=740	=314	=028400047937	=False	
=741	=1062	=00028400443555	=False	
=742	=319	=028400047944	=False	
=743	=1063	=00028400443548	=False	
=744	=333	=028400047951	=False	
=745	=1064	=00028400443531	=False	
=746	=294	=028400048026	=False	
=747	=1065	=028400364447	=False	
=748	=339	=028400053044	=False	
=749	=1066	=00028400443890	=False	
=750	=269	=028400065528	=False	
=751	=1067	=028400079471	=False	
=752	=325	=028400065535	=False	
=753	=1068	=00028400443678	=False	
=754	=714	=028400069021	=False	
=755	=1069	=00028400095983	=False	
=756	=343	=028400070546	=False	
=757	=1070	=00028400443746	=False	
=758	=312	=028400070560	=False	
=759	=1071	=00028400443753	=False	
=760	=295	=028400071888	=False	
=761	=1072	=00028400443968	=False	
=762	=316	=028400071895	=False	
=763	=1073	=00028400443951	=False	
=764	=307	=028400073264	=False	
=765	=265	=028400074629	=True	
=766	=1074	=028400434744	=True	
=767	=462	=028400078368	=False	
=768	=1075	=00028400450669	=False	
=769	=382	=028400079570	=False	
=770	=1076	=00028400450959	=False	
=771	=356	=028400079587	=False	
=772	=1077	=00028400450966	=False	
=773	=317	=028400080590	=False	
=774	=1078	=00028400472555	=False	
=775	=320	=028400082785	=False	
=776	=1079	=00028400443982	=False	
=777	=218	=028400085298	=False	
=778	=288	=028400088725	=False	
=779	=1080	=00028400490931	=False	
=780	=248	=028400090179	=False	
=781	=1081	=028400110655	=False	
=782	=256	=028400090841	=False	
=783	=1082	=00028400111058	=False	
=784	=273	=028400090889	=False	
=785	=1083	=00028400110549	=False	
=786	=313	=028400091565	=False	
=787	=1084	=00028400443593	=False	
=788	=716	=028400099288	=False	
=789	=76	=030000263358	=False	
=790	=1085	=030000310601	=False	
=791	=389	=030100125877	=False	
=792	=1086	=030100464679	=False	
=793	=369	=030100133186	=False	
=794	=1087	=10030100133183	=False	
=795	=377	=030100199434	=False	
=796	=1088	=10030100199271	=False	
=797	=354	=031535511488	=False	
=798	=1089	=10631535511616	=False	
=799	=373	=031535513017	=False	
=800	=366	=031535513482	=False	
=801	=1090	=10631535513610	=False	
=802	=368	=031535520510	=False	
=803	=1091	=131535520517	=False	
=804	=367	=031535520534	=False	
=805	=1092	=131535520531	=False	
=806	=376	=031535520558	=False	
=807	=1093	=131535520555	=False	
=808	=374	=031535520626	=False	
=809	=402	=034200347467	=False	
=810	=705	=034856017738	=False	
=811	=1094	=034856624738	=False	
=812	=720	=034893000014	=False	
=813	=722	=034893000106	=False	
=814	=1095	=00037600031592	=False	
=815	=70	=037600275903	=False	
=816	=71	=037600070607	=False	
=817	=1096	=00037600378772	=False	
=818	=67	=037600158428	=False	
=819	=1097	=00037600496421	=False	
=820	=75	=037600302098	=False	
=821	=73	=037600349819	=False	
=822	=1098	=00037600350303	=False	
=823	=72	=037600349864	=False	
=824	=1099	=00037600350310	=False	
=825	=77	=037600477765	=False	
=826	=1100	=00038000126093	=False	
=827	=79	=038000635502	=False	
=828	=1101	=038000259197	=False	
=829	=387	=038000317316	=False	
=830	=1102	=038000291722	=False	
=831	=1103	=038000291760	=False	
=832	=469	=038000359217	=False	
=833	=1104	=038000586200	=False	
=834	=49	=038192011122	=False	
=835	=1105	=040000011033	=False	
=836	=205	=040000422082	=False	
=837	=1106	=041000034879	=False	
=838	=281	=041200096684	=False	
=839	=413	=041300809139	=False	
=840	=1107	=10041300809136	=False	
=841	=647	=041335004196	=False	
=842	=1108	=10041335004193	=False	
=843	=646	=041335078999	=False	
=844	=1109	=10041335078996	=False	
=845	=648	=041335082798	=False	
=846	=1110	=10041335082795	=False	
=847	=645	=041335085898	=False	
=848	=1111	=1004335085895	=False	
=849	=223	=041420005541	=False	
=850	=131	=041433000960	=False	
=851	=1112	=041433007570	=False	
=852	=157	=041433001233	=False	
=853	=1113	=041433007785	=False	
=854	=158	=041433001578	=False	
=855	=1114	=041433007853	=False	
=856	=132	=041433001820	=False	
=857	=1115	=041433007921	=False	
=858	=726	=041668105065	=False	
=859	=666	=041789001215	=False	
=860	=1116	=041789501210	=False	
=861	=74	=041789002113	=False	
=862	=1117	=041789502118	=False	
=863	=551	=043695000115	=False	
=864	=546	=043695029086	=False	
=865	=1118	=10043695029083	=False	
=866	=122	=043695033007	=False	
=867	=1119	=044000000820	=False	
=868	=1120	=044000005351	=False	
=869	=361	=044000037420	=False	
=870	=440	=044000009298	=False	
=871	=1121	=044000013097	=False	
=872	=1122	=044000014131	=False	
=873	=406	=044000017729	=False	
=874	=1123	=044000022891	=False	
=875	=91	=048500001745	=False	
=876	=1124	=048500758236	=False	
=877	=92	=048500001769	=False	
=878	=1125	=048500758243	=False	
=879	=97	=048500008607	=False	
=880	=1126	=048500500736	=False	
=881	=9	=049000003697	=False	
=882	=10	=049000003710	=False	
=883	=11	=049000007909	=False	
=884	=44	=049000014235	=False	
=885	=1127	=049000030730	=False	
=886	=190	=049000019162	=False	
=887	=42	=049000023855	=False	
=888	=1128	=049000030129	=False	
=889	=193	=049000023923	=False	
=890	=163	=049000024685	=False	
=891	=524	=049000035551	=False	
=892	=164	=049000024692	=False	
=893	=1129	=049000035575	=False	
=894	=171	=049000024708	=False	
=895	=1130	=049000037562	=False	
=896	=191	=049000029796	=False	
=897	=46	=049000029901	=False	
=898	=187	=049000037197	=False	
=899	=181	=049000040869	=False	
=900	=1131	=052000207835	=False	
=901	=6	=052000328684	=False	
=902	=1132	=052000207842	=False	
=903	=7	=052000328677	=False	
=904	=65	=064144047093	=False	
=905	=69	=064144047307	=False	
=906	=1133	=10064144047304	=False	
=907	=102	=070110056631	=False	
=908	=556	=070110100020	=False	
=909	=1134	=10070110056638	=False	
=910	=1135	=070462012347	=False	
=911	=710	=070462098501	=False	
=912	=1136	=00070462062243	=False	
=913	=707	=070462098631	=False	
=914	=544	=070470006505	=False	
=915	=1137	=10070470006502	=False	
=916	=549	=070470409627	=False	
=917	=550	=070470409634	=False	
=918	=548	=070470409641	=False	
=919	=449	=071159001866	=False	
=920	=38	=071817000293	=False	
=921	=1138	=072108241012	=False	
=922	=123	=072180635266	=False	
=923	=1139	=10072180635263	=False	
=924	=105	=072180785718	=False	
=925	=397	=072250007238	=False	
=926	=1140	=072250912242	=False	
=927	=401	=072250007542	=False	
=928	=342	=072600000575	=False	
=929	=346	=072600005143	=False	
=930	=682	=072655405028	=False	
=931	=683	=072655405035	=False	
=932	=691	=072655405103	=False	
=933	=692	=072655405134	=False	
=934	=678	=072655410329	=False	
=935	=1141	=072655410329	=False	
=936	=270	=073497004325	=False	
=937	=511	=073497004493	=False	
=938	=1142	=FGPS00674	=False	
=939	=1143	=073497122074	=False	
=940	=247	=073497243458	=False	
=941	=283	=073497143451	=False	
=942	=1144	=mps00022	=False	
=943	=669	=076183160800	=False	
=944	=1145	=076183260807	=False	
=945	=672	=076183163566	=False	
=946	=1146	=076183263563	=False	
=947	=674	=076183163573	=False	
=948	=1147	=076183263570	=False	
=949	=670	=076183163634	=False	
=950	=1148	=076183263631	=False	
=951	=671	=076183163740	=False	
=952	=1149	=076183273746	=False	
=953	=673	=076183163788	=False	
=954	=1150	=076183263785	=False	
=955	=702	=076183202012	=False	
=956	=457	=076217011078	=False	
=957	=458	=076217025303	=False	
=958	=455	=076410010045	=False	
=959	=1151	=076410140667	=False	
=960	=505	=076410010113	=False	
=961	=1152	=076410289601	=False	
=962	=437	=076410010410	=False	
=963	=1153	=00076410510415	=False	
=964	=463	=076410010731	=False	
=965	=1154	=00076410510736	=False	
=966	=246	=076410012278	=False	
=967	=1155	=00076410362274	=False	
=968	=228	=076410081809	=False	
=969	=1156	=20076410081803	=False	
=970	=456	=077034009507	=False	
=971	=1157	=077034087505	=False	
=972	=733	=077034009521	=False	
=973	=1158	=10077034089520	=False	
=974	=450	=077034009804	=False	
=975	=730	=077034009842	=False	
=976	=1159	=10077034089841	=False	
=977	=198	=077034009873	=False	
=978	=1160	=077034099225	=False	
=979	=452	=077034009880	=False	
=980	=1161	=077034087314	=False	
=981	=513	=077034089714	=False	
=982	=1162	=10077034089711	=False	
=983	=477	=077034089769	=False	
=984	=731	=077034089790	=False	
=985	=1163	=10077034089797	=False	
=986	=713	=077079007124	=False	
=987	=1164	=0120077079007128	=False	
=988	=453	=077453060684	=False	
=989	=653	=077745291857	=False	
=990	=654	=077745291864	=False	
=991	=655	=077745291871	=False	
=992	=656	=077745291888	=False	
=993	=159	=077782020724	=False	
=994	=113	=077900103254	=False	
=995	=272	=077975021859	=False	
=996	=260	=077975022177	=False	
=997	=1165	=077975082317	=False	
=998	=271	=077975023853	=False	
=999	=45	=078000000955	=False	
=1000	=1166	=078000103168	=False	
=1001	=174	=078000012194	=False	
=1002	=1167	=078000100969	=False	
=1003	=186	=078000052404	=False	
=1004	=178	=078000082401	=False	
=1005	=179	=078000083408	=False	
=1006	=183	=078000113402	=False	
=1007	=175	=078000113426	=False	
=1008	=1168	=078000805000	=False	
=1009	=509	=078000116403	=False	
=1010	=301	=078907450693	=False	
=1011	=1169	=260143$*1252077	=False	
=1012	=353	=078907451164	=False	
=1013	=1170	=079783258724	=False	
=1014	=439	=079783406156	=False	
=1015	=1171	=079783258755	=True	
=1016	=446	=079783406125	=True	
=1017	=1172	=079783258847	=False	
=1018	=438	=079783406200	=False	
=1019	=1173	=080793807659	=False	
=1020	=701	=080793808496	=False	
=1021	=253	=083791001029	=False	
=1022	=264	=083791001036	=False	
=1023	=311	=083791010021	=False	
=1024	=1174	=083791010021	=False	
=1025	=336	=083791010052	=False	
=1026	=1175	=10083791010059	=False	
=1027	=194	=083900005108	=False	
=1028	=385	=085264043703	=False	
=1029	=1176	=085264790027	=False	
=1030	=386	=085264221606	=False	
=1031	=1177	=085264791604	=False	
=1032	=418	=085264272226	=False	
=1033	=399	=085264316401	=False	
=1034	=1178	=085264799228	=False	
=1035	=404	=085264392665	=False	
=1036	=1179	=085264792663	=False	
=1037	=719	=085264435102	=False	
=1038	=398	=085264456107	=False	
=1039	=519	=085264482007	=False	
=1040	=1180	=10085264482011	=False	
=1041	=508	=085264482014	=False	
=1042	=1181	=10085264582025	=False	
=1043	=718	=085264482021	=False	
=1044	=723	=085264614804	=False	
=1045	=1182	=10085264634809	=False	
=1046	=421	=085264900273	=False	
=1047	=63	=086600703503	=False	
=1048	=1183	=10086600703500	=False	
=1049	=68	=086600707778	=False	
=1050	=64	=086600707808	=False	
=1051	=1184	=10086600707805	=True	
=1052	=149	=097488000158	=False	
=1053	=1185	=lot102657	=False	
=1054	=155	=097488000332	=False	
=1055	=1186	=097488004330	=False	
=1056	=147	=097488000363	=False	
=1057	=1187	=097488004361	=False	
=1058	=148	=097488000400	=False	
=1059	=1188	=097488004408	=False	
=1060	=146	=097488000431	=False	
=1061	=1189	=097488004431	=False	
=1062	=153	=097488000561	=False	
=1063	=721	=152888499503	=False	
=1064	=1190	=10652888499529	=False	
=1065	=660	=305730154895	=False	
=1066	=1191	=305730154895	=False	
=1067	=82	=611269991000	=False	
=1068	=224	=638102201010	=False	
=1069	=334	=652888115378	=False	
=1070	=504	=654091331194	=False	
=1071	=1192	=6540913411936	=False	
=1072	=1193	=718122380442	=False	
=1073	=460	=793573781239	=False	
=1074	=715	=720495200951	=False	
=1075	=1194	=10720495430096	=False	
=1076	=263	=720495901261	=False	
=1077	=251	=720495902107	=False	
=1078	=1195	=10720495300498	=False	
=1079	=282	=720495902596	=False	
=1080	=347	=720495903159	=False	
=1081	=1196	=10720495307398	=False	
=1082	=292	=720495990050	=False	
=1083	=1197	=0107204955000890	=False	
=1084	=1198	=759313891606	=False	
=1085	=464	=0762175028589	=False	
=1086	=566	=767796001160	=False	
=1087	=567	=767796001177	=False	
=1088	=568	=767796001184	=False	
=1089	=574	=767796001313	=False	
=1090	=570	=767796001351	=False	
=1091	=571	=767796001405	=False	
=1092	=572	=767796001412	=False	
=1093	=573	=767796001429	=False	
=1094	=575	=767796010117	=False	
=1095	=576	=767796010315	=False	
=1096	=577	=767796010414	=False	
=1097	=578	=767796012159	=False	
=1098	=579	=767796012258	=False	
=1099	=580	=767796012340	=False	
=1100	=581	=767796013408	=False	
=1101	=582	=767796015150	=False	
=1102	=583	=767796015303	=False	
=1103	=584	=767796016409	=False	
=1104	=585	=767796016508	=False	
=1105	=586	=767796016607	=False	
=1106	=587	=767796019202	=False	
