RestockId	DeliveryOrderId	SaleId	MachineId	EffectiveDate	TaxJurisdictionDetailId	TaxCommissionRuleId	ItemId	AllocatedSalesAmountInCents	TaxableAllocatedSalesAmountInCents	TaxableAllocatedNetSalesAmountInCents	TaxBasisInCents	TaxAmountInCents	DepositAmountInCents	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=41	=327	=842	=375	=375	=375	=346.42032	=3.00000	=0	
=16128	[NULL]	[NULL]	=999956	=11/01/2013 00:00:00	=41	=327	=988	=376	=376	=376	=347.34411	=4.00000	=0	
=16129	[NULL]	[NULL]	=1180283	=11/01/2013 00:00:00	=39	=312	=282	=2057	=2060	=2060	=1855.85586	=204.00000	=0	
=16129	[NULL]	[NULL]	=1180283	=11/01/2013 00:00:00	=39	=313	=329	=1828	=1830	=1830	=1678.89908	=151.00000	=0	
=16129	[NULL]	[NULL]	=1180283	=11/01/2013 00:00:00	=39	=313	=423	=1486	=1490	=1490	=1366.97248	=123.00000	=0	
=16129	[NULL]	[NULL]	=1180283	=11/01/2013 00:00:00	=39	=313	=671	=1713	=1715	=1715	=1573.39450	=142.00000	=0	
=16129	[NULL]	[NULL]	=1180283	=11/01/2013 00:00:00	=39	=313	=992	=1485	=1485	=1485	=1362.38532	=122.00000	=0	
=16129	[NULL]	[NULL]	=1180283	=11/01/2013 00:00:00	=39	=313	=996	=4113	=4115	=4115	=3775.22936	=340.00000	=0	
=16129	[NULL]	[NULL]	=1180283	=11/01/2013 00:00:00	=39	=313	=1028	=1828	=1830	=1830	=1678.89908	=151.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=274	=283	=1110	=1110	=1110	=1025.40416	=64.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=274	=286	=2221	=2221	=2221	=2051.73210	=128.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=274	=289	=1111	=1111	=1111	=1026.32794	=64.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=274	=291	=1111	=1111	=1111	=1026.32794	=64.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=330	=1555	=1555	=1555	=1493.39736	=47.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=395	=2221	=2221	=2221	=2133.01321	=66.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=427	=1110	=1110	=1110	=1066.02641	=34.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=455	=777	=777	=777	=746.21849	=23.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=467	=2000	=2000	=2000	=1920.76831	=60.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=498	=2999	=2999	=2999	=2880.19208	=90.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=763	=1111	=1111	=1111	=1066.98679	=33.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=972	=1111	=1111	=1111	=1066.98679	=33.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=26	=275	=1027	=833	=833	=833	=800.00000	=25.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=282	=283	=1110	=1110	=1110	=1025.40416	=10.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=282	=286	=2221	=2221	=2221	=2051.73210	=20.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=282	=289	=1111	=1111	=1111	=1026.32794	=10.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=282	=291	=1111	=1111	=1111	=1026.32794	=11.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=330	=1555	=1555	=1555	=1493.39736	=7.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=395	=2221	=2221	=2221	=2133.01321	=11.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=427	=1110	=1110	=1110	=1066.02641	=6.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=455	=777	=777	=777	=746.21849	=4.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=467	=2000	=2000	=2000	=1920.76831	=10.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=498	=2999	=2999	=2999	=2880.19208	=15.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=763	=1111	=1111	=1111	=1066.98679	=5.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=972	=1111	=1111	=1111	=1066.98679	=5.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=28	=283	=1027	=833	=833	=833	=800.00000	=4.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=327	=283	=1110	=1110	=1110	=1025.40416	=11.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=327	=286	=2221	=2221	=2221	=2051.73210	=21.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=327	=289	=1111	=1111	=1111	=1026.32794	=10.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=327	=291	=1111	=1111	=1111	=1026.32794	=10.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=330	=1555	=1555	=1555	=1493.39736	=8.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=395	=2221	=2221	=2221	=2133.01321	=10.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=427	=1110	=1110	=1110	=1066.02641	=5.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=455	=777	=777	=777	=746.21849	=4.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=467	=2000	=2000	=2000	=1920.76831	=10.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=498	=2999	=2999	=2999	=2880.19208	=14.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=763	=1111	=1111	=1111	=1066.98679	=6.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=972	=1111	=1111	=1111	=1066.98679	=5.00000	=0	
=16137	[NULL]	[NULL]	=1157801	=11/01/2013 00:00:00	=41	=328	=1027	=833	=833	=833	=800.00000	=4.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=26	=274	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=26	=274	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=26	=274	=260	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=26	=274	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=26	=274	=269	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=26	=276	=430	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=28	=282	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=28	=282	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=28	=282	=260	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=28	=282	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=28	=282	=269	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=28	=284	=430	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=41	=327	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=41	=327	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=41	=327	=260	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=41	=327	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=41	=327	=269	=0	=0	=0	=0.00000	=0.00000	=0	
=16143	[NULL]	[NULL]	=999955	=11/04/2013 00:00:00	=41	=329	=430	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=26	=274	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=26	=274	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=26	=275	=765	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=26	=276	=430	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=28	=282	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=28	=282	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=28	=283	=765	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=28	=284	=430	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=41	=327	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=41	=327	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=41	=328	=765	=0	=0	=0	=0.00000	=0.00000	=0	
=16144	[NULL]	[NULL]	=999976	=11/04/2013 00:00:00	=41	=329	=430	=0	=0	=0	=0.00000	=0.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=26	=274	=570	=2482	=2482	=2482	=2292.84065	=143.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=26	=274	=571	=3310	=3310	=3310	=3057.73672	=191.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=26	=276	=458	=2483	=2483	=2483	=2483.00000	=0.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=28	=282	=570	=2482	=2482	=2482	=2292.84065	=23.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=28	=282	=571	=3310	=3310	=3310	=3057.73672	=31.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=28	=284	=458	=2483	=2483	=2483	=2483.00000	=0.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=41	=327	=570	=2482	=2482	=2482	=2292.84065	=23.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=41	=327	=571	=3310	=3310	=3310	=3057.73672	=30.00000	=0	
=16145	[NULL]	[NULL]	=1174961	=11/04/2013 00:00:00	=41	=329	=458	=2483	=2483	=2483	=2483.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=26	=274	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=26	=274	=249	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=26	=274	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=26	=276	=593	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=28	=282	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=28	=282	=249	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=28	=282	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=28	=284	=593	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=41	=327	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=41	=327	=249	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=41	=327	=264	=0	=0	=0	=0.00000	=0.00000	=0	
=16147	[NULL]	[NULL]	=999971	=11/04/2013 00:00:00	=41	=329	=593	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=26	=274	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=26	=274	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=26	=274	=249	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=26	=274	=1023	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=26	=276	=626	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=26	=276	=1025	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=28	=282	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=28	=282	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=28	=282	=249	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=28	=282	=1023	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=28	=284	=626	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=28	=284	=1025	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=41	=327	=247	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=41	=327	=248	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=41	=327	=249	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=41	=327	=1023	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=41	=329	=626	=0	=0	=0	=0.00000	=0.00000	=0	
=16148	[NULL]	[NULL]	=999948	=11/04/2013 00:00:00	=41	=329	=1025	=0	=0	=0	=0.00000	=0.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=26	=274	=247	=576	=576	=576	=532.10162	=34.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=26	=274	=248	=959	=959	=959	=885.91224	=55.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=26	=274	=249	=480	=480	=480	=443.41801	=28.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=26	=274	=253	=96	=96	=96	=88.68360	=6.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=26	=274	=264	=1247	=1247	=1247	=1151.96305	=72.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=26	=274	=272	=383	=383	=383	=353.81062	=22.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=26	=274	=738	=384	=384	=384	=354.73441	=22.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=28	=282	=247	=576	=576	=576	=532.10162	=5.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=28	=282	=248	=959	=959	=959	=885.91224	=9.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=28	=282	=249	=480	=480	=480	=443.41801	=4.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=28	=282	=253	=96	=96	=96	=88.68360	=1.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=28	=282	=264	=1247	=1247	=1247	=1151.96305	=11.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=28	=282	=272	=383	=383	=383	=353.81062	=4.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=28	=282	=738	=384	=384	=384	=354.73441	=4.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=41	=327	=247	=576	=576	=576	=532.10162	=5.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=41	=327	=248	=959	=959	=959	=885.91224	=8.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=41	=327	=249	=480	=480	=480	=443.41801	=5.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=41	=327	=253	=96	=96	=96	=88.68360	=1.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=41	=327	=264	=1247	=1247	=1247	=1151.96305	=12.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=41	=327	=272	=383	=383	=383	=353.81062	=4.00000	=0	
=16151	[NULL]	[NULL]	=999989	=11/04/2013 00:00:00	=41	=327	=738	=384	=384	=384	=354.73441	=3.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=274	=249	=1670	=1670	=1670	=1542.72517	=96.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=274	=252	=2148	=2148	=2148	=1984.29561	=124.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=274	=253	=637	=637	=637	=588.45266	=37.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=274	=254	=1591	=1591	=1591	=1469.74596	=92.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=274	=259	=1034	=1034	=1034	=955.19630	=60.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=274	=572	=1458	=1458	=1458	=1346.88222	=84.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=274	=577	=2784	=2784	=2784	=2571.82448	=161.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=274	=856	=636	=636	=636	=587.52887	=36.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=26	=276	=593	=742	=742	=742	=742.00000	=0.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=282	=249	=1670	=1670	=1670	=1542.72517	=15.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=282	=252	=2148	=2148	=2148	=1984.29561	=20.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=282	=253	=637	=637	=637	=588.45266	=6.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=282	=254	=1591	=1591	=1591	=1469.74596	=14.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=282	=259	=1034	=1034	=1034	=955.19630	=10.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=282	=572	=1458	=1458	=1458	=1346.88222	=13.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=282	=577	=2784	=2784	=2784	=2571.82448	=26.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=282	=856	=636	=636	=636	=587.52887	=6.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=28	=284	=593	=742	=742	=742	=742.00000	=0.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=41	=327	=249	=1670	=1670	=1670	=1542.72517	=16.00000	=0	
=16153	[NULL]	[NULL]	=999966	=11/04/2013 00:00:00	=41	=327	=252	=2148	=2148	=2148	=1984.29561	=20.00000	=0	
