Id	ScheduleId	MachineId	DriverUserId	Deleted	UserSelected	CurrentSalesAmount	ProjectedSalesAmount	CurrentDepletedQuantity	ProjectedDepletedQuantity	CurrentDaysToMaxInterval	ProjectedDaysToMaxInterval	CurrentSalesQuantity	ProjectedSalesQuantity	DaysToService	DaysToServiceFromRestock	LeadMachineDaysToServiceFromRestock	CashTriggered	DepletionTriggered	ServiceIntervalTriggered	LeadMachineTriggered	LeadMachineId	SaleQuantityLimitTriggered	IsInventoryNeeded	ScheduleType	DynamicDepletionType	DynamicDepletionLimit	DynamicMaxAmount	DynamicMaxServiceIntervalInDays	DynamicSaleQuantityLimit	DynamicSaleQuantityLimitCoilName	StaticMaxServiceIntervalInDays	StaticMaxServiceIntervalFlexibilityInDays	BackForecasted	NextWeeklyScheduleDate	LastRestockDateTime	MovedFromScheduleMachineId	MoveToNextSchedule	UpdatedBy	UpdatedDateTime	CreatedBy	IsCollectionNeeded	
=12320	=5348	=21	[NULL]	=False	=True	=79.3000	=79.3000	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 10:08:00	[NULL]	=False	=broman@tmcc.edu	=01/14/2014 09:40:40	=broman@tmcc.edu	=True	
=12321	=5348	=45	[NULL]	=False	=True	=86.8000	=86.8000	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/18/2013 10:03:00	[NULL]	=False	=broman@tmcc.edu	=01/14/2014 09:40:40	=broman@tmcc.edu	=True	
=12322	=5348	=19	[NULL]	=True	=True	=62.1400	=62.1400	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=200	=3	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/08/2014 10:26:00	[NULL]	=False	=broman@tmcc.edu	=01/14/2014 09:40:40	=broman@tmcc.edu	=True	
=12323	=5349	=36	[NULL]	=True	=True	=38.4500	=38.4500	=1	=1	=9	=9	[NULL]	[NULL]	=7	=7	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 09:46:00	[NULL]	=False	=broman@tmcc.edu	=01/14/2014 09:41:17	=broman@tmcc.edu	=True	
=12324	=5349	=37	[NULL]	=False	=True	=47.5000	=47.5000	=5	=5	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=1	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=11/27/2013 11:02:00	[NULL]	=False	=broman@tmcc.edu	=01/14/2014 09:41:17	=broman@tmcc.edu	=True	
=12325	=5350	=16	[NULL]	=False	=True	=72.5000	=72.5000	=2	=2	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=1	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/10/2013 11:27:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12326	=5350	=41	[NULL]	=False	=True	=58.4000	=58.4000	=2	=2	=16	=16	[NULL]	[NULL]	=2	=2	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 10:03:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12327	=5351	=1	[NULL]	=False	=True	=95.6000	=95.6000	=2	=2	=9	=9	[NULL]	[NULL]	=2	=2	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 11:04:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12328	=5351	=5	[NULL]	=False	=True	=50.6500	=50.6500	=2	=2	=16	=16	[NULL]	[NULL]	=1	=1	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 11:22:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12329	=5351	=6	[NULL]	=False	=True	=60.1500	=60.1500	=1	=1	=10	=10	[NULL]	[NULL]	=3	=3	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/10/2014 12:38:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12330	=5351	=7	[NULL]	=False	=True	=109.0000	=109.0000	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=2	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/24/2013 10:10:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12331	=5351	=9	[NULL]	=False	=True	=63.3000	=63.3000	=2	=2	=8	=8	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=2	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/08/2014 11:29:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12332	=5352	=28	[NULL]	=False	=True	=132.0000	=132.0000	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=1	=200	=7	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/17/2013 12:39:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12333	=5353	=18	[NULL]	=False	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=2	=2	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/17/2014 00:00:00	=01/10/2014 09:00:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12334	=5353	=19	[NULL]	=False	=True	=81.1900	=81.1900	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=200	=3	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/08/2014 10:26:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12335	=5354	=31	[NULL]	=False	=True	=51.1500	=51.1500	=0	=0	=7	=7	[NULL]	[NULL]	=3	=3	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/08/2014 11:40:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12336	=5355	=25	[NULL]	=False	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/15/2014 00:00:00	=12/17/2013 12:40:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12337	=5355	=26	[NULL]	=False	=True	=48.9500	=48.9500	=2	=2	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=3	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/10/2014 12:28:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12338	=5355	=27	[NULL]	=False	=True	=66.5000	=66.5000	=6	=6	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 15:52:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12339	=5355	=29	[NULL]	=False	=True	=66.0900	=66.0900	=0	=0	=8	=8	[NULL]	[NULL]	=3	=3	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 12:29:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12340	=5355	=43	[NULL]	=False	=True	=55.5500	=55.5500	=2	=2	=8	=8	[NULL]	[NULL]	=1	=1	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 12:17:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12341	=5357	=1	[NULL]	=False	=True	=47.7500	=47.7500	=1	=1	=13	=13	[NULL]	[NULL]	=1	=1	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/14/2014 12:05:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12342	=5357	=3	[NULL]	=False	=True	=66.2500	=66.2500	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=1	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/16/2013 13:23:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12343	=5357	=11	[NULL]	=False	=True	=57.9900	=57.9900	=7	=7	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=False	=Dynamic	=Item	=4	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/11/2013 13:01:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12344	=5358	=55	[NULL]	=False	=True	=56.5000	=56.5000	=1	=1	=0	=0	[NULL]	[NULL]	=0	=0	[NULL]	=False	=True	=True	=False	[NULL]	=False	=True	=Dynamic	=Item	=1	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=12/09/2013 10:24:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12345	=5358	=44	[NULL]	=False	=True	=57.9000	=57.9000	=2	=2	=18	=18	[NULL]	[NULL]	=4	=4	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/13/2014 11:48:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12346	=5359	=36	[NULL]	=False	=True	=58.0500	=58.0500	=0	=0	=7	=7	[NULL]	[NULL]	=7	=7	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/09/2014 09:46:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12347	=5361	=1	[NULL]	=False	=True	=19.0500	=19.0500	=0	=0	=13	=13	[NULL]	[NULL]	=4	=4	[NULL]	=False	=False	=False	=False	[NULL]	=False	=False	=Dynamic	=Item	=3	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/15/2014 13:03:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
=12348	=5361	=2	[NULL]	=True	=True	=0.0000	=0.0000	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Static	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=True	=01/16/2014 00:00:00	=01/09/2014 11:00:00	[NULL]	=False	=broman@tmcc.edu	=01/16/2014 15:53:44	=broman@tmcc.edu	=True	
=12349	=5361	=5	[NULL]	=False	=True	=41.5000	=41.5000	=2	=2	=19	=19	[NULL]	[NULL]	=4	=4	[NULL]	=False	=False	=False	=False	[NULL]	=False	=True	=Dynamic	=Item	=3	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	=False	[NULL]	=01/14/2014 13:24:00	[NULL]	=False	[NULL]	[NULL]	=broman@tmcc.edu	=True	
