Id	ScheduleId	MachineId	ItemId	CoilName	CurrentInventoryLevel	DepletionType	CreatedBy	
=320	=2387	=1150806	=719	=B0	=0	=C	=test@test.com	
=321	=2387	=1150806	=719	=B4	=0	=C	=test@test.com	
=322	=2387	=1150806	=507	=B8	=0	=C	=test@test.com	
=323	=2387	=1150806	=625	=E6	=1	=C	=test@test.com	
=324	=2387	=1150806	=635	=E8	=0	=C	=test@test.com	
=325	=2387	=1151863	=586	=	=0	=U	=test@test.com	
=326	=2387	=1157681	=330	=	=1	=U	=test@test.com	
=327	=2387	=1157681	=382	=	=1	=U	=test@test.com	
=328	=2387	=1157681	=395	=	=0	=U	=test@test.com	
=329	=2387	=1157681	=569	=	=1	=U	=test@test.com	
=330	=2387	=1174711	=350	=	=0	=U	=test@test.com	
=331	=2387	=1174711	=382	=	=0	=U	=test@test.com	
=332	=2387	=1174711	=527	=	=0	=U	=test@test.com	
=333	=2387	=1174711	=745	=	=0	=U	=test@test.com	
=334	=2387	=1174711	=899	=	=0	=U	=test@test.com	
=335	=2387	=1174752	=347	=108	=0	=C	=test@test.com	
=336	=2387	=1174752	=594	=110	=0	=C	=test@test.com	
=337	=2387	=1174752	=316	=118	=0	=C	=test@test.com	
=338	=2387	=1174752	=930	=150	=0	=C	=test@test.com	
=339	=2387	=1174771	=319	=	=0	=U	=test@test.com	
=340	=2387	=1174771	=763	=	=0	=U	=test@test.com	
=341	=2387	=1174771	=972	=	=0	=U	=test@test.com	
=342	=2387	=1174955	=527	=	=0	=U	=test@test.com	
=343	=2387	=1192844	=714	=	=2	=U	=test@test.com	
=344	=2387	=1192844	=715	=	=1	=U	=test@test.com	
=345	=2387	=1192845	=570	=1	=0	=C	=test@test.com	
=346	=2387	=1192845	=707	=3	=4	=C	=test@test.com	
=347	=2387	=1192845	=714	=4	=0	=C	=test@test.com	
=348	=2387	=1192845	=918	=6	=2	=C	=test@test.com	
=349	=2387	=1192845	=348	=8	=0	=C	=test@test.com	
=350	=2387	=1192850	=248	=	=0	=U	=test@test.com	
=351	=2387	=1192850	=705	=	=0	=U	=test@test.com	
=352	=2387	=1192850	=766	=	=0	=U	=test@test.com	
=353	=2387	=1192851	=835	=104	=0	=C	=test@test.com	
=354	=2387	=1192851	=867	=108	=0	=C	=test@test.com	
=355	=2387	=1192851	=868	=109	=0	=C	=test@test.com	
=356	=2387	=1192851	=869	=110	=0	=C	=test@test.com	
=357	=2387	=1192851	=912	=111	=0	=C	=test@test.com	
=358	=2387	=1192851	=940	=16	=0	=C	=test@test.com	
=359	=2387	=1192851	=942	=17	=0	=C	=test@test.com	
=360	=2387	=1192851	=791	=20	=0	=C	=test@test.com	
=361	=2387	=1192851	=794	=23	=0	=C	=test@test.com	
=362	=2387	=1192851	=900	=26	=0	=C	=test@test.com	
=363	=2387	=1192851	=978	=3	=0	=C	=test@test.com	
=364	=2387	=1192851	=849	=30	=0	=C	=test@test.com	
=365	=2387	=1192851	=886	=31	=0	=C	=test@test.com	
=366	=2387	=1192851	=936	=33	=0	=C	=test@test.com	
=367	=2387	=1192851	=850	=35	=0	=C	=test@test.com	
=368	=2387	=1192851	=908	=36	=0	=C	=test@test.com	
=369	=2387	=1192851	=799	=37	=0	=C	=test@test.com	
=370	=2387	=1192851	=800	=38	=0	=C	=test@test.com	
=371	=2387	=1192851	=952	=40	=0	=C	=test@test.com	
=372	=2387	=1192851	=944	=41	=0	=C	=test@test.com	
=373	=2387	=1192851	=948	=43	=0	=C	=test@test.com	
=374	=2387	=1192851	=947	=45	=0	=C	=test@test.com	
=375	=2387	=1192851	=955	=46	=0	=C	=test@test.com	
=376	=2387	=1192851	=977	=48	=0	=C	=test@test.com	
=377	=2387	=1192851	=801	=49	=0	=C	=test@test.com	
=378	=2387	=1192851	=909	=50	=0	=C	=test@test.com	
=379	=2387	=1192851	=802	=51	=0	=C	=test@test.com	
=380	=2387	=1192851	=895	=52	=0	=C	=test@test.com	
=381	=2387	=1192851	=933	=53	=0	=C	=test@test.com	
=382	=2387	=1192851	=873	=54	=1	=C	=test@test.com	
=383	=2387	=1192851	=883	=56	=0	=C	=test@test.com	
=384	=2387	=1192851	=937	=57	=0	=C	=test@test.com	
=385	=2387	=1192851	=921	=58	=0	=C	=test@test.com	
=386	=2387	=1192851	=903	=62	=0	=C	=test@test.com	
=387	=2387	=1192851	=932	=63	=0	=C	=test@test.com	
=388	=2387	=1192851	=874	=64	=0	=C	=test@test.com	
=389	=2387	=1192851	=938	=66	=0	=C	=test@test.com	
=390	=2387	=1192851	=523	=7	=0	=C	=test@test.com	
=391	=2387	=1192851	=965	=73	=0	=C	=test@test.com	
=392	=2387	=1192851	=964	=74	=0	=C	=test@test.com	
=393	=2387	=1192851	=963	=76	=0	=C	=test@test.com	
=394	=2387	=1192851	=808	=78	=0	=C	=test@test.com	
=395	=2387	=1192851	=811	=80	=0	=C	=test@test.com	
=396	=2387	=1192851	=881	=81	=0	=C	=test@test.com	
=397	=2387	=1192851	=812	=82	=0	=C	=test@test.com	
=398	=2387	=1192851	=813	=83	=0	=C	=test@test.com	
=399	=2387	=1192851	=817	=84	=0	=C	=test@test.com	
=400	=2387	=1192851	=917	=87	=0	=C	=test@test.com	
=401	=2387	=1192851	=841	=9	=0	=C	=test@test.com	
=402	=2387	=1192851	=829	=98	=0	=C	=test@test.com	
=403	=2387	=1192851	=830	=99	=0	=C	=test@test.com	
=404	=2387	=1192852	=411	=	=0	=U	=test@test.com	
=405	=2387	=1192852	=420	=	=0	=U	=test@test.com	
=406	=2387	=1192852	=455	=	=0	=U	=test@test.com	
=407	=2387	=1192852	=525	=	=0	=U	=test@test.com	
=408	=2387	=1192852	=558	=	=0	=U	=test@test.com	
=409	=2387	=1192852	=872	=	=0	=U	=test@test.com	
=410	=2387	=1192852	=905	=	=0	=U	=test@test.com	
