Id	TaxJurisdictionId	Name	Description	TaxJurisdictionLevelId	ParentTaxJurisdictionId	RoundingRuleType	MinTaxableItemPriceInCents	DepositIsTaxable	HasDirectSaleRule	CreatedBy	IsRecenetCreatedDateTime	
=23	=4	=3 Harris County - MTA	=Harris County	=5	[NULL]	=N1C	[NULL]	=False	=False	=sema.tereshonok@cantaloupesys.com	=False	
=24	=5	=6 Next County to add	[NULL]	=3	[NULL]	=N1C	[NULL]	=False	=False	=sema.tereshonok@cantaloupesys.com	=False	
=25	=7	=2 Harris County	=Harris County	=3	[NULL]	=N1C	[NULL]	=False	=False	=sema.tereshonok@cantaloupesys.com	=False	
=26	=3	=1 State of TX	[NULL]	=1	[NULL]	=N1C	[NULL]	=False	=False	=sema.tereshonok@cantaloupesys.com	=False	
=27	=7	=2 Harris County	=Harris County	=2	[NULL]	=N1C	[NULL]	=False	=False	=sema.tereshonok@cantaloupesys.com	=False	
=28	=7	=2 Harris County	=Harris County	=2	=3	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=29	=4	=3 Harris County - MTA	=Harris County	=4	=7	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=30	=4	=3 Harris County - MTA	=Harris County	=3	=7	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=31	=8	=4	[NULL]	=4	=4	[NULL]	[NULL]	[NULL]	=True	=sema.tereshonok@cantaloupesys.com	=False	
=32	=9	=5	[NULL]	=5	=8	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=33	=5	=6 Next County to add	[NULL]	=2	=3	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=34	=10	=7	[NULL]	=3	=5	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=35	=11	=8	[NULL]	=4	=10	[NULL]	[NULL]	[NULL]	=True	=sema.tereshonok@cantaloupesys.com	=False	
=36	=12	=9	[NULL]	=5	=11	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=37	=13	=Up to nearest cent	[NULL]	=2	[NULL]	=U1C	[NULL]	=False	=True	=sema.tereshonok@cantaloupesys.com	=False	
=38	=14	=Nearest 5 cent	[NULL]	=3	[NULL]	=N5C	[NULL]	=False	=False	=sema.tereshonok@cantaloupesys.com	=False	
=39	=15	=Up to nearest 5 cent	[NULL]	=4	[NULL]	=U5C	[NULL]	=True	=False	=sema.tereshonok@cantaloupesys.com	=False	
=40	=16	=10	[NULL]	=4	=4	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=41	=4	=3 Harris County - MTA	=Harris County	=3	=7	[NULL]	[NULL]	[NULL]	=False	=sema.tereshonok@cantaloupesys.com	=False	
=42	=17	=22	=22	=2	[NULL]	=N1C	[NULL]	=False	=False	=alexey.matvienko@cantaloupesys.com	=False	
=43	=18	=33	=33	=3	=17	[NULL]	[NULL]	[NULL]	=False	=alexey.matvienko@cantaloupesys.com	=False	
=44	=17	=22	=22	=2	=3	[NULL]	[NULL]	[NULL]	=False	=test@test.com	=True	
