Id	ScheduleId	MachineId	ItemId	CoilName	CurrentInventoryLevel	DepletionType	CreatedBy	
=197	=2387	=1174711	=745	=	=0	=U	=test@test.com	
=198	=2387	=1174711	=899	=	=0	=U	=test@test.com	
=199	=2387	=1174752	=347	=108	=0	=C	=test@test.com	
=200	=2387	=1174752	=594	=110	=0	=C	=test@test.com	
=201	=2387	=1174752	=316	=118	=0	=C	=test@test.com	
=202	=2387	=1174752	=930	=150	=0	=C	=test@test.com	
=203	=2387	=1174771	=319	=	=0	=U	=test@test.com	
=204	=2387	=1174771	=763	=	=0	=U	=test@test.com	
=205	=2387	=1174771	=972	=	=0	=U	=test@test.com	
=206	=2387	=1174955	=527	=	=0	=U	=test@test.com	
=207	=2387	=1192844	=714	=	=2	=U	=test@test.com	
=208	=2387	=1192844	=715	=	=1	=U	=test@test.com	
=209	=2387	=1192845	=570	=1	=0	=C	=test@test.com	
=210	=2387	=1192845	=707	=3	=4	=C	=test@test.com	
=211	=2387	=1192845	=714	=4	=0	=C	=test@test.com	
=212	=2387	=1192845	=918	=6	=2	=C	=test@test.com	
=213	=2387	=1192845	=348	=8	=0	=C	=test@test.com	
=214	=2387	=1192850	=248	=	=0	=U	=test@test.com	
=215	=2387	=1192850	=705	=	=0	=U	=test@test.com	
=216	=2387	=1192850	=766	=	=0	=U	=test@test.com	
=217	=2387	=1192851	=835	=104	=0	=C	=test@test.com	
=218	=2387	=1192851	=867	=108	=0	=C	=test@test.com	
=219	=2387	=1192851	=868	=109	=0	=C	=test@test.com	
=220	=2387	=1192851	=869	=110	=0	=C	=test@test.com	
=221	=2387	=1192851	=912	=111	=0	=C	=test@test.com	
=222	=2387	=1192851	=940	=16	=0	=C	=test@test.com	
=223	=2387	=1192851	=942	=17	=0	=C	=test@test.com	
=224	=2387	=1192851	=791	=20	=0	=C	=test@test.com	
=225	=2387	=1192851	=794	=23	=0	=C	=test@test.com	
=226	=2387	=1192851	=900	=26	=0	=C	=test@test.com	
=227	=2387	=1192851	=978	=3	=0	=C	=test@test.com	
=228	=2387	=1192851	=849	=30	=0	=C	=test@test.com	
=229	=2387	=1192851	=886	=31	=0	=C	=test@test.com	
=230	=2387	=1192851	=936	=33	=0	=C	=test@test.com	
=231	=2387	=1192851	=850	=35	=0	=C	=test@test.com	
=232	=2387	=1192851	=908	=36	=0	=C	=test@test.com	
=233	=2387	=1192851	=799	=37	=0	=C	=test@test.com	
=234	=2387	=1192851	=800	=38	=0	=C	=test@test.com	
=235	=2387	=1192851	=952	=40	=0	=C	=test@test.com	
=236	=2387	=1192851	=944	=41	=0	=C	=test@test.com	
=237	=2387	=1192851	=948	=43	=0	=C	=test@test.com	
=238	=2387	=1192851	=947	=45	=0	=C	=test@test.com	
=239	=2387	=1192851	=955	=46	=0	=C	=test@test.com	
=240	=2387	=1192851	=977	=48	=0	=C	=test@test.com	
=241	=2387	=1192851	=801	=49	=0	=C	=test@test.com	
=242	=2387	=1192851	=909	=50	=0	=C	=test@test.com	
=243	=2387	=1192851	=802	=51	=0	=C	=test@test.com	
=244	=2387	=1192851	=895	=52	=0	=C	=test@test.com	
=245	=2387	=1192851	=933	=53	=0	=C	=test@test.com	
=246	=2387	=1192851	=873	=54	=1	=C	=test@test.com	
=247	=2387	=1192851	=883	=56	=0	=C	=test@test.com	
=248	=2387	=1192851	=937	=57	=0	=C	=test@test.com	
=249	=2387	=1192851	=921	=58	=0	=C	=test@test.com	
=250	=2387	=1192851	=903	=62	=0	=C	=test@test.com	
=251	=2387	=1192851	=932	=63	=0	=C	=test@test.com	
=252	=2387	=1192851	=874	=64	=0	=C	=test@test.com	
=253	=2387	=1192851	=938	=66	=0	=C	=test@test.com	
=254	=2387	=1192851	=523	=7	=0	=C	=test@test.com	
=255	=2387	=1192851	=965	=73	=0	=C	=test@test.com	
=256	=2387	=1192851	=964	=74	=0	=C	=test@test.com	
=257	=2387	=1192851	=963	=76	=0	=C	=test@test.com	
=258	=2387	=1192851	=808	=78	=0	=C	=test@test.com	
=259	=2387	=1192851	=811	=80	=0	=C	=test@test.com	
=260	=2387	=1192851	=881	=81	=0	=C	=test@test.com	
=261	=2387	=1192851	=812	=82	=0	=C	=test@test.com	
=262	=2387	=1192851	=813	=83	=0	=C	=test@test.com	
=263	=2387	=1192851	=817	=84	=0	=C	=test@test.com	
=264	=2387	=1192851	=917	=87	=0	=C	=test@test.com	
=265	=2387	=1192851	=841	=9	=0	=C	=test@test.com	
=266	=2387	=1192851	=829	=98	=0	=C	=test@test.com	
=267	=2387	=1192851	=830	=99	=0	=C	=test@test.com	
=268	=2387	=1192852	=411	=	=0	=U	=test@test.com	
=269	=2387	=1192852	=420	=	=0	=U	=test@test.com	
=270	=2387	=1192852	=455	=	=0	=U	=test@test.com	
=271	=2387	=1192852	=525	=	=0	=U	=test@test.com	
=272	=2387	=1192852	=558	=	=0	=U	=test@test.com	
=273	=2387	=1192852	=872	=	=0	=U	=test@test.com	
=274	=2387	=1192852	=905	=	=0	=U	=test@test.com	
=412	=2388	=999958	=572	=	=0	=U	=test@test.com	
=413	=2388	=999967	=248	=	=0	=U	=test@test.com	
=414	=2388	=999994	=264	=	=0	=U	=test@test.com	
=415	=2388	=1011865	=409	=	=0	=U	=test@test.com	
=416	=2388	=1014434	=375	=	=1	=U	=test@test.com	
=417	=2388	=1014434	=377	=	=0	=U	=test@test.com	
=418	=2388	=1014434	=395	=	=0	=U	=test@test.com	
=419	=2388	=1014434	=480	=	=1	=U	=test@test.com	
=420	=2388	=1014434	=604	=	=0	=U	=test@test.com	
=421	=2388	=1027659	=330	=15	=1	=C	=test@test.com	
=422	=2388	=1027659	=309	=17	=0	=C	=test@test.com	
=423	=2388	=1027659	=678	=5	=0	=C	=test@test.com	
=424	=2388	=1027917	=558	=B3	=0	=C	=test@test.com	
=425	=2388	=1028312	=260	=	=4	=U	=test@test.com	
=426	=2388	=1037190	=528	=106	=0	=C	=test@test.com	
=427	=2388	=1037190	=324	=112	=0	=C	=test@test.com	
=428	=2388	=1037190	=972	=154	=0	=C	=test@test.com	
=429	=2388	=1037478	=480	=A3	=0	=C	=test@test.com	
=430	=2388	=1037478	=330	=C1	=0	=C	=test@test.com	
=431	=2388	=1037478	=456	=C3	=0	=C	=test@test.com	
=432	=2388	=1037478	=899	=E8	=0	=C	=test@test.com	
=433	=2388	=1037478	=763	=F1	=0	=C	=test@test.com	
=434	=2388	=1037528	=383	=	=0	=U	=test@test.com	
=435	=2388	=1037528	=527	=	=0	=U	=test@test.com	
=436	=2388	=1037528	=543	=	=0	=U	=test@test.com	
=437	=2388	=1037528	=637	=	=0	=U	=test@test.com	
=438	=2388	=1037535	=754	=C4	=0	=C	=test@test.com	
=439	=2388	=1047404	=383	=	=0	=U	=test@test.com	
=440	=2388	=1047404	=395	=	=0	=U	=test@test.com	
=441	=2388	=1047404	=397	=	=0	=U	=test@test.com	
=442	=2388	=1047404	=543	=	=0	=U	=test@test.com	
=443	=2388	=1047404	=752	=	=0	=U	=test@test.com	
=444	=2388	=1047478	=356	=	=0	=U	=test@test.com	
=445	=2388	=1047478	=527	=	=0	=U	=test@test.com	
=446	=2388	=1047478	=745	=	=0	=U	=test@test.com	
=447	=2388	=1047478	=899	=	=0	=U	=test@test.com	
=448	=2388	=1047478	=972	=	=0	=U	=test@test.com	
=449	=2388	=1047479	=467	=	=0	=U	=test@test.com	
=450	=2388	=1047479	=527	=	=0	=U	=test@test.com	
=451	=2388	=1047479	=528	=	=0	=U	=test@test.com	
=452	=2388	=1047479	=972	=	=0	=U	=test@test.com	
=453	=2388	=1047479	=981	=	=1	=U	=test@test.com	
=454	=2388	=1114518	=249	=5	=7	=C	=test@test.com	
=455	=2388	=1150578	=330	=C5	=0	=C	=test@test.com	
=456	=2388	=1150806	=588	=A0	=0	=C	=test@test.com	
=457	=2388	=1150806	=586	=A8	=0	=C	=test@test.com	
=458	=2388	=1150806	=719	=B0	=0	=C	=test@test.com	
=459	=2388	=1150806	=719	=B4	=0	=C	=test@test.com	
=460	=2388	=1150806	=507	=B8	=0	=C	=test@test.com	
=461	=2388	=1150806	=625	=E6	=1	=C	=test@test.com	
=462	=2388	=1150806	=635	=E8	=0	=C	=test@test.com	
=463	=2388	=1151863	=586	=	=0	=U	=test@test.com	
=464	=2388	=1157681	=330	=	=1	=U	=test@test.com	
=465	=2388	=1157681	=382	=	=1	=U	=test@test.com	
=466	=2388	=1157681	=395	=	=0	=U	=test@test.com	
=467	=2388	=1157681	=569	=	=1	=U	=test@test.com	
=468	=2388	=1174711	=350	=	=0	=U	=test@test.com	
=469	=2388	=1174711	=382	=	=0	=U	=test@test.com	
=470	=2388	=1174711	=527	=	=0	=U	=test@test.com	
=471	=2388	=1174711	=745	=	=0	=U	=test@test.com	
=472	=2388	=1174711	=899	=	=0	=U	=test@test.com	
=473	=2388	=1174752	=347	=108	=0	=C	=test@test.com	
=474	=2388	=1174752	=594	=110	=0	=C	=test@test.com	
=475	=2388	=1174752	=316	=118	=0	=C	=test@test.com	
=476	=2388	=1174752	=930	=150	=0	=C	=test@test.com	
=477	=2388	=1174771	=319	=	=0	=U	=test@test.com	
=478	=2388	=1174771	=763	=	=0	=U	=test@test.com	
=479	=2388	=1174771	=972	=	=0	=U	=test@test.com	
=480	=2388	=1174955	=527	=	=0	=U	=test@test.com	
=481	=2388	=1192844	=714	=	=2	=U	=test@test.com	
=482	=2388	=1192844	=715	=	=1	=U	=test@test.com	
=483	=2388	=1192845	=570	=1	=0	=C	=test@test.com	
=484	=2388	=1192845	=707	=3	=4	=C	=test@test.com	
=485	=2388	=1192845	=714	=4	=0	=C	=test@test.com	
=486	=2388	=1192845	=918	=6	=2	=C	=test@test.com	
=487	=2388	=1192845	=348	=8	=0	=C	=test@test.com	
=488	=2388	=1192850	=248	=	=0	=U	=test@test.com	
=489	=2388	=1192850	=705	=	=0	=U	=test@test.com	
=490	=2388	=1192850	=766	=	=0	=U	=test@test.com	
=491	=2388	=1192851	=835	=104	=0	=C	=test@test.com	
=492	=2388	=1192851	=867	=108	=0	=C	=test@test.com	
=493	=2388	=1192851	=868	=109	=0	=C	=test@test.com	
=494	=2388	=1192851	=869	=110	=0	=C	=test@test.com	
=495	=2388	=1192851	=912	=111	=0	=C	=test@test.com	
=496	=2388	=1192851	=940	=16	=0	=C	=test@test.com	
=497	=2388	=1192851	=942	=17	=0	=C	=test@test.com	
=498	=2388	=1192851	=791	=20	=0	=C	=test@test.com	
=499	=2388	=1192851	=794	=23	=0	=C	=test@test.com	
=500	=2388	=1192851	=900	=26	=0	=C	=test@test.com	
=501	=2388	=1192851	=978	=3	=0	=C	=test@test.com	
=502	=2388	=1192851	=849	=30	=0	=C	=test@test.com	
=503	=2388	=1192851	=886	=31	=0	=C	=test@test.com	
=504	=2388	=1192851	=936	=33	=0	=C	=test@test.com	
=505	=2388	=1192851	=850	=35	=0	=C	=test@test.com	
=506	=2388	=1192851	=908	=36	=0	=C	=test@test.com	
=507	=2388	=1192851	=799	=37	=0	=C	=test@test.com	
=508	=2388	=1192851	=800	=38	=0	=C	=test@test.com	
=509	=2388	=1192851	=952	=40	=0	=C	=test@test.com	
=510	=2388	=1192851	=944	=41	=0	=C	=test@test.com	
=511	=2388	=1192851	=948	=43	=0	=C	=test@test.com	
=512	=2388	=1192851	=947	=45	=0	=C	=test@test.com	
=513	=2388	=1192851	=955	=46	=0	=C	=test@test.com	
=514	=2388	=1192851	=977	=48	=0	=C	=test@test.com	
=515	=2388	=1192851	=801	=49	=0	=C	=test@test.com	
=516	=2388	=1192851	=909	=50	=0	=C	=test@test.com	
=517	=2388	=1192851	=802	=51	=0	=C	=test@test.com	
=518	=2388	=1192851	=895	=52	=0	=C	=test@test.com	
=519	=2388	=1192851	=933	=53	=0	=C	=test@test.com	
=520	=2388	=1192851	=873	=54	=1	=C	=test@test.com	
=521	=2388	=1192851	=883	=56	=0	=C	=test@test.com	
=522	=2388	=1192851	=937	=57	=0	=C	=test@test.com	
=523	=2388	=1192851	=921	=58	=0	=C	=test@test.com	
=524	=2388	=1192851	=903	=62	=0	=C	=test@test.com	
=525	=2388	=1192851	=932	=63	=0	=C	=test@test.com	
=526	=2388	=1192851	=874	=64	=0	=C	=test@test.com	
=527	=2388	=1192851	=938	=66	=0	=C	=test@test.com	
=528	=2388	=1192851	=523	=7	=0	=C	=test@test.com	
=529	=2388	=1192851	=965	=73	=0	=C	=test@test.com	
=530	=2388	=1192851	=964	=74	=0	=C	=test@test.com	
=531	=2388	=1192851	=963	=76	=0	=C	=test@test.com	
=532	=2388	=1192851	=808	=78	=0	=C	=test@test.com	
=533	=2388	=1192851	=811	=80	=0	=C	=test@test.com	
=534	=2388	=1192851	=881	=81	=0	=C	=test@test.com	
=535	=2388	=1192851	=812	=82	=0	=C	=test@test.com	
=536	=2388	=1192851	=813	=83	=0	=C	=test@test.com	
=537	=2388	=1192851	=817	=84	=0	=C	=test@test.com	
=538	=2388	=1192851	=917	=87	=0	=C	=test@test.com	
=539	=2388	=1192851	=841	=9	=0	=C	=test@test.com	
=540	=2388	=1192851	=829	=98	=0	=C	=test@test.com	
=541	=2388	=1192851	=830	=99	=0	=C	=test@test.com	
=542	=2388	=1192852	=411	=	=0	=U	=test@test.com	
=543	=2388	=1192852	=420	=	=0	=U	=test@test.com	
=544	=2388	=1192852	=455	=	=0	=U	=test@test.com	
=545	=2388	=1192852	=525	=	=0	=U	=test@test.com	
=546	=2388	=1192852	=558	=	=0	=U	=test@test.com	
=547	=2388	=1192852	=872	=	=0	=U	=test@test.com	
=548	=2388	=1192852	=905	=	=0	=U	=test@test.com	
=581	=2389	=999955	=430	=	=99	=U	=test@test.com	
=582	=2389	=999971	=593	=	=65	=U	=test@test.com	
=583	=2389	=999976	=430	=	=43	=U	=test@test.com	
=584	=2389	=999985	=974	=	=0	=U	=test@test.com	
=585	=2389	=999986	=594	=	=1	=U	=test@test.com	
=586	=2389	=999986	=619	=	=0	=U	=test@test.com	
=587	=2389	=1014674	=397	=	=1	=U	=test@test.com	
=588	=2389	=1014674	=972	=	=0	=U	=test@test.com	
=589	=2389	=1142325	=527	=112	=1	=C	=test@test.com	
=590	=2389	=1146952	=409	=	=0	=U	=test@test.com	
=591	=2389	=1146952	=972	=	=0	=U	=test@test.com	
=592	=2389	=1146952	=1073	=	=0	=U	=test@test.com	
=593	=2389	=1151861	=249	=	=1	=U	=test@test.com	
=594	=2389	=1157751	=980	=A9	=5	=C	=test@test.com	
=595	=2389	=1157751	=318	=B9	=3	=C	=test@test.com	
=596	=2389	=1157751	=611	=D5	=0	=C	=test@test.com	
=597	=2389	=1157751	=397	=F9	=3	=C	=test@test.com	
=598	=2389	=1157779	=395	=	=3	=U	=test@test.com	
=599	=2389	=1157779	=687	=	=1	=U	=test@test.com	
=600	=2389	=1157801	=383	=	=7	=U	=test@test.com	
=601	=2389	=1157801	=395	=	=12	=U	=test@test.com	
=602	=2389	=1157801	=543	=	=10	=U	=test@test.com	
=603	=2389	=1157801	=1073	=	=0	=U	=test@test.com	
=604	=2389	=1174705	=678	=	=0	=U	=test@test.com	
=605	=2389	=1174759	=310	=	=1	=U	=test@test.com	
=606	=2389	=1174759	=383	=	=0	=U	=test@test.com	
=607	=2389	=1174759	=678	=	=1	=U	=test@test.com	
=608	=2389	=1174759	=972	=	=0	=U	=test@test.com	
=609	=2389	=1174759	=1073	=	=1	=U	=test@test.com	
=610	=2389	=1181685	=325	=128	=1	=C	=test@test.com	
=611	=2389	=1181685	=1003	=151	=0	=C	=test@test.com	
=612	=2389	=1182033	=249	=6	=12	=C	=test@test.com	
