Id	CoilGroupingHistoryId	Name	GroupName	
=423	=37	=B9	=C	
=424	=37	=C6	=E	
=425	=37	=C7	=E	
=426	=37	=C8	=G	
=427	=37	=C9	=G	
=428	=37	=D6	=H	
=429	=37	=D7	=H	
=430	=37	=F1	=9	
=431	=37	=F2	=9	
=432	=37	=F3	=9	
=433	=37	=F4	=9	
=434	=37	=F5	=9	
=435	=37	=F6	=9	
=436	=37	=F7	=9	
=437	=37	=F8	=9	
=438	=37	=F9	=9	
=439	=38	=B2	=A	
=440	=38	=B3	=A	
=441	=38	=D2	=D	
=442	=38	=D3	=D	
=443	=38	=D4	=E	
=444	=38	=D5	=E	
=445	=38	=E5	=F	
=446	=38	=E6	=F	
=447	=38	=E7	=F	
=448	=38	=E8	=F	
=449	=38	=E9	=F	
=450	=38	=F1	=9	
=451	=38	=F2	=9	
=452	=38	=F3	=9	
=453	=38	=F4	=9	
=454	=38	=F5	=9	
=455	=38	=F6	=9	
=456	=38	=F7	=9	
=457	=38	=F8	=9	
=458	=38	=F9	=9	
=459	=39	=B2	=A	
=460	=39	=B3	=A	
=461	=39	=B4	=B	
=462	=39	=B5	=B	
=463	=39	=B6	=C	
=464	=39	=B7	=C	
=465	=39	=D2	=D	
=466	=39	=D3	=D	
=467	=39	=D4	=E	
=468	=39	=D5	=E	
=469	=39	=E5	=F	
=470	=39	=E6	=F	
=471	=39	=E7	=F	
=472	=39	=E8	=F	
=473	=39	=E9	=F	
=474	=39	=F1	=9	
=475	=39	=F2	=9	
=476	=39	=F3	=9	
=477	=39	=F4	=9	
=478	=39	=F5	=9	
=479	=39	=F6	=9	
=480	=39	=F7	=9	
=481	=39	=F8	=9	
=482	=39	=F9	=9	
=483	=40	=1	=A	
=484	=40	=2	=A	
=485	=40	=3	=A	
=486	=40	=4	=A	
=487	=40	=5	=A	
=488	=40	=6	=A	
=489	=40	=7	=A	
=490	=40	=8	=A	
=491	=41	=1	=A	
=492	=41	=3	=A	
=493	=41	=4	=A	
=494	=41	=5	=A	
=495	=41	=6	=A	
=496	=41	=7	=A	
=497	=42	=1	=B	
=498	=42	=10	=A	
=499	=42	=11	=A	
=500	=42	=12	=A	
=501	=42	=3	=B	
=502	=42	=5	=C	
=503	=42	=6	=C	
=504	=43	=B5	=A	
=505	=43	=B6	=A	
=506	=43	=B7	=A	
=507	=43	=B8	=A	
=508	=43	=B9	=A	
=509	=43	=C2	=B	
=510	=43	=C3	=B	
=511	=43	=C5	=C	
=512	=43	=C6	=C	
=513	=43	=C8	=D	
=514	=43	=C9	=D	
=515	=43	=D7	=E	
=516	=43	=D8	=E	
=517	=44	=B2	=A	
=518	=44	=B3	=A	
=519	=44	=B4	=B	
=520	=44	=B5	=B	
=521	=44	=B6	=C	
=522	=44	=B7	=C	
=523	=44	=B8	=D	
=524	=44	=B9	=D	
=525	=44	=E5	=F	
=526	=44	=E6	=F	
=527	=44	=E7	=F	
=528	=44	=E8	=F	
=529	=44	=E9	=F	
=530	=44	=F1	=9	
=531	=44	=F2	=9	
=532	=44	=F3	=9	
=533	=44	=F4	=9	
=534	=44	=F5	=9	
=535	=44	=F6	=9	
=536	=44	=F7	=9	
=537	=44	=F8	=9	
=538	=44	=F9	=9	
=539	=45	=B5	=A	
=540	=45	=B6	=A	
=541	=45	=B7	=A	
=542	=45	=B8	=A	
=543	=45	=B9	=A	
=544	=45	=C2	=B	
=545	=45	=C3	=B	
=546	=45	=C5	=C	
=547	=45	=C6	=C	
=548	=45	=C8	=D	
=549	=45	=C9	=D	
=550	=45	=D5	=F	
=551	=45	=D6	=F	
=552	=45	=D7	=E	
=553	=45	=D8	=E	
=554	=47	=B1	=A	
=555	=47	=B2	=A	
=556	=47	=B3	=A	
=557	=47	=C1	=E	
=558	=47	=C3	=B	
=559	=47	=C4	=B	
=560	=47	=D1	=C	
=561	=47	=D2	=C	
=562	=47	=D3	=C	
=563	=47	=D8	=D	
=564	=47	=D9	=D	
=565	=48	=B1	=A	
=566	=48	=B2	=A	
=567	=48	=B5	=B	
=568	=48	=B6	=B	
=569	=48	=B7	=B	
=570	=48	=B8	=C	
=571	=48	=B9	=C	
=572	=48	=C8	=G	
=573	=48	=C9	=G	
=574	=48	=D6	=H	
=575	=48	=D7	=H	
=576	=48	=F1	=9	
=577	=48	=F2	=9	
=578	=48	=F3	=9	
=579	=48	=F4	=9	
=580	=48	=F5	=9	
=581	=48	=F6	=9	
=582	=48	=F7	=9	
=583	=48	=F8	=9	
=584	=48	=F9	=9	
=585	=49	=B2	=A	
=586	=49	=B3	=A	
=587	=49	=B4	=B	
=588	=49	=B5	=B	
=589	=49	=B6	=C	
=590	=49	=B7	=C	
=591	=49	=E5	=F	
=592	=49	=E6	=F	
=593	=49	=E7	=F	
=594	=49	=E8	=F	
=595	=49	=E9	=F	
=596	=49	=F1	=9	
=597	=49	=F2	=9	
=598	=49	=F3	=9	
=599	=49	=F4	=9	
=600	=49	=F5	=9	
=601	=49	=F6	=9	
=602	=49	=F7	=9	
=603	=49	=F8	=9	
=604	=49	=F9	=9	
=605	=50	=B5	=A	
=606	=50	=B6	=A	
=607	=50	=B7	=A	
=608	=50	=B8	=A	
=609	=50	=B9	=A	
=610	=50	=C2	=B	
=611	=50	=C3	=B	
=612	=50	=C5	=C	
=613	=50	=C6	=C	
=614	=50	=C8	=D	
=615	=50	=C9	=D	
=616	=50	=D7	=E	
=617	=50	=D8	=E	
=618	=51	=B5	=A	
=619	=51	=B6	=A	
=620	=51	=B7	=A	
=621	=51	=B8	=A	
=622	=51	=B9	=A	
=623	=51	=C2	=B	
=624	=51	=C3	=B	
=625	=51	=C5	=C	
=626	=51	=C6	=C	
=627	=51	=C8	=D	
=628	=51	=C9	=D	
=629	=51	=D5	=F	
=630	=51	=D6	=F	
=631	=51	=D7	=E	
=632	=51	=D8	=E	
=633	=52	=B1	=A	
=634	=52	=B2	=A	
=635	=52	=B3	=A	
=636	=52	=B4	=A	
=637	=52	=C1	=B	
=638	=52	=C2	=B	
=639	=52	=C5	=C	
=640	=52	=C6	=C	
=641	=52	=C8	=D	
=642	=52	=C9	=D	
=643	=52	=D3	=E	
=644	=52	=D4	=E	
=645	=52	=F1	=9	
=646	=52	=F2	=9	
=647	=52	=F3	=9	
=648	=52	=F4	=9	
=649	=52	=F5	=9	
=650	=52	=F6	=9	
=651	=52	=F7	=9	
=652	=52	=F8	=9	
=653	=52	=F9	=9	
=654	=53	=B1	=A	
=655	=53	=B2	=A	
=656	=53	=B5	=B	
=657	=53	=B6	=B	
=658	=53	=B7	=B	
=659	=53	=B8	=C	
=660	=53	=B9	=C	
=661	=53	=C6	=I	
=662	=53	=C7	=I	
=663	=53	=C8	=G	
=664	=53	=C9	=G	
=665	=53	=D6	=H	
=666	=53	=D7	=H	
=667	=53	=F1	=9	
=668	=53	=F2	=9	
=669	=53	=F3	=9	
=670	=53	=F4	=9	
=671	=53	=F5	=9	
=672	=53	=F6	=9	
=673	=53	=F7	=9	
=674	=53	=F8	=9	
=675	=53	=F9	=9	
=676	=54	=B1	=A	
=677	=54	=B2	=A	
=678	=54	=B3	=A	
=679	=54	=C1	=E	
=680	=54	=C2	=E	
=681	=54	=C3	=B	
=682	=54	=C4	=B	
=683	=54	=D1	=C	
=684	=54	=D2	=C	
=685	=54	=D3	=C	
=686	=54	=D8	=D	
=687	=54	=D9	=D	
=688	=55	=B1	=A	
=689	=55	=B2	=A	
=690	=55	=B3	=A	
=691	=55	=B4	=A	
=692	=55	=C1	=B	
=693	=55	=C2	=B	
=694	=55	=C5	=C	
=695	=55	=C6	=C	
=696	=55	=C8	=D	
=697	=55	=C9	=D	
=698	=55	=D2	=E	
=699	=55	=D3	=E	
=700	=55	=D4	=E	
=701	=55	=F1	=9	
=702	=55	=F2	=9	
=703	=55	=F3	=9	
=704	=55	=F4	=9	
=705	=55	=F5	=9	
=706	=55	=F6	=9	
=707	=55	=F7	=9	
=708	=55	=F8	=9	
=709	=55	=F9	=9	
=710	=56	=B1	=A	
=711	=56	=B2	=A	
=712	=56	=B3	=A	
=713	=56	=B4	=A	
=714	=56	=C1	=B	
=715	=56	=C2	=B	
=716	=56	=C5	=C	
=717	=56	=C6	=C	
=718	=56	=C8	=D	
=719	=56	=C9	=D	
=720	=56	=D2	=E	
=721	=56	=D3	=E	
=722	=56	=F1	=9	
=723	=56	=F2	=9	
=724	=56	=F3	=9	
=725	=56	=F4	=9	
=726	=56	=F5	=9	
=727	=56	=F6	=9	
=728	=56	=F7	=9	
=729	=56	=F8	=9	
=730	=56	=F9	=9	
=731	=57	=B5	=A	
=732	=57	=B6	=A	
=733	=57	=B7	=A	
=734	=57	=B8	=A	
=735	=57	=B9	=A	
=736	=57	=C2	=B	
=737	=57	=C3	=B	
=738	=57	=C5	=C	
=739	=57	=C6	=C	
=740	=57	=C8	=D	
=741	=57	=C9	=D	
=742	=57	=D7	=E	
=743	=57	=D8	=E	
=744	=58	=B5	=A	
=745	=58	=B6	=A	
=746	=58	=B7	=A	
=747	=58	=B8	=A	
=748	=58	=B9	=A	
=749	=58	=C2	=B	
=750	=58	=C3	=B	
=751	=58	=C5	=C	
=752	=58	=C6	=C	
=753	=58	=C8	=D	
=754	=58	=C9	=D	
=755	=58	=D4	=F	
=756	=58	=D5	=F	
=757	=58	=D7	=E	
=758	=58	=D8	=E	
=759	=59	=B1	=A	
=760	=59	=B2	=A	
=761	=59	=B3	=A	
=762	=59	=C1	=E	
=763	=59	=C2	=E	
=764	=59	=C3	=B	
=765	=59	=C4	=B	
=766	=59	=D2	=C	
=767	=59	=D3	=C	
=768	=59	=D8	=D	
=769	=59	=D9	=D	
=770	=60	=B1	=A	
=771	=60	=B2	=A	
=772	=60	=B4	=B	
=773	=60	=B5	=B	
=774	=60	=B6	=B	
=775	=60	=B7	=B	
=776	=60	=B8	=C	
=777	=60	=B9	=C	
=778	=60	=C6	=I	
=779	=60	=C7	=I	
=780	=60	=C8	=G	
=781	=60	=C9	=G	
=782	=60	=D6	=H	
=783	=60	=D7	=H	
=784	=60	=F1	=9	
=785	=60	=F2	=9	
=786	=60	=F3	=9	
=787	=60	=F4	=9	
=788	=60	=F5	=9	
=789	=60	=F6	=9	
=790	=60	=F7	=9	
=791	=60	=F8	=9	
=792	=60	=F9	=9	
=793	=61	=B1	=A	
=794	=61	=B2	=A	
=795	=61	=B5	=B	
=796	=61	=B6	=B	
=797	=61	=B7	=B	
=798	=61	=B8	=C	
=799	=61	=B9	=C	
=800	=61	=C6	=I	
=801	=61	=C7	=I	
=802	=61	=C8	=G	
=803	=61	=C9	=G	
=804	=61	=D6	=H	
=805	=61	=D7	=H	
=806	=61	=F1	=9	
=807	=61	=F2	=9	
=808	=61	=F3	=9	
=809	=61	=F4	=9	
=810	=61	=F5	=9	
=811	=61	=F6	=9	
=812	=61	=F7	=9	
=813	=61	=F8	=9	
=814	=61	=F9	=9	
=815	=62	=B1	=A	
=816	=62	=B2	=A	
=817	=62	=B4	=B	
=818	=62	=B5	=B	
=819	=62	=B6	=B	
=820	=62	=B7	=B	
=821	=62	=B8	=C	
=822	=62	=B9	=C	
=823	=62	=C6	=I	
=824	=62	=C7	=I	
=825	=62	=C8	=G	
=826	=62	=C9	=G	
=827	=62	=D6	=H	
=828	=62	=D7	=H	
=829	=62	=F1	=9	
=830	=62	=F2	=9	
=831	=62	=F3	=9	
=832	=62	=F4	=9	
=833	=62	=F5	=9	
=834	=62	=F6	=9	
=835	=62	=F7	=9	
=836	=62	=F8	=9	
=837	=62	=F9	=9	
=838	=63	=1	=A	
=839	=63	=10	=C	
=840	=63	=11	=C	
=841	=63	=12	=C	
=842	=63	=2	=A	
=843	=63	=3	=B	
=844	=63	=4	=B	
=845	=64	=1	=A	
=846	=64	=3	=A	
=847	=65	=B5	=A	
=848	=65	=B6	=A	
=849	=65	=B7	=A	
=850	=65	=B8	=A	
=851	=65	=B9	=A	
=852	=65	=C2	=B	
=853	=65	=C3	=B	
=854	=65	=C5	=C	
=855	=65	=C6	=C	
=856	=65	=C8	=D	
=857	=65	=C9	=D	
=858	=65	=D1	=G	
=859	=65	=D2	=G	
=860	=65	=D4	=F	
=861	=65	=D5	=F	
=862	=65	=D7	=E	
=863	=65	=D8	=E	
=864	=66	=B5	=A	
=865	=66	=B6	=A	
=866	=66	=B7	=A	
=867	=66	=B8	=A	
=868	=66	=B9	=A	
=869	=66	=C2	=B	
=870	=66	=C3	=B	
=871	=66	=C5	=C	
=872	=66	=C6	=C	
=873	=66	=D1	=G	
=874	=66	=D2	=G	
=875	=66	=D4	=F	
=876	=66	=D5	=F	
=877	=66	=D7	=E	
=878	=66	=D8	=E	
=879	=67	=B1	=A	
=880	=67	=B2	=A	
=881	=67	=B3	=A	
=882	=67	=C1	=E	
=883	=67	=C2	=E	
=884	=67	=C3	=B	
=885	=67	=C4	=B	
=886	=67	=D8	=D	
=887	=67	=D9	=D	
=888	=68	=B5	=A	
=889	=68	=B6	=A	
=890	=68	=B7	=A	
=891	=68	=B8	=A	
=892	=68	=B9	=A	
=893	=68	=C2	=B	
=894	=68	=C3	=B	
=895	=68	=C5	=C	
=896	=68	=C6	=C	
=897	=68	=D1	=G	
=898	=68	=D2	=G	
=899	=68	=D4	=F	
=900	=68	=D5	=F	
=901	=68	=D7	=E	
=902	=68	=D8	=E	
=903	=68	=E3	=H	
=904	=68	=E4	=H	
=905	=69	=B5	=A	
=906	=69	=B6	=A	
=907	=69	=B7	=A	
=908	=69	=B8	=A	
=909	=69	=B9	=A	
=910	=69	=C2	=B	
=911	=69	=C3	=B	
=912	=69	=C5	=C	
=913	=69	=C6	=C	
=914	=69	=D1	=G	
=915	=69	=D2	=G	
=916	=69	=D4	=F	
=917	=69	=D5	=F	
=918	=69	=D7	=E	
=919	=69	=D8	=E	
=920	=70	=B5	=A	
=921	=70	=B6	=A	
=922	=70	=B7	=A	
=923	=70	=B8	=A	
=924	=70	=B9	=A	
=925	=70	=C2	=B	
=926	=70	=C3	=B	
=927	=70	=C5	=C	
=928	=70	=C6	=C	
=929	=70	=D1	=G	
=930	=70	=D2	=G	
=931	=70	=D4	=F	
=932	=70	=D5	=F	
=933	=70	=D7	=E	
=934	=70	=D8	=E	
=935	=70	=E3	=H	
=936	=70	=E4	=H	
=937	=71	=B5	=A	
=938	=71	=B6	=A	
=939	=71	=B7	=A	
=940	=71	=B8	=A	
=941	=71	=B9	=A	
=942	=71	=C2	=B	
=943	=71	=C3	=B	
=944	=71	=C5	=C	
=945	=71	=C6	=C	
=946	=71	=D1	=G	
=947	=71	=D2	=G	
=948	=71	=D4	=F	
=949	=71	=D5	=F	
=950	=71	=D7	=E	
=951	=71	=D8	=E	
=952	=73	=E5	=F	
=953	=73	=E6	=F	
=954	=73	=E7	=F	
=955	=73	=E8	=F	
=956	=73	=E9	=F	
=957	=73	=F1	=9	
=958	=73	=F2	=9	
=959	=73	=F3	=9	
=960	=73	=F4	=9	
=961	=73	=F5	=9	
=962	=73	=F6	=9	
=963	=73	=F7	=9	
=964	=73	=F8	=9	
=965	=73	=F9	=9	
=966	=74	=F1	=9	
=967	=74	=F2	=9	
=968	=74	=F3	=9	
=969	=74	=F4	=9	
=970	=74	=F5	=9	
=971	=74	=F6	=9	
=972	=74	=F7	=9	
=973	=74	=F8	=9	
=974	=74	=F9	=9	
=975	=75	=705	=A	
=976	=75	=706	=A	
=977	=75	=707	=B	
=978	=75	=708	=B	
=979	=75	=709	=C	
=980	=75	=710	=C	
=981	=76	=B4	=A	
=982	=76	=B5	=A	
=983	=76	=E5	=F	
=984	=76	=E6	=F	
=985	=76	=E7	=F	
=986	=76	=E8	=F	
=987	=76	=E9	=F	
=988	=76	=F1	=9	
=989	=76	=F2	=9	
=990	=76	=F3	=9	
=991	=76	=F4	=9	
=992	=76	=F5	=9	
=993	=76	=F6	=9	
=994	=76	=F7	=9	
=995	=76	=F8	=9	
=996	=76	=F9	=9	
=997	=77	=D6	=B	
=998	=77	=D7	=B	
=999	=77	=E1	=A	
=1000	=77	=E2	=A	
=1001	=77	=E3	=A	
=1002	=77	=E4	=A	
=1003	=78	=C4	=B	
=1004	=78	=C5	=B	
