Id	MachineId	ScheduleType	DynamicDepletionLimit	DynamicDepletionType	DynamicMaxAmount	DynamicMaxServiceIntervalInDays	DynamicSaleQuantityLimit	DynamicSaleQuantityLimitCoilName	StaticMaxServiceIntervalFlexibilityInDays	StaticMaxServiceIntervalInDays	
=31	=43	=Dynamic	=3	=Item	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=32	=44	=Dynamic	=3	=Item	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=33	=45	=Dynamic	=3	=Item	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=34	=46	=Dynamic	=3	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=35	=47	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=36	=48	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=37	=19	=Dynamic	=3	=Item	=200	=3	[NULL]	[NULL]	[NULL]	[NULL]	
=38	=49	=Dynamic	=3	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=39	=50	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=40	=51	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=41	=52	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=42	=53	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=43	=54	=Dynamic	=1	=Item	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	
=44	=55	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=45	=11	=Dynamic	=4	=Item	=200	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=46	=12	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=47	=13	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=48	=1	=Dynamic	=3	=Item	=300	=14	[NULL]	[NULL]	[NULL]	[NULL]	
=49	=2	=Static	[NULL]	=Item	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=50	=3	=Dynamic	=1	=Item	=200	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=51	=4	=Dynamic	=2	=Coil	=200	=10	[NULL]	[NULL]	[NULL]	[NULL]	
=52	=5	=Dynamic	=3	=Item	=300	=21	[NULL]	[NULL]	[NULL]	[NULL]	
=53	=24	=Static	[NULL]	=Item	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=54	=57	=Static	[NULL]	=Item	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
