Id	ScheduleId	MachineId	Deleted	
=1124967	=30368	=1107498	=False	
=1124968	=30368	=1136640	=False	
=1124969	=30368	=1111946	=False	
=1124970	=30368	=1045851	=True	
=1124971	=30368	=1104246	=True	
=1124972	=30368	=1108573	=True	
=1124973	=30368	=1103830	=False	
=1124974	=30368	=1047216	=False	
=1124975	=30368	=1099031	=False	
=1124976	=30368	=1103778	=False	
=1124977	=30368	=1098918	=False	
=1124978	=30368	=1109989	=True	
=1124979	=30368	=1103826	=False	
=1124980	=30368	=1109062	=True	
=1124981	=30368	=1146115	=False	
=1124982	=30368	=1047225	=False	
=1124983	=30368	=1109048	=False	
=1124984	=30368	=1115369	=True	
=1124985	=30368	=1104066	=False	
=1124986	=30368	=1098749	=False	
=1124987	=30368	=1098790	=True	
=1124988	=30368	=1098979	=True	
=1124989	=30368	=1098965	=True	
=1124990	=30368	=1098608	=True	
=1124991	=30368	=1034922	=True	
=1124992	=30368	=1098718	=True	
=1124993	=30368	=1108685	=True	
=1124994	=30368	=1133639	=True	
=1124995	=30368	=1098585	=False	
=1124996	=30368	=1133962	=True	
=1124997	=30368	=1133768	=True	
=1124998	=30368	=1107428	=True	
=1124999	=30368	=1133596	=True	
=1125000	=30368	=1098888	=True	
=1125001	=30368	=1107432	=True	
=1125002	=30368	=1142920	=True	
=1125003	=30368	=1136259	=True	
=1125004	=30368	=1108743	=True	
=1125005	=30368	=1136268	=True	
=1125006	=30368	=1098514	=True	
=1125007	=30368	=1098688	=True	
=1125008	=30368	=1098930	=True	
=1125009	=30368	=1133958	=True	
=1125010	=30368	=1133960	=True	
=1125011	=30368	=1107358	=True	
=1125012	=30368	=1146157	=True	
=1125013	=30368	=1098680	=True	
=1125014	=30368	=1133612	=True	
=1125015	=30368	=1146549	=True	
=1125016	=30368	=1109527	=True	
=1125017	=30369	=1167176	=False	
=1125018	=30369	=1167177	=False	
=1125019	=30369	=1167178	=False	
=1125020	=30369	=1035212	=True	
=1125021	=30369	=1167073	=False	
=1125022	=30369	=1167074	=False	
=1125023	=30369	=1167075	=False	
=1125024	=30369	=1166844	=False	
=1125025	=30369	=1167003	=False	
=1125026	=30369	=1167004	=False	
=1125027	=30369	=1177940	=False	
=1125028	=30369	=1177941	=False	
=1125029	=30369	=1177942	=False	
=1125030	=30369	=1098640	=False	
=1125031	=30369	=1098639	=True	
=1125032	=30369	=1103867	=False	
=1125033	=30369	=1099042	=False	
=1125034	=30369	=1098954	=False	
=1125035	=30369	=1099034	=True	
=1125036	=30369	=1098834	=False	
=1125037	=30369	=1099003	=False	
=1125038	=30369	=1098638	=True	
=1125039	=30369	=1098599	=True	
=1125040	=30369	=1034582	=False	
=1125041	=30369	=1112640	=False	
=1125042	=30369	=1112266	=True	
=1125043	=30369	=1112429	=True	
=1125044	=30369	=1133818	=False	
=1125045	=30369	=1108608	=True	
=1125046	=30369	=1098938	=True	
=1125047	=30369	=1136695	=False	
=1125048	=30369	=1099049	=False	
=1125049	=30369	=1035381	=False	
=1125050	=30369	=1099058	=True	
=1125051	=30369	=1111634	=False	
=1125052	=30369	=1112652	=False	
=1125053	=30369	=1034820	=False	
=1125054	=30369	=1035371	=True	
=1125055	=30369	=1098646	=True	
=1125056	=30369	=1035379	=False	
=1125057	=30369	=1035394	=True	
=1125058	=30369	=1098633	=True	
=1125059	=30369	=1035384	=False	
=1125060	=30369	=1098742	=False	
=1125061	=30369	=1099002	=True	
=1125062	=30369	=1098957	=False	
=1125063	=30369	=1098955	=False	
=1125064	=30369	=1099010	=True	
=1125065	=30369	=1098961	=False	
=1125066	=30369	=1099005	=True	
=1125067	=30369	=1098648	=False	
=1125068	=30369	=1112639	=True	
=1125069	=30369	=1047019	=True	
=1125070	=30369	=1098739	=False	
=1125071	=30369	=1098997	=False	
=1125072	=30369	=1099012	=False	
=1125073	=30369	=1098647	=False	
=1125074	=30369	=1136424	=False	
=1125075	=30369	=1099041	=False	
=1125076	=30369	=1099059	=True	
=1125077	=30369	=1098960	=False	
=1125078	=30369	=1035057	=True	
=1125079	=30369	=1112261	=False	
=1125080	=30369	=1115294	=True	
=1125081	=30369	=1098607	=True	
=1125082	=30369	=1099057	=True	
=1125083	=30369	=1034861	=False	
=1125084	=30369	=1098926	=True	
=1125085	=30369	=1099035	=True	
=1125086	=30369	=1133792	=False	
=1125087	=30370	=1166956	=False	
=1125088	=30370	=1167011	=False	
=1125089	=30370	=1167012	=False	
=1125090	=30370	=1136549	=False	
=1125091	=30370	=1136262	=False	
=1125092	=30370	=1136531	=False	
=1125093	=30370	=1136556	=True	
=1125094	=30370	=1142865	=True	
=1125095	=30370	=1108935	=True	
=1125096	=30370	=1136372	=True	
=1125097	=30370	=1109485	=False	
=1125098	=30370	=1136171	=False	
=1125099	=30370	=1141417	=False	
=1125100	=30370	=1114799	=False	
=1125101	=30370	=1136925	=False	
=1125102	=30370	=1136921	=False	
=1125103	=30370	=1142877	=False	
=1125104	=30370	=1139835	=True	
=1125105	=30370	=1034731	=True	
=1125106	=30370	=1136382	=True	
=1125107	=30370	=1136666	=True	
=1125108	=30370	=1047039	=True	
=1125109	=30370	=1112479	=True	
=1125110	=30370	=1136628	=True	
=1125111	=30370	=1135975	=True	
=1125112	=30370	=1139099	=False	
=1125113	=30370	=1136560	=False	
=1125114	=30370	=1139065	=True	
=1125115	=30370	=1139830	=True	
=1125116	=30370	=1138186	=True	
=1125117	=30370	=1138128	=True	
=1125118	=30370	=1139893	=False	
=1125119	=30370	=1034594	=False	
=1125120	=30370	=1034676	=False	
=1125121	=30370	=1133660	=False	
=1125122	=30370	=1138131	=True	
=1125123	=30370	=1136579	=False	
=1125124	=30370	=1138134	=True	
=1125125	=30370	=1136277	=False	
=1125126	=30370	=1137744	=False	
=1125127	=30370	=1138023	=False	
=1125128	=30370	=1133624	=False	
=1125129	=30370	=1133678	=False	
=1125130	=30370	=1136538	=False	
=1125131	=30370	=1138020	=True	
=1125132	=30370	=1098007	=False	
=1125133	=30370	=1098654	=True	
=1125134	=30370	=1138133	=True	
=1125135	=30370	=1136699	=False	
=1125136	=30370	=1136762	=False	
=1125137	=30370	=1133783	=False	
=1125138	=30370	=1045518	=False	
=1125139	=30370	=1098544	=False	
=1125140	=30370	=1142134	=False	
=1125141	=30370	=1109909	=False	
=1125142	=30370	=1114830	=False	
=1125143	=30370	=1142873	=False	
=1125144	=30370	=1103860	=False	
=1125145	=30370	=1047024	=True	
=1125146	=30370	=1138028	=True	
=1125147	=30370	=1034748	=True	
=1125148	=30370	=1138016	=True	
=1125149	=30370	=1167160	=False	
=1125150	=30370	=1167161	=False	
=1125151	=30370	=1167162	=False	
=1125152	=30370	=1047640	=True	
=1125153	=30370	=1133813	=True	
=1125154	=30370	=1046961	=True	
=1125155	=30370	=1136434	=True	
=1125156	=30370	=1104336	=True	
=1125157	=30370	=1108926	=True	
=1125158	=30370	=1112441	=True	
=1125159	=30370	=1108930	=True	
=1125160	=30370	=1134002	=True	
=1125161	=30370	=1045546	=True	
=1125162	=30370	=1112303	=True	
=1125163	=30370	=1112648	=True	
=1125164	=30370	=1103821	=True	
=1125165	=30370	=1112448	=True	
=1125166	=30370	=1142126	=True	
=1125167	=30370	=1047645	=True	
=1125168	=30370	=1104327	=True	
=1125169	=30370	=1109490	=True	
=1125170	=30370	=1104305	=True	
=1125171	=30370	=1134001	=True	
=1125172	=30370	=1112651	=True	
=1125173	=30370	=1112650	=True	
=1125174	=30370	=1104041	=True	
=1125175	=30370	=1134005	=True	
=1125176	=30370	=1134000	=True	
=1125177	=30370	=1112447	=True	
=1125178	=30370	=1104317	=True	
=1125179	=30370	=1134003	=True	
=1125180	=30370	=1111866	=True	
=1125181	=30370	=1134004	=True	
=1125182	=30370	=1111760	=True	
=1125183	=30370	=1112802	=True	
=1125184	=30370	=1046203	=False	
=1125185	=30371	=1166842	=False	
=1125186	=30371	=1166983	=False	
=1125187	=30371	=1166984	=False	
=1125188	=30371	=1136152	=False	
=1125189	=30371	=1166987	=False	
=1125190	=30371	=1166988	=False	
=1125191	=30371	=1166933	=False	
=1125192	=30371	=1166985	=False	
=1125193	=30371	=1166986	=False	
=1125194	=30371	=1166852	=False	
=1125195	=30371	=1167045	=False	
=1125196	=30371	=1167046	=False	
=1125197	=30371	=1167047	=False	
=1125198	=30371	=1166934	=False	
=1125199	=30371	=1166991	=False	
=1125200	=30371	=1166992	=False	
=1125201	=30371	=1166935	=False	
=1125202	=30371	=1166989	=False	
=1125203	=30371	=1166990	=False	
=1125204	=30371	=1098932	=True	
=1125205	=30371	=1034927	=False	
=1125206	=30371	=1136627	=False	
=1125207	=30371	=1146496	=False	
=1125208	=30371	=1034936	=False	
=1125209	=30371	=1135548	=False	
=1125210	=30371	=1099055	=True	
=1125211	=30371	=1099054	=True	
=1125212	=30371	=1112403	=False	
=1125213	=30371	=1112308	=False	
=1125214	=30371	=1098946	=True	
=1125215	=30371	=1111981	=False	
=1125216	=30371	=1034920	=False	
=1125217	=30371	=1136631	=False	
=1125218	=30371	=1112623	=True	
=1125219	=30371	=1112771	=True	
=1125220	=30371	=1112513	=True	
=1125221	=30371	=1047022	=True	
=1125222	=30371	=1136733	=True	
=1125223	=30371	=1112769	=False	
=1125224	=30371	=1098533	=False	
=1125225	=30371	=1098620	=True	
=1125226	=30371	=1136146	=True	
=1125227	=30371	=1136637	=False	
=1125228	=30371	=1136575	=True	
=1125229	=30371	=1034747	=True	
=1125230	=30371	=1034818	=False	
=1125231	=30371	=1112026	=False	
=1125232	=30371	=1098615	=False	
=1125233	=30371	=1136688	=True	
=1125234	=30371	=1112507	=True	
=1125235	=30371	=1136770	=True	
=1125236	=30371	=1045524	=True	
=1125237	=30371	=1112621	=True	
=1125238	=30371	=1136445	=True	
=1125239	=30371	=1035397	=False	
=1125240	=30371	=1098928	=True	
=1125241	=30371	=1133812	=True	
=1125242	=30371	=1098629	=False	
=1125243	=30371	=1035380	=False	
=1125244	=30371	=1098942	=False	
=1125245	=30371	=1110827	=True	
=1125246	=30371	=1035035	=False	
=1125247	=30371	=1034900	=False	
=1125248	=30371	=1098522	=False	
=1125249	=30371	=1035359	=True	
=1125250	=30371	=1136294	=False	
=1125251	=30371	=1138156	=False	
=1125252	=30371	=1098574	=True	
=1125253	=30371	=1034752	=True	
=1125254	=30371	=1138155	=True	
=1125255	=30371	=1137550	=False	
=1125256	=30371	=1045132	=True	
=1125257	=30371	=1035062	=True	
=1125258	=30371	=1146494	=True	
=1125259	=30371	=1136625	=True	
=1125260	=30371	=1136202	=False	
=1125261	=30371	=1112450	=True	
=1125262	=30371	=1136203	=True	
=1125263	=30371	=1046882	=True	
=1125264	=30371	=1098531	=True	
=1125265	=30371	=1136633	=True	
=1125266	=30371	=1112393	=True	
=1125267	=30371	=1133657	=True	
=1125268	=30371	=1034768	=True	
=1125269	=30371	=1136646	=True	
=1125270	=30371	=1098530	=True	
=1125271	=30371	=1111980	=True	
=1125272	=30371	=1112511	=True	
=1125273	=30371	=1141629	=False	
=1125309	=30373	=1035271	=True	
=1125310	=30373	=1035105	=False	
=1125311	=30373	=1035106	=False	
=1125312	=30373	=1035115	=True	
=1125313	=30373	=1035168	=True	
=1125314	=30373	=1035274	=True	
=1125315	=30373	=1035120	=False	
=1125316	=30373	=1035203	=True	
=1125317	=30373	=1035252	=False	
=1125318	=30373	=1035142	=False	
=1125319	=30373	=1035145	=False	
=1125320	=30373	=1035146	=False	
=1125321	=30373	=1035148	=False	
=1125322	=30373	=1035149	=False	
=1125323	=30373	=1035113	=False	
=1125324	=30373	=1035112	=True	
=1125325	=30373	=1034831	=False	
=1125326	=30373	=1136643	=True	
=1125327	=30373	=1113820	=False	
=1125328	=30373	=1034764	=False	
=1125329	=30373	=1034680	=False	
=1125330	=30373	=1034754	=False	
=1125331	=30373	=1034864	=True	
=1125332	=30373	=1034564	=False	
=1125333	=30373	=1034641	=True	
=1125334	=30373	=1133777	=True	
=1125335	=30373	=1034755	=False	
=1125336	=30373	=1136576	=True	
=1125337	=30373	=1034826	=True	
=1125338	=30373	=1034602	=True	
=1125339	=30373	=1136485	=True	
=1125340	=30373	=1034589	=False	
=1125341	=30373	=1136249	=False	
=1125342	=30373	=1034616	=False	
=1125343	=30373	=1034627	=False	
=1125344	=30373	=1035051	=False	
=1125345	=30373	=1146460	=False	
=1125346	=30373	=1035100	=False	
=1125347	=30373	=1034992	=False	
=1125348	=30373	=1035003	=False	
=1125349	=30373	=1034855	=False	
=1125350	=30373	=1034573	=False	
=1125351	=30373	=1032444	=False	
=1125352	=30373	=1034736	=False	
=1125353	=30373	=1034749	=False	
=1125354	=30373	=1034759	=False	
=1125355	=30374	=1035017	=False	
=1125356	=30374	=1040514	=False	
=1125357	=30374	=1040517	=False	
=1125358	=30374	=1040518	=False	
=1125359	=30375	=1166843	=False	
=1125360	=30375	=1166928	=False	
=1125361	=30375	=1146341	=False	
=1125362	=30375	=1133896	=False	
=1125363	=30375	=1033973	=False	
=1125364	=30375	=1035256	=True	
=1125365	=30375	=1166827	=False	
=1125366	=30375	=1034692	=False	
=1125367	=30375	=1034044	=False	
=1125368	=30375	=1034784	=False	
=1125369	=30375	=1035130	=False	
=1125370	=30375	=1035129	=False	
=1125371	=30375	=1034781	=False	
=1125372	=30375	=1034866	=False	
=1125373	=30375	=1035278	=False	
=1125374	=30375	=1135038	=False	
=1125375	=30375	=1034648	=False	
=1125406	=30377	=1167103	=False	
=1125407	=30377	=1167104	=False	
=1125408	=30377	=1146503	=False	
=1125409	=30377	=1146505	=False	
=1125410	=30377	=1145808	=False	
=1125411	=30377	=1145828	=False	
=1125412	=30377	=1108700	=False	
=1125413	=30377	=1109315	=False	
=1125414	=30377	=1046881	=True	
=1125415	=30377	=1109952	=True	
=1125416	=30377	=1146124	=True	
=1125417	=30377	=1145832	=False	
=1125418	=30377	=1109383	=False	
=1125419	=30377	=1145855	=False	
=1125420	=30377	=1109358	=False	
=1125421	=30377	=1109368	=False	
=1125422	=30377	=1145874	=False	
=1125423	=30377	=1109434	=True	
=1125424	=30377	=1146501	=False	
=1125425	=30377	=1145847	=False	
=1125426	=30377	=1145881	=False	
=1125427	=30377	=1145875	=False	
=1125428	=30377	=1109633	=True	
=1125429	=30377	=1108898	=True	
=1125430	=30377	=1109996	=True	
=1125431	=30377	=1109997	=False	
=1125432	=30377	=1144544	=True	
=1125433	=30377	=1144543	=True	
=1125434	=30377	=638137	=True	
=1125435	=30377	=635655	=True	
=1125436	=30377	=1146358	=False	
=1125437	=30377	=1109650	=False	
=1125438	=30377	=1109672	=False	
=1125439	=30377	=1109225	=False	
=1125440	=30377	=1109631	=False	
=1125441	=30377	=1109463	=False	
=1125442	=30377	=1109483	=False	
=1125443	=30377	=1109222	=False	
=1125444	=30375	=1034766	=False	
=1125445	=30375	=1034609	=False	
=1125446	=30375	=1035052	=False	
=1125447	=30375	=1034827	=False	
=1125448	=30375	=1034843	=False	
=1125449	=30375	=1034777	=False	
=1125450	=30375	=1034883	=False	
=1125451	=30375	=1034944	=False	
=1125452	=30375	=1033963	=False	
=1125453	=30375	=1034925	=False	
=1125454	=30375	=1034593	=False	
=1125455	=30375	=1035280	=False	
=1125456	=30375	=1108917	=False	
=1125457	=30375	=1108676	=False	
=1125482	=30379	=1035111	=False	
=1125483	=30379	=1034836	=False	
=1125484	=30379	=1035202	=False	
=1125485	=30379	=1034711	=True	
=1125486	=30379	=1177963	=True	
=1125487	=30379	=1034728	=False	
=1125488	=30379	=1034705	=False	
=1125489	=30379	=1177964	=True	
=1125490	=30379	=1137562	=True	
=1125491	=30379	=1137563	=True	
=1125492	=30379	=1034840	=False	
=1125493	=30379	=1034815	=False	
=1125494	=30379	=1035048	=False	
=1125495	=30379	=1034635	=False	
=1125496	=30379	=1034650	=False	
=1125497	=30379	=1034844	=False	
=1125498	=30379	=1034554	=False	
=1125499	=30379	=1034761	=False	
=1125500	=30379	=1035054	=True	
=1125501	=30379	=1113831	=False	
=1125502	=30379	=1034698	=False	
=1125503	=30379	=1035265	=False	
=1125504	=30379	=1034845	=False	
=1125505	=30379	=1034774	=False	
=1125506	=30377	=1146206	=False	
=1125507	=30377	=604036	=False	
=1125508	=30379	=1034689	=False	
=1125509	=30379	=1034823	=False	
=1125510	=30379	=1034898	=False	
=1125511	=30379	=1034816	=False	
=1125512	=30379	=1034857	=False	
=1125513	=30379	=1034874	=False	
=1125514	=30379	=1034653	=False	
=1125515	=30379	=1034741	=False	
=1125516	=30379	=1035036	=False	
=1125517	=30379	=1034803	=False	
=1125518	=30379	=1034730	=False	
=1125519	=30379	=1034762	=False	
=1125520	=30379	=1035140	=False	
=1125521	=30379	=1034780	=False	
=1125522	=30379	=1034951	=False	
=1125523	=30379	=1034607	=False	
=1125524	=30379	=1035277	=False	
=1125525	=30379	=1177962	=False	
=1125526	=30380	=1145774	=False	
=1125527	=30380	=1177943	=False	
=1125528	=30380	=1177945	=False	
=1125529	=30380	=635624	=False	
=1125530	=30380	=635965	=False	
=1125531	=30380	=635148	=False	
=1125532	=30380	=608702	=False	
=1125533	=30380	=635619	=False	
=1125534	=30380	=611099	=False	
=1125535	=30380	=635193	=True	
=1125536	=30380	=635956	=True	
=1125537	=30380	=642154	=False	
=1125538	=30380	=1145880	=False	
=1125539	=30380	=608565	=True	
=1125540	=30380	=639964	=False	
=1125541	=30380	=636444	=False	
=1125542	=30380	=603574	=False	
=1125543	=30380	=633628	=True	
=1125544	=30380	=636445	=False	
=1125545	=30380	=1167174	=False	
=1125546	=30380	=604357	=False	
=1125547	=30380	=1166995	=False	
=1125548	=30380	=1166974	=False	
=1125549	=30380	=1166973	=True	
=1125550	=30380	=1109393	=False	
=1125551	=30380	=635373	=False	
=1125552	=30380	=1166981	=True	
=1125553	=30380	=641468	=True	
=1125554	=30380	=1166979	=False	
=1125555	=30380	=603500	=True	
=1125556	=30380	=608605	=True	
=1125557	=30380	=603838	=True	
=1125558	=30380	=603518	=True	
=1125559	=30380	=642153	=False	
=1125560	=30380	=1146237	=True	
=1125561	=30380	=642157	=True	
=1125562	=30380	=635509	=True	
=1125563	=30380	=1145882	=True	
=1125564	=30380	=641568	=True	
=1125565	=30380	=635687	=True	
=1125566	=30380	=637032	=True	
=1125567	=30380	=636402	=True	
=1125568	=30380	=609232	=True	
=1125569	=30380	=635764	=True	
=1125570	=30380	=1108733	=True	
=1125571	=30380	=635792	=True	
=1125572	=30380	=636492	=True	
=1125573	=30380	=635623	=True	
=1125574	=30380	=641464	=False	
=1125575	=30380	=614842	=True	
=1125576	=30380	=635217	=False	
=1125577	=30380	=641574	=True	
=1125578	=30380	=635201	=False	
=1125579	=30380	=641465	=True	
=1125580	=30380	=635063	=False	
=1125581	=30380	=604133	=True	
=1125582	=30380	=637416	=False	
=1125583	=30380	=604146	=False	
=1125584	=30380	=635986	=False	
=1125585	=30380	=635700	=False	
=1125586	=30380	=635294	=False	
=1125587	=30381	=635517	=True	
=1125588	=30381	=603639	=True	
=1125589	=30381	=635674	=True	
=1125590	=30381	=635564	=True	
=1125591	=30381	=604256	=True	
=1125592	=30381	=635521	=True	
=1125593	=30381	=615434	=False	
=1125594	=30381	=614604	=True	
=1125595	=30381	=611497	=True	
=1125596	=30381	=614661	=False	
=1125597	=30381	=604458	=True	
=1125598	=30381	=614850	=True	
=1125599	=30381	=603503	=True	
=1125600	=30381	=615361	=True	
=1125601	=30381	=604377	=True	
=1125602	=30381	=604459	=True	
=1125603	=30381	=633698	=False	
=1125604	=30381	=614635	=False	
=1125605	=30381	=603447	=False	
=1125606	=30381	=615320	=True	
=1125607	=30381	=635519	=True	
=1125608	=30381	=1145817	=True	
=1125609	=30381	=611128	=True	
=1125610	=30381	=611205	=True	
=1125611	=30381	=614699	=True	
=1125612	=30381	=637471	=False	
=1125613	=30381	=614583	=False	
=1125614	=30381	=637067	=False	
=1125615	=30381	=615323	=False	
=1125616	=30381	=615306	=False	
=1125617	=30381	=614591	=True	
=1125618	=30381	=636460	=True	
=1125619	=30381	=614629	=True	
=1125620	=30381	=614823	=False	
=1125621	=30381	=603598	=True	
=1125622	=30381	=615293	=False	
=1125623	=30381	=608635	=False	
=1125624	=30381	=614610	=False	
=1125625	=30381	=615362	=False	
=1125626	=30381	=615342	=False	
=1125627	=30381	=614764	=False	
=1125628	=30381	=615321	=False	
=1125629	=30381	=614800	=True	
=1125630	=30381	=642128	=True	
=1125631	=30381	=642129	=True	
=1125632	=30381	=609293	=False	
=1125633	=30381	=608942	=False	
=1125634	=30381	=614771	=False	
=1125635	=30381	=614822	=True	
=1125636	=30381	=614787	=False	
=1125637	=30381	=614639	=False	
=1125638	=30381	=635661	=True	
=1125639	=30381	=614862	=True	
=1125640	=30381	=609254	=False	
=1125641	=30381	=642131	=False	
=1125642	=30381	=1166869	=False	
=1125643	=30381	=1166868	=False	
=1125644	=30381	=635930	=False	
=1125645	=30381	=1108408	=False	
=1125646	=30381	=1166809	=False	
=1125647	=30381	=636099	=False	
=1125648	=30381	=635433	=True	
=1125649	=30381	=635432	=True	
=1125650	=30381	=636440	=False	
=1125682	=30383	=1146089	=False	
=1125683	=30383	=639810	=False	
=1125684	=30383	=1146090	=False	
=1125685	=30383	=635407	=False	
=1125686	=30383	=635467	=False	
=1125687	=30383	=635580	=True	
=1125688	=30383	=1108943	=False	
=1125689	=30383	=635463	=False	
=1125690	=30383	=635504	=True	
=1125691	=30383	=635295	=True	
=1125692	=30383	=1047226	=False	
=1125693	=30383	=1109114	=True	
=1125694	=30383	=1109131	=True	
=1125695	=30383	=1109142	=True	
=1125696	=30383	=1109501	=True	
=1125697	=30383	=639954	=True	
=1125698	=30383	=635502	=True	
=1125699	=30383	=635054	=False	
=1125700	=30383	=639958	=True	
=1125701	=30383	=1047142	=False	
=1125702	=30383	=1109105	=True	
=1125703	=30383	=1108748	=True	
=1125704	=30383	=1146540	=False	
=1125705	=30383	=1109119	=False	
=1125706	=30383	=1146539	=False	
=1125707	=30383	=603365	=False	
=1125708	=30383	=639959	=True	
=1125709	=30383	=1109275	=True	
=1125710	=30383	=1108740	=False	
=1125711	=30383	=1145923	=True	
=1125712	=30383	=635275	=True	
=1125713	=30383	=1108762	=False	
=1125714	=30383	=1109299	=False	
=1125715	=30383	=1109297	=False	
=1125716	=30383	=615334	=False	
=1125717	=30383	=1109285	=False	
=1125718	=30383	=608393	=False	
=1125719	=30383	=608613	=False	
=1125720	=30383	=635586	=False	
=1125721	=30383	=1108887	=False	
=1125722	=30383	=635371	=False	
=1125723	=30383	=604035	=False	
=1125724	=30383	=641533	=False	
=1125725	=30383	=637546	=False	
=1125726	=30383	=636089	=False	
=1125727	=30383	=1146153	=False	
=1125758	=30385	=1146524	=False	
=1125759	=30385	=1146526	=False	
=1125760	=30385	=1166918	=False	
=1125761	=30385	=1167042	=False	
=1125762	=30385	=1167044	=False	
=1125763	=30385	=1166805	=False	
=1125764	=30385	=1166807	=False	
=1125765	=30385	=610834	=True	
=1125766	=30385	=611075	=False	
=1125767	=30385	=610919	=True	
=1125768	=30385	=611489	=True	
=1125769	=30385	=611057	=True	
=1125770	=30385	=611485	=True	
=1125771	=30385	=611102	=True	
=1125772	=30385	=611052	=True	
=1125773	=30385	=611462	=True	
=1125774	=30385	=610979	=True	
=1125775	=30385	=610768	=True	
=1125776	=30385	=610937	=True	
=1125777	=30385	=610980	=True	
=1125778	=30385	=611109	=True	
=1125779	=30385	=606131	=False	
=1125780	=30385	=615433	=True	
=1125781	=30385	=610976	=True	
=1125782	=30385	=609328	=True	
=1125783	=30385	=610963	=True	
