Id	MachineId	ItemId	Name	GroupName	Inventory	Par	Capacity	AlertLevel	PriceInCents	DesiredPriceInCents	CoilOrder	RowIndex	ColumnIndex	NameAlpha	NameNumber	VendsSinceInitializationQuantity	LastSaleDateTime	Deleted	CanBeRestored	
=61	=43	=931	=C3	[NULL]	=4	=8	=8	=1	=175	=175	=21	[NULL]	[NULL]	=C	=3	=607	=08/21/2013 15:08:44	=False	=False	
=62	=43	=929	=C4	=H	=14	=16	=16	=1	=175	=175	=22	[NULL]	[NULL]	=C	=4	=582	=08/21/2013 19:08:38	=False	=False	
=63	=43	=929	=C5	=H	=0	=0	=0	=-1000	=175	=175	=23	[NULL]	[NULL]	=C	=5	=602	=08/15/2013 15:06:17	=False	=False	
=64	=43	=1174	=C6	[NULL]	=7	=8	=8	=1	=175	=175	=24	[NULL]	[NULL]	=C	=6	=724	=07/30/2013 16:59:23	=False	=False	
=65	=43	=914	=C7	[NULL]	=7	=8	=8	=1	=175	=175	=25	[NULL]	[NULL]	=C	=7	=654	=08/21/2013 16:08:46	=False	=False	
=66	=43	=938	=C8	[NULL]	=5	=8	=8	=1	=175	=175	=26	[NULL]	[NULL]	=C	=8	=535	=08/21/2013 15:08:44	=False	=False	
=67	=43	=928	=C9	[NULL]	=7	=8	=8	=1	=175	=175	=27	[NULL]	[NULL]	=C	=9	=490	=07/26/2013 16:57:00	=False	=False	
=68	=43	=922	=D1	=F	=14	=16	=16	=1	=175	=175	=28	[NULL]	[NULL]	=D	=1	=615	=08/16/2013 12:06:26	=False	=False	
=69	=43	=922	=D2	=F	=0	=0	=0	=-1000	=175	=175	=29	[NULL]	[NULL]	=D	=2	=343	=08/21/2013 17:08:48	=False	=False	
=70	=43	=927	=D3	=G	=14	=16	=16	=1	=175	=175	=30	[NULL]	[NULL]	=D	=3	=349	=08/21/2013 15:08:44	=False	=False	
=71	=43	=927	=D4	=G	=0	=0	=0	=-1000	=175	=175	=31	[NULL]	[NULL]	=D	=4	=551	=07/31/2013 10:05:39	=False	=False	
=72	=43	=926	=D5	=E	=16	=16	=16	=4	=175	=175	=32	[NULL]	[NULL]	=D	=5	=584	=08/19/2013 14:08:45	=False	=False	
=73	=43	=926	=D6	=E	=0	=0	=0	=-1000	=175	=175	=33	[NULL]	[NULL]	=D	=6	=425	=08/19/2013 12:08:41	=False	=False	
=74	=43	=921	=D7	=D	=10	=16	=16	=4	=175	=175	=34	[NULL]	[NULL]	=D	=7	=525	=08/20/2013 16:08:42	=False	=False	
=75	=43	=921	=D8	=D	=0	=0	=0	=-1000	=175	=175	=35	[NULL]	[NULL]	=D	=8	=724	=08/20/2013 12:21:48	=False	=False	
=76	=43	=923	=D9	[NULL]	=7	=8	=8	=1	=175	=175	=36	[NULL]	[NULL]	=D	=9	=275	=08/20/2013 15:08:40	=False	=False	
=77	=43	=910	=E1	=A	=38	=40	=40	=5	=125	=125	=37	[NULL]	[NULL]	=E	=1	=466	=07/29/2013 12:58:58	=False	=False	
=78	=43	=910	=E2	=A	=0	=0	=0	=-1000	=125	=125	=38	[NULL]	[NULL]	=E	=2	=521	=08/13/2013 15:06:08	=False	=False	
=79	=43	=910	=E3	=A	=0	=0	=0	=-1000	=125	=125	=39	[NULL]	[NULL]	=E	=3	=515	=08/20/2013 10:08:50	=False	=False	
=80	=43	=910	=E4	=A	=0	=0	=0	=-1000	=125	=125	=40	[NULL]	[NULL]	=E	=4	=559	=08/17/2013 13:06:27	=False	=False	
=81	=43	=910	=E5	=A	=0	=0	=0	=-1000	=125	=125	=41	[NULL]	[NULL]	=E	=5	=337	=08/21/2013 15:08:44	=False	=False	
=82	=43	=995	=E6	[NULL]	=8	=8	=8	=1	=175	=175	=42	[NULL]	[NULL]	=E	=6	=364	=08/14/2013 20:06:17	=False	=False	
=83	=43	=993	=E7	[NULL]	=8	=8	=8	=1	=175	=175	=43	[NULL]	[NULL]	=E	=7	=587	=08/19/2013 14:08:45	=False	=False	
=84	=43	=996	=E8	[NULL]	=7	=8	=8	=1	=175	=175	=44	[NULL]	[NULL]	=E	=8	=411	=08/21/2013 12:08:53	=False	=False	
=85	=43	=992	=E9	[NULL]	=8	=8	=8	=1	=175	=175	=45	[NULL]	[NULL]	=E	=9	=321	=08/14/2013 14:06:20	=False	=False	
=126	=39	=1012	=1	[NULL]	=7	=12	=48	=4	=175	=175	=1	[NULL]	[NULL]	=	=1	=6733	=08/12/2013 14:34:28	=False	=False	
=127	=39	=912	=2	[NULL]	=6	=12	=48	=4	=175	=175	=2	[NULL]	[NULL]	=	=2	=4756	=08/21/2013 14:38:43	=False	=False	
=128	=39	=1132	=3	[NULL]	=7	=12	=48	=4	=175	=175	=3	[NULL]	[NULL]	=	=3	=6500	=08/17/2013 14:36:39	=False	=False	
=129	=39	=990	=4	[NULL]	=8	=12	=48	=4	=175	=175	=4	[NULL]	[NULL]	=	=4	=5681	=08/20/2013 18:36:46	=False	=False	
=130	=39	=999	=5	[NULL]	=12	=12	=48	=2	=175	=175	=5	[NULL]	[NULL]	=	=5	=3285	=08/17/2013 14:36:39	=False	=False	
=131	=39	=998	=6	[NULL]	=7	=12	=36	=2	=175	=175	=6	[NULL]	[NULL]	=	=6	=4637	=08/16/2013 14:36:30	=False	=False	
=132	=39	=911	=7	[NULL]	=24	=24	=48	=4	=100	=100	=7	[NULL]	[NULL]	=	=7	=5363	=08/20/2013 10:36:45	=False	=False	
=133	=39	=933	=8	[NULL]	=10	=12	=36	=2	=350	=350	=8	[NULL]	[NULL]	=	=8	=2564	=07/23/2013 18:24:27	=False	=False	
=134	=39	=992	=9	[NULL]	=5	=12	=36	=2	=175	=175	=9	[NULL]	[NULL]	=	=9	=2889	=07/30/2013 18:26:47	=False	=False	
=135	=39	=995	=10	[NULL]	=8	=12	=36	=2	=175	=175	=10	[NULL]	[NULL]	=	=10	=2959	=07/29/2013 22:26:51	=False	=False	
=136	=44	=1148	=A1	[NULL]	=7	=8	=8	=2	=275	=275	=1	[NULL]	[NULL]	=A	=1	=551	=08/19/2013 17:34:58	=False	=False	
=137	=44	=1149	=A2	[NULL]	=7	=8	=8	=2	=275	=275	=2	[NULL]	[NULL]	=A	=2	=696	=08/20/2013 13:34:48	=False	=False	
=138	=44	=1375	=A3	[NULL]	=7	=8	=8	=2	=275	=275	=3	[NULL]	[NULL]	=A	=3	=831	=08/21/2013 13:34:53	=False	=False	
=139	=44	=934	=A4	[NULL]	=6	=8	=9	=2	=250	=250	=4	[NULL]	[NULL]	=A	=4	=674	=08/21/2013 13:34:53	=False	=False	
=140	=44	=937	=A5	[NULL]	=7	=8	=9	=2	=250	=250	=5	[NULL]	[NULL]	=A	=5	=961	=08/13/2013 17:30:24	=False	=False	
=141	=44	=936	=A6	[NULL]	=6	=8	=9	=2	=250	=250	=6	[NULL]	[NULL]	=A	=6	=678	=08/21/2013 13:34:53	=False	=False	
=142	=44	=904	=A7	[NULL]	=8	=8	=9	=2	=275	=275	=7	[NULL]	[NULL]	=A	=7	=514	=08/19/2013 09:33:01	=False	=False	
=143	=44	=1342	=A8	[NULL]	=7	=8	=9	=2	=250	=250	=8	[NULL]	[NULL]	=A	=8	=620	=08/13/2013 13:30:42	=False	=False	
=144	=44	=1341	=A9	[NULL]	=8	=8	=9	=2	=250	=250	=9	[NULL]	[NULL]	=A	=9	=506	=08/14/2013 13:32:38	=False	=False	
=145	=44	=1170	=B1	[NULL]	=7	=8	=8	=2	=190	=190	=10	[NULL]	[NULL]	=B	=1	=1689	=08/08/2013 12:33:13	=False	=False	
=146	=44	=1244	=B2	[NULL]	=7	=8	=8	=2	=190	=190	=11	[NULL]	[NULL]	=B	=2	=1668	=08/21/2013 21:35:00	=False	=False	
=147	=44	=1343	=B3	[NULL]	=7	=8	=8	=2	=190	=190	=12	[NULL]	[NULL]	=B	=3	=1422	=07/23/2013 16:23:30	=False	=False	
=148	=44	=1327	=B4	[NULL]	=7	=8	=8	=2	=190	=190	=13	[NULL]	[NULL]	=B	=4	=1000	=08/21/2013 17:34:56	=False	=False	
=149	=44	=1105	=B5	[NULL]	=8	=8	=8	=2	=190	=190	=14	[NULL]	[NULL]	=B	=5	=1115	=08/19/2013 17:34:58	=False	=False	
=150	=44	=1130	=B6	[NULL]	=8	=8	=8	=2	=190	=190	=15	[NULL]	[NULL]	=B	=6	=778	=08/20/2013 13:34:48	=False	=False	
=151	=44	=1074	=B7	[NULL]	=7	=8	=8	=2	=190	=190	=16	[NULL]	[NULL]	=B	=7	=915	=08/19/2013 17:34:58	=False	=False	
=152	=44	=1073	=B8	[NULL]	=7	=8	=8	=2	=190	=190	=17	[NULL]	[NULL]	=B	=8	=868	=08/21/2013 17:34:56	=False	=False	
=153	=44	=938	=B9	[NULL]	=7	=8	=8	=2	=175	=175	=18	[NULL]	[NULL]	=B	=9	=930	=08/20/2013 13:34:48	=False	=False	
=154	=44	=914	=C1	[NULL]	=8	=8	=8	=2	=175	=175	=19	[NULL]	[NULL]	=C	=1	=690	=08/16/2013 17:32:54	=False	=False	
=155	=44	=1174	=C2	[NULL]	=8	=8	=8	=2	=175	=175	=20	[NULL]	[NULL]	=C	=2	=462	=08/15/2013 13:32:41	=False	=False	
=156	=44	=929	=C3	=B	=15	=16	=16	=4	=175	=175	=21	[NULL]	[NULL]	=C	=3	=617	=08/20/2013 17:34:51	=False	=False	
=157	=44	=929	=C4	=B	=0	=0	=0	=-1000	=175	=175	=22	[NULL]	[NULL]	=C	=4	=826	=08/14/2013 13:32:38	=False	=False	
=158	=44	=931	=C5	[NULL]	=12	=8	=8	=2	=175	=175	=23	[NULL]	[NULL]	=C	=5	=964	=08/21/2013 13:34:53	=False	=False	
=159	=44	=947	=C6	=D	=13	=16	=16	=2	=175	=175	=24	[NULL]	[NULL]	=C	=6	=716	=08/19/2013 17:34:58	=False	=False	
=160	=44	=947	=C7	=D	=0	=0	=0	=-1000	=175	=175	=25	[NULL]	[NULL]	=C	=7	=831	=08/19/2013 12:31:14	=False	=False	
=161	=44	=1028	=C8	[NULL]	=8	=8	=8	=2	=175	=175	=26	[NULL]	[NULL]	=C	=8	=851	=08/15/2013 09:32:39	=False	=False	
=162	=44	=946	=C9	[NULL]	=8	=8	=8	=2	=175	=175	=27	[NULL]	[NULL]	=C	=9	=503	=08/20/2013 17:34:51	=False	=False	
=163	=44	=922	=D1	[NULL]	=6	=8	=8	=2	=175	=175	=28	[NULL]	[NULL]	=D	=1	=674	=08/21/2013 17:34:56	=False	=False	
=164	=44	=927	=D2	[NULL]	=8	=8	=8	=2	=175	=175	=29	[NULL]	[NULL]	=D	=2	=656	=08/14/2013 15:00:32	=False	=False	
=165	=44	=926	=D3	=C	=14	=16	=16	=2	=175	=175	=30	[NULL]	[NULL]	=D	=3	=745	=08/16/2013 13:32:36	=False	=False	
=166	=44	=926	=D4	=C	=0	=0	=0	=-1000	=175	=175	=31	[NULL]	[NULL]	=D	=4	=802	=08/20/2013 13:34:48	=False	=False	
=167	=44	=921	=D5	[NULL]	=7	=8	=8	=2	=175	=175	=32	[NULL]	[NULL]	=D	=5	=786	=08/16/2013 17:32:54	=False	=False	
=168	=44	=923	=D6	[NULL]	=6	=8	=8	=2	=175	=175	=33	[NULL]	[NULL]	=D	=6	=753	=08/21/2013 21:35:00	=False	=False	
=169	=44	=1146	=D7	[NULL]	=8	=8	=8	=2	=175	=175	=34	[NULL]	[NULL]	=D	=7	=799	=08/16/2013 13:32:36	=False	=False	
=170	=44	=1154	=D8	[NULL]	=7	=8	=8	=2	=175	=175	=35	[NULL]	[NULL]	=D	=8	=678	=08/20/2013 13:34:48	=False	=False	
=171	=44	=928	=D9	[NULL]	=6	=8	=8	=2	=175	=175	=36	[NULL]	[NULL]	=D	=9	=712	=08/21/2013 17:34:56	=False	=False	
=172	=44	=995	=E1	[NULL]	=6	=8	=8	=2	=175	=175	=37	[NULL]	[NULL]	=E	=1	=683	=08/21/2013 17:34:56	=False	=False	
=173	=44	=992	=E2	[NULL]	=7	=8	=8	=2	=175	=175	=38	[NULL]	[NULL]	=E	=2	=535	=08/20/2013 13:34:48	=False	=False	
=174	=44	=996	=E3	[NULL]	=8	=8	=8	=2	=175	=175	=39	[NULL]	[NULL]	=E	=3	=433	=07/22/2013 16:23:13	=False	=False	
=175	=44	=993	=E4	[NULL]	=8	=8	=8	=2	=175	=175	=40	[NULL]	[NULL]	=E	=4	=722	=08/20/2013 21:34:55	=False	=False	
=176	=44	=910	=E5	=A	=32	=40	=40	=10	=125	=125	=41	[NULL]	[NULL]	=E	=5	=781	=08/19/2013 17:34:58	=False	=False	
=177	=44	=910	=E6	=A	=0	=0	=0	=-1000	=125	=125	=42	[NULL]	[NULL]	=E	=6	=701	=08/21/2013 13:34:53	=False	=False	
=178	=44	=910	=E7	=A	=0	=0	=0	=-1000	=125	=125	=43	[NULL]	[NULL]	=E	=7	=761	=08/20/2013 17:34:51	=False	=False	
=179	=44	=910	=E8	=A	=0	=0	=0	=-1000	=125	=125	=44	[NULL]	[NULL]	=E	=8	=534	=08/21/2013 17:34:56	=False	=False	
=180	=44	=910	=E9	=A	=0	=0	=0	=-1000	=125	=125	=45	[NULL]	[NULL]	=E	=9	=389	=08/14/2013 15:00:32	=False	=False	
=181	=44	=2	=F1	=9	=0	=0	[NULL]	=1	=125	=125	=46	[NULL]	[NULL]	=F	=1	=0	[NULL]	=False	=False	
=182	=44	=2	=F2	=9	=0	=0	[NULL]	=-1000	=125	=125	=47	[NULL]	[NULL]	=F	=2	=0	[NULL]	=False	=False	
=183	=44	=2	=F3	=9	=0	=0	[NULL]	=-1000	=125	=125	=48	[NULL]	[NULL]	=F	=3	=0	[NULL]	=False	=False	
=184	=44	=2	=F4	=9	=0	=0	[NULL]	=-1000	=125	=125	=49	[NULL]	[NULL]	=F	=4	=0	[NULL]	=False	=False	
=185	=44	=2	=F5	=9	=0	=0	[NULL]	=-1000	=125	=125	=50	[NULL]	[NULL]	=F	=5	=0	[NULL]	=False	=False	
=186	=44	=2	=F6	=9	=0	=0	[NULL]	=-1000	=125	=125	=51	[NULL]	[NULL]	=F	=6	=0	[NULL]	=False	=False	
=187	=44	=2	=F7	=9	=0	=0	[NULL]	=-1000	=125	=125	=52	[NULL]	[NULL]	=F	=7	=0	[NULL]	=False	=False	
=188	=44	=2	=F8	=9	=0	=0	[NULL]	=-1000	=125	=125	=53	[NULL]	[NULL]	=F	=8	=0	[NULL]	=False	=False	
=189	=44	=2	=F9	=9	=0	=0	[NULL]	=-1000	=125	=125	=54	[NULL]	[NULL]	=F	=9	=0	[NULL]	=False	=False	
=233	=42	=910	=1	=A	=0	=120	=288	=16	=125	[NULL]	=1	[NULL]	[NULL]	=	=1	=16658	=01/08/2013 16:22:23	=False	=False	
=234	=42	=910	=2	=A	=0	=0	=0	=-1000	=125	[NULL]	=2	[NULL]	[NULL]	=	=2	=3233	=12/13/2012 16:24:04	=False	=False	
=235	=42	=910	=3	=A	=0	=0	=0	=-1000	=125	[NULL]	=3	[NULL]	[NULL]	=	=3	=1699	=12/05/2012 15:42:33	=False	=False	
=236	=42	=910	=4	=A	=0	=0	=0	=-1000	=125	[NULL]	=4	[NULL]	[NULL]	=	=4	=1123	=12/15/2012 12:30:11	=False	=False	
=237	=42	=910	=5	=A	=0	=0	=0	=-1000	=125	[NULL]	=5	[NULL]	[NULL]	=	=5	=768	=01/12/2013 12:51:14	=False	=False	
=238	=42	=910	=6	=A	=0	=0	=0	=-1000	=125	[NULL]	=6	[NULL]	[NULL]	=	=6	=478	=11/27/2012 11:08:43	=False	=False	
=239	=42	=910	=7	=A	=0	=0	=0	=-1000	=125	[NULL]	=7	[NULL]	[NULL]	=	=7	=259	=10/18/2012 17:33:29	=False	=False	
=240	=42	=910	=8	=A	=0	=0	=0	=-1000	=125	[NULL]	=8	[NULL]	[NULL]	=	=8	=165	=11/21/2011 12:13:45	=False	=False	
=241	=42	=910	=9	=A	=0	=0	=0	=-1000	=125	[NULL]	=9	[NULL]	[NULL]	=	=9	=221	=02/07/2012 21:53:30	=False	=False	
=242	=38	=1012	=1	[NULL]	=0	=12	=32	=4	=175	[NULL]	=1	[NULL]	[NULL]	=	=1	=3337	=07/11/2013 13:26:06	=False	=False	
=243	=38	=912	=2	[NULL]	=0	=8	=32	=4	=175	[NULL]	=2	[NULL]	[NULL]	=	=2	=4144	=06/25/2013 17:35:26	=False	=False	
=244	=38	=911	=3	[NULL]	=11	=12	=32	=4	=100	[NULL]	=3	[NULL]	[NULL]	=	=3	=3841	=07/11/2013 13:26:06	=False	=False	
=245	=38	=990	=4	[NULL]	=0	=12	=32	=4	=175	[NULL]	=4	[NULL]	[NULL]	=	=4	=3429	=06/03/2013 13:26:10	=False	=False	
=246	=38	=934	=5	[NULL]	=0	=12	=32	=4	=250	[NULL]	=5	[NULL]	[NULL]	=	=5	=1552	=03/06/2013 21:16:42	=False	=False	
=247	=38	=998	=6	[NULL]	=7	=12	=32	=4	=175	[NULL]	=6	[NULL]	[NULL]	=	=6	=2109	=08/12/2013 13:46:15	=False	=False	
=248	=38	=999	=7	[NULL]	=7	=12	=32	=4	=175	[NULL]	=7	[NULL]	[NULL]	=	=7	=1974	=07/30/2013 13:39:11	=False	=False	
=249	=38	=993	=8	[NULL]	=9	=12	=32	=4	=175	[NULL]	=8	[NULL]	[NULL]	=	=8	=1258	=08/19/2013 21:48:43	=False	=False	
=250	=38	=995	=9	[NULL]	=11	=12	=32	=4	=175	[NULL]	=9	[NULL]	[NULL]	=	=9	=1847	=08/15/2013 13:46:34	=False	=False	
=251	=38	=2	=10	[NULL]	=12	=12	=32	=4	=175	[NULL]	=10	[NULL]	[NULL]	=	=10	=1690	=04/11/2013 22:31:51	=False	=False	
=252	=53	=929	=1	=A	=7	=12	=72	=2	=175	=175	=1	[NULL]	[NULL]	=	=1	=3848	=07/01/2013 21:25:51	=False	=False	
=253	=53	=929	=2	=A	=0	=0	=0	=-1000	=175	=175	=2	[NULL]	[NULL]	=	=2	=27442	=08/21/2013 09:57:01	=False	=False	
=254	=53	=931	=3	=B	=5	=12	=72	=2	=175	=175	=3	[NULL]	[NULL]	=	=3	=36979	=08/13/2013 13:52:21	=False	=False	
=255	=53	=931	=4	=B	=0	=0	=0	=-1000	=175	=175	=4	[NULL]	[NULL]	=	=4	=1835	=04/11/2013 12:22:32	=False	=False	
=256	=53	=921	=5	[NULL]	=8	=12	=36	=2	=175	=175	=5	[NULL]	[NULL]	=	=5	=2089	=08/21/2013 09:57:01	=False	=False	
=257	=53	=947	=6	[NULL]	=9	=12	=36	=2	=175	=175	=6	[NULL]	[NULL]	=	=6	=15792	=08/17/2013 13:54:35	=False	=False	
=258	=53	=946	=7	[NULL]	=12	=12	=36	=2	=175	=175	=7	[NULL]	[NULL]	=	=7	=17587	=06/04/2013 13:11:33	=False	=False	
=259	=53	=1146	=8	[NULL]	=8	=12	=36	=2	=175	=175	=8	[NULL]	[NULL]	=	=8	=1839	=08/06/2013 13:49:55	=False	=False	
=260	=53	=1154	=9	[NULL]	=6	=12	=36	=2	=175	=175	=9	[NULL]	[NULL]	=	=9	=811	=08/03/2013 13:47:49	=False	=False	
=261	=53	=910	=10	=C	=59	=72	=108	=2	=125	=125	=10	[NULL]	[NULL]	=	=10	=3373	=08/20/2013 17:56:54	=False	=False	
=262	=53	=910	=11	=C	=0	=0	=0	=-1000	=125	=125	=11	[NULL]	[NULL]	=	=11	=3628	=08/14/2013 13:52:26	=False	=False	
=263	=53	=910	=12	=C	=0	=0	=0	=-1000	=125	=125	=12	[NULL]	[NULL]	=	=12	=923	=08/21/2013 09:57:01	=False	=False	
=264	=52	=929	=1	=A	=7	=12	=64	=6	=175	=175	=1	[NULL]	[NULL]	=	=1	=410	=08/12/2013 12:53:57	=False	=False	
=265	=52	=929	=2	=A	=0	=0	=0	=-1000	=175	=175	=2	[NULL]	[NULL]	=	=2	=1471	=08/20/2013 12:58:18	=False	=False	
=266	=52	=929	=3	=A	=0	=0	=0	=-1000	=175	=175	=3	[NULL]	[NULL]	=	=3	=1430	=08/20/2013 16:58:22	=False	=False	
=267	=52	=929	=4	=A	=0	=0	=0	=-1000	=175	=175	=4	[NULL]	[NULL]	=	=4	=237	=06/27/2013 20:22:20	=False	=False	
=268	=52	=931	=5	=B	=9	=18	=64	=6	=175	=175	=5	[NULL]	[NULL]	=	=5	=1186	=08/21/2013 12:58:30	=False	=False	
=269	=52	=931	=6	=B	=0	=0	=0	=-1000	=175	=175	=6	[NULL]	[NULL]	=	=6	=3473	=08/20/2013 12:58:18	=False	=False	
=270	=52	=947	=7	[NULL]	=12	=12	=32	=4	=175	=175	=7	[NULL]	[NULL]	=	=7	=2000	=08/16/2013 16:55:57	=False	=False	
=271	=52	=921	=8	[NULL]	=11	=12	=32	=4	=175	=175	=8	[NULL]	[NULL]	=	=8	=2639	=08/19/2013 20:58:16	=False	=False	
=272	=52	=1146	=9	[NULL]	=10	=12	=32	=4	=175	=175	=9	[NULL]	[NULL]	=	=9	=2048	=08/19/2013 16:58:11	=False	=False	
=273	=52	=910	=10	=C	=64	=72	=96	=18	=125	=125	=10	[NULL]	[NULL]	=	=10	=2162	=08/21/2013 08:58:27	=False	=False	
=274	=52	=910	=11	=C	=0	=0	=0	=-1000	=125	=125	=11	[NULL]	[NULL]	=	=11	=4939	=08/21/2013 12:58:30	=False	=False	
=275	=52	=910	=12	=C	=0	=0	=0	=-1000	=125	=125	=12	[NULL]	[NULL]	=	=12	=1978	=08/19/2013 12:58:27	=False	=False	
=276	=37	=1012	=1	[NULL]	=9	=16	=32	=6	=175	=175	=1	[NULL]	[NULL]	=	=1	=9451	=08/21/2013 20:44:54	=False	=False	
=277	=37	=912	=2	[NULL]	=6	=16	=32	=6	=175	=175	=2	[NULL]	[NULL]	=	=2	=12348	=08/21/2013 16:45:04	=False	=False	
=278	=37	=1132	=3	[NULL]	=8	=12	=32	=4	=175	=175	=3	[NULL]	[NULL]	=	=3	=3538	=07/24/2013 20:24:14	=False	=False	
=279	=37	=911	=4	[NULL]	=22	=24	=32	=6	=100	=100	=4	[NULL]	[NULL]	=	=4	=10188	=08/12/2013 12:40:16	=False	=False	
=280	=37	=990	=5	[NULL]	=14	=16	=32	=6	=175	=175	=5	[NULL]	[NULL]	=	=5	=7575	=08/15/2013 16:40:24	=False	=False	
=281	=37	=998	=6	[NULL]	=13	=16	=32	=4	=175	=175	=6	[NULL]	[NULL]	=	=6	=4245	=08/15/2013 12:40:35	=False	=False	
=282	=37	=999	=7	[NULL]	=14	=16	=32	=4	=175	=175	=7	[NULL]	[NULL]	=	=7	=3844	=08/14/2013 16:40:26	=False	=False	
=283	=37	=992	=8	[NULL]	=9	=12	=32	=4	=175	=175	=8	[NULL]	[NULL]	=	=8	=3579	=08/19/2013 08:42:50	=False	=False	
=284	=37	=996	=9	[NULL]	=9	=12	=32	=4	=175	=175	=9	[NULL]	[NULL]	=	=9	=4981	=07/09/2013 13:51:43	=False	=False	
=285	=37	=995	=10	[NULL]	=8	=12	=32	=4	=175	=175	=10	[NULL]	[NULL]	=	=10	=4282	=08/08/2013 16:38:09	=False	=False	
=286	=36	=1362	=A0	[NULL]	=7	=9	=11	=1	=100	=100	=1	[NULL]	[NULL]	=A	=0	=4	=08/16/2013 13:32:32	=False	=False	
=287	=36	=869	=A2	[NULL]	=5	=9	=9	=1	=100	=100	=2	[NULL]	[NULL]	=A	=2	=19	=08/21/2013 17:34:46	=False	=False	
=288	=36	=868	=A4	[NULL]	=9	=9	=9	=1	=100	=100	=3	[NULL]	[NULL]	=A	=4	=4	=08/16/2013 01:33:31	=False	=False	
=289	=36	=870	=A6	[NULL]	=7	=9	=9	=1	=100	=100	=4	[NULL]	[NULL]	=A	=6	=2	=08/19/2013 17:34:55	=False	=False	
=290	=36	=1328	=B0	[NULL]	=9	=11	=11	=2	=100	=100	=5	[NULL]	[NULL]	=B	=0	=9	=08/21/2013 13:34:52	=False	=False	
=291	=36	=829	=B2	[NULL]	=10	=11	=11	=2	=80	=80	=6	[NULL]	[NULL]	=B	=2	=12	=08/19/2013 17:34:55	=False	=False	
