Id	MachineId	Name	NameAlpha	NameNumber	VmsCoilOrder	GroupName	Inventory	Par	AlertLevel	Capacity	PriceInCents	DesiredPriceInCents	ItemId	VendsSinceInitializationQuantity	
=114301	=1137617	=5	=	=5	[NULL]	[NULL]	=-2	=0	=-1000	[NULL]	=75	[NULL]	=1	=6835	
=114302	=1137617	=6	=	=6	[NULL]	[NULL]	=-3	=0	=-1000	[NULL]	=75	[NULL]	=1	=6359	
=115785	=1046189	=1	=	=1	[NULL]	[NULL]	=8	=12	=1	=12	=125	=125	=865	=86	
=115786	=1046189	=2	=	=2	[NULL]	[NULL]	=12	=12	=1	=12	=125	=125	=867	=21	
=115787	=1046189	=3	=	=3	[NULL]	[NULL]	=5	=12	=1	=12	=125	=125	=877	=99	
=115788	=1046189	=4	=	=4	[NULL]	[NULL]	=9	=12	=1	=12	=125	=125	=873	=54	
=115789	=1046189	=5	=	=5	[NULL]	[NULL]	=61	=12	=1	=12	=65	=65	=744	=186	
=115790	=1046189	=6	=	=6	[NULL]	[NULL]	=24	=12	=1	=12	=65	=65	=744	=93	
=122099	=1137803	=1	=	=1	[NULL]	[NULL]	=-1	=0	=-1000	[NULL]	=30	[NULL]	=1	=14463	
=122100	=1137803	=2	=	=2	[NULL]	[NULL]	=-2	=0	=-1000	[NULL]	=30	[NULL]	=1	=8840	
=122101	=1137803	=3	=	=3	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=30	[NULL]	=1	=7716	
=122102	=1137803	=4	=	=4	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=30	[NULL]	=1	=7856	
=122103	=1137803	=5	=	=5	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=30	[NULL]	=1	=4143	
=130249	=1047175	=1	=	=1	[NULL]	[NULL]	=77	=96	=36	=96	=55	=75	=744	=143	
=130250	=1047175	=2	=	=2	[NULL]	[NULL]	=80	=96	=36	=96	=55	=75	=765	=80	
=130251	=1047175	=3	=	=3	[NULL]	[NULL]	=94	=96	=36	=96	=55	=75	=754	=103	
=130252	=1047175	=4	=	=4	[NULL]	[NULL]	=72	=96	=36	=96	=55	=75	=756	=203	
=130253	=1047175	=5	=	=5	[NULL]	[NULL]	=49	=48	=24	=48	=55	=75	=784	=466	
=130254	=1047175	=6	=	=6	[NULL]	[NULL]	=49	=48	=24	=48	=55	=75	=764	=91	
=140755	=1108615	=1	=	=1	[NULL]	[NULL]	=33	=44	=9	=44	=125	=125	=865	=2526	
=140756	=1108615	=2	=	=2	[NULL]	[NULL]	=37	=44	=9	=44	=125	=125	=867	=2963	
=140757	=1108615	=3	=	=3	[NULL]	[NULL]	=38	=44	=9	=44	=125	=125	=869	=848	
=140758	=1108615	=4	=	=4	[NULL]	[NULL]	=44	=44	=9	=44	=125	=125	=1013	=308	
=140759	=1108615	=5	=	=5	[NULL]	[NULL]	=8	=22	=6	=22	=125	=125	=8838	=708	
=140760	=1108615	=6	=	=6	[NULL]	[NULL]	=12	=22	=6	=22	=125	=125	=8454	=380	
=140761	=1108608	=1	=	=1	[NULL]	[NULL]	=47	=48	=6	=48	=75	=75	=744	=230	
=140762	=1108608	=2	=	=2	[NULL]	[NULL]	=29	=24	=3	=48	=75	=75	=765	=232	
=140763	=1108608	=3	=	=3	[NULL]	[NULL]	=24	=24	=3	=48	=75	=75	=768	=343	
=140764	=1108608	=4	=	=4	[NULL]	[NULL]	=47	=48	=6	=48	=75	=75	=774	=385	
=140765	=1108608	=5	=	=5	[NULL]	[NULL]	=34	=24	=6	=24	=75	=75	=748	=176	
=140766	=1108608	=6	=	=6	[NULL]	[NULL]	=31	=24	=6	=24	=75	=75	=764	=269	
=140768	=1108820	=1	=	=1	[NULL]	[NULL]	=30	=48	=18	=48	=75	=75	=744	=466	
=140769	=1108820	=2	=	=2	[NULL]	[NULL]	=18	=36	=12	=36	=75	=75	=765	=502	
=140770	=1108820	=3	=	=3	[NULL]	[NULL]	=24	=36	=12	=36	=75	=75	=784	=177	
=140771	=1108820	=4	=	=4	[NULL]	[NULL]	=26	=24	=6	=24	=75	=75	=754	=196	
=140772	=1108820	=5	=	=5	[NULL]	[NULL]	=14	=24	=6	=24	=75	=75	=780	=144	
=140773	=1108820	=6	=	=6	[NULL]	[NULL]	=36	=24	=6	=24	=75	=75	=756	=309	
=140774	=1108826	=1	=	=1	[NULL]	[NULL]	=84	=104	=6	=104	=70	=70	=744	=741	
=140775	=1108826	=2	=	=2	[NULL]	[NULL]	=89	=104	=6	=104	=70	=70	=765	=1258	
=140776	=1108826	=3	=	=3	[NULL]	[NULL]	=91	=104	=6	=104	=70	=70	=774	=2200	
=140777	=1108826	=4	=	=4	[NULL]	[NULL]	=81	=104	=6	=104	=70	=70	=754	=776	
=140778	=1108826	=5	=	=5	[NULL]	[NULL]	=36	=52	=6	=52	=70	=70	=784	=910	
=140779	=1108826	=6	=	=6	[NULL]	[NULL]	=43	=52	=6	=52	=70	=70	=751	=1082	
=140790	=1108827	=1	=	=1	[NULL]	[NULL]	=51	=58	=6	=58	=75	=75	=744	=1053	
=140791	=1108827	=2	=	=2	[NULL]	[NULL]	=77	=58	=6	=58	=75	=75	=765	=902	
=140792	=1108827	=3	=	=3	[NULL]	[NULL]	=39	=32	=6	=32	=75	=75	=754	=683	
=140793	=1108827	=4	=	=4	[NULL]	[NULL]	=25	=32	=6	=32	=75	=75	=756	=526	
=140794	=1108827	=5	=	=5	[NULL]	[NULL]	=16	=32	=6	=24	=75	=75	=780	=571	
=140795	=1108827	=6	=	=6	[NULL]	[NULL]	=38	=58	=6	=24	=75	=75	=784	=385	
=140999	=1108825	=1	=	=1	[NULL]	[NULL]	=37	=48	=6	=44	=135	=135	=865	=1446	
=141000	=1108825	=2	=	=2	[NULL]	[NULL]	=15	=48	=6	=44	=135	=135	=867	=981	
=141001	=1108825	=3	=	=3	[NULL]	[NULL]	=47	=48	=6	=44	=135	=135	=861	=360	
=141002	=1108825	=4	=	=4	[NULL]	[NULL]	=37	=48	=6	=44	=135	=135	=879	=1362	
=141003	=1108825	=5	=	=5	[NULL]	[NULL]	=8	=22	=6	=22	=135	=135	=889	=478	
=141004	=1108825	=6	=	=6	[NULL]	[NULL]	=8	=22	=6	=22	=135	=135	=869	=596	
=157364	=610851	=1	=	=1	[NULL]	[NULL]	=38	=58	=6	=58	=65	=65	=748	=209	
=157365	=610851	=2	=	=2	[NULL]	[NULL]	=44	=58	=6	=58	=65	=65	=751	=230	
=157366	=610851	=3	=	=3	[NULL]	[NULL]	=30	=58	=6	=58	=65	=65	=754	=315	
=157367	=610851	=4	=	=4	[NULL]	[NULL]	=21	=30	=6	=30	=65	=65	=774	=166	
=157368	=610851	=5	=	=5	[NULL]	[NULL]	=21	=30	=6	=30	=65	=65	=776	=74	
=157369	=610851	=6	=	=6	[NULL]	[NULL]	=13	=30	=6	=30	=65	=65	=756	=185	
=157668	=611037	=CAB1	=CAB	=1	[NULL]	[NULL]	=-151	=0	=-1000	[NULL]	=0	[NULL]	=1	=1172	
=157669	=611037	=CAB2	=CAB	=2	[NULL]	[NULL]	=-3	=0	=-1000	[NULL]	=0	[NULL]	=1	=27	
=167345	=608339	=1	=	=1	[NULL]	[NULL]	=10	=0	=6	=0	=65	=65	=744	=9080	
=167346	=608339	=2	=	=2	[NULL]	[NULL]	=45	=0	=6	=0	=65	=65	=748	=4812	
=167347	=608339	=3	=	=3	[NULL]	[NULL]	=-6	=0	=6	=0	=65	=65	=784	=6140	
=167348	=608339	=4	=	=4	[NULL]	[NULL]	=13	=0	=6	=0	=65	=65	=765	=5077	
=167349	=608339	=5	=	=5	[NULL]	[NULL]	=37	=0	=6	=0	=65	=65	=774	=4328	
=167350	=608339	=6	=	=6	[NULL]	[NULL]	=-19	=0	=6	[NULL]	=65	[NULL]	=2	=2626	
=168101	=608549	=1	=	=1	[NULL]	[NULL]	=39	=48	=6	=48	=75	=75	=744	=7183	
=168102	=608549	=2	=	=2	[NULL]	[NULL]	=25	=48	=6	=48	=75	=75	=765	=5502	
=168103	=608549	=3	=	=3	[NULL]	[NULL]	=29	=48	=6	=48	=75	=75	=784	=5262	
=168104	=608549	=4	=	=4	[NULL]	[NULL]	=33	=48	=6	=48	=75	=75	=748	=6011	
=168105	=608549	=5	=	=5	[NULL]	[NULL]	=2	=48	=6	=48	=75	=75	=754	=3406	
=168106	=608549	=6	=	=6	[NULL]	[NULL]	=24	=24	=6	=24	=75	=75	=804	=3044	
=168168	=608346	=1	=	=1	[NULL]	[NULL]	=60	=24	=6	=24	=55	=55	=744	=247	
=168169	=608346	=2	=	=2	[NULL]	[NULL]	=39	=24	=6	=24	=55	=55	=765	=318	
=168170	=608346	=3	=	=3	[NULL]	[NULL]	=74	=24	=6	=24	=55	=55	=784	=150	
=168171	=608346	=4	=	=4	[NULL]	[NULL]	=61	=24	=6	=24	=55	=55	=780	=118	
=168172	=608346	=5	=	=5	[NULL]	[NULL]	=28	=24	=6	=24	=55	=55	=5724	=49	
=168173	=608346	=6	=	=6	[NULL]	[NULL]	=0	=24	=6	=24	=55	=55	=767	=89	
=171162	=609277	=1	=	=1	[NULL]	[NULL]	=41	=72	=6	=72	=75	=65	=744	=35579	
=171163	=609277	=2	=	=2	[NULL]	[NULL]	=3	=0	=6	=0	=75	=65	=804	=9607	
=171164	=609277	=3	=	=3	[NULL]	[NULL]	=34	=24	=6	=24	=75	=65	=784	=18257	
=171165	=609277	=4	=	=4	[NULL]	[NULL]	=46	=24	=6	=24	=75	=65	=765	=4870	
=171166	=609277	=5	=	=5	[NULL]	[NULL]	=29	=18	=6	=18	=75	=65	=5712	=13465	
=171167	=609277	=6	=	=6	[NULL]	[NULL]	=5	=18	=6	=18	=75	=65	=747	=5809	
=171300	=609284	=1	=	=1	[NULL]	=A	=36	=48	=6	=48	=65	=65	=744	=5321	
=171301	=609284	=2	=	=2	[NULL]	=A	=0	=0	=-1000	=0	=65	=65	=744	=2159	
=171302	=609284	=3	=	=3	[NULL]	[NULL]	=49	=24	=6	=24	=125	=125	=1013	=5045	
=171303	=609284	=4	=	=4	[NULL]	[NULL]	=4	=24	=6	=24	=65	=65	=765	=3607	
=171304	=609284	=5	=	=5	[NULL]	[NULL]	=74	=24	=6	=24	=65	=65	=784	=1010	
=171305	=609284	=6	=	=6	[NULL]	[NULL]	=51	=24	=6	=24	=65	=65	=754	=1472	
=173341	=608349	=1	=	=1	[NULL]	[NULL]	=15	=18	=6	=18	=75	=75	=744	=2832	
=173342	=608349	=2	=	=2	[NULL]	[NULL]	=18	=18	=6	=18	=75	=75	=765	=968	
=173343	=608349	=3	=	=3	[NULL]	[NULL]	=23	=18	=6	=18	=75	=75	=784	=2464	
=173344	=608349	=4	=	=4	[NULL]	[NULL]	=77	=18	=6	=18	=75	=75	=5712	=1100	
=173345	=608349	=5	=	=5	[NULL]	=A	=16	=18	=6	=18	=75	=75	=780	=1196	
=173346	=608349	=6	=	=6	[NULL]	=A	=0	=0	=-1000	=0	=75	=75	=780	=1840	
=187688	=608639	=1	=	=1	[NULL]	[NULL]	=56	=60	=6	=60	=75	=75	=744	=3758	
=187689	=608639	=2	=	=2	[NULL]	[NULL]	=56	=60	=6	=60	=75	=75	=748	=4119	
=187690	=608639	=3	=	=3	[NULL]	[NULL]	=62	=60	=6	=60	=75	=75	=784	=1843	
=187691	=608639	=4	=	=4	[NULL]	[NULL]	=26	=30	=6	=30	=75	=75	=754	=2819	
=187692	=608639	=5	=	=5	[NULL]	[NULL]	=26	=30	=6	=30	=75	=75	=774	=1389	
=187693	=608639	=6	=	=6	[NULL]	[NULL]	=26	=30	=6	=30	=75	=75	=780	=1263	
=190924	=636161	=1	=	=1	[NULL]	[NULL]	=28	=30	=6	=30	=50	=50	=756	=16202	
=190925	=636161	=2	=	=2	[NULL]	[NULL]	=43	=56	=6	=56	=50	=50	=765	=20384	
=190926	=636161	=3	=	=3	[NULL]	[NULL]	=49	=56	=6	=56	=50	=50	=744	=8831	
=190927	=636161	=4	=	=4	[NULL]	[NULL]	=14	=16	=6	=16	=50	=50	=767	=5510	
=190928	=636161	=5	=	=5	[NULL]	[NULL]	=28	=32	=6	=32	=50	=50	=754	=6826	
=190929	=636161	=6	=	=6	[NULL]	[NULL]	=28	=32	=6	=24	=50	=50	=772	=6456	
=197240	=604153	=1	=	=1	[NULL]	[NULL]	=46	=44	=4	=44	=135	=135	=865	=2212	
=197241	=604153	=2	=	=2	[NULL]	[NULL]	=34	=44	=4	=44	=135	=135	=867	=1102	
=197242	=604153	=3	=	=3	[NULL]	[NULL]	=43	=46	=4	=46	=135	=135	=889	=246	
=197243	=604153	=4	=	=4	[NULL]	[NULL]	=40	=44	=4	=44	=135	=135	=1017	=637	
=197244	=604153	=5	=	=5	[NULL]	[NULL]	=19	=24	=4	=24	=135	=135	=869	=551	
=197245	=604153	=6	=	=6	[NULL]	[NULL]	=18	=22	=4	=6	=135	=135	=1013	=695	
=198117	=639809	=1	=	=1	[NULL]	[NULL]	=43	=44	=6	=44	=125	=125	=865	=503	
=198118	=639809	=2	=	=2	[NULL]	[NULL]	=27	=46	=6	=46	=125	=125	=867	=3103	
=198119	=639809	=3	=	=3	[NULL]	[NULL]	=35	=44	=6	=44	=125	=125	=1013	=113	
=198120	=639809	=4	=	=4	[NULL]	[NULL]	=86	=100	=6	=100	=70	=70	=744	=933	
=198121	=639809	=5	=	=5	[NULL]	[NULL]	=37	=50	=6	=50	=70	=70	=5712	=846	
=198122	=639809	=6	=	=6	[NULL]	[NULL]	=40	=50	=6	=50	=70	=70	=784	=236	
=217330	=608771	=1	=	=1	[NULL]	[NULL]	=64	=64	=18	=64	=70	=70	=744	=224	
=217331	=608771	=2	=	=2	[NULL]	[NULL]	=63	=64	=18	=64	=70	=70	=765	=956	
=217332	=608771	=3	=	=3	[NULL]	[NULL]	=63	=64	=18	=64	=70	=70	=756	=331	
=217333	=608771	=4	=	=4	[NULL]	[NULL]	=27	=32	=9	=32	=70	=70	=751	=58	
=217334	=608771	=5	=	=5	[NULL]	[NULL]	=32	=32	=9	=32	=70	=70	=754	=265	
=217335	=608771	=6	=	=6	[NULL]	[NULL]	=32	=32	=9	=32	=70	=70	=774	=185	
=222747	=641538	=1	=	=1	[NULL]	[NULL]	=16	=46	=6	=46	=125	=125	=865	=506	
=222748	=641538	=2	=	=2	[NULL]	[NULL]	=41	=46	=6	=46	=125	=125	=867	=427	
=222749	=641538	=3	=	=3	[NULL]	[NULL]	=38	=46	=6	=46	=125	=125	=953	=202	
=222750	=641538	=4	=	=4	[NULL]	=A	=44	=46	=6	=46	=125	=125	=861	=179	
=222751	=641538	=5	=	=5	[NULL]	=A	=0	=0	=-1000	=0	=125	=125	=861	=538	
=222752	=641538	=6	=	=6	[NULL]	[NULL]	=46	=46	=6	=46	=125	=125	=877	=321	
=228433	=603568	=1	=	=1	[NULL]	[NULL]	=4	=30	=6	=30	=75	=75	=744	=586	
=228434	=603568	=2	=	=2	[NULL]	[NULL]	=11	=30	=6	=30	=75	=75	=765	=875	
=228435	=603568	=3	=	=3	[NULL]	[NULL]	=17	=30	=6	=30	=75	=75	=764	=590	
=228436	=603568	=4	=	=4	[NULL]	[NULL]	=4	=30	=6	=30	=75	=75	=780	=601	
=228437	=603568	=5	=	=5	[NULL]	[NULL]	=23	=30	=6	=30	=75	=75	=784	=268	
=228438	=603568	=6	=	=6	[NULL]	[NULL]	=28	=30	=6	=30	=75	=75	=5725	=276	
=233038	=603639	=1	=	=1	[NULL]	[NULL]	=1	=44	=6	=44	=135	=135	=865	=9078	
=233039	=603639	=2	=	=2	[NULL]	[NULL]	=30	=44	=6	=44	=135	=135	=867	=5066	
=233040	=603639	=3	=	=3	[NULL]	[NULL]	=19	=44	=6	=44	=135	=135	=1013	=2954	
=233041	=603639	=4	=	=4	[NULL]	[NULL]	=0	=44	=6	=44	=135	=135	=869	=4498	
=233042	=603639	=5	=	=5	[NULL]	[NULL]	=1	=22	=6	=22	=135	=135	=889	=3412	
=233043	=603639	=6	=	=6	[NULL]	[NULL]	=-1	=22	=6	=22	=135	=135	=1017	=3443	
=240521	=603569	=1	=	=1	[NULL]	=A	=82	=48	=6	=48	=75	=75	=744	=276	
=240522	=603569	=2	=	=2	[NULL]	=A	=-3	=0	=-1000	=0	=75	=75	=744	=249	
=240523	=603569	=3	=	=3	[NULL]	[NULL]	=47	=100	=6	=100	=75	=75	=765	=1378	
=240524	=603569	=4	=	=4	[NULL]	[NULL]	=18	=24	=6	=24	=75	=75	=780	=310	
=240525	=603569	=5	=	=5	[NULL]	[NULL]	=23	=24	=6	=24	=75	=75	=5712	=324	
=240526	=603569	=6	=	=6	[NULL]	[NULL]	=21	=24	=6	=24	=75	=75	=784	=186	
=242315	=635404	=1	=	=1	[NULL]	[NULL]	=2	=24	=6	=24	=50	=50	=756	=9859	
=242316	=635404	=2	=	=2	[NULL]	[NULL]	=20	=18	=6	=18	=50	=50	=748	=6764	
=242317	=635404	=3	=	=3	[NULL]	[NULL]	=40	=48	=6	=48	=50	=50	=765	=12088	
=242318	=635404	=4	=	=4	[NULL]	[NULL]	=21	=24	=6	=24	=50	=50	=751	=7363	
=242319	=635404	=5	=	=5	[NULL]	[NULL]	=20	=24	=6	=24	=50	=50	=744	=5625	
=242320	=635404	=6	=	=6	[NULL]	[NULL]	=21	=24	=6	=24	=50	=50	=784	=12241	
=257790	=603916	=1	=	=1	[NULL]	[NULL]	=59	=72	=6	=72	=75	=75	=744	=972	
=257791	=603916	=2	=	=2	[NULL]	[NULL]	=54	=60	=6	=60	=75	=75	=765	=141	
=257792	=603916	=3	=	=3	[NULL]	[NULL]	=41	=72	=6	=72	=75	=75	=748	=836	
=257793	=603916	=4	=	=4	[NULL]	[NULL]	=60	=60	=6	=60	=75	=75	=756	=84	
=257794	=603916	=5	=	=5	[NULL]	[NULL]	=35	=48	=6	=48	=75	=75	=754	=524	
=257795	=603916	=6	=	=6	[NULL]	[NULL]	=21	=48	=6	=48	=75	=75	=784	=111	
=258849	=603898	=1	=	=1	[NULL]	[NULL]	=14	=36	=6	=36	=55	=55	=744	=796	
=258850	=603898	=2	=	=2	[NULL]	[NULL]	=27	=36	=6	=36	=55	=55	=754	=135	
=258851	=603898	=3	=	=3	[NULL]	[NULL]	=13	=36	=6	=36	=55	=55	=774	=854	
=258852	=603898	=4	=	=4	[NULL]	[NULL]	=28	=36	=6	=36	=55	=55	=748	=472	
=258853	=603898	=5	=	=5	[NULL]	[NULL]	=10	=24	=6	=24	=55	=55	=5724	=191	
=258854	=603898	=6	=	=6	[NULL]	[NULL]	=10	=24	=6	=24	=55	=55	=784	=233	
=259820	=1142855	=1	=	=1	[NULL]	[NULL]	=0	=48	=12	=96	=75	[NULL]	=765	=1854	
=259821	=1142855	=2	=	=2	[NULL]	[NULL]	=0	=24	=6	=96	=75	[NULL]	=744	=255	
=259822	=1142855	=3	=	=3	[NULL]	[NULL]	=0	=24	=6	=96	=75	[NULL]	=756	=306	
=259823	=1142855	=4	=	=4	[NULL]	[NULL]	=0	=24	=6	=96	=75	[NULL]	=751	=502	
=259824	=1142855	=5	=	=5	[NULL]	[NULL]	=0	=24	=6	=48	=75	[NULL]	=774	=153	
=259825	=1142855	=6	=	=6	[NULL]	[NULL]	=0	=24	=6	=48	=75	[NULL]	=748	=264	
=264394	=1142906	=1	=	=1	[NULL]	[NULL]	=5	=90	=6	=90	=75	=75	=748	=4188	
=264395	=1142906	=2	=	=2	[NULL]	[NULL]	=30	=90	=6	=90	=75	=75	=774	=3474	
=264396	=1142906	=3	=	=3	[NULL]	[NULL]	=37	=48	=6	=48	=75	=75	=804	=677	
=264397	=1142906	=4	=	=4	[NULL]	[NULL]	=29	=48	=6	=48	=75	=75	=751	=1106	
=264398	=1142906	=5	=	=5	[NULL]	[NULL]	=13	=48	=6	=48	=75	=75	=778	=1521	
=264399	=1142906	=6	=	=6	[NULL]	[NULL]	=36	=48	=6	=48	=75	=75	=776	=422	
=266217	=1136619	=1	=	=1	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=110	[NULL]	=1	=31	
=266218	=1136619	=2	=	=2	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=110	[NULL]	=1	=43	
=266219	=1136619	=3	=	=3	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=110	[NULL]	=1	=28	
=266220	=1136619	=4	=	=4	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=100	[NULL]	=1	=26	
=266221	=1136619	=5	=	=5	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=110	[NULL]	=1	=37	
=266222	=1136619	=6	=	=6	[NULL]	[NULL]	=-1	=0	=-1000	[NULL]	=110	[NULL]	=1	=83	
=266920	=603431	=1	=	=1	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=125	[NULL]	=1	=2	
=266921	=603431	=2	=	=2	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=125	[NULL]	=1	=2	
=266922	=603431	=3	=	=3	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=125	[NULL]	=1	=3	
=266923	=603431	=4	=	=4	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=125	[NULL]	=1	=1	
=266924	=603431	=5	=	=5	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=125	[NULL]	=1	=2	
=266925	=603431	=6	=	=6	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=125	[NULL]	=1	=3	
=268006	=1140573	=CAB1	=CAB	=1	[NULL]	[NULL]	=-10269	=0	=-1000	[NULL]	=0	[NULL]	=2	=10286	
=268007	=1140573	=CAB2	=CAB	=2	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=0	[NULL]	=2	=0	
=268761	=603764	=1	=	=1	[NULL]	[NULL]	=68	=84	=36	=84	=70	=70	=744	=2437	
=268762	=603764	=2	=	=2	[NULL]	[NULL]	=35	=48	=24	=48	=70	=70	=765	=1652	
=268763	=603764	=3	=	=3	[NULL]	[NULL]	=30	=48	=24	=48	=70	=70	=784	=701	
=268764	=603764	=4	=	=4	[NULL]	[NULL]	=34	=48	=24	=48	=70	=70	=754	=1150	
=268765	=603764	=5	=	=5	[NULL]	[NULL]	=37	=48	=24	=48	=70	=70	=756	=429	
=268766	=603764	=6	=	=6	[NULL]	[NULL]	=60	=48	=24	=48	=70	=70	=776	=355	
=271601	=1136066	=CAB1	=CAB	=1	[NULL]	[NULL]	=-19	=0	=-1000	[NULL]	=0	[NULL]	=2	=205	
=271602	=1136066	=CAB2	=CAB	=2	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=0	[NULL]	=2	=0	
=271739	=1140284	=CAB1	=CAB	=1	[NULL]	[NULL]	=-29612	=0	=-1000	[NULL]	=0	[NULL]	=2	=1359	
=271740	=1140284	=CAB2	=CAB	=2	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=0	[NULL]	=2	=0	
=277535	=1140295	=CAB1	=CAB	=1	[NULL]	[NULL]	=-1395	=0	=-1000	[NULL]	=0	[NULL]	=2	=45842	
=277536	=1140295	=CAB2	=CAB	=2	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=0	[NULL]	=2	=0	
=280858	=1140540	=CAB1	=CAB	=1	[NULL]	[NULL]	=-6589	=0	=-1000	[NULL]	=0	[NULL]	=2	=47455	
=280859	=1140540	=CAB2	=CAB	=2	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=0	[NULL]	=2	=0	
=281461	=1145609	=1	=	=1	[NULL]	[NULL]	=13	=44	=6	=44	=115	=115	=865	=479	
=281462	=1145609	=2	=	=2	[NULL]	[NULL]	=36	=44	=6	=44	=115	=115	=867	=545	
=281463	=1145609	=3	=	=3	[NULL]	[NULL]	=36	=44	=6	=44	=115	=115	=1013	=225	
=281464	=1145609	=4	=	=4	[NULL]	[NULL]	=37	=44	=6	=44	=115	=115	=1017	=284	
=281465	=1145609	=5	=	=5	[NULL]	[NULL]	=20	=22	=6	=22	=115	=115	=891	=217	
=281466	=1145609	=6	=	=6	[NULL]	[NULL]	=12	=22	=6	=22	=115	=115	=883	=275	
=281467	=1140317	=CAB1	=CAB	=1	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=0	[NULL]	=2	=0	
=281468	=1140317	=CAB2	=CAB	=2	[NULL]	[NULL]	=0	=0	=-1000	[NULL]	=0	[NULL]	=2	=0	
=317026	=1107770	=CAB1	=CAB	=1	[NULL]	[NULL]	=-54	=0	=-1000	[NULL]	=0	[NULL]	=1	=45035	
=317027	=1107770	=CAB2	=CAB	=2	[NULL]	[NULL]	=-4	=0	=-1000	[NULL]	=0	[NULL]	=1	=11300	
=326059	=1109562	=1	=	=1	[NULL]	=A	=90	=96	=6	=96	=225	=225	=987	=949	
=326060	=1109562	=2	=	=2	[NULL]	=A	=0	=0	=-1000	=0	=225	=225	=987	=147	
=326061	=1109562	=3	=	=3	[NULL]	[NULL]	=35	=24	=6	=24	=225	=225	=1001	=331	
=326983	=1109552	=1	=	=1	[NULL]	=A	=118	=96	=6	=96	=225	=225	=987	=741	
