Id	MachineId	LastRestockCashSalesAmountInCents	LastRestockCashInAmountInCents	LastRestockCashSalesQuantity	LastRestockBillsInAmount	LastRestockCoinsToTubesAmountInCents	LastRestockCoinsToBoxAmountInCents	CashSalesAmountInCents	CashInAmountInCents	CashSalesQuantity	BillsInAmount	CoinsToBoxAmountInCents	CoinsToTubeAmountInCents	CollectionDateTime	LastCollectionDateTime	CreatedByBackRestock	CollectedBillsAmount	CollectedCoinsAmountInCents	RefundAmountInCents	LastRestockCardSalesQuantity	LastRestockCardSalesAmountInCents	LastRestockTokenSalesQuantity	LastRestockTokenSalesAmountInCents	LastRestockCashDispensedAmountInCents	CardSalesQuantity	CardSalesAmountInCents	TokenSalesQuantity	TokenSalesAmountInCents	CashDispensedAmountInCents	CoinRefillAmountInCents	LastRestockTestVendAmountInCents	CoinsInTubeAmountInCents	FreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesQuantity	LastRestockFreeSalesAmountInCents	BagNumber	CollectedTokensCount	CollectedTokensAmountInCents	CreatedDateTime	CreatedBy	Deleted	PrepickId	LastRestockAllSalesAmountInCents	AllSalesAmountInCents	RestockSummaryFrozen	CashMeterVideoId	PhotoAuditImageId	PhotoAuditThumbnailImageId	PreviousRestockUtcDateTime	RestockUtcDateTime	CreatedUtcDateTime	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	ScheduleId	ScheduleDate	LastUpdateReason	LastUpdatedByUserId	
=9921	=43	=4600	=5675	=25	=45	=545	=630	=3009845	=4146375	=18106	=33953	=322135	=428940	=08/08/2013 15:52:21	=08/05/2013 09:21:26	=0	=0	=0	=0	=4	=600	=0	=0	=1075	=6335	=1141955	=0	=0	=1153035	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 15:52:22	[NULL]	=False	=3862	=5200	=4151800	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 12:52:21	=08/08/2013 12:52:22	[NULL]	[NULL]	[NULL]	[NULL]	=4627	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9922	=26	=5095	=8030	=52	=65	=450	=1080	=3043340	=3698495	=28455	=91	=1330	=317755	=08/08/2013 15:56:11	=08/05/2013 09:13:25	=0	=0	=0	=0	=1	=125	=0	=0	=3555	=5	=675	=0	=0	=1111780	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/08/2013 15:56:11	[NULL]	=False	=3862	=5220	=3044015	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/08/2013 12:56:11	=08/08/2013 12:56:11	[NULL]	[NULL]	[NULL]	[NULL]	=4627	=08/08/2013 00:00:00	[NULL]	[NULL]	
=9923	=17	=7625	=4205	=70	=0	=490	=0	=6782710	=8432655	=89140	=9	=445	=171070	=08/09/2013 09:29:20	=07/30/2013 10:12:18	=0	=0	=0	=0	=0	=0	=0	=0	=330	=4	=430	=0	=0	=547845	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/09/2013 09:29:21	[NULL]	=False	=3863	=4630	=6783140	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/09/2013 06:29:20	=08/09/2013 06:29:21	[NULL]	[NULL]	[NULL]	[NULL]	=4628	=08/09/2013 00:00:00	[NULL]	[NULL]	
=9924	=21	=11645	=5315	=107	=0	=365	=0	=6384080	=8846640	=78857	=35	=200	=190435	=08/09/2013 09:35:41	=07/31/2013 11:49:14	=0	=0	=0	=0	=0	=0	=0	=0	=1345	=5	=475	=0	=0	=539405	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/09/2013 09:35:42	[NULL]	=False	=3863	=4520	=6384555	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/09/2013 06:35:41	=08/09/2013 06:35:42	[NULL]	[NULL]	[NULL]	[NULL]	=4628	=08/09/2013 00:00:00	[NULL]	[NULL]	
=9925	=18	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/09/2013 09:30:00	=08/06/2013 09:20:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/09/2013 09:38:45	=broman@tmcc.edu	=False	=3863	=3475	=721275	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/09/2013 06:30:00	=08/09/2013 06:38:45	=4433	[NULL]	[NULL]	[NULL]	=4628	=08/09/2013 00:00:00	[NULL]	[NULL]	
=9926	=5	=4085	=6250	=22	=50	=1200	=50	=1308035	=2279660	=7266	=19119	=73390	=294370	=08/09/2013 10:54:53	=08/07/2013 11:10:15	=0	=0	=0	=0	=1	=275	=0	=0	=2165	=997	=187845	=0	=0	=1082865	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/09/2013 10:54:54	[NULL]	=False	=3864	=4360	=1495880	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/09/2013 07:54:53	=08/09/2013 07:54:54	[NULL]	[NULL]	[NULL]	[NULL]	=4629	=08/09/2013 00:00:00	[NULL]	[NULL]	
=9927	=1	=3920	=4900	=38	=37	=535	=665	=3815000	=5413275	=36449	=362	=6225	=773315	=08/09/2013 10:58:20	=08/07/2013 10:56:24	=0	=0	=0	=0	=3	=400	=0	=0	=980	=22	=2645	=0	=0	=2071495	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/09/2013 10:58:21	[NULL]	=False	=3864	=4320	=3817645	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/09/2013 07:58:20	=08/09/2013 07:58:21	[NULL]	[NULL]	[NULL]	[NULL]	=4629	=08/09/2013 00:00:00	[NULL]	[NULL]	
=9928	=31	=3090	=5315	=31	=41	=350	=865	=1185900	=1462890	=11012	=80	=1665	=156540	=08/12/2013 09:23:18	=08/08/2013 10:12:11	=0	=0	=0	=0	=3	=380	=0	=0	=2225	=5	=630	=0	=0	=385720	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/12/2013 09:23:18	[NULL]	=False	=3865	=3470	=1186530	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 07:12:11	=08/12/2013 06:23:18	=08/12/2013 06:23:18	[NULL]	[NULL]	[NULL]	[NULL]	=4630	=08/12/2013 00:00:00	[NULL]	[NULL]	
=9929	=41	=5700	=7350	=30	=61	=1075	=175	=3648910	=5084210	=21799	=43477	=166480	=570030	=08/12/2013 09:32:53	=08/08/2013 09:49:18	=0	=0	=0	=0	=3	=555	=0	=0	=1650	=2538	=460180	=0	=0	=1456690	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/12/2013 09:32:53	[NULL]	=False	=3865	=6255	=4109090	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 06:49:18	=08/12/2013 06:32:53	=08/12/2013 06:32:53	[NULL]	[NULL]	[NULL]	[NULL]	=4630	=08/12/2013 00:00:00	[NULL]	[NULL]	
=9930	=14	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/12/2013 09:20:00	=07/30/2013 12:00:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/12/2013 09:36:41	=broman@tmcc.edu	=False	=3865	=4175	=211760	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/12/2013 06:20:00	=08/12/2013 06:36:41	=4433	[NULL]	[NULL]	[NULL]	=4630	=08/12/2013 00:00:00	[NULL]	[NULL]	
=9931	=44	=3525	=4270	=19	=29	=550	=820	=4717440	=6452245	=28299	=53398	=390235	=722210	=08/12/2013 09:54:45	=08/08/2013 09:04:57	=0	=0	=0	=0	=4	=825	=0	=0	=745	=6603	=1203270	=0	=0	=1747775	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/12/2013 09:54:46	[NULL]	=False	=3866	=4350	=5920710	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 06:04:57	=08/12/2013 06:54:45	=08/12/2013 06:54:46	[NULL]	[NULL]	[NULL]	[NULL]	=4631	=08/12/2013 00:00:00	[NULL]	[NULL]	
=9932	=21	=755	=1225	=7	=10	=175	=50	=6384835	=8847865	=78864	=45	=250	=190610	=08/12/2013 09:59:03	=08/09/2013 09:35:41	=0	=0	=0	=0	=2	=225	=0	=0	=470	=7	=700	=0	=0	=539875	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/12/2013 10:01:00	=broman@tmcc.edu	=False	[NULL]	=980	=6385535	=True	[NULL]	[NULL]	[NULL]	=08/09/2013 06:35:41	=08/12/2013 06:59:03	=08/12/2013 07:01:00	=4433	[NULL]	[NULL]	[NULL]	[NULL]	=08/11/2013 00:00:00	[NULL]	[NULL]	
=9933	=19	=2870	=4545	=28	=35	=295	=750	=3981695	=4463220	=38809	=47	=1115	=428495	=08/12/2013 10:14:02	=08/06/2013 09:14:43	=0	=0	=0	=0	=8	=875	=0	=0	=1675	=10	=1075	=0	=0	=1127485	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/12/2013 10:14:03	[NULL]	=False	=3866	=3745	=3982770	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/12/2013 07:14:02	=08/12/2013 07:14:03	[NULL]	[NULL]	[NULL]	[NULL]	=4631	=08/12/2013 00:00:00	[NULL]	[NULL]	
=9934	=4	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/12/2013 14:10:00	=07/29/2013 13:40:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/12/2013 14:32:05	=broman@tmcc.edu	=False	=3867	=3400	=1881220	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/12/2013 11:10:00	=08/12/2013 11:32:05	=4433	[NULL]	[NULL]	[NULL]	=4632	=08/12/2013 00:00:00	[NULL]	[NULL]	
=9935	=28	=1375	=1850	=7	=15	=350	=0	=12134940	=14342875	=95944	=110122	=1438130	=1892545	=08/12/2013 15:30:17	=08/08/2013 15:47:03	=0	=0	=0	=0	=3	=700	=0	=0	=475	=25890	=3858585	=0	=0	=2156775	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/12/2013 15:30:18	[NULL]	=False	=3868	=2075	=15993525	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 12:47:03	=08/12/2013 12:30:17	=08/12/2013 12:30:18	[NULL]	[NULL]	[NULL]	[NULL]	=4633	=08/12/2013 00:00:00	[NULL]	[NULL]	
=9936	=37	=2400	=2400	=15	=30	=350	=0	=6751250	=6751250	=59551	=56892	=1101500	=982035	=08/13/2013 11:00:49	=08/07/2013 09:09:48	=0	=0	=0	=0	=0	=0	=0	=0	=950	=4467	=480600	=0	=0	=986655	=0	[NULL]	[NULL]	=35	=0	=0	=0	[NULL]	=0	=0	=08/13/2013 11:00:50	[NULL]	=False	=3869	=2400	=7231850	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/13/2013 08:00:49	=08/13/2013 08:00:50	[NULL]	[NULL]	[NULL]	[NULL]	=4634	=08/13/2013 00:00:00	[NULL]	[NULL]	
=9937	=36	=4130	=5370	=41	=39	=600	=870	=1749830	=1970365	=17699	=76	=1510	=172665	=08/13/2013 11:03:40	=08/07/2013 09:07:20	=0	=0	=0	=0	=0	=0	=0	=0	=1240	=1	=100	=0	=0	=426575	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/13/2013 11:03:41	[NULL]	=False	=3869	=4130	=1749930	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/13/2013 08:03:40	=08/13/2013 08:03:41	[NULL]	[NULL]	[NULL]	[NULL]	=4634	=08/13/2013 00:00:00	[NULL]	[NULL]	
=9938	=1	=8435	=12190	=73	=97	=1755	=735	=3823435	=5425465	=36522	=459	=6960	=775070	=08/13/2013 11:50:52	=08/09/2013 10:58:20	=0	=0	=0	=0	=4	=480	=0	=0	=5255	=26	=3125	=0	=0	=2076750	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/13/2013 11:50:53	[NULL]	=False	=3870	=8915	=3826560	=True	[NULL]	[NULL]	[NULL]	=08/09/2013 07:58:20	=08/13/2013 08:50:52	=08/13/2013 08:50:53	[NULL]	[NULL]	[NULL]	[NULL]	=4635	=08/13/2013 00:00:00	[NULL]	[NULL]	
=9939	=3	=8275	=11250	=40	=102	=700	=350	=8421805	=10633840	=66772	=78899	=810825	=1933115	=08/13/2013 11:59:59	=07/26/2013 11:05:37	=0	=0	=0	=0	=0	=0	=0	=0	=4975	=0	=0	=0	=0	=2209690	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/13/2013 12:00:00	[NULL]	=False	=3870	=8275	=8421805	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/13/2013 08:59:59	=08/13/2013 09:00:00	[NULL]	[NULL]	[NULL]	[NULL]	=4635	=08/13/2013 00:00:00	[NULL]	[NULL]	
=9940	=5	=4945	=10500	=29	=92	=810	=490	=1312980	=2290160	=7295	=19211	=73880	=295180	=08/13/2013 12:04:30	=08/09/2013 10:54:53	=0	=0	=0	=0	=0	=0	=0	=0	=5580	=997	=187845	=0	=0	=1088445	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/13/2013 12:04:31	[NULL]	=False	=3870	=4945	=1500825	=True	[NULL]	[NULL]	[NULL]	=08/09/2013 07:54:53	=08/13/2013 09:04:30	=08/13/2013 09:04:31	[NULL]	[NULL]	[NULL]	[NULL]	=4635	=08/13/2013 00:00:00	[NULL]	[NULL]	
=9941	=6	=6825	=9010	=70	=66	=590	=1820	=2187475	=3051545	=22021	=706	=7870	=304675	=08/13/2013 12:46:14	=08/08/2013 11:56:29	=0	=0	=0	=0	=1	=125	=0	=0	=2185	=30	=3330	=0	=0	=1015960	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/13/2013 12:46:14	[NULL]	=False	=3870	=6950	=2190805	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 08:56:29	=08/13/2013 09:46:14	=08/13/2013 09:46:14	[NULL]	[NULL]	[NULL]	[NULL]	=4635	=08/13/2013 00:00:00	[NULL]	[NULL]	
=9942	=2	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=08/13/2013 11:50:00	=08/01/2013 12:20:00	=1	=0	=0	=0	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	=0	=0	=0	=0	=0	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/13/2013 13:04:29	=broman@tmcc.edu	=False	=3870	=5125	=416950	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/13/2013 08:50:00	=08/13/2013 10:04:29	=4433	[NULL]	[NULL]	[NULL]	=4635	=08/13/2013 00:00:00	[NULL]	[NULL]	
=9943	=26	=2990	=4025	=28	=31	=390	=535	=3046330	=3702520	=28483	=122	=1865	=318145	=08/14/2013 09:33:54	=08/08/2013 15:56:11	=0	=0	=0	=0	=15	=1580	=0	=0	=1035	=20	=2255	=0	=0	=1112815	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 09:33:56	[NULL]	=False	=3871	=4570	=3048585	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 12:56:11	=08/14/2013 06:33:54	=08/14/2013 06:33:56	[NULL]	[NULL]	[NULL]	[NULL]	=4637	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9944	=43	=4025	=6455	=24	=57	=25	=730	=3013870	=4152830	=18130	=34010	=322865	=428965	=08/14/2013 09:45:06	=08/08/2013 15:52:21	=0	=0	=0	=0	=6	=1065	=0	=0	=2430	=6341	=1143020	=0	=0	=1155465	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 09:45:07	[NULL]	=False	=3871	=5090	=4156890	=True	[NULL]	[NULL]	[NULL]	=08/08/2013 12:52:21	=08/14/2013 06:45:06	=08/14/2013 06:45:07	[NULL]	[NULL]	[NULL]	[NULL]	=4637	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9945	=29	=3635	=5775	=33	=54	=310	=65	=2477210	=2567505	=21689	=113	=230	=210680	=08/14/2013 09:48:10	=08/07/2013 15:57:58	=0	=0	=0	=0	=13	=2355	=0	=0	=2140	=18	=2880	=0	=0	=683380	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 09:48:12	[NULL]	=False	=3871	=5990	=2480090	=True	[NULL]	[NULL]	[NULL]	[NULL]	=08/14/2013 06:48:10	=08/14/2013 06:48:12	[NULL]	[NULL]	[NULL]	[NULL]	=4637	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9946	=28	=1525	=2230	=8	=16	=355	=275	=12136465	=14345105	=95952	=110138	=1438405	=1892900	=08/14/2013 09:23:37	=08/12/2013 15:30:17	=0	=0	=0	=0	=1	=350	=0	=0	=705	=25891	=3858935	=0	=0	=2157480	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 09:57:13	=broman@tmcc.edu	=False	=3871	=1875	=15995400	=True	[NULL]	[NULL]	[NULL]	=08/12/2013 12:30:17	=08/14/2013 06:23:37	=08/14/2013 06:57:13	=4433	[NULL]	[NULL]	[NULL]	=4637	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9947	=31	=4265	=6530	=41	=54	=515	=615	=1190165	=1469420	=11053	=134	=2280	=157055	=08/14/2013 10:16:18	=08/12/2013 09:23:18	=0	=0	=0	=0	=3	=325	=0	=0	=2265	=8	=955	=0	=0	=387985	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 10:16:19	[NULL]	=False	=3872	=4590	=1191120	=True	[NULL]	[NULL]	[NULL]	=08/12/2013 06:23:18	=08/14/2013 07:16:18	=08/14/2013 07:16:19	[NULL]	[NULL]	[NULL]	[NULL]	=4638	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9948	=41	=5425	=7440	=30	=59	=530	=1010	=3654335	=5091650	=21829	=43536	=167490	=570560	=08/14/2013 10:26:26	=08/12/2013 09:32:53	=0	=0	=0	=0	=2	=425	=0	=0	=2015	=2540	=460605	=0	=0	=1458705	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 10:26:27	[NULL]	=False	=3872	=5850	=4114940	=True	[NULL]	[NULL]	[NULL]	=08/12/2013 06:32:53	=08/14/2013 07:26:26	=08/14/2013 07:26:27	[NULL]	[NULL]	[NULL]	[NULL]	=4638	=08/14/2013 00:00:00	[NULL]	[NULL]	
=9949	=1	=7360	=10085	=68	=74	=1720	=965	=3830795	=5435550	=36590	=533	=7925	=776790	=08/14/2013 12:37:48	=08/13/2013 11:50:52	=0	=0	=0	=0	=3	=305	=0	=0	=2725	=29	=3430	=0	=0	=2079475	=0	[NULL]	[NULL]	=0	=0	=0	=0	[NULL]	=0	=0	=08/14/2013 12:37:48	[NULL]	=False	=3873	=7665	=3834225	=True	[NULL]	[NULL]	[NULL]	=08/13/2013 08:50:52	=08/14/2013 09:37:48	=08/14/2013 09:37:48	[NULL]	[NULL]	[NULL]	[NULL]	=4639	=08/14/2013 00:00:00	[NULL]	[NULL]	
