RestockId	HasSalesAllocated	ItemId	PriceInCents	AllocatedCashlessSalesAmountInCents	AllocatedCashlessSalesQuantity	AllocatedCollectedAmountInCents	AllocatedRefundAmountInCents	SalesQuantity	AddedQuantity	RemovedQuantity	SpoiledQuantity	Inventory	
=16137	=True	=286	=100	=0	=0	=690	=0	=2	=6	=0	=0	=12	
=16137	=True	=289	=100	=0	=0	=690	=0	=2	=6	=0	=0	=13	
=16137	=True	=291	=100	=0	=0	=345	=0	=1	=0	=0	=0	=12	
=16137	=True	=296	=0	=0	=0	=0	=0	=0	=10	=0	=0	=14	
=16137	=True	=301	=0	=0	=0	=0	=0	=0	=6	=0	=0	=16	
=16137	=True	=308	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16137	=True	=309	=0	=0	=0	=0	=0	=0	=0	=6	=0	=0	
=16137	=True	=313	=0	=0	=0	=0	=0	=0	=11	=0	=0	=18	
=16137	=True	=330	=70	=0	=0	=725	=0	=3	=7	=0	=0	=8	
=16137	=True	=347	=90	=0	=0	=1553	=0	=5	=12	=0	=0	=12	
=16137	=True	=350	=85	=0	=0	=293	=0	=1	=5	=0	=0	=13	
=16137	=True	=356	=75	=0	=0	=259	=0	=1	=7	=0	=0	=15	
=16137	=True	=357	=70	=0	=0	=242	=0	=1	=0	=0	=0	=9	
=16137	=True	=375	=0	=0	=0	=0	=0	=0	=3	=0	=0	=8	
=16137	=True	=376	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6	
=16137	=True	=377	=75	=0	=0	=259	=0	=1	=3	=0	=0	=8	
=16137	=True	=381	=0	=0	=0	=0	=0	=0	=3	=0	=0	=8	
=16137	=True	=382	=85	=0	=0	=1466	=0	=5	=24	=0	=0	=24	
=16137	=True	=382	=100	=0	=0	=1035	=0	=3	=0	=0	=0	=0	
=16137	=True	=385	=0	=0	=0	=0	=0	=0	=7	=0	=0	=10	
=16137	=True	=389	=0	=0	=0	=0	=0	=0	=0	=0	=0	=7	
=16137	=True	=395	=100	=0	=0	=1381	=0	=4	=7	=0	=0	=13	
=16137	=True	=414	=75	=0	=0	=1811	=0	=7	=0	=0	=0	=15	
=16137	=True	=423	=75	=0	=0	=518	=0	=2	=0	=0	=0	=11	
=16137	=True	=427	=100	=0	=0	=345	=0	=1	=0	=0	=0	=11	
=16137	=True	=441	=0	=0	=0	=0	=0	=0	=0	=0	=0	=10	
=16137	=True	=455	=70	=0	=0	=483	=0	=2	=10	=0	=0	=12	
=16137	=True	=467	=90	=0	=0	=621	=0	=2	=3	=0	=0	=7	
=16137	=True	=481	=90	=0	=0	=621	=0	=2	=12	=0	=0	=13	
=16137	=True	=498	=90	=0	=0	=1242	=0	=4	=11	=0	=0	=11	
=16137	=True	=527	=90	=0	=0	=310	=0	=1	=0	=2	=0	=0	
=16137	=True	=543	=90	=0	=0	=931	=0	=3	=12	=0	=0	=13	
=16137	=True	=590	=0	=0	=0	=0	=0	=0	=3	=0	=0	=8	
=16137	=True	=604	=0	=0	=0	=0	=0	=0	=0	=0	=0	=12	
=16137	=True	=749	=75	=0	=0	=259	=0	=1	=0	=0	=0	=12	
=16137	=True	=761	=0	=0	=0	=0	=0	=0	=0	=0	=0	=11	
=16137	=True	=763	=100	=0	=0	=345	=0	=1	=4	=0	=0	=11	
=16137	=True	=892	=100	=0	=0	=346	=0	=1	=9	=0	=0	=10	
=16137	=True	=899	=0	=0	=0	=0	=0	=0	=6	=0	=0	=15	
=16137	=True	=925	=75	=0	=0	=258	=0	=1	=6	=0	=0	=15	
=16137	=True	=972	=100	=0	=0	=345	=0	=1	=10	=0	=0	=11	
=16137	=True	=1003	=100	=0	=0	=345	=0	=1	=2	=0	=0	=7	
=16137	=True	=1010	=0	=0	=0	=0	=0	=0	=5	=0	=0	=15	
=16137	=True	=1019	=0	=0	=0	=0	=0	=0	=5	=0	=0	=15	
=16137	=True	=1027	=75	=0	=0	=517	=0	=2	=0	=0	=0	=5	
=16137	=True	=1028	=0	=0	=0	=0	=0	=0	=0	=8	=0	=0	
=16143	=False	=247	=0	=0	=0	=0	=0	=0	=18	=0	=0	=39	
=16143	=False	=248	=0	=0	=0	=0	=0	=0	=0	=0	=0	=30	
=16143	=False	=260	=0	=0	=0	=0	=0	=0	=0	=0	=0	=28	
=16143	=False	=264	=0	=0	=0	=0	=0	=0	=0	=0	=0	=36	
=16143	=False	=269	=0	=0	=0	=0	=0	=0	=12	=0	=0	=36	
=16143	=False	=430	=0	=0	=0	=0	=0	=0	=33	=0	=0	=105	
=16144	=False	=247	=0	=0	=0	=0	=0	=0	=0	=0	=0	=32	
=16144	=False	=248	=0	=0	=0	=0	=0	=0	=0	=0	=0	=26	
=16144	=False	=249	=0	=0	=0	=0	=0	=0	=0	=0	=0	=25	
=16144	=False	=260	=0	=0	=0	=0	=0	=0	=0	=0	=0	=22	
=16144	=False	=264	=0	=0	=0	=0	=0	=0	=12	=0	=0	=33	
=16144	=False	=269	=0	=0	=0	=0	=0	=0	=0	=0	=0	=23	
=16144	=False	=430	=0	=0	=0	=0	=0	=0	=54	=0	=0	=100	
=16144	=False	=765	=0	=0	=0	=0	=0	=0	=14	=0	=0	=23	
=16145	=True	=458	=50	=0	=0	=2178	=0	=5	=18	=0	=0	=26	
=16145	=True	=570	=50	=0	=0	=2177	=0	=5	=48	=0	=0	=58	
=16145	=True	=571	=50	=0	=0	=3484	=0	=8	=18	=0	=0	=27	
=16145	=True	=572	=50	=0	=0	=436	=0	=1	=0	=0	=0	=18	
=16145	=True	=575	=0	=0	=0	=0	=0	=0	=18	=0	=0	=25	
=16145	=True	=578	=0	=0	=0	=0	=0	=0	=6	=0	=8	=12	
=16145	=True	=580	=0	=0	=0	=0	=0	=0	=0	=0	=0	=21	
=16145	=True	=718	=0	=0	=0	=0	=0	=0	=14	=0	=0	=29	
=16147	=False	=247	=0	=0	=0	=0	=0	=0	=12	=0	=0	=46	
=16147	=False	=248	=0	=0	=0	=0	=0	=0	=18	=0	=0	=42	
=16147	=False	=249	=0	=0	=0	=0	=0	=0	=12	=0	=0	=44	
=16147	=False	=264	=0	=0	=0	=0	=0	=0	=0	=0	=0	=72	
=16147	=False	=593	=0	=0	=0	=0	=0	=0	=96	=0	=0	=148	
=16148	=False	=247	=0	=0	=0	=0	=0	=0	=30	=0	=0	=54	
=16148	=False	=248	=0	=0	=0	=0	=0	=0	=30	=0	=0	=94	
=16148	=False	=249	=0	=0	=0	=0	=0	=0	=18	=0	=0	=50	
=16148	=False	=268	=0	=0	=0	=0	=0	=0	=0	=21	=0	=29	
=16148	=False	=626	=0	=0	=0	=0	=0	=0	=30	=0	=0	=72	
=16148	=False	=1023	=0	=0	=0	=0	=0	=0	=0	=0	=0	=43	
=16148	=False	=1025	=0	=0	=0	=0	=0	=0	=30	=0	=0	=47	
=16151	=True	=247	=25	=0	=0	=425	=0	=7	=18	=0	=0	=50	
=16151	=True	=248	=25	=0	=0	=1092	=0	=18	=54	=0	=0	=102	
=16151	=True	=249	=25	=0	=0	=485	=0	=8	=0	=0	=0	=37	
=16151	=True	=250	=0	=0	=0	=0	=0	=0	=18	=0	=0	=40	
=16151	=True	=253	=25	=0	=0	=243	=0	=4	=0	=0	=0	=39	
=16151	=True	=264	=25	=0	=0	=1274	=0	=21	=48	=0	=0	=94	
=16151	=True	=272	=25	=0	=0	=303	=0	=5	=18	=0	=0	=54	
=16151	=True	=738	=25	=0	=0	=303	=0	=5	=0	=0	=0	=28	
=16153	=True	=249	=75	=0	=0	=1766	=0	=23	=33	=0	=0	=33	
=16153	=True	=252	=75	=0	=0	=2074	=0	=27	=42	=0	=0	=42	
=16153	=True	=253	=75	=0	=0	=615	=0	=8	=12	=0	=0	=20	
=16153	=True	=254	=75	=0	=0	=1537	=0	=20	=36	=0	=0	=48	
=16153	=True	=259	=75	=0	=0	=1075	=0	=14	=18	=0	=0	=33	
=16153	=True	=572	=125	=0	=0	=1408	=0	=11	=18	=0	=0	=38	
=16153	=True	=577	=125	=0	=0	=2689	=0	=21	=22	=0	=0	=22	
=16153	=True	=593	=100	=0	=0	=716	=0	=7	=20	=0	=0	=25	
=16153	=True	=856	=200	=0	=0	=820	=0	=4	=12	=0	=0	=30	
=16155	=True	=280	=100	=0	=0	=447	=0	=3	=8	=0	=0	=12	
=16155	=True	=282	=100	=0	=0	=894	=0	=6	=10	=0	=0	=14	
=16155	=True	=284	=100	=0	=0	=149	=0	=1	=0	=0	=0	=15	
=16155	=True	=286	=100	=0	=0	=2086	=0	=14	=15	=0	=0	=25	
=16155	=True	=292	=100	=0	=0	=298	=0	=2	=0	=0	=0	=14	
=16155	=True	=299	=100	=0	=0	=149	=0	=1	=6	=0	=0	=12	
=16155	=True	=316	=70	=0	=0	=521	=0	=5	=6	=0	=0	=8	
=16155	=True	=319	=70	=0	=0	=731	=0	=7	=12	=0	=0	=15	
=16155	=True	=324	=70	=0	=0	=313	=0	=3	=5	=0	=0	=15	
=16155	=True	=329	=90	=0	=0	=403	=0	=3	=0	=0	=0	=7	
=16155	=True	=350	=85	=0	=0	=507	=0	=4	=7	=0	=0	=11	
=16155	=True	=351	=85	=0	=0	=506	=0	=4	=10	=0	=0	=12	
=16155	=True	=353	=85	=0	=0	=253	=0	=2	=0	=0	=0	=11	
=16155	=True	=356	=75	=0	=0	=224	=0	=2	=0	=0	=0	=14	
=16155	=True	=357	=70	=0	=0	=313	=0	=3	=7	=0	=0	=11	
=16155	=True	=375	=75	=0	=0	=559	=0	=5	=0	=0	=0	=4	
=16155	=True	=376	=75	=0	=0	=447	=0	=4	=7	=0	=0	=11	
=16155	=True	=377	=75	=0	=0	=335	=0	=3	=3	=0	=0	=6	
=16155	=True	=382	=100	=0	=0	=447	=0	=3	=4	=0	=0	=11	
=16155	=True	=385	=100	=0	=0	=447	=0	=3	=4	=0	=0	=12	
=16155	=True	=395	=100	=0	=0	=894	=0	=6	=14	=0	=0	=15	
=16155	=True	=400	=100	=0	=0	=1043	=0	=7	=7	=0	=0	=9	
=16155	=True	=409	=75	=0	=0	=112	=0	=1	=4	=0	=0	=12	
=16155	=True	=423	=75	=0	=0	=111	=0	=1	=0	=0	=0	=11	
=16155	=True	=425	=0	=0	=0	=0	=0	=0	=0	=0	=0	=11	
=16155	=True	=427	=0	=0	=0	=0	=0	=0	=0	=0	=0	=10	
=16155	=True	=456	=70	=0	=0	=522	=0	=5	=0	=0	=0	=11	
=16155	=True	=480	=90	=0	=0	=670	=0	=5	=12	=0	=0	=12	
=16155	=True	=481	=90	=0	=0	=268	=0	=2	=11	=0	=0	=11	
=16155	=True	=543	=90	=0	=0	=671	=0	=5	=9	=0	=0	=10	
=16155	=True	=589	=75	=0	=0	=112	=0	=1	=4	=0	=0	=7	
=16155	=True	=590	=0	=0	=0	=0	=0	=0	=0	=0	=0	=7	
=16155	=True	=604	=75	=0	=0	=223	=0	=2	=4	=0	=0	=11	
=16155	=True	=611	=75	=0	=0	=447	=0	=4	=12	=0	=0	=12	
=16155	=True	=686	=85	=0	=0	=380	=0	=3	=0	=0	=0	=9	
=16155	=True	=761	=100	=0	=0	=298	=0	=2	=0	=0	=0	=8	
=16155	=True	=892	=100	=0	=0	=1192	=0	=8	=11	=0	=0	=12	
=16155	=True	=904	=100	=0	=0	=894	=0	=6	=10	=0	=0	=12	
=16155	=True	=972	=100	=0	=0	=745	=0	=5	=9	=0	=0	=15	
=16155	=True	=1010	=75	=0	=0	=224	=0	=2	=5	=0	=0	=11	
=16155	=True	=1019	=75	=0	=0	=112	=0	=1	=0	=0	=0	=8	
=16155	=True	=1027	=75	=0	=0	=447	=0	=4	=10	=0	=0	=12	
=16155	=True	=1028	=90	=0	=0	=536	=0	=4	=4	=0	=0	=4	
=16157	=True	=348	=200	=0	=0	=1080	=0	=2	=0	=0	=0	=24	
=16157	=True	=458	=0	=0	=0	=0	=0	=0	=0	=0	=0	=24	
=16157	=True	=570	=150	=0	=0	=405	=0	=1	=0	=0	=0	=64	
=16157	=True	=571	=0	=0	=0	=0	=0	=0	=0	=0	=0	=23	
=16157	=True	=705	=150	=0	=0	=810	=0	=2	=0	=0	=0	=17	
=16157	=True	=715	=150	=0	=0	=405	=0	=1	=16	=0	=0	=30	
=16157	=True	=718	=0	=0	=0	=0	=0	=0	=0	=0	=0	=25	
=16158	=True	=280	=95	=0	=0	=426	=0	=1	=0	=0	=0	=10	
=16158	=True	=282	=0	=0	=0	=0	=0	=0	=7	=0	=0	=12	
=16158	=True	=284	=0	=0	=0	=0	=0	=0	=0	=0	=0	=9	
=16158	=True	=285	=95	=0	=0	=426	=0	=1	=0	=0	=0	=10	
=16158	=True	=286	=95	=0	=0	=1278	=0	=3	=4	=0	=0	=25	
=16158	=True	=289	=95	=0	=0	=426	=0	=1	=5	=0	=0	=12	
=16158	=True	=301	=0	=0	=0	=0	=0	=0	=0	=0	=0	=10	
=16158	=True	=310	=65	=0	=0	=291	=0	=1	=6	=0	=0	=12	
=16158	=True	=316	=0	=0	=0	=0	=0	=0	=0	=8	=0	=0	
=16158	=True	=322	=65	=0	=0	=583	=0	=2	=0	=7	=0	=0	
=16158	=True	=324	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16158	=True	=325	=65	=0	=0	=292	=0	=1	=5	=0	=0	=11	
=16158	=True	=331	=0	=0	=0	=0	=0	=0	=8	=0	=0	=8	
=16158	=True	=347	=85	=0	=0	=762	=0	=2	=12	=0	=0	=12	
=16158	=True	=350	=0	=0	=0	=0	=0	=0	=0	=0	=0	=12	
=16158	=True	=351	=80	=0	=0	=359	=0	=1	=0	=0	=0	=8	
=16158	=True	=365	=200	=0	=0	=896	=0	=1	=0	=0	=0	=9	
=16158	=True	=375	=0	=0	=0	=0	=0	=0	=3	=0	=0	=8	
=16158	=True	=376	=0	=0	=0	=0	=0	=0	=0	=0	=0	=7	
=16158	=True	=377	=0	=0	=0	=0	=0	=0	=3	=0	=0	=8	
=16158	=True	=382	=0	=0	=0	=0	=0	=0	=0	=0	=0	=9	
=16158	=True	=383	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16158	=True	=389	=95	=0	=0	=426	=0	=1	=0	=0	=0	=11	
=16158	=True	=395	=95	=0	=0	=853	=0	=2	=0	=8	=0	=0	
=16158	=True	=412	=0	=0	=0	=0	=0	=0	=0	=0	=0	=8	
=16158	=True	=414	=70	=0	=0	=314	=0	=1	=4	=0	=0	=12	
=16158	=True	=417	=70	=0	=0	=314	=0	=1	=0	=0	=0	=11	
=16158	=True	=423	=70	=0	=0	=314	=0	=1	=14	=0	=0	=18	
=16158	=True	=425	=0	=0	=0	=0	=0	=0	=0	=0	=0	=10	
=16158	=True	=427	=0	=0	=0	=0	=0	=0	=0	=0	=0	=9	
=16158	=True	=441	=0	=0	=0	=0	=0	=0	=0	=0	=0	=10	
=16158	=True	=455	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16158	=True	=456	=65	=0	=0	=583	=0	=2	=7	=0	=0	=10	
=16158	=True	=480	=0	=0	=0	=0	=0	=0	=10	=0	=0	=12	
=16158	=True	=527	=85	=0	=0	=762	=0	=2	=10	=0	=0	=11	
=16158	=True	=543	=85	=0	=0	=381	=0	=1	=4	=0	=0	=10	
=16158	=True	=589	=0	=0	=0	=0	=0	=0	=0	=0	=0	=7	
=16158	=True	=590	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6	
=16158	=True	=594	=65	=0	=0	=291	=0	=1	=6	=0	=0	=12	
=16158	=True	=624	=70	=0	=0	=314	=0	=1	=0	=0	=0	=7	
=16158	=True	=637	=0	=0	=0	=0	=0	=0	=8	=0	=0	=8	
=16158	=True	=696	=95	=0	=0	=426	=0	=1	=4	=0	=0	=12	
=16158	=True	=899	=0	=0	=0	=0	=0	=0	=0	=0	=0	=11	
=16158	=True	=925	=70	=0	=0	=314	=0	=1	=0	=0	=0	=8	
=16158	=True	=972	=95	=0	=0	=426	=0	=1	=7	=0	=0	=12	
=16158	=True	=992	=70	=0	=0	=1570	=0	=5	=10	=0	=0	=12	
=16158	=True	=1015	=70	=0	=0	=628	=0	=2	=0	=0	=0	=12	
=16160	=True	=282	=95	=0	=0	=1396	=0	=5	=10	=0	=0	=17	
=16160	=True	=283	=95	=0	=0	=279	=0	=1	=0	=0	=0	=11	
=16160	=True	=284	=95	=0	=0	=558	=0	=2	=5	=0	=0	=15	
=16160	=True	=286	=95	=0	=0	=559	=0	=2	=9	=0	=0	=15	
=16160	=True	=289	=0	=0	=0	=0	=0	=0	=0	=0	=0	=15	
=16160	=True	=301	=95	=0	=0	=558	=0	=2	=0	=0	=0	=13	
=16160	=True	=316	=65	=0	=0	=573	=0	=3	=11	=0	=0	=14	
=16160	=True	=317	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16160	=True	=319	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16160	=True	=325	=65	=0	=0	=191	=0	=1	=0	=10	=0	=0	
=16160	=True	=353	=0	=0	=0	=0	=0	=0	=0	=12	=0	=0	
=16160	=True	=356	=0	=0	=0	=0	=0	=0	=4	=0	=0	=12	
=16160	=True	=357	=65	=0	=0	=573	=0	=3	=0	=0	=0	=6	
=16160	=True	=364	=200	=0	=0	=1175	=0	=2	=0	=0	=0	=8	
=16160	=True	=365	=0	=0	=0	=0	=0	=0	=4	=0	=0	=10	
=16160	=True	=366	=200	=0	=0	=587	=0	=1	=3	=0	=0	=6	
=16160	=True	=373	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6	
=16160	=True	=375	=0	=0	=0	=0	=0	=0	=0	=0	=0	=6	
=16160	=True	=376	=0	=0	=0	=0	=0	=0	=3	=0	=0	=7	
=16160	=True	=381	=0	=0	=0	=0	=0	=0	=0	=0	=0	=5	
=16160	=True	=383	=100	=0	=0	=1175	=0	=4	=7	=0	=0	=9	
=16160	=True	=384	=0	=0	=0	=0	=0	=0	=12	=0	=0	=12	
=16160	=True	=385	=100	=0	=0	=588	=0	=2	=3	=0	=0	=9	
=16160	=True	=423	=75	=0	=0	=441	=0	=2	=0	=0	=0	=9	
=16160	=True	=426	=75	=0	=0	=881	=0	=4	=11	=0	=0	=11	
=16160	=True	=441	=0	=0	=0	=0	=0	=0	=4	=0	=0	=10	
=16160	=True	=451	=0	=0	=0	=0	=0	=0	=0	=9	=0	=0	
