Id	MachineId	PrepickReportDateOnly	BagNumber	
=44	=1176067	=12/13/2013 00:00:00	=44	
=45	=1142325	=12/13/2013 00:00:00	=45	
=46	=1181967	=12/13/2013 00:00:00	=46	
=47	=1182033	=12/13/2013 00:00:00	=47	
=48	=1142376	=12/13/2013 00:00:00	=48	
=49	=999981	=12/13/2013 00:00:00	=49	
=50	=999983	=12/13/2013 00:00:00	=50	
=51	=999984	=12/13/2013 00:00:00	=51	
=52	=1150820	=12/13/2013 00:00:00	=52	
=53	=999971	=12/13/2013 00:00:00	=53	
=54	=999972	=12/13/2013 00:00:00	=54	
=55	=999974	=12/13/2013 00:00:00	=55	
=56	=999975	=12/13/2013 00:00:00	=56	
=57	=999977	=12/13/2013 00:00:00	=57	
=58	=1011774	=12/13/2013 00:00:00	=58	
=59	=1037295	=12/13/2013 00:00:00	=59	
=60	=1037533	=12/13/2013 00:00:00	=60	
=61	=1142313	=12/13/2013 00:00:00	=61	
=62	=1146935	=12/13/2013 00:00:00	=62	
=63	=999970	=12/13/2013 00:00:00	=63	
=64	=1037190	=12/13/2013 00:00:00	=64	
=65	=999946	=12/13/2013 00:00:00	=65	
=66	=999969	=12/13/2013 00:00:00	=66	
=67	=1114518	=12/13/2013 00:00:00	=67	
=68	=999968	=12/13/2013 00:00:00	=68	
=69	=1037536	=12/13/2013 00:00:00	=69	
=70	=999965	=12/13/2013 00:00:00	=70	
=71	=999966	=12/13/2013 00:00:00	=71	
=72	=1142536	=12/13/2013 00:00:00	=72	
=73	=1150618	=12/13/2013 00:00:00	=73	
=74	=1150816	=12/13/2013 00:00:00	=74	
=75	=999961	=12/13/2013 00:00:00	=75	
=76	=1137192	=12/13/2013 00:00:00	=76	
=77	=999955	=12/13/2013 00:00:00	=77	
=78	=999976	=12/13/2013 00:00:00	=78	
=79	=999978	=12/13/2013 00:00:00	=79	
=80	=999979	=12/13/2013 00:00:00	=80	
=81	=1142328	=12/13/2013 00:00:00	=81	
=82	=1182012	=12/13/2013 00:00:00	=82	
=83	=999956	=12/13/2013 00:00:00	=83	
=84	=999954	=12/13/2013 00:00:00	=84	
=85	=999947	=12/13/2013 00:00:00	=85	
=86	=1142374	=12/13/2013 00:00:00	=86	
=87	=1027978	=12/13/2013 00:00:00	=87	
=88	=1047404	=12/13/2013 00:00:00	=88	
=89	=1047423	=12/13/2013 00:00:00	=89	
=90	=1047444	=12/13/2013 00:00:00	=90	
=91	=1047462	=12/13/2013 00:00:00	=91	
=92	=1047474	=12/13/2013 00:00:00	=92	
=93	=1151863	=12/13/2013 00:00:00	=93	
=94	=1027917	=12/13/2013 00:00:00	=94	
=95	=1028312	=12/13/2013 00:00:00	=95	
=96	=1027690	=12/13/2013 00:00:00	=96	
=97	=1027777	=12/13/2013 00:00:00	=97	
=98	=1047477	=12/13/2013 00:00:00	=98	
=99	=1047478	=12/13/2013 00:00:00	=99	
=100	=1027977	=12/13/2013 00:00:00	=100	
=101	=1027986	=12/13/2013 00:00:00	=101	
=102	=1047479	=12/13/2013 00:00:00	=102	
=103	=1114499	=12/13/2013 00:00:00	=103	
=104	=1114505	=12/13/2013 00:00:00	=104	
=105	=1114526	=12/13/2013 00:00:00	=105	
=106	=1142314	=12/13/2013 00:00:00	=106	
=107	=1142319	=12/13/2013 00:00:00	=107	
=108	=1114536	=12/13/2013 00:00:00	=108	
=109	=1142537	=12/13/2013 00:00:00	=109	
=110	=1014674	=12/13/2013 00:00:00	=110	
=111	=1027835	=12/13/2013 00:00:00	=111	
=112	=1047406	=12/13/2013 00:00:00	=112	
=113	=1114470	=12/13/2013 00:00:00	=113	
=114	=1146952	=12/13/2013 00:00:00	=114	
=115	=1157751	=12/13/2013 00:00:00	=115	
=116	=1157756	=12/13/2013 00:00:00	=116	
=117	=1157779	=12/13/2013 00:00:00	=117	
=118	=1157801	=12/13/2013 00:00:00	=118	
=119	=999964	=12/13/2013 00:00:00	=119	
=120	=1047475	=12/13/2013 00:00:00	=120	
=121	=1047476	=12/13/2013 00:00:00	=121	
=122	=1176189	=12/13/2013 00:00:00	=122	
=123	=1181705	=12/13/2013 00:00:00	=123	
=124	=1028788	=12/13/2013 00:00:00	=124	
=125	=1047463	=12/13/2013 00:00:00	=125	
=126	=1174705	=12/13/2013 00:00:00	=126	
=127	=1174759	=12/13/2013 00:00:00	=127	
=128	=1174952	=12/13/2013 00:00:00	=128	
=129	=999998	=12/13/2013 00:00:00	=129	
=130	=1176232	=12/13/2013 00:00:00	=130	
=131	=999995	=12/13/2013 00:00:00	=131	
=132	=1174782	=12/13/2013 00:00:00	=132	
=133	=999997	=12/13/2013 00:00:00	=133	
=134	=1037531	=12/13/2013 00:00:00	=134	
=135	=999951	=12/13/2013 00:00:00	=135	
=136	=1181703	=12/13/2013 00:00:00	=136	
=137	=1182036	=12/13/2013 00:00:00	=137	
=138	=1180282	=12/13/2013 00:00:00	=138	
=139	=1180284	=12/13/2013 00:00:00	=139	
=140	=1180466	=12/13/2013 00:00:00	=140	
=141	=1180471	=12/13/2013 00:00:00	=141	
=142	=1181436	=12/13/2013 00:00:00	=142	
=143	=1181455	=12/13/2013 00:00:00	=143	
=144	=1181465	=12/13/2013 00:00:00	=144	
=145	=1192842	=12/13/2013 00:00:00	=145	
=146	=1180283	=12/13/2013 00:00:00	=146	
=147	=1180468	=12/13/2013 00:00:00	=147	
=148	=1047424	=12/13/2013 00:00:00	=148	
=149	=999993	=12/13/2013 00:00:00	=149	
=150	=1027998	=12/13/2013 00:00:00	=150	
=151	=999985	=12/13/2013 00:00:00	=151	
=152	=999986	=12/13/2013 00:00:00	=152	
=153	=999987	=12/13/2013 00:00:00	=153	
=154	=999988	=12/13/2013 00:00:00	=154	
=155	=999989	=12/13/2013 00:00:00	=155	
=156	=999990	=12/13/2013 00:00:00	=156	
=157	=999991	=12/13/2013 00:00:00	=157	
=158	=1181945	=12/13/2013 00:00:00	=158	
=159	=999963	=12/13/2013 00:00:00	=159	
=160	=1192850	=12/13/2013 00:00:00	=160	
=161	=1192851	=12/13/2013 00:00:00	=161	
=162	=1192852	=12/13/2013 00:00:00	=162	
=163	=1192858	=12/13/2013 00:00:00	=163	
=164	=999960	=12/13/2013 00:00:00	=164	
=165	=999962	=12/13/2013 00:00:00	=165	
=166	=1157800	=12/13/2013 00:00:00	=166	
=167	=999958	=12/13/2013 00:00:00	=167	
=168	=999959	=12/13/2013 00:00:00	=168	
=169	=1192844	=12/13/2013 00:00:00	=169	
=170	=1192845	=12/13/2013 00:00:00	=170	
=171	=1157781	=12/13/2013 00:00:00	=171	
=172	=1027959	=12/13/2013 00:00:00	=172	
=173	=1011865	=12/13/2013 00:00:00	=173	
=174	=1174752	=12/13/2013 00:00:00	=174	
=175	=1174953	=12/13/2013 00:00:00	=175	
=176	=1174954	=12/13/2013 00:00:00	=176	
=177	=1174955	=12/13/2013 00:00:00	=177	
=178	=999952	=12/13/2013 00:00:00	=178	
=179	=999996	=12/13/2013 00:00:00	=179	
=180	=999982	=12/13/2013 00:00:00	=180	
=181	=1157750	=12/13/2013 00:00:00	=181	
=182	=999948	=12/13/2013 00:00:00	=182	
=183	=1151861	=12/13/2013 00:00:00	=183	
=184	=1181685	=12/13/2013 00:00:00	=184	
=185	=999944	=12/13/2013 00:00:00	=185	
=186	=999945	=12/13/2013 00:00:00	=186	
=187	=999949	=12/16/2013 00:00:00	=187	
=188	=999950	=12/16/2013 00:00:00	=188	
=189	=1174738	=12/16/2013 00:00:00	=189	
=190	=1157802	=12/16/2013 00:00:00	=190	
=191	=999943	=12/16/2013 00:00:00	=191	
=192	=1142325	=12/16/2013 00:00:00	=192	
=193	=1181967	=12/16/2013 00:00:00	=193	
=194	=1182033	=12/16/2013 00:00:00	=194	
=195	=999971	=12/16/2013 00:00:00	=195	
=196	=999972	=12/16/2013 00:00:00	=196	
=197	=999974	=12/16/2013 00:00:00	=197	
=198	=999975	=12/16/2013 00:00:00	=198	
=199	=999977	=12/16/2013 00:00:00	=199	
=200	=1011774	=12/16/2013 00:00:00	=200	
=201	=1037295	=12/16/2013 00:00:00	=201	
=202	=1142313	=12/16/2013 00:00:00	=202	
=203	=1146935	=12/16/2013 00:00:00	=203	
=204	=1114518	=12/16/2013 00:00:00	=204	
=205	=999955	=12/16/2013 00:00:00	=205	
=206	=999976	=12/16/2013 00:00:00	=206	
=207	=1047404	=12/16/2013 00:00:00	=207	
=208	=1014674	=12/16/2013 00:00:00	=208	
=209	=1146952	=12/16/2013 00:00:00	=209	
=210	=1157751	=12/16/2013 00:00:00	=210	
=211	=1157779	=12/16/2013 00:00:00	=211	
=212	=1157801	=12/16/2013 00:00:00	=212	
=213	=1174705	=12/16/2013 00:00:00	=213	
=214	=1174759	=12/16/2013 00:00:00	=214	
=215	=1174952	=12/16/2013 00:00:00	=215	
=216	=999986	=12/16/2013 00:00:00	=216	
=217	=999987	=12/16/2013 00:00:00	=217	
=218	=999989	=12/16/2013 00:00:00	=218	
=219	=999990	=12/16/2013 00:00:00	=219	
=220	=999991	=12/16/2013 00:00:00	=220	
=221	=1181945	=12/16/2013 00:00:00	=221	
=222	=999963	=12/16/2013 00:00:00	=222	
=223	=1157781	=12/16/2013 00:00:00	=223	
=224	=1151861	=12/16/2013 00:00:00	=224	
=225	=1181685	=12/16/2013 00:00:00	=225	
