Id	MachineId	CollectionDateTime	RestockUtcDateTime	LastCollectionDateTime	PreviousRestockUtcDateTime	IsRecentUtcCreatedDateTime	CreatedBy	Deleted	PrepickId	CollectedBillsCount	CollectedCoinsCount	RefundAmountInCents	BagNumber	AllSalesAmountInCents	LastRestockAllSalesAmountInCents	CashSalesQuantity	LastRestockCashSalesQuantity	CashSalesAmountInCents	LastRestockCashSalesAmountInCents	CardSalesQuantity	LastRestockCardSalesQuantity	CardSalesAmountInCents	LastRestockCardSalesAmountInCents	TokenSalesQuantity	LastRestockTokenSalesQuantity	TokenSalesAmountInCents	LastRestockTokenSalesAmountInCents	FreeSalesQuantity	LastRestockFreeSalesQuantity	FreeSalesAmountInCents	LastRestockFreeSalesAmountInCents	CashInAmountInCents	LastRestockCashInAmountInCents	BillsInAmount	LastRestockBillsInAmount	CoinsToTubeAmountInCents	LastRestockCoinsToTubesAmountInCents	CoinsToBoxAmountInCents	LastRestockCoinsToBoxAmountInCents	CashDispensedAmountInCents	LastRestockCashDispensedAmountInCents	CoinRefillAmountInCents	CoinsInTubeAmountInCents	CollectedTokensCount	CollectedTokensValueInCents	LastRestockTestVendAmountInCents	RestockSummaryFrozen	CashMeterVideoId	PhotoAuditImageId	PhotoAuditThumbnailImageId	CreatedByUserId	RestockedByUserId	LastRestockAllSalesQuantity	AllSalesQuantity	
=11367	=44	=01/09/2014 09:24:33	=01/09/2014 17:24:33	=01/06/2014 12:02:21	=01/06/2014 20:02:21	=False	[NULL]	=False	=4329	=48	=390	=0	[NULL]	=6561785	=6825	=31040	=26	=5206050	=4900	=7407	=11	=1355735	=1925	=0	=0	=0	=0	=0	=0	=0	=0	=7117675	=5550	=58970	=48	=780595	=360	=440080	=390	=1927070	=650	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11368	=36	=01/09/2014 09:45:41	=01/09/2014 17:45:41	=12/16/2013 10:45:02	[NULL]	=False	[NULL]	=False	=4330	=0	=0	=0	[NULL]	=2011070	=9085	=20263	=178	=2010695	=19450	=4	=0	=375	=0	=0	=0	=0	=0	=0	=0	=0	=0	=2244685	=10910	=60	=0	=193650	=1040	=970	=0	=481530	=2080	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11369	=52	=01/09/2014 09:49:49	=01/09/2014 17:49:49	=12/16/2013 10:48:45	[NULL]	=False	[NULL]	=False	=4330	=36	=890	=0	[NULL]	=3222050	=4325	=24706	=27	=3222050	=4325	=0	=0	=0	=0	=0	=0	=0	=0	=38	=0	=0	=0	=3222340	=4325	=26102	=36	=757120	=825	=365705	=890	=506695	=990	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11370	=41	=01/09/2014 10:02:30	=01/09/2014 18:02:30	=12/23/2013 09:49:20	[NULL]	=False	[NULL]	=False	=4331	=97	=1105	=0	[NULL]	=4472140	=10025	=23603	=49	=3974390	=9000	=2726	=5	=497750	=1025	=0	=0	=0	=0	=0	=0	=0	=0	=5546570	=11375	=47379	=97	=610615	=570	=198055	=1105	=1591985	=2375	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11371	=15	=01/09/2014 10:08:47	=01/09/2014 18:08:47	=12/12/2013 12:08:33	[NULL]	=False	[NULL]	=False	=4331	=68	=150	=0	[NULL]	=81175	=7825	=334	=30	=53275	=5200	=171	=17	=27900	=2625	=0	=0	=0	=0	=2	=0	=200	=0	=76625	=7575	=641	=68	=9705	=625	=2820	=150	=23890	=2225	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11372	=1	=01/09/2014 11:04:29	=01/09/2014 19:04:29	=12/19/2013 09:28:59	[NULL]	=False	[NULL]	=False	[NULL]	=109	=925	=0	[NULL]	=4617205	=11875	=43655	=89	=4612505	=9730	=38	=17	=4700	=2145	=0	=0	=0	=0	=0	=0	=0	=0	=6421350	=13390	=406	=109	=940795	=1565	=7575	=925	=2415160	=3660	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11373	=5	=01/09/2014 11:21:59	=01/09/2014 19:21:59	=12/18/2013 11:54:54	[NULL]	=False	[NULL]	=False	[NULL]	=104	=315	=0	[NULL]	=2257960	=8565	=11036	=35	=1994790	=6340	=1388	=12	=263170	=2225	=0	=0	=0	=0	=0	=0	=0	=0	=3601005	=11575	=30312	=104	=465495	=860	=104310	=315	=1760735	=5260	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11374	=43	=01/09/2014 12:17:16	=01/09/2014 20:17:16	=12/16/2013 16:08:50	[NULL]	=False	[NULL]	=False	=4332	=87	=0	=0	[NULL]	=4844335	=9165	=20511	=33	=3467015	=5940	=7546	=17	=1377320	=3225	=0	=0	=0	=0	=0	=0	=0	=0	=4795050	=9615	=39573	=87	=485915	=915	=351835	=0	=1335450	=3575	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11375	=29	=01/09/2014 12:28:55	=01/09/2014 20:28:55	=12/12/2013 15:22:16	[NULL]	=False	[NULL]	=False	=4332	=0	=0	=0	[NULL]	=3065125	=14670	=26846	=242	=3064705	=31000	=5	=0	=420	=0	=0	=0	=0	=0	=0	=0	=0	=0	=3136420	=13530	=93	=0	=254010	=605	=850	=0	=818650	=1305	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11376	=2	=01/09/2014 11:00:00	=01/09/2014 19:00:00	=12/18/2013 12:00:00	[NULL]	=False	=broman@tmcc.edu	=False	=4333	=0	=0	=0	[NULL]	=542850	=4075	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11377	=18	=01/10/2014 09:00:00	=01/10/2014 17:00:00	=01/07/2014 10:20:00	=01/07/2014 18:20:00	=False	=broman@tmcc.edu	=False	=4334	=0	=0	=0	[NULL]	=952575	=4850	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11378	=26	=01/10/2014 12:28:00	=01/10/2014 20:28:00	=12/17/2013 13:26:14	[NULL]	=False	[NULL]	=False	=4336	=0	=0	=0	[NULL]	=3682165	=5950	=34227	=209	=3681275	=25115	=9	=0	=890	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4413500	=6035	=32	=0	=367760	=325	=1135	=0	=1314165	=1225	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11379	=10	=01/10/2014 12:54:18	=01/10/2014 20:54:18	=11/20/2013 13:14:35	[NULL]	=False	[NULL]	=False	=4335	=82	=445	=0	[NULL]	=1950295	=9250	=17666	=74	=1950295	=9250	=0	=0	=0	=0	=0	=0	=0	=0	=42	=0	=0	=0	=1950565	=9250	=15889	=82	=289715	=3180	=278840	=445	=203320	=2575	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11380	=6	=01/10/2014 12:38:26	=01/10/2014 20:38:26	=01/08/2014 11:25:24	=01/08/2014 19:25:24	=False	=broman@tmcc.edu	=False	=4335	=118	=1385	=0	[NULL]	=2627825	=10395	=26294	=89	=2624885	=9520	=26	=7	=2940	=875	=0	=0	=0	=0	=0	=0	=0	=0	=3616995	=14175	=481	=118	=353910	=990	=5165	=1385	=1186005	=4655	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11381	=17	=01/13/2014 11:41:43	=01/13/2014 19:41:43	=12/13/2013 09:54:12	[NULL]	=False	[NULL]	=False	=4337	=0	=0	=0	[NULL]	=6952210	=6405	=90795	=106	=6951780	=10860	=4	=0	=430	=0	=0	=0	=0	=0	=0	=0	=0	=0	=8634025	=5765	=37	=0	=189575	=255	=905	=0	=597040	=1055	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11382	=44	=01/13/2014 11:48:27	=01/13/2014 19:48:27	=01/09/2014 09:24:33	=01/09/2014 17:24:33	=False	[NULL]	=False	[NULL]	=29	=140	=0	[NULL]	=6564340	=2555	=31052	=12	=5208130	=2080	=7409	=2	=1356210	=475	=0	=0	=0	=0	=0	=0	=0	=0	=7120875	=3200	=58999	=29	=780755	=160	=440220	=140	=1928190	=1120	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11383	=45	=01/14/2014 10:55:13	=01/14/2014 18:55:13	=12/18/2013 10:03:12	[NULL]	=False	[NULL]	=False	=4338	=58	=915	=0	[NULL]	=9738220	=8680	=52990	=36	=8302900	=6605	=7997	=11	=1435320	=2075	=0	=0	=0	=0	=0	=0	=0	=0	=11086560	=7165	=85432	=58	=1651760	=450	=891600	=915	=2779975	=560	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11384	=21	=01/14/2014 11:06:37	=01/14/2014 19:06:37	=12/16/2013 10:08:10	[NULL]	=False	[NULL]	=False	=4338	=0	=0	=0	[NULL]	=6622305	=8005	=81061	=90	=6622305	=9685	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=9094930	=9390	=58	=0	=208320	=505	=1050	=0	=593765	=1385	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11385	=7	=01/14/2014 11:21:19	=01/14/2014 19:21:19	=12/24/2013 10:10:11	[NULL]	=False	[NULL]	=False	=4341	=115	=60	=0	[NULL]	=4405850	=11075	=35739	=60	=4405850	=11075	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=4973985	=14220	=35973	=115	=517855	=2660	=858830	=60	=514680	=3045	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11386	=37	=01/14/2014 11:24:57	=01/14/2014 19:24:57	=11/27/2013 11:01:45	[NULL]	=False	[NULL]	=False	=4340	=60	=75	=0	[NULL]	=7294500	=4775	=59929	=28	=6813900	=4775	=4467	=0	=480600	=0	=0	=0	=0	=0	=35	=0	=0	=0	=6813900	=4775	=57500	=60	=997175	=2000	=1105930	=75	=1003475	=3300	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11387	=6	=01/14/2014 11:31:34	=01/14/2014 19:31:34	=01/10/2014 12:38:26	=01/10/2014 20:38:26	=False	[NULL]	=False	=4341	=64	=985	=0	[NULL]	=2634165	=6340	=26351	=57	=2630695	=5810	=31	=5	=3470	=530	=0	=0	=0	=0	=0	=0	=0	=0	=3625085	=8090	=545	=64	=354615	=705	=6150	=985	=1188285	=2280	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11388	=9	=01/14/2014 11:36:15	=01/14/2014 19:36:15	=01/08/2014 11:29:07	=01/08/2014 19:29:07	=False	[NULL]	=False	=4341	=46	=2785	=0	[NULL]	=3321860	=7060	=25290	=40	=3321860	=7060	=0	=0	=0	=0	=0	=0	=0	=0	=38	=0	=0	=0	=3323015	=7185	=26498	=46	=533165	=1105	=641620	=2785	=523060	=1305	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11389	=1	=01/14/2014 12:04:50	=01/14/2014 20:04:50	=01/09/2014 11:04:29	=01/09/2014 19:04:29	=False	[NULL]	=False	=4341	=86	=4620	=0	[NULL]	=4630740	=13535	=43768	=113	=4624940	=12435	=46	=8	=5800	=1100	=0	=0	=0	=0	=0	=0	=0	=0	=6435520	=14170	=492	=86	=941745	=950	=12195	=4620	=2416895	=1735	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11390	=16	=01/14/2014 12:13:56	=01/14/2014 20:13:56	=12/10/2013 11:27:25	[NULL]	=False	[NULL]	=False	=4342	=65	=1095	=0	[NULL]	=6982445	=7300	=46498	=43	=5650795	=7300	=11000	=0	=1331650	=0	=0	=0	=0	=0	=37	=0	=0	=0	=5650795	=7300	=47509	=65	=736390	=880	=930190	=1095	=760940	=1200	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11391	=41	=01/14/2014 12:22:42	=01/14/2014 20:22:42	=01/09/2014 10:02:30	=01/09/2014 18:02:30	=False	[NULL]	=False	=4342	=64	=240	=0	[NULL]	=4478355	=6215	=23633	=30	=3979605	=5215	=2731	=5	=498750	=1000	=0	=0	=0	=0	=0	=0	=0	=0	=5553860	=7290	=47443	=64	=611265	=650	=198295	=240	=1594060	=2075	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11392	=5	=01/14/2014 13:24:26	=01/14/2014 21:24:26	=01/09/2014 11:21:59	=01/09/2014 19:21:59	=False	=broman@tmcc.edu	=False	=4341	=195	=130	=0	[NULL]	=2264725	=6765	=11074	=38	=2001355	=6565	=1389	=1	=263370	=200	=0	=0	=0	=0	=0	=0	=0	=0	=3621710	=20705	=30507	=195	=466570	=1075	=104440	=130	=1776330	=15595	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11393	=28	=01/14/2014 15:28:36	=01/14/2014 23:28:36	=12/17/2013 12:38:56	[NULL]	=False	[NULL]	=False	=4343	=70	=700	=0	[NULL]	=16467325	=13900	=97331	=37	=12423640	=7300	=26652	=24	=4043685	=6600	=0	=0	=0	=0	=0	=0	=0	=0	=14723070	=9600	=113226	=70	=1943720	=1900	=1456750	=700	=2245590	=1700	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11394	=18	=01/15/2014 10:00:00	=01/15/2014 18:00:00	=01/10/2014 09:00:00	=01/10/2014 17:00:00	=False	=broman@tmcc.edu	=False	=4345	=0	=0	=0	[NULL]	=958650	=6075	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11395	=19	=01/15/2014 10:27:12	=01/15/2014 18:27:12	=01/08/2014 10:26:24	=01/08/2014 18:26:24	=False	[NULL]	=False	=4345	=66	=1365	=0	[NULL]	=4570335	=8320	=44137	=61	=4566615	=6525	=33	=15	=3720	=1795	=0	=0	=0	=0	=0	=0	=0	=0	=5086175	=8580	=167	=66	=476335	=615	=2925	=1365	=1271010	=2055	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11396	=43	=01/15/2014 11:02:59	=01/15/2014 19:02:59	=01/09/2014 12:17:16	=01/09/2014 20:17:16	=False	[NULL]	=False	=4346	=49	=5	=0	[NULL]	=4849990	=5655	=20531	=20	=3470845	=3830	=7555	=9	=1379145	=1825	=0	=0	=0	=0	=0	=0	=0	=0	=4800500	=5450	=39622	=49	=486460	=545	=351840	=5	=1337070	=1620	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11397	=27	=01/15/2014 11:06:09	=01/15/2014 19:06:09	=12/16/2013 15:51:54	[NULL]	=False	[NULL]	=False	=4346	=39	=30	=0	[NULL]	=89950	=6850	=396	=19	=63000	=3000	=154	=22	=26950	=3850	=0	=0	=0	=0	=2	=0	=200	=0	=89750	=4525	=743	=39	=12175	=595	=3275	=30	=27925	=1525	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11398	=26	=01/15/2014 11:08:21	=01/15/2014 19:08:21	=01/10/2014 12:28:00	=01/10/2014 20:28:00	=False	[NULL]	=False	=4346	=41	=485	=0	[NULL]	=3687260	=5095	=34260	=33	=3684940	=3665	=20	=11	=2320	=1430	=0	=0	=0	=0	=0	=0	=0	=0	=4418335	=4835	=73	=41	=368010	=250	=1620	=485	=1315335	=1170	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11399	=29	=01/15/2014 11:16:03	=01/15/2014 19:16:03	=01/09/2014 12:28:55	=01/09/2014 20:28:55	=False	[NULL]	=False	=4346	=68	=385	=0	[NULL]	=3071735	=6610	=26885	=39	=3069685	=4980	=20	=15	=2050	=1630	=0	=0	=0	=0	=0	=0	=0	=0	=3144400	=7980	=161	=68	=254805	=795	=1235	=385	=821150	=2500	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11400	=25	=01/15/2014 11:10:00	=01/15/2014 19:10:00	=12/17/2013 12:40:00	[NULL]	=False	=broman@tmcc.edu	=False	=4346	=0	=0	=0	[NULL]	=1399800	=9850	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	[NULL]	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	[NULL]	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	=4433	[NULL]	[NULL]	[NULL]	
=11401	=31	=01/15/2014 12:00:26	=01/15/2014 20:00:26	=01/08/2014 11:39:55	=01/08/2014 19:39:55	=False	[NULL]	=False	=4348	=67	=1010	=0	[NULL]	=1489715	=5945	=13877	=50	=1489145	=5375	=4	=4	=570	=570	=0	=0	=0	=0	=0	=0	=0	=0	=1822685	=8105	=114	=67	=182395	=395	=2685	=1010	=468440	=2730	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11402	=11	=01/15/2014 12:23:57	=01/15/2014 20:23:57	=12/11/2013 13:00:59	[NULL]	=False	[NULL]	=False	=4347	=45	=1365	=0	[NULL]	=2079200	=5075	=14962	=41	=1616200	=4250	=3144	=7	=463000	=825	=0	=0	=0	=0	=0	=0	=0	=0	=2435975	=6410	=19622	=45	=258215	=545	=215560	=1365	=873445	=2285	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11403	=1	=01/15/2014 13:03:06	=01/15/2014 21:03:06	=01/14/2014 12:04:50	=01/14/2014 20:04:50	=False	[NULL]	=False	=4347	=41	=850	=0	[NULL]	=4635615	=4875	=43808	=40	=4629440	=4500	=50	=4	=6175	=375	=0	=0	=0	=0	=0	=0	=0	=0	=6442445	=6925	=533	=41	=943720	=1975	=13045	=850	=2423740	=6845	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
=11404	=3	=01/15/2014 13:07:11	=01/15/2014 21:07:11	=12/16/2013 13:23:18	[NULL]	=False	[NULL]	=False	=4347	=85	=470	=0	[NULL]	=8657505	=6800	=67918	=36	=8657505	=6800	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=0	=10976850	=10400	=81722	=85	=1981135	=1430	=823515	=470	=2323935	=3600	=0	[NULL]	=0	=0	[NULL]	=True	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	[NULL]	
