Id	BranchId	Name	IsDefault	IsPicked	Deleted	CreatedByUserId	
=42	=1001	=Rt 10016.. truck	=False	=False	=True	[NULL]	
=43	=1001	=Rt 10017 truck	=False	=False	=False	[NULL]	
=44	=1001	=Rt 10019.. truck	=False	=False	=True	[NULL]	
=45	=1001	=Rt 10020.. truck	=False	=False	=True	[NULL]	
=46	=1001	=Rt 10021 truck	=False	=False	=False	[NULL]	
=47	=1001	=Rt 10022 truck	=False	=False	=True	[NULL]	
=48	=1001	=Rt 10024 truck	=False	=False	=False	[NULL]	
=49	=1001	=Rt 10026.. truck	=False	=False	=True	[NULL]	
=50	=1001	=Rt 10027.. truck	=False	=False	=False	[NULL]	
=51	=1001	=Rt 10028.. truck	=False	=False	=False	[NULL]	
=52	=1001	=Rt 10029 truck	=False	=False	=False	[NULL]	
=53	=1001	=Rt 10030.. truck	=False	=False	=True	[NULL]	
=54	=1001	=Rt 10031.. truck	=False	=False	=True	[NULL]	
=55	=1001	=Rt 10032 truck	=False	=False	=False	[NULL]	
=56	=1001	=Rt 10033 truck	=False	=False	=False	[NULL]	
=57	=1001	=Rt 10034.. truck	=False	=False	=True	[NULL]	
=58	=1001	=Rt 10035.. truck	=False	=False	=True	[NULL]	
=59	=1001	=Rt 10037 truck	=False	=False	=True	[NULL]	
=60	=1001	=Rt 10040 truck	=False	=False	=False	[NULL]	
=61	=1001	=Rt 10042 truck	=False	=False	=True	[NULL]	
=62	=1001	=Rt 10044 truck	=False	=False	=False	[NULL]	
=63	=1001	=Rt 10045 truck	=False	=False	=False	[NULL]	
=64	=1	=RT 15 truck	=False	=False	=False	[NULL]	
=65	=1	=RT 17.. truck	=False	=False	=False	[NULL]	
=66	=1	=RT 19 truck	=False	=False	=False	[NULL]	
=67	=1	=RT 2.. truck	=False	=False	=True	[NULL]	
=68	=1	=RT 20.. truck	=False	=False	=True	[NULL]	
=69	=1	=RT 22.. truck	=False	=False	=True	[NULL]	
=70	=1	=Rt 23.. truck	=False	=False	=True	[NULL]	
=71	=1	=RT 25.. truck	=False	=False	=True	[NULL]	
=72	=1	=RT 29.. truck	=False	=False	=True	[NULL]	
=73	=1	=RT 3.. truck	=False	=False	=True	[NULL]	
=74	=1	=RT 34.. truck	=False	=False	=True	[NULL]	
=75	=1	=RT 39.. truck	=False	=False	=True	[NULL]	
=76	=1	=RT 4 truck	=False	=False	=True	[NULL]	
=77	=1	=RT 41.. truck	=False	=False	=True	[NULL]	
=78	=1	=RT 42.. truck	=False	=False	=True	[NULL]	
=79	=1	=RT 6.. truck	=False	=False	=True	[NULL]	
=80	=1	=RT 62.. truck	=False	=False	=True	[NULL]	
=81	=1	=RT 07 truck	=False	=False	=False	[NULL]	
=82	=1	=RT 8.. truck	=False	=False	=True	[NULL]	
=83	=1	=RT 81.. truck	=False	=False	=True	[NULL]	
=84	=1	=RT 89.. truck	=False	=False	=True	[NULL]	
=85	=1001	=Route 10502.. truck	=False	=False	=False	[NULL]	
=86	=1	=RT 01 truck	=False	=False	=False	[NULL]	
=87	=1	=RT 05 truck	=False	=False	=False	[NULL]	
=88	=1	=RT 09 truck	=False	=False	=False	[NULL]	
=89	=1	=RT 10 truck	=False	=False	=False	[NULL]	
=90	=1	=RT 11 truck	=False	=False	=False	[NULL]	
=91	=1	=RT 12 truck	=False	=False	=False	[NULL]	
=92	=1	=RT 13 truck	=False	=False	=False	[NULL]	
=93	=1	=RT 14 truck	=False	=False	=False	[NULL]	
=94	=1	=RT 16 truck	=False	=False	=False	[NULL]	
=95	=1	=RT 18 truck	=False	=False	=False	[NULL]	
=96	=1003	=70302 truck	=False	=False	=False	[NULL]	
=97	=1003	=70311 truck	=False	=False	=False	[NULL]	
=98	=1003	=75802 truck	=False	=False	=False	[NULL]	
=99	=1003	=75833 truck	=False	=False	=False	[NULL]	
=100	=1001	=Rt 10005 truck	=False	=False	=False	[NULL]	
=101	=1003	=70320 truck	=False	=False	=False	[NULL]	
=102	=1	=Treat America North picked prepicks	=False	=True	=False	[NULL]	
=103	=1001	=Kansas City picked prepicks	=False	=True	=False	[NULL]	
=104	=1003	=Treat Indy picked prepicks	=False	=True	=False	[NULL]	
=105	=1001	=Kansas City warehouse truck	=False	=False	=False	[NULL]	
=106	=1003	=Treat Indy warehouse truck	=False	=False	=False	[NULL]	
