Id	MachineId	HistoryType	RestockId	EffectiveUtcDateTime	CreatedByUserId	IsRecentUtcCreatedDateTime	Active	
=13504	=29	=RES	=9945	=08/14/2013 06:48:10	[NULL]	=False	=True	
=13505	=29	=REA	=9945	=08/14/2013 06:48:10	=4433	=False	=True	
=13506	=29	=OBS	=9945	=08/14/2013 06:48:10	=4433	=False	=True	
=13507	=43	=REA	=9944	=08/14/2013 06:45:06	=4433	=False	=True	
=13508	=43	=OBS	=9944	=08/14/2013 06:45:06	=4433	=False	=True	
=13509	=28	=RES	=9946	=08/14/2013 06:23:37	=4433	=False	=True	
=13510	=28	=OBS	=9946	=08/14/2013 06:23:37	=4433	=False	=True	
=13511	=26	=REA	=9943	=08/14/2013 06:33:54	=4433	=False	=True	
=13512	=26	=OBS	=9943	=08/14/2013 06:33:54	=4433	=False	=True	
=13513	=31	=RES	=9947	=08/14/2013 07:16:18	[NULL]	=False	=True	
=13514	=41	=RES	=9948	=08/14/2013 07:26:26	[NULL]	=False	=True	
=13515	=41	=REA	=9948	=08/14/2013 07:26:26	=4433	=False	=True	
=13516	=41	=OBS	=9948	=08/14/2013 07:26:26	=4433	=False	=True	
=13517	=31	=REA	=9947	=08/14/2013 07:16:18	=4433	=False	=True	
=13518	=31	=OBS	=9947	=08/14/2013 07:16:18	=4433	=False	=True	
=13519	=17	=OBS	[NULL]	=08/14/2013 07:50:00	=4433	=False	=True	
=13520	=31	=OBS	[NULL]	=08/14/2013 07:50:00	=4433	=False	=True	
=13521	=1	=RES	=9949	=08/14/2013 09:37:48	[NULL]	=False	=True	
=13522	=5	=RES	=9950	=08/14/2013 09:54:00	[NULL]	=False	=True	
=13523	=11	=RES	=9951	=08/14/2013 10:01:46	[NULL]	=False	=True	
=13524	=11	=REA	=9951	=08/14/2013 10:01:46	=4433	=False	=True	
=13525	=11	=OBS	=9951	=08/14/2013 10:01:46	=4433	=False	=True	
=13526	=1	=REA	=9949	=08/14/2013 09:37:48	=4433	=False	=True	
=13527	=1	=OBS	=9949	=08/14/2013 09:37:48	=4433	=False	=True	
=13528	=5	=REA	=9950	=08/14/2013 09:54:00	=4433	=False	=True	
=13529	=5	=OBS	=9950	=08/14/2013 09:54:00	=4433	=False	=True	
=13530	=44	=RES	=9952	=08/14/2013 12:04:31	[NULL]	=False	=True	
=13531	=45	=RES	=9953	=08/14/2013 12:18:17	[NULL]	=False	=True	
=13532	=44	=REA	=9952	=08/14/2013 12:04:31	=4433	=False	=True	
=13533	=44	=OBS	=9952	=08/14/2013 12:04:31	=4433	=False	=True	
=13534	=45	=REA	=9953	=08/14/2013 12:18:17	=4433	=False	=True	
=13535	=45	=OBS	=9953	=08/14/2013 12:18:17	=4433	=False	=True	
=13536	=33	=RES	=9954	=08/15/2013 05:50:00	=4433	=False	=True	
=13537	=33	=OBS	=9954	=08/15/2013 05:50:00	=4433	=False	=True	
=13538	=32	=RES	=9955	=08/15/2013 05:50:00	=4433	=False	=True	
=13539	=32	=OBS	=9955	=08/15/2013 05:50:00	=4433	=False	=True	
=13540	=16	=RES	=9956	=08/15/2013 06:10:06	[NULL]	=False	=True	
=13541	=16	=REA	=9956	=08/15/2013 06:10:06	=4433	=False	=True	
=13542	=16	=OBS	=9956	=08/15/2013 06:10:06	=4433	=False	=True	
=13543	=36	=OBS	[NULL]	=08/15/2013 06:40:00	=4433	=False	=True	
=13544	=34	=OBS	[NULL]	=08/15/2013 06:40:00	=4433	=False	=True	
=13545	=6	=RES	=9957	=08/15/2013 07:30:12	[NULL]	=False	=True	
=13546	=7	=RES	=9958	=08/15/2013 07:32:57	[NULL]	=False	=True	
=13547	=1	=RES	=9959	=08/15/2013 08:54:00	[NULL]	=False	=True	
=13548	=5	=RES	=9960	=08/15/2013 08:58:52	[NULL]	=False	=True	
=13549	=1	=REA	=9959	=08/15/2013 08:54:00	=4433	=False	=True	
=13550	=1	=OBS	=9959	=08/15/2013 08:54:00	=4433	=False	=True	
=13551	=5	=REA	=9960	=08/15/2013 08:58:52	=4433	=False	=True	
=13552	=5	=OBS	=9960	=08/15/2013 08:58:52	=4433	=False	=True	
=13553	=6	=REA	=9957	=08/15/2013 07:30:12	=4433	=False	=True	
=13554	=6	=OBS	=9957	=08/15/2013 07:30:12	=4433	=False	=True	
=13555	=1	=RES	=9961	=08/16/2013 10:01:37	[NULL]	=False	=True	
=13556	=5	=RES	=9962	=08/16/2013 10:15:24	[NULL]	=False	=True	
=13557	=4	=RES	=9963	=08/16/2013 10:10:00	=4433	=False	=True	
=13558	=4	=OBS	=9963	=08/16/2013 10:10:00	=4433	=False	=True	
=13559	=5	=REA	=9962	=08/16/2013 10:15:24	=4433	=False	=True	
=13560	=5	=OBS	=9962	=08/16/2013 10:15:24	=4433	=False	=True	
=13561	=1	=REA	=9961	=08/16/2013 10:01:37	=4433	=False	=True	
=13562	=1	=OBS	=9961	=08/16/2013 10:01:37	=4433	=False	=True	
=13563	=18	=RES	=9964	=08/16/2013 11:20:00	=4433	=False	=True	
=13564	=18	=OBS	=9964	=08/16/2013 11:20:00	=4433	=False	=True	
=13565	=19	=RES	=9965	=08/16/2013 11:15:57	=4433	=False	=True	
=13566	=19	=REA	=9965	=08/16/2013 11:15:57	=4433	=False	=True	
=13567	=19	=OBS	=9965	=08/16/2013 11:15:57	=4433	=False	=True	
=13568	=41	=RES	=9966	=08/16/2013 11:52:03	[NULL]	=False	=True	
=13569	=31	=RES	=9967	=08/16/2013 11:45:35	=4433	=False	=True	
=13570	=31	=REA	=9967	=08/16/2013 11:45:35	=4433	=False	=True	
=13571	=31	=OBS	=9967	=08/16/2013 11:45:35	=4433	=False	=True	
=13572	=26	=RES	=9968	=08/16/2013 12:21:31	[NULL]	=False	=True	
=13573	=28	=RES	=9969	=08/16/2013 12:23:57	[NULL]	=False	=True	
=13574	=26	=REA	=9968	=08/16/2013 12:21:31	=4433	=False	=True	
=13575	=26	=OBS	=9968	=08/16/2013 12:21:31	=4433	=False	=True	
=13576	=19	=COA	[NULL]	=08/16/2013 13:16:04	[NULL]	=False	=True	
=13577	=19	=COA	[NULL]	=08/16/2013 13:16:04	[NULL]	=False	=True	
=13578	=14	=RES	=9970	=08/19/2013 05:50:00	=4433	=False	=True	
=13579	=14	=OBS	=9970	=08/19/2013 05:50:00	=4433	=False	=True	
=13580	=44	=RES	=9971	=08/19/2013 09:42:12	[NULL]	=False	=True	
=13581	=19	=RES	=9972	=08/19/2013 09:47:32	[NULL]	=False	=True	
=13582	=21	=RES	=9973	=08/19/2013 09:55:28	[NULL]	=False	=True	
=13583	=19	=REA	=9972	=08/19/2013 09:47:32	=4433	=False	=True	
=13584	=19	=OBS	=9972	=08/19/2013 09:47:32	=4433	=False	=True	
=13585	=21	=REA	=9973	=08/19/2013 09:55:28	=4433	=False	=True	
=13586	=21	=OBS	=9973	=08/19/2013 09:55:28	=4433	=False	=True	
=13587	=44	=REA	=9971	=08/19/2013 09:42:12	=4433	=False	=True	
=13588	=44	=OBS	=9971	=08/19/2013 09:42:12	=4433	=False	=True	
=13589	=36	=RES	=9974	=08/19/2013 10:21:54	[NULL]	=False	=True	
=13590	=52	=RES	=9975	=08/19/2013 10:24:37	[NULL]	=False	=True	
=13591	=36	=OBS	=9974	=08/19/2013 10:21:54	=4433	=False	=True	
=13592	=34	=RES	=9976	=08/19/2013 11:06:33	[NULL]	=False	=True	
=13593	=19	=COA	[NULL]	=08/19/2013 11:18:15	[NULL]	=False	=True	
=13594	=19	=COA	[NULL]	=08/19/2013 11:18:15	[NULL]	=False	=True	
=13595	=1	=RES	=9977	=08/19/2013 11:28:24	[NULL]	=False	=True	
=13596	=5	=RES	=9978	=08/19/2013 11:47:06	[NULL]	=False	=True	
=13597	=9	=RES	=9979	=08/19/2013 12:03:13	[NULL]	=False	=True	
=13598	=34	=OBS	=9976	=08/19/2013 11:06:33	=4433	=False	=True	
=13599	=1	=REA	=9977	=08/19/2013 11:28:24	=4433	=False	=True	
=13600	=1	=OBS	=9977	=08/19/2013 11:28:24	=4433	=False	=True	
=13601	=5	=REA	=9978	=08/19/2013 11:47:06	=4433	=False	=True	
=13602	=5	=OBS	=9978	=08/19/2013 11:47:06	=4433	=False	=True	
=13603	=9	=OBS	=9979	=08/19/2013 12:03:13	=4433	=False	=True	
=13604	=43	=RES	=9980	=08/20/2013 07:20:41	[NULL]	=False	=True	
=13605	=26	=RES	=9981	=08/20/2013 07:28:58	[NULL]	=False	=True	
=13606	=29	=RES	=9982	=08/20/2013 07:39:40	[NULL]	=False	=True	
=13607	=28	=RES	=9983	=08/20/2013 07:41:37	[NULL]	=False	=True	
=13608	=26	=REA	=9981	=08/20/2013 07:28:58	=4433	=False	=True	
=13609	=26	=OBS	=9981	=08/20/2013 07:28:58	=4433	=False	=True	
=13610	=25	=RES	=9984	=08/20/2013 07:40:00	=4433	=False	=True	
=13611	=25	=OBS	=9984	=08/20/2013 07:40:00	=4433	=False	=True	
=13612	=43	=OBS	=9980	=08/20/2013 07:20:41	=4433	=False	=True	
=13613	=28	=REA	=9983	=08/20/2013 07:41:37	=4433	=False	=True	
=13614	=28	=OBS	=9983	=08/20/2013 07:41:37	=4433	=False	=True	
=13615	=29	=REA	=9982	=08/20/2013 07:39:40	=4433	=False	=True	
=13616	=29	=OBS	=9982	=08/20/2013 07:39:40	=4433	=False	=True	
=13617	=31	=RES	=9985	=08/20/2013 08:21:57	[NULL]	=False	=True	
=13618	=16	=RES	=9986	=08/20/2013 08:24:16	[NULL]	=False	=True	
=13619	=16	=OBS	=9986	=08/20/2013 08:24:16	=4433	=False	=True	
=13620	=31	=REA	=9985	=08/20/2013 08:21:57	=4433	=False	=True	
=13621	=31	=OBS	=9985	=08/20/2013 08:21:57	=4433	=False	=True	
=13622	=17	=RES	=9987	=08/20/2013 09:03:54	[NULL]	=False	=True	
=13623	=39	=RES	=9988	=08/20/2013 09:08:03	[NULL]	=False	=True	
=13624	=45	=RES	=9989	=08/20/2013 09:35:25	[NULL]	=False	=True	
=13625	=55	=RES	=9990	=08/20/2013 09:39:16	[NULL]	=False	=True	
=13626	=17	=REA	=9987	=08/20/2013 09:03:54	=4433	=False	=True	
=13627	=17	=OBS	=9987	=08/20/2013 09:03:54	=4433	=False	=True	
=13628	=39	=OBS	=9988	=08/20/2013 09:08:03	=4433	=False	=True	
=13629	=1	=RES	=9991	=08/20/2013 12:18:53	[NULL]	=False	=True	
=13630	=5	=RES	=9992	=08/20/2013 12:26:32	[NULL]	=False	=True	
=13631	=3	=RES	=9993	=08/20/2013 12:32:25	[NULL]	=False	=True	
=13632	=6	=RES	=9994	=08/20/2013 12:49:01	[NULL]	=False	=True	
=13633	=6	=REA	=9994	=08/20/2013 12:49:01	=4433	=False	=True	
=13634	=6	=OBS	=9994	=08/20/2013 12:49:01	=4433	=False	=True	
=13635	=6	=REA	=9994	=08/20/2013 12:49:01	=4433	=False	=True	
=13636	=6	=OBS	=9994	=08/20/2013 12:49:01	=4433	=False	=True	
=13637	=1	=REA	=9991	=08/20/2013 12:18:53	=4433	=False	=True	
=13638	=1	=OBS	=9991	=08/20/2013 12:18:53	=4433	=False	=True	
=13639	=5	=REA	=9992	=08/20/2013 12:26:32	=4433	=False	=True	
=13640	=5	=OBS	=9992	=08/20/2013 12:26:32	=4433	=False	=True	
=13641	=44	=RES	=9995	=08/21/2013 05:59:36	[NULL]	=False	=True	
=13642	=19	=COA	[NULL]	=08/21/2013 06:18:35	[NULL]	=False	=True	
=13643	=19	=COA	[NULL]	=08/21/2013 06:18:36	[NULL]	=False	=True	
=13644	=19	=RES	=9996	=08/21/2013 06:18:34	[NULL]	=False	=True	
=13645	=41	=RES	=9997	=08/21/2013 06:28:11	[NULL]	=False	=True	
=13646	=41	=REA	=9997	=08/21/2013 06:28:11	=4433	=False	=True	
=13647	=41	=OBS	=9997	=08/21/2013 06:28:11	=4433	=False	=True	
=13648	=22	=RES	=9998	=08/21/2013 08:05:36	[NULL]	=False	=True	
=13649	=11	=RES	=9999	=08/21/2013 09:15:08	[NULL]	=False	=True	
=13650	=12	=RES	=10000	=08/21/2013 09:50:45	[NULL]	=False	=True	
=13651	=7	=RES	=10001	=08/21/2013 10:16:23	[NULL]	=False	=True	
=13652	=1	=RES	=10002	=08/21/2013 11:02:18	[NULL]	=False	=True	
=13653	=13	=RES	=10003	=08/21/2013 11:11:58	[NULL]	=False	=True	
=13654	=23	=RES	=10004	=08/21/2013 10:30:00	=4433	=False	=True	
=13655	=23	=OBS	=10004	=08/21/2013 10:30:00	=4433	=False	=True	
=13656	=13	=REA	=10003	=08/21/2013 11:11:58	=4433	=False	=True	
=13657	=13	=OBS	=10003	=08/21/2013 11:11:58	=4433	=False	=True	
=13658	=7	=OBS	=10001	=08/21/2013 10:16:23	=4433	=False	=True	
=13659	=8	=RES	=10005	=08/21/2013 10:30:00	=4433	=False	=True	
=13660	=8	=OBS	=10005	=08/21/2013 10:30:00	=4433	=False	=True	
=13661	=62	=RES	=10006	=09/01/2014 17:00:00	=2972	=False	=True	
=13662	=5	=RES	=10007	=01/01/2020 08:00:00	=2678	=True	=True	
