Id	CoilId	AlertLevel	Par	Capacity	DesiredPriceInCents	ItemId	CoilDeleted	GroupName	
=144	=85	=1	=8	=8	=190	=1343	=False	[NULL]	
=145	=85	=1	=8	=8	=175	=1343	=False	[NULL]	
=146	=85	=1	=8	=8	=175	=992	=False	[NULL]	
=147	=126	=4	=24	=48	=150	=1012	=False	[NULL]	
=148	=126	=4	=12	=48	=175	=1012	=False	[NULL]	
=149	=127	=4	=24	=48	=150	=912	=False	[NULL]	
=150	=127	=4	=12	=48	=175	=912	=False	[NULL]	
=151	=128	=4	=12	=48	=150	=1132	=False	[NULL]	
=152	=129	=4	=24	=48	=150	=990	=False	[NULL]	
=153	=129	=4	=12	=48	=175	=990	=False	[NULL]	
=154	=130	=2	=18	=48	=150	=1131	=False	[NULL]	
=155	=130	=2	=12	=48	=175	=999	=False	[NULL]	
=156	=131	=2	=18	=36	=150	=998	=False	[NULL]	
=157	=131	=2	=12	=36	=175	=998	=False	[NULL]	
=158	=132	=4	=24	=48	=100	=911	=False	[NULL]	
=159	=133	=2	=12	=36	=350	=933	=False	[NULL]	
=160	=134	=2	=12	=36	=150	=992	=False	[NULL]	
=161	=135	=2	=12	=36	=150	=995	=False	[NULL]	
=162	=136	=1	=7	=7	=275	=1148	=False	[NULL]	
=163	=136	=1	=9	=9	=275	=1148	=False	[NULL]	
=164	=136	=1	=8	=8	=275	=1148	=False	[NULL]	
=165	=136	=2	=8	=8	=275	=1148	=False	[NULL]	
=166	=137	=1	=7	=7	=275	=1149	=False	[NULL]	
=167	=137	=1	=9	=9	=275	=1149	=False	[NULL]	
=168	=137	=1	=8	=8	=275	=1149	=False	[NULL]	
=169	=137	=2	=8	=8	=275	=1149	=False	[NULL]	
=170	=138	=1	=7	=7	=275	=904	=False	[NULL]	
=171	=138	=1	=7	=7	=275	=1330	=False	[NULL]	
=172	=138	=1	=9	=9	=275	=1330	=False	[NULL]	
=173	=138	=1	=8	=8	=275	=1330	=False	[NULL]	
=174	=138	=2	=8	=8	=275	=1330	=False	[NULL]	
=175	=138	=2	=8	=8	=275	=1375	=False	[NULL]	
=176	=139	=1	=7	=7	=250	=1202	=False	[NULL]	
=177	=139	=1	=7	=7	=250	=1094	=False	[NULL]	
=178	=139	=1	=7	=7	=250	=1342	=False	[NULL]	
=179	=139	=1	=7	=7	=250	=934	=False	[NULL]	
=180	=139	=1	=9	=9	=250	=934	=False	[NULL]	
=181	=139	=1	=8	=9	=250	=934	=False	[NULL]	
=182	=139	=2	=8	=9	=250	=934	=False	[NULL]	
=183	=140	=1	=8	=8	=250	=934	=False	[NULL]	
=184	=140	=1	=8	=8	=250	=937	=False	[NULL]	
=185	=140	=1	=9	=9	=250	=937	=False	[NULL]	
=186	=140	=1	=8	=9	=250	=937	=False	[NULL]	
=187	=140	=2	=8	=9	=250	=937	=False	[NULL]	
=188	=141	=1	=8	=8	=250	=937	=False	[NULL]	
=189	=141	=1	=8	=8	=250	=936	=False	[NULL]	
=190	=141	=1	=9	=9	=250	=936	=False	[NULL]	
=191	=141	=1	=8	=9	=250	=936	=False	[NULL]	
=192	=141	=2	=8	=9	=250	=936	=False	[NULL]	
=193	=142	=1	=8	=8	=250	=1203	=False	[NULL]	
=194	=142	=1	=7	=7	=275	=1203	=False	[NULL]	
=195	=142	=1	=7	=7	=275	=904	=False	[NULL]	
=196	=142	=1	=9	=9	=275	=904	=False	[NULL]	
=197	=142	=1	=8	=9	=275	=904	=False	[NULL]	
=198	=142	=2	=8	=9	=275	=904	=False	[NULL]	
=199	=143	=1	=8	=8	=275	=1244	=False	[NULL]	
=200	=143	=1	=8	=8	=250	=1244	=False	[NULL]	
=201	=143	=1	=8	=8	=250	=1342	=False	[NULL]	
=202	=143	=1	=9	=9	=250	=1342	=False	[NULL]	
=203	=143	=1	=8	=9	=250	=1342	=False	[NULL]	
=204	=143	=2	=8	=9	=250	=1342	=False	[NULL]	
=205	=144	=1	=5	=8	=125	=1170	=False	[NULL]	
=206	=144	=2	=7	=7	=190	=1343	=False	[NULL]	
=207	=144	=2	=7	=7	=250	=1343	=False	[NULL]	
=208	=144	=2	=7	=7	=250	=1341	=False	[NULL]	
=209	=144	=2	=9	=9	=250	=1341	=False	[NULL]	
=210	=144	=2	=8	=9	=250	=1341	=False	[NULL]	
=211	=145	=6	=24	=24	=125	=910	=False	=A	
=212	=145	=1	=8	=8	=190	=910	=False	=A	
=213	=145	=1	=8	=8	=190	=1170	=False	=A	
=214	=145	=2	=8	=8	=190	=1170	=False	=A	
=215	=146	=-1000	=0	=0	=125	=910	=False	=A	
=216	=146	=1	=8	=8	=190	=910	=False	=A	
=217	=146	=1	=8	=8	=190	=1244	=False	=A	
=218	=146	=2	=8	=8	=190	=1244	=False	=A	
=219	=147	=-1000	=0	=0	=125	=910	=False	=A	
=220	=147	=1	=8	=8	=190	=910	=False	=A	
=221	=147	=1	=8	=8	=190	=1343	=False	=A	
=222	=147	=2	=8	=8	=190	=1343	=False	=A	
=223	=148	=1	=8	=8	=175	=910	=False	[NULL]	
=224	=148	=1	=8	=8	=190	=910	=False	=A	
=225	=148	=1	=8	=8	=190	=1327	=False	=A	
=226	=148	=2	=8	=8	=190	=1327	=False	=A	
=227	=149	=1	=8	=8	=175	=1105	=False	[NULL]	
=228	=149	=2	=8	=8	=190	=1105	=False	[NULL]	
=229	=150	=1	=8	=8	=175	=1130	=False	[NULL]	
=230	=150	=2	=8	=8	=190	=1130	=False	[NULL]	
=231	=151	=1	=8	=8	=175	=1327	=False	[NULL]	
=232	=151	=1	=8	=8	=190	=1074	=False	[NULL]	
=233	=151	=2	=8	=8	=190	=1074	=False	[NULL]	
=234	=152	=1	=8	=8	=175	=1074	=False	[NULL]	
=235	=152	=1	=8	=8	=190	=1073	=False	[NULL]	
=236	=152	=2	=8	=8	=190	=1073	=False	[NULL]	
=237	=153	=1	=8	=8	=175	=1073	=False	[NULL]	
=238	=153	=1	=8	=8	=175	=1073	=False	[NULL]	
=239	=153	=1	=8	=8	=175	=938	=False	[NULL]	
=240	=153	=2	=8	=8	=175	=938	=False	[NULL]	
=241	=154	=2	=16	=16	=150	=931	=False	=B	
=242	=154	=1	=8	=8	=175	=931	=False	=B	
=243	=154	=1	=8	=8	=175	=914	=False	=B	
=244	=154	=2	=8	=8	=175	=914	=False	=B	
=245	=155	=-1000	=0	=0	=150	=931	=False	=B	
=246	=155	=1	=8	=8	=175	=931	=False	=B	
=247	=155	=1	=8	=8	=175	=928	=False	=B	
=248	=155	=1	=8	=8	=175	=1174	=False	=B	
=249	=155	=2	=8	=8	=175	=1174	=False	=B	
=250	=156	=1	=8	=8	=175	=1206	=False	[NULL]	
=251	=156	=1	=8	=8	=190	=1170	=False	[NULL]	
=252	=156	=1	=8	=8	=175	=1170	=False	[NULL]	
=253	=156	=1	=8	=8	=175	=1174	=False	[NULL]	
=254	=156	=1	=8	=8	=175	=929	=False	[NULL]	
=255	=156	=1	=24	=24	=175	=929	=False	=B	
=256	=156	=4	=16	=16	=175	=929	=False	=B	
=257	=157	=1	=8	=8	=175	=1174	=False	[NULL]	
=258	=157	=1	=8	=8	=175	=929	=False	[NULL]	
=259	=157	=2	=16	=16	=175	=929	=False	=B	
=260	=157	=-1000	=0	=0	=175	=929	=False	=B	
=261	=158	=2	=16	=16	=150	=947	=False	=C	
=262	=158	=1	=8	=8	=175	=947	=False	=C	
=263	=158	=1	=8	=8	=175	=929	=False	=C	
=264	=158	=-1000	=0	=0	=175	=929	=False	=B	
=265	=158	=-1000	=0	=0	=175	=931	=False	=B	
=266	=158	=2	=8	=8	=175	=931	=False	=B	
=267	=159	=-1000	=0	=0	=150	=947	=False	=C	
=268	=159	=1	=8	=8	=175	=947	=False	=C	
=269	=159	=1	=8	=8	=175	=931	=False	=C	
=270	=159	=1	=8	=8	=175	=947	=False	=C	
=271	=159	=1	=16	=16	=175	=947	=False	=D	
=272	=159	=2	=16	=16	=175	=947	=False	=D	
=273	=160	=1	=8	=8	=150	=946	=False	=D	
=274	=160	=1	=8	=8	=175	=1028	=False	=D	
=275	=160	=1	=8	=8	=175	=947	=False	=D	
=276	=160	=-1000	=0	=0	=175	=947	=False	=D	
=277	=161	=2	=16	=16	=150	=929	=False	=D	
=278	=161	=1	=8	=8	=175	=929	=False	=D	
=279	=161	=1	=8	=8	=175	=947	=False	=D	
=280	=161	=1	=8	=8	=175	=1028	=False	=D	
=281	=161	=2	=8	=8	=175	=1028	=False	=D	
=282	=162	=-1000	=0	=0	=150	=929	=False	=D	
=283	=162	=1	=8	=8	=175	=929	=False	=D	
=284	=162	=1	=8	=8	=175	=946	=False	=D	
=285	=162	=2	=8	=8	=175	=946	=False	=D	
=286	=163	=1	=8	=8	=150	=1028	=False	[NULL]	
=287	=163	=1	=8	=8	=175	=922	=False	=F	
=288	=163	=2	=8	=8	=175	=922	=False	=F	
=289	=164	=1	=8	=8	=150	=921	=False	[NULL]	
=290	=164	=1	=8	=8	=175	=921	=False	=E	
=291	=164	=1	=8	=8	=175	=927	=False	=E	
=292	=164	=2	=8	=8	=175	=927	=False	=E	
=293	=165	=2	=16	=16	=150	=921	=False	=E	
=294	=165	=1	=8	=8	=175	=921	=False	=E	
=295	=165	=1	=8	=8	=175	=926	=False	=E	
=296	=165	=1	=16	=16	=175	=926	=False	=C	
=297	=165	=2	=16	=16	=175	=926	=False	=C	
=298	=166	=-1000	=0	=0	=150	=926	=False	=E	
=299	=166	=1	=8	=8	=175	=921	=False	=E	
=300	=166	=1	=8	=8	=175	=926	=False	=E	
=301	=166	=-1000	=0	=0	=175	=926	=False	=C	
=302	=167	=1	=8	=8	=150	=927	=False	[NULL]	
=303	=167	=1	=8	=8	=175	=1022	=False	[NULL]	
=304	=167	=1	=8	=8	=175	=921	=False	[NULL]	
=305	=167	=2	=8	=8	=175	=921	=False	[NULL]	
=306	=168	=1	=8	=8	=150	=1022	=False	[NULL]	
=307	=168	=1	=8	=8	=175	=923	=False	[NULL]	
=308	=168	=2	=8	=8	=175	=923	=False	[NULL]	
=309	=169	=1	=8	=8	=150	=922	=False	[NULL]	
=310	=169	=1	=8	=8	=175	=1146	=False	[NULL]	
=311	=169	=2	=8	=8	=175	=1146	=False	[NULL]	
=312	=170	=1	=8	=8	=150	=923	=False	[NULL]	
=313	=170	=1	=8	=8	=175	=1154	=False	[NULL]	
=314	=170	=2	=8	=8	=175	=1154	=False	[NULL]	
=315	=171	=1	=8	=8	=150	=1166	=False	[NULL]	
=316	=171	=1	=8	=8	=175	=914	=False	[NULL]	
=317	=171	=1	=8	=8	=200	=914	=False	[NULL]	
=318	=171	=1	=8	=8	=200	=1346	=False	[NULL]	
=319	=171	=1	=8	=8	=175	=928	=False	[NULL]	
=320	=171	=2	=8	=8	=175	=928	=False	[NULL]	
=321	=172	=1	=8	=8	=150	=995	=False	[NULL]	
=322	=172	=2	=8	=8	=175	=995	=False	[NULL]	
=323	=173	=1	=8	=8	=150	=992	=False	[NULL]	
=324	=173	=2	=8	=8	=175	=992	=False	[NULL]	
=325	=174	=1	=8	=8	=150	=996	=False	[NULL]	
=326	=174	=1	=8	=8	=150	=996	=False	[NULL]	
=327	=174	=1	=8	=8	=150	=1171	=False	[NULL]	
=328	=174	=1	=8	=8	=150	=1206	=False	[NULL]	
=329	=174	=1	=8	=8	=175	=996	=False	[NULL]	
=330	=174	=2	=8	=8	=175	=996	=False	[NULL]	
=331	=175	=1	=8	=8	=150	=993	=False	[NULL]	
=332	=175	=2	=8	=8	=175	=993	=False	[NULL]	
=333	=176	=1	=8	=8	=150	=991	=False	[NULL]	
=334	=176	=1	=8	=8	=125	=991	=False	[NULL]	
=335	=176	=1	=8	=8	=200	=1346	=False	[NULL]	
=336	=176	=1	=8	=8	=125	=1346	=False	[NULL]	
=337	=176	=1	=8	=8	=125	=910	=False	[NULL]	
=338	=176	=1	=32	=32	=125	=910	=False	=A	
=339	=176	=5	=32	=32	=125	=910	=False	=A	
=340	=176	=5	=40	=40	=125	=910	=False	=A	
=341	=176	=10	=40	=40	=125	=910	=False	=A	
=342	=177	=1	=8	=8	=150	=1146	=False	[NULL]	
=343	=177	=1	=8	=8	=125	=1146	=False	[NULL]	
=344	=177	=1	=8	=8	=125	=910	=False	[NULL]	
=345	=177	=-1000	=0	=0	=125	=910	=False	=A	
=346	=178	=1	=8	=8	=150	=1154	=False	[NULL]	
=347	=178	=1	=8	=8	=125	=1154	=False	[NULL]	
=348	=178	=1	=8	=8	=125	=910	=False	[NULL]	
=349	=178	=-1000	=0	=0	=125	=910	=False	=A	
=350	=179	=1	=8	=8	=150	=1036	=False	[NULL]	
=351	=179	=1	=8	=8	=175	=928	=False	[NULL]	
=352	=179	=1	=8	=8	=125	=928	=False	[NULL]	
=353	=179	=1	=8	=8	=125	=910	=False	[NULL]	
=354	=179	=-1000	=0	=0	=125	=910	=False	=A	
=355	=180	=1	=8	=8	=150	=938	=False	[NULL]	
=356	=180	=1	=8	=8	=200	=938	=False	[NULL]	
=357	=180	=1	=8	=8	=200	=1345	=False	[NULL]	
=358	=180	=1	=8	=8	=125	=910	=False	[NULL]	
=359	=180	=-1000	=0	=0	=125	=910	=False	=A	
=360	=181	=1	=0	[NULL]	=100	=2	=False	=9	
=361	=181	=1	=0	[NULL]	=125	=2	=False	=9	
=362	=182	=-1000	=0	[NULL]	=100	=2	=False	=9	
=363	=182	=-1000	=0	[NULL]	=125	=2	=False	=9	
=364	=183	=-1000	=0	[NULL]	=100	=2	=False	=9	
=365	=183	=-1000	=0	[NULL]	=125	=2	=False	=9	
=366	=184	=-1000	=0	[NULL]	=100	=2	=False	=9	
=367	=184	=-1000	=0	[NULL]	=125	=2	=False	=9	
=368	=185	=-1000	=0	[NULL]	=100	=2	=False	=9	
=369	=185	=-1000	=0	[NULL]	=125	=2	=False	=9	
=370	=186	=-1000	=0	[NULL]	=100	=2	=False	=9	
=371	=186	=-1000	=0	[NULL]	=125	=2	=False	=9	
=372	=187	=-1000	=0	[NULL]	=100	=2	=False	=9	
=373	=187	=-1000	=0	[NULL]	=125	=2	=False	=9	
=374	=188	=-1000	=0	[NULL]	=100	=2	=False	=9	
=375	=188	=-1000	=0	[NULL]	=125	=2	=False	=9	
=376	=189	=-1000	=0	[NULL]	=100	=2	=False	=9	
=377	=189	=-1000	=0	[NULL]	=125	=2	=False	=9	
=378	=233	=16	=120	=288	=125	=910	=False	=A	
=379	=233	=16	=120	=288	[NULL]	=910	=False	=A	
=380	=234	=-1000	=0	=0	=125	=910	=False	=A	
=381	=234	=-1000	=0	=0	[NULL]	=910	=False	=A	
=382	=235	=-1000	=0	=0	=125	=910	=False	=A	
=383	=235	=-1000	=0	=0	[NULL]	=910	=False	=A	
=384	=236	=-1000	=0	=0	=125	=910	=False	=A	
=385	=236	=-1000	=0	=0	[NULL]	=910	=False	=A	
=386	=237	=-1000	=0	=0	=125	=910	=False	=A	
=387	=237	=-1000	=0	=0	[NULL]	=910	=False	=A	
=388	=238	=-1000	=0	=0	=125	=910	=False	=A	
=389	=238	=-1000	=0	=0	[NULL]	=910	=False	=A	
=390	=239	=-1000	=0	=0	=125	=910	=False	=A	
=391	=239	=-1000	=0	=0	[NULL]	=910	=False	=A	
=392	=240	=-1000	=0	=0	=125	=910	=False	=A	
=393	=240	=-1000	=0	=0	[NULL]	=910	=False	=A	
=394	=241	=-1000	=0	=0	=125	=910	=False	=A	
=395	=241	=-1000	=0	=0	[NULL]	=910	=False	=A	
=396	=242	=4	=12	=32	=150	=1012	=False	[NULL]	
=397	=242	=4	=12	=32	=175	=1012	=False	[NULL]	
=398	=242	=4	=12	=32	[NULL]	=1012	=False	[NULL]	
=399	=243	=4	=12	=32	=150	=912	=False	[NULL]	
=400	=243	=4	=8	=32	=175	=912	=False	[NULL]	
=401	=243	=4	=8	=32	[NULL]	=912	=False	[NULL]	
=402	=244	=4	=18	=32	=100	=911	=False	[NULL]	
=403	=244	=4	=12	=32	=100	=911	=False	[NULL]	
=404	=244	=4	=12	=32	[NULL]	=911	=False	[NULL]	
=405	=245	=4	=12	=32	=150	=990	=False	[NULL]	
=406	=245	=4	=12	=32	=175	=990	=False	[NULL]	
=407	=245	=4	=12	=32	[NULL]	=990	=False	[NULL]	
=408	=246	=4	=12	=32	=250	=936	=False	[NULL]	
=409	=246	=4	=12	=32	=250	=934	=False	[NULL]	
=410	=246	=4	=12	=32	[NULL]	=934	=False	[NULL]	
=411	=247	=4	=12	=32	=150	=998	=False	[NULL]	
=412	=247	=4	=12	=32	[NULL]	=998	=False	[NULL]	
=413	=248	=4	=12	=32	=150	=999	=False	[NULL]	
=414	=248	=4	=12	=32	[NULL]	=999	=False	[NULL]	
=415	=249	=4	=12	=32	=150	=996	=False	[NULL]	
=416	=249	=4	=12	=32	=175	=993	=False	[NULL]	
=417	=249	=4	=12	=32	[NULL]	=993	=False	[NULL]	
=418	=250	=4	=12	=32	=150	=995	=False	[NULL]	
=419	=250	=4	=12	=32	[NULL]	=995	=False	[NULL]	
=420	=251	=4	=12	=32	=300	=1131	=False	[NULL]	
=421	=251	=4	=12	=32	=175	=2	=False	[NULL]	
=422	=251	=4	=12	=32	[NULL]	=2	=False	[NULL]	
=423	=252	=2	=18	=72	=150	=929	=False	=A	
=424	=252	=2	=12	=72	=175	=929	=False	=A	
=425	=253	=-1000	=0	=0	=150	=929	=False	=A	
=426	=254	=2	=18	=72	=150	=931	=False	=B	
=427	=254	=2	=12	=72	=175	=931	=False	=B	
=428	=255	=-1000	=0	=0	=150	=931	=False	=B	
=429	=256	=2	=12	=36	=150	=921	=False	[NULL]	
=430	=257	=2	=12	=36	=150	=947	=False	[NULL]	
=431	=258	=2	=12	=36	=150	=946	=False	[NULL]	
=432	=259	=2	=12	=36	=175	=1146	=False	[NULL]	
=433	=260	=2	=9	=36	=150	=1154	=False	[NULL]	
=434	=261	=2	=12	=36	=125	=910	=False	[NULL]	
=435	=261	=2	=72	=108	=125	=910	=False	=C	
=436	=262	=2	=12	=36	=150	=910	=False	[NULL]	
=437	=262	=-1000	=0	=0	=125	=910	=False	=C	
=438	=263	=2	=12	=36	=150	=910	=False	[NULL]	
=439	=263	=-1000	=0	=0	=125	=910	=False	=C	
=440	=264	=12	=36	=64	=150	=929	=False	=A	
=441	=264	=12	=12	=64	=175	=929	=False	=A	
=442	=264	=6	=12	=64	=175	=929	=False	=A	
=443	=265	=-1000	=0	=0	=150	=929	=False	=A	
=444	=266	=-1000	=0	=0	=150	=929	=False	=A	
=445	=267	=-1000	=0	=0	=150	=929	=False	=A	
=446	=268	=12	=36	=64	=150	=931	=False	=B	
=447	=268	=12	=18	=64	=175	=931	=False	=B	
=448	=268	=6	=18	=64	=175	=931	=False	=B	
=449	=269	=-1000	=0	=0	=150	=931	=False	=B	
=450	=270	=4	=18	=32	=150	=947	=False	[NULL]	
=451	=270	=4	=12	=32	=175	=947	=False	[NULL]	
=452	=271	=4	=18	=32	=150	=921	=False	[NULL]	
=453	=271	=4	=12	=32	=175	=921	=False	[NULL]	
=454	=272	=4	=18	=32	=175	=1146	=False	[NULL]	
