Id	SupplierId	ItemId	Code	
=258	=1	=753	[NULL]	
=259	=1	=754	[NULL]	
=260	=1	=757	[NULL]	
=261	=1	=758	[NULL]	
=262	=1	=759	[NULL]	
=263	=1	=760	[NULL]	
=264	=1	=761	[NULL]	
=265	=1	=762	[NULL]	
=266	=1	=763	[NULL]	
=267	=1	=764	[NULL]	
=268	=1	=765	[NULL]	
=269	=1	=766	[NULL]	
=270	=1	=767	[NULL]	
=271	=1	=770	[NULL]	
=272	=1	=771	[NULL]	
=273	=1	=772	[NULL]	
=274	=1	=773	[NULL]	
=275	=1	=774	[NULL]	
=276	=1	=775	[NULL]	
=277	=1	=776	[NULL]	
=278	=1	=777	[NULL]	
=279	=1	=778	[NULL]	
=280	=1	=779	[NULL]	
=281	=1	=780	[NULL]	
=282	=1	=781	[NULL]	
=283	=1	=782	[NULL]	
=284	=1	=783	[NULL]	
=285	=1	=784	[NULL]	
=286	=1	=785	[NULL]	
=287	=1	=788	[NULL]	
=288	=1	=789	[NULL]	
=289	=1	=791	[NULL]	
=290	=1	=792	[NULL]	
=291	=1	=793	[NULL]	
=292	=1	=794	[NULL]	
=293	=1	=797	[NULL]	
=294	=1	=798	[NULL]	
=295	=1	=799	[NULL]	
=296	=1	=800	[NULL]	
=297	=1	=801	[NULL]	
=298	=1	=802	[NULL]	
=299	=1	=803	[NULL]	
=300	=1	=804	[NULL]	
=301	=1	=805	[NULL]	
=302	=1	=806	[NULL]	
=303	=1	=807	[NULL]	
=304	=1	=808	[NULL]	
=305	=1	=809	[NULL]	
=306	=1	=810	[NULL]	
=307	=1	=811	[NULL]	
=308	=1	=812	[NULL]	
=309	=1	=813	[NULL]	
=310	=1	=814	[NULL]	
=311	=1	=815	[NULL]	
=312	=1	=816	[NULL]	
=313	=1	=817	[NULL]	
=314	=1	=818	[NULL]	
=315	=1	=819	[NULL]	
=316	=1	=820	[NULL]	
=317	=1	=821	[NULL]	
=318	=1	=822	[NULL]	
=319	=1	=823	[NULL]	
=320	=1	=825	[NULL]	
=321	=1	=826	[NULL]	
=322	=1	=827	[NULL]	
=323	=1	=828	[NULL]	
=324	=1	=829	[NULL]	
=325	=1	=830	[NULL]	
=326	=1	=831	[NULL]	
=327	=1	=832	[NULL]	
=328	=1	=833	[NULL]	
=329	=1	=834	[NULL]	
=330	=1	=835	[NULL]	
=331	=1	=836	[NULL]	
=332	=1	=837	[NULL]	
=333	=1	=838	[NULL]	
=334	=1	=839	[NULL]	
=335	=1	=840	[NULL]	
=336	=1	=841	[NULL]	
=337	=1	=842	[NULL]	
=338	=1	=849	[NULL]	
=339	=1	=850	[NULL]	
=340	=1	=851	[NULL]	
=341	=1	=852	[NULL]	
=342	=1	=853	[NULL]	
=343	=1	=854	[NULL]	
=344	=1	=855	[NULL]	
=345	=1	=856	[NULL]	
=346	=1	=857	[NULL]	
=347	=1	=858	[NULL]	
=348	=1	=859	[NULL]	
=349	=1	=862	[NULL]	
=350	=1	=864	[NULL]	
=351	=1	=866	[NULL]	
=352	=1	=867	[NULL]	
=353	=1	=868	[NULL]	
=354	=1	=869	[NULL]	
=355	=1	=870	[NULL]	
=356	=1	=871	[NULL]	
=357	=1	=872	[NULL]	
=358	=1	=873	[NULL]	
=359	=1	=874	[NULL]	
=360	=1	=875	[NULL]	
=361	=1	=876	[NULL]	
=362	=1	=880	[NULL]	
=363	=1	=881	[NULL]	
=364	=1	=882	[NULL]	
=365	=1	=883	[NULL]	
=366	=1	=884	[NULL]	
=367	=1	=885	[NULL]	
=368	=1	=886	[NULL]	
=369	=1	=889	[NULL]	
=370	=1	=890	[NULL]	
=371	=1	=891	[NULL]	
=372	=1	=892	[NULL]	
=373	=1	=894	[NULL]	
=374	=1	=895	[NULL]	
=375	=1	=897	[NULL]	
=376	=1	=898	[NULL]	
=377	=1	=899	[NULL]	
=378	=1	=900	[NULL]	
=379	=1	=901	[NULL]	
=380	=1	=902	[NULL]	
=381	=1	=903	[NULL]	
=382	=1	=904	[NULL]	
=383	=1	=905	[NULL]	
=384	=1	=906	[NULL]	
=385	=1	=907	[NULL]	
=386	=1	=908	[NULL]	
=387	=1	=909	[NULL]	
=388	=1	=910	[NULL]	
=389	=1	=911	[NULL]	
=390	=1	=912	[NULL]	
=391	=1	=913	[NULL]	
=392	=1	=914	[NULL]	
=393	=1	=915	[NULL]	
=394	=1	=916	[NULL]	
=395	=1	=917	[NULL]	
=396	=1	=918	[NULL]	
=397	=1	=920	[NULL]	
=398	=1	=921	[NULL]	
=399	=1	=922	[NULL]	
=400	=1	=923	[NULL]	
=401	=1	=924	[NULL]	
=402	=1	=925	[NULL]	
=403	=1	=926	[NULL]	
=404	=1	=927	[NULL]	
=405	=1	=928	[NULL]	
=406	=1	=929	[NULL]	
=407	=1	=930	[NULL]	
=408	=1	=931	[NULL]	
=409	=1	=932	[NULL]	
=410	=1	=933	[NULL]	
=411	=1	=934	[NULL]	
=412	=1	=935	[NULL]	
=413	=1	=936	[NULL]	
=414	=1	=937	[NULL]	
=415	=1	=938	[NULL]	
=416	=1	=939	[NULL]	
=417	=1	=940	[NULL]	
=418	=1	=941	[NULL]	
=419	=1	=942	[NULL]	
=420	=1	=943	[NULL]	
=421	=1	=944	[NULL]	
=422	=1	=945	[NULL]	
=423	=1	=946	[NULL]	
=424	=1	=947	[NULL]	
=425	=1	=948	[NULL]	
=426	=1	=949	[NULL]	
=427	=1	=950	[NULL]	
=428	=1	=951	[NULL]	
=429	=1	=952	[NULL]	
=430	=1	=954	[NULL]	
=431	=1	=955	[NULL]	
=432	=1	=956	[NULL]	
=433	=1	=957	[NULL]	
=434	=1	=958	[NULL]	
=435	=1	=959	[NULL]	
=436	=1	=960	[NULL]	
=437	=1	=961	[NULL]	
=438	=1	=962	[NULL]	
=439	=1	=963	[NULL]	
=440	=1	=964	[NULL]	
=441	=1	=965	[NULL]	
=442	=1	=966	[NULL]	
=443	=1	=967	[NULL]	
=444	=1	=968	[NULL]	
=445	=1	=969	[NULL]	
=446	=1	=970	[NULL]	
=447	=1	=971	[NULL]	
=448	=1	=972	[NULL]	
=449	=1	=973	[NULL]	
=450	=1	=974	[NULL]	
=451	=1	=975	[NULL]	
=452	=1	=976	[NULL]	
=453	=1	=977	[NULL]	
=454	=1	=978	[NULL]	
=455	=1	=979	[NULL]	
=456	=1	=980	[NULL]	
=457	=1	=981	[NULL]	
=458	=1	=982	[NULL]	
=459	=1	=983	[NULL]	
=460	=1	=984	[NULL]	
=461	=1	=985	[NULL]	
=462	=1	=986	[NULL]	
=463	=1	=987	[NULL]	
=464	=1	=988	[NULL]	
=465	=1	=989	[NULL]	
=466	=1	=990	[NULL]	
=467	=1	=991	[NULL]	
=468	=1	=992	[NULL]	
=469	=1	=993	[NULL]	
=470	=1	=994	[NULL]	
=471	=1	=995	[NULL]	
=472	=1	=996	[NULL]	
=473	=1	=997	[NULL]	
=474	=1	=998	[NULL]	
=475	=1	=999	[NULL]	
=476	=1	=1000	[NULL]	
=477	=1	=1001	[NULL]	
=478	=1	=1002	[NULL]	
=479	=1	=1003	[NULL]	
=480	=1	=1004	[NULL]	
=481	=1	=1005	[NULL]	
=482	=1	=1006	[NULL]	
=483	=1	=1007	[NULL]	
=484	=1	=1008	[NULL]	
=485	=1	=1009	[NULL]	
=486	=1	=1010	[NULL]	
=487	=1	=1011	[NULL]	
=488	=1	=1012	[NULL]	
=489	=1	=1013	[NULL]	
=490	=1	=1014	[NULL]	
=491	=1	=1015	[NULL]	
=492	=1	=1016	[NULL]	
=493	=1	=1017	[NULL]	
=494	=1	=1018	[NULL]	
=495	=1	=1019	[NULL]	
=496	=1	=1021	[NULL]	
=497	=1	=1022	[NULL]	
=498	=1	=1023	[NULL]	
=499	=1	=1024	[NULL]	
=500	=1	=1025	[NULL]	
=501	=1	=1026	[NULL]	
=502	=1	=1027	[NULL]	
=503	=1	=1028	[NULL]	
=504	=1	=1029	[NULL]	
=505	=1	=1030	[NULL]	
=506	=1	=1031	[NULL]	
=507	=1	=1032	[NULL]	
=508	=1	=1033	[NULL]	
=509	=1	=1034	[NULL]	
=510	=1	=1035	[NULL]	
=511	=1	=1036	[NULL]	
=512	=1	=1037	[NULL]	
=513	=1	=1038	[NULL]	
=514	=1	=1039	[NULL]	
=515	=1	=1040	[NULL]	
=516	=1	=1041	[NULL]	
=517	=1	=1042	[NULL]	
=518	=1	=1043	[NULL]	
=519	=1	=1044	[NULL]	
=520	=1	=1045	[NULL]	
=521	=1	=1046	[NULL]	
=522	=1	=1047	[NULL]	
=523	=1	=1048	[NULL]	
=524	=1	=1049	[NULL]	
=525	=1	=1050	[NULL]	
=526	=1	=1051	[NULL]	
=527	=1	=1052	[NULL]	
=528	=1	=1053	[NULL]	
=529	=1	=1054	[NULL]	
=530	=1	=1055	[NULL]	
=531	=1	=1056	[NULL]	
=532	=1	=1057	[NULL]	
=533	=1	=1058	[NULL]	
=534	=1	=1059	[NULL]	
=535	=1	=1060	[NULL]	
=536	=1	=1061	[NULL]	
=537	=1	=1062	[NULL]	
=538	=1	=1063	[NULL]	
=539	=1	=1064	[NULL]	
=540	=1	=1065	[NULL]	
=541	=1	=1066	[NULL]	
=542	=1	=1067	[NULL]	
=543	=1	=1068	[NULL]	
=544	=1	=1069	[NULL]	
=545	=1	=1070	[NULL]	
=546	=1	=1072	[NULL]	
=547	=1	=1073	[NULL]	
=548	=1	=1074	[NULL]	
=549	=1	=1075	[NULL]	
=550	=1	=1076	[NULL]	
=553	=2	=247	[NULL]	
=554	=2	=248	[NULL]	
=555	=2	=249	[NULL]	
=556	=2	=250	[NULL]	
=557	=2	=251	[NULL]	
=558	=2	=252	[NULL]	
=559	=2	=253	[NULL]	
=560	=2	=254	[NULL]	
=561	=2	=256	[NULL]	
=562	=2	=258	[NULL]	
=563	=2	=259	[NULL]	
=564	=2	=260	[NULL]	
=565	=2	=261	[NULL]	
=566	=2	=264	[NULL]	
=567	=2	=267	[NULL]	
=568	=2	=268	[NULL]	
=569	=2	=269	[NULL]	
=570	=2	=272	[NULL]	
=571	=2	=273	[NULL]	
=572	=2	=274	[NULL]	
=573	=2	=275	[NULL]	
=574	=2	=280	[NULL]	
=575	=2	=281	[NULL]	
=576	=2	=282	[NULL]	
=577	=2	=283	[NULL]	
=578	=2	=284	[NULL]	
=579	=2	=285	[NULL]	
=580	=2	=286	[NULL]	
=581	=2	=288	[NULL]	
=582	=2	=289	[NULL]	
=583	=2	=291	[NULL]	
=584	=2	=292	[NULL]	
=585	=2	=296	[NULL]	
=586	=2	=299	[NULL]	
=587	=2	=301	[NULL]	
=588	=2	=308	[NULL]	
=589	=2	=309	[NULL]	
=590	=2	=310	[NULL]	
=591	=2	=311	[NULL]	
=592	=2	=312	[NULL]	
=593	=2	=313	[NULL]	
=594	=2	=316	[NULL]	
=595	=2	=317	[NULL]	
=596	=2	=318	[NULL]	
=597	=2	=319	[NULL]	
=598	=2	=321	[NULL]	
=599	=2	=322	[NULL]	
=600	=2	=324	[NULL]	
=601	=2	=325	[NULL]	
=602	=2	=327	[NULL]	
=603	=2	=329	[NULL]	
=604	=2	=330	[NULL]	
=605	=2	=331	[NULL]	
=606	=2	=336	[NULL]	
=607	=2	=337	[NULL]	
=608	=2	=341	[NULL]	
=609	=2	=343	[NULL]	
=610	=2	=347	[NULL]	
=611	=2	=348	[NULL]	
=612	=2	=350	[NULL]	
=613	=2	=351	[NULL]	
=614	=2	=352	[NULL]	
=615	=2	=353	[NULL]	
=616	=2	=354	[NULL]	
=617	=2	=356	[NULL]	
=618	=2	=357	[NULL]	
=619	=2	=358	[NULL]	
=620	=2	=359	[NULL]	
=621	=2	=364	[NULL]	
=622	=2	=365	[NULL]	
=623	=2	=366	[NULL]	
=624	=2	=367	[NULL]	
=625	=2	=373	[NULL]	
=626	=2	=375	[NULL]	
=627	=2	=376	[NULL]	
=628	=2	=377	[NULL]	
=629	=2	=380	[NULL]	
=630	=2	=381	[NULL]	
=631	=2	=382	[NULL]	
=632	=2	=383	[NULL]	
=633	=2	=384	[NULL]	
=634	=2	=385	[NULL]	
=635	=2	=387	[NULL]	
=636	=2	=389	[NULL]	
=637	=2	=395	[NULL]	
=638	=2	=397	[NULL]	
=639	=2	=400	[NULL]	
=640	=2	=402	[NULL]	
=641	=2	=404	[NULL]	
=642	=2	=405	[NULL]	
=643	=2	=407	[NULL]	
=644	=2	=409	[NULL]	
=645	=2	=411	[NULL]	
=646	=2	=412	[NULL]	
=647	=2	=414	[NULL]	
=648	=2	=415	[NULL]	
=649	=2	=417	[NULL]	
=650	=2	=420	[NULL]	
=651	=2	=421	[NULL]	
=652	=2	=422	[NULL]	
=653	=2	=423	[NULL]	
=654	=2	=425	[NULL]	
=655	=2	=426	[NULL]	
=656	=2	=427	[NULL]	
=657	=2	=430	[NULL]	
=658	=2	=432	[NULL]	
=659	=2	=435	[NULL]	
=660	=2	=437	[NULL]	
=661	=2	=439	[NULL]	
=662	=2	=441	[NULL]	
=663	=2	=444	[NULL]	
=664	=2	=445	[NULL]	
=665	=2	=446	[NULL]	
=666	=2	=447	[NULL]	
=667	=2	=451	[NULL]	
=668	=2	=452	[NULL]	
=669	=2	=453	[NULL]	
=670	=2	=454	[NULL]	
=671	=2	=455	[NULL]	
=672	=2	=456	[NULL]	
=673	=2	=458	[NULL]	
=674	=2	=459	[NULL]	
=675	=2	=467	[NULL]	
=676	=2	=474	[NULL]	
=677	=2	=476	[NULL]	
=678	=2	=477	[NULL]	
=679	=2	=480	[NULL]	
=680	=2	=481	[NULL]	
=681	=2	=486	[NULL]	
=682	=2	=494	[NULL]	
=683	=2	=496	[NULL]	
=684	=2	=498	[NULL]	
=685	=2	=503	[NULL]	
=686	=2	=507	[NULL]	
=687	=2	=512	[NULL]	
=688	=2	=523	[NULL]	
=689	=2	=524	[NULL]	
=690	=2	=525	[NULL]	
=691	=2	=527	[NULL]	
=692	=2	=528	[NULL]	
=693	=2	=530	[NULL]	
=694	=2	=543	[NULL]	
=695	=2	=544	[NULL]	
=696	=2	=549	[NULL]	
=697	=2	=556	[NULL]	
=698	=2	=558	[NULL]	
=699	=2	=561	[NULL]	
=700	=2	=568	[NULL]	
=701	=2	=569	[NULL]	
=702	=2	=570	[NULL]	
=703	=2	=571	[NULL]	
=704	=2	=572	[NULL]	
=705	=2	=573	[NULL]	
=706	=2	=574	[NULL]	
=707	=2	=575	[NULL]	
=708	=2	=577	[NULL]	
=709	=2	=578	[NULL]	
=710	=2	=580	[NULL]	
=711	=2	=583	[NULL]	
=712	=2	=584	[NULL]	
=713	=2	=585	[NULL]	
=714	=2	=586	[NULL]	
=715	=2	=587	[NULL]	
=716	=2	=588	[NULL]	
=717	=2	=589	[NULL]	
=718	=2	=590	[NULL]	
=719	=2	=593	[NULL]	
=720	=2	=594	[NULL]	
=721	=2	=599	[NULL]	
=722	=2	=603	[NULL]	
=723	=2	=604	[NULL]	
=724	=2	=607	[NULL]	
=725	=2	=609	[NULL]	
=726	=2	=610	[NULL]	
=727	=2	=611	[NULL]	
=728	=2	=614	[NULL]	
=729	=2	=615	[NULL]	
=730	=2	=618	[NULL]	
=731	=2	=619	[NULL]	
=732	=2	=622	[NULL]	
=733	=2	=623	[NULL]	
=734	=2	=624	[NULL]	
=735	=2	=625	[NULL]	
=736	=2	=626	[NULL]	
=737	=2	=627	[NULL]	
=738	=2	=631	[NULL]	
=739	=2	=633	[NULL]	
=740	=2	=634	[NULL]	
=741	=2	=635	[NULL]	
=742	=2	=637	[NULL]	
=743	=2	=639	[NULL]	
=744	=2	=649	[NULL]	
=745	=2	=650	[NULL]	
=746	=2	=651	[NULL]	
=747	=2	=652	[NULL]	
=748	=2	=653	[NULL]	
=749	=2	=654	[NULL]	
=750	=2	=655	[NULL]	
=751	=2	=656	[NULL]	
=752	=2	=657	[NULL]	
=753	=2	=658	[NULL]	
=754	=2	=659	[NULL]	
=755	=2	=660	[NULL]	
=756	=2	=661	[NULL]	
=757	=2	=662	[NULL]	
=758	=2	=663	[NULL]	
=759	=2	=664	[NULL]	
=760	=2	=665	[NULL]	
=761	=2	=666	[NULL]	
=762	=2	=667	[NULL]	
=763	=2	=668	[NULL]	
=764	=2	=671	[NULL]	
=765	=2	=672	[NULL]	
=766	=2	=673	[NULL]	
=767	=2	=677	[NULL]	
=768	=2	=678	[NULL]	
=769	=2	=681	[NULL]	
=770	=2	=682	[NULL]	
=771	=2	=685	[NULL]	
=772	=2	=686	[NULL]	
=773	=2	=687	[NULL]	
=774	=2	=692	[NULL]	
=775	=2	=695	[NULL]	
=776	=2	=696	[NULL]	
=777	=2	=697	[NULL]	
=778	=2	=700	[NULL]	
=779	=2	=703	[NULL]	
=780	=2	=705	[NULL]	
=781	=2	=706	[NULL]	
=782	=2	=707	[NULL]	
=783	=2	=711	[NULL]	
=784	=2	=713	[NULL]	
=785	=2	=714	[NULL]	
=786	=2	=715	[NULL]	
=787	=2	=716	[NULL]	
=788	=2	=718	[NULL]	
=789	=2	=719	[NULL]	
=790	=2	=725	[NULL]	
=791	=2	=726	[NULL]	
=792	=2	=727	[NULL]	
=793	=2	=728	[NULL]	
=794	=2	=729	[NULL]	
=795	=2	=730	[NULL]	
=796	=2	=731	[NULL]	
=797	=2	=732	[NULL]	
=798	=2	=733	[NULL]	
=799	=2	=734	[NULL]	
=800	=2	=735	[NULL]	
=801	=2	=736	[NULL]	
=802	=2	=738	[NULL]	
=803	=2	=739	[NULL]	
=804	=2	=745	[NULL]	
=805	=2	=746	[NULL]	
=806	=2	=749	[NULL]	
=807	=2	=752	[NULL]	
=808	=2	=753	[NULL]	
=809	=2	=754	[NULL]	
=810	=2	=757	[NULL]	
=811	=2	=758	[NULL]	
=812	=2	=759	[NULL]	
=813	=2	=760	[NULL]	
=814	=2	=761	[NULL]	
=815	=2	=762	[NULL]	
=816	=2	=763	[NULL]	
=817	=2	=764	[NULL]	
=818	=2	=765	[NULL]	
=819	=2	=766	[NULL]	
=820	=2	=767	[NULL]	
=821	=2	=770	[NULL]	
=822	=2	=771	[NULL]	
=823	=2	=772	[NULL]	
=824	=2	=773	[NULL]	
=825	=2	=774	[NULL]	
=826	=2	=775	[NULL]	
=827	=2	=776	[NULL]	
=828	=2	=777	[NULL]	
=829	=2	=778	[NULL]	
=830	=2	=779	[NULL]	
=831	=2	=780	[NULL]	
=832	=2	=781	[NULL]	
=833	=2	=782	[NULL]	
=834	=2	=783	[NULL]	
=835	=2	=784	[NULL]	
=836	=2	=785	[NULL]	
=837	=2	=788	[NULL]	
=838	=2	=789	[NULL]	
=839	=2	=791	[NULL]	
=840	=2	=792	[NULL]	
=841	=2	=793	[NULL]	
=842	=2	=794	[NULL]	
=843	=2	=797	[NULL]	
=844	=2	=798	[NULL]	
=845	=2	=799	[NULL]	
=846	=2	=800	[NULL]	
=847	=2	=801	[NULL]	
=848	=2	=802	[NULL]	
=849	=2	=803	[NULL]	
=850	=2	=804	[NULL]	
=851	=2	=805	[NULL]	
=852	=2	=806	[NULL]	
=853	=2	=807	[NULL]	
=854	=2	=808	[NULL]	
=855	=2	=809	[NULL]	
=856	=2	=810	[NULL]	
=857	=2	=811	[NULL]	
=858	=2	=812	[NULL]	
=859	=2	=813	[NULL]	
=860	=2	=814	[NULL]	
=861	=2	=815	[NULL]	
=862	=2	=816	[NULL]	
=863	=2	=817	[NULL]	
=864	=2	=818	[NULL]	
=865	=2	=819	[NULL]	
=866	=2	=820	[NULL]	
=867	=2	=821	[NULL]	
=868	=2	=822	[NULL]	
=869	=2	=823	[NULL]	
=870	=2	=825	[NULL]	
=871	=2	=826	[NULL]	
=872	=2	=827	[NULL]	
