Id	LocationId	RouteId	ImportId	AssetId	DeviceSerialNumber	CentralThirdPartyDeviceId	UserMachineSerialNumber	Place	LastRestockDateTime	Deployed	OfflineMachineType	MeterType	LastInventoryAdjustmentDateTime	LastUpdatedByIntegrationUtcDateTime	
=615420	=3029	=0	=164555	=164555	[NULL]	[NULL]	=051010502G26368	=B BRKRM	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=03/27/2012 07:27:00	
=615421	=3027	=0	=164630	=164630	[NULL]	[NULL]	=34021	=MAIN BRKRM	=08/03/2010 01:00:00	=1	=F	[NULL]	[NULL]	=07/27/2012 01:51:00	
=615422	=3026	=0	=164883	=164883	[NULL]	[NULL]	=1045	=MAXISEAL BRKRM	=07/22/2010 01:00:00	=0	=F	[NULL]	[NULL]	=11/20/2011 13:31:00	
=615423	=3038	=0	=164931	=164931	[NULL]	[NULL]	=673011462	=MAIN	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=09/17/2012 07:33:00	
=615424	=3038	=0	=164963	=164963	[NULL]	[NULL]	=431049248	=MAIN	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=09/11/2012 01:52:00	
=615425	=3038	=0	=164964	=164964	[NULL]	[NULL]	=431049247	=MAIN	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=09/11/2012 01:52:00	
=615426	=3038	=0	=164966	=164966	[NULL]	[NULL]	=	=MAIN	=08/05/2010 01:00:00	=1	=F	[NULL]	[NULL]	=09/11/2012 01:52:00	
=615427	=3038	=0	=164967	=164967	[NULL]	[NULL]	=673011924	=MAIN	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615428	=3038	=0	=164972	=164972	[NULL]	[NULL]	=1146	=KRH MACHINE	=03/08/2010 00:03:00	=0	=F	[NULL]	[NULL]	=08/01/2010 18:10:00	
=615429	=3027	=0	=165403	=165403	[NULL]	[NULL]	=431017460	[NULL]	=08/03/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615430	=3208	=0	=165688	=165688	[NULL]	[NULL]	=431034733	=7TH FLR	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615431	=3892	=0	=166754	=166754	[NULL]	[NULL]	=77190100BE	=1ST FLR SHELF MGMT	=07/21/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=615432	=3003	=21021	=167629	=167629	[NULL]	[NULL]	=76190052AD	=MAIN	=06/08/2010 01:00:00	=0	=F	[NULL]	[NULL]	=04/20/2011 12:33:00	
=633808	=3031	=0	=101121	=101121	[NULL]	[NULL]	=012697	=BLDG D CAFETERIA	=06/24/2010 01:00:00	=1	=F	[NULL]	[NULL]	=06/27/2012 07:28:00	
=633809	=3211	=0	=102266	=102266	[NULL]	[NULL]	=653010523	=MAIN	=07/23/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633810	=3041	=0	=105152	=105152	[NULL]	[NULL]	=653012320	=MAIN BRKRM	=07/22/2010 01:00:00	=1	=F	[NULL]	[NULL]	=06/11/2012 01:55:00	
=633811	=3045	=0	=151871	=151871	[NULL]	[NULL]	=28356063	=FRONT HALLWAY	=02/24/2010 09:53:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633812	=3057	=0	=155179	=155179	[NULL]	[NULL]	=7DF015706	=EMPLOYEE'S LOUNGE	=03/08/2010 09:20:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633813	=3007	=0	=156373	=156373	[NULL]	[NULL]	=431-024614	=PLASTICS BRKRM	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633814	=3054	=0	=156391	=156391	[NULL]	[NULL]	=43124253	[NULL]	=08/05/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633815	=3031	=0	=156435	=156435	[NULL]	[NULL]	=10457	=BLDG C 2ND FLR	=05/27/2010 01:00:00	=0	=F	[NULL]	[NULL]	=12/29/2011 02:47:00	
=633816	=3034	=0	=157080	=157080	[NULL]	[NULL]	=16782885AM	=2ND FL. WEST SIDE	=03/05/2010 09:35:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633818	=3060	=0	=157542	=157542	[NULL]	[NULL]	=8683047	=SOUTH BLDG.	=03/03/2010 09:18:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633819	=3357	=21029	=159435	=159435	[NULL]	[NULL]	=05011	=BRKRM	=07/01/2010 01:00:00	=1	=F	[NULL]	[NULL]	=11/07/2012 19:12:00	
=633820	=3061	=0	=159566	=159566	[NULL]	[NULL]	=08504	=PRODUCTION	=08/05/2010 01:00:00	=0	=F	[NULL]	[NULL]	=09/09/2010 18:09:00	
=633821	=3069	=0	=161055	=161055	[NULL]	[NULL]	=14336491CW	=SOUTH STAIRWELL	=03/08/2010 05:41:00	=1	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633824	=3069	=0	=161932	=161932	[NULL]	[NULL]	=P309805795	=NORTH PATIO	=03/05/2010 05:33:00	=1	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633825	=3054	=0	=162021	=162021	[NULL]	[NULL]	=1231111185	=GROUND FLR VENDING AREA	=07/22/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633826	=3059	=0	=163455	=163455	[NULL]	[NULL]	=	=W BSMT	=03/03/2010 07:13:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633827	=3059	=31033	=163457	=163457	[NULL]	[NULL]	=0	=W.BASEMENT	=02/10/2010 00:00:00	=1	=F	[NULL]	[NULL]	=11/07/2012 19:12:00	
=633828	=3059	=0	=163498	=163498	[NULL]	[NULL]	=	=PlazaWhse	=02/25/2010 07:50:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633829	=3059	=31033	=163499	=163499	[NULL]	[NULL]	=33082	=PlazaWhse	=02/11/2010 00:00:00	=1	=F	[NULL]	[NULL]	=11/07/2012 19:12:00	
=633830	=3275	=0	=164796	=164796	[NULL]	[NULL]	=653010237	=K-21	=05/27/2010 01:00:00	=1	=F	[NULL]	[NULL]	=09/27/2012 01:51:00	
=633831	=3059	=0	=165001	=165001	[NULL]	[NULL]	=11203151DN	=9200 TROOST	=03/04/2010 06:50:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633832	=3066	=0	=165150	=165150	[NULL]	[NULL]	=06806185BS	=	=03/01/2010 08:15:00	=0	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633833	=3069	=0	=165427	=165427	[NULL]	[NULL]	=010957	[NULL]	=03/03/2010 04:36:00	=1	=F	[NULL]	[NULL]	=04/06/2010 17:31:00	
=633835	=3069	=0	=165430	=165430	[NULL]	[NULL]	=010956	[NULL]	=03/03/2010 04:39:00	=1	=F	[NULL]	[NULL]	=04/06/2010 17:31:00	
=633839	=3074	=31033	=166371	=166371	[NULL]	[NULL]	=060710601B4528	=EAST LARGE BRKRM	=07/22/2010 01:00:00	=1	=F	[NULL]	[NULL]	=11/07/2012 19:12:00	
=633840	=3007	=0	=166430	=166430	[NULL]	[NULL]	=480-010380	=NORTH BLDG	=03/08/2010 04:15:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633841	=3892	=0	=166632	=166632	[NULL]	[NULL]	=063910K10652998	=FREEZER BRKRM	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633842	=3182	=0	=166827	=166827	[NULL]	[NULL]	=670010822	[NULL]	=03/08/2010 05:37:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633843	=3069	=0	=166829	=166829	[NULL]	[NULL]	=480010454	=MLR	=03/08/2010 04:18:00	=1	=F	[NULL]	[NULL]	=04/06/2010 17:31:00	
=633844	=3069	=0	=166833	=166833	[NULL]	[NULL]	=77520050CE	=NORTH PATIO	=02/02/2010 14:16:00	=1	=F	[NULL]	[NULL]	=04/06/2010 17:31:00	
=633847	=3069	=0	=166836	=166836	[NULL]	[NULL]	=199942BA00311	=NORTH PATIO	=02/04/2010 12:28:00	=1	=F	[NULL]	[NULL]	=03/08/2010 19:26:00	
=633853	=3063	=0	=102160	=102160	[NULL]	[NULL]	=011761	[NULL]	=07/21/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633854	=3236	=0	=105531	=105531	[NULL]	[NULL]	=10521	=BRKRM	=07/21/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633855	=3091	=0	=105556	=105556	[NULL]	[NULL]	=431039016	=MAIN BRKRM	=06/24/2010 01:00:00	=0	=F	[NULL]	[NULL]	=02/21/2011 13:27:00	
=633856	=3074	=31033	=150855	=150855	[NULL]	[NULL]	=40376	=BRKRM.	=06/25/2010 01:00:00	=0	=F	[NULL]	[NULL]	=09/19/2012 07:35:00	
=633857	=3026	=0	=154623	=154623	[NULL]	[NULL]	=431-012603	=MISSION PLASTICS	=08/03/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633858	=3073	=0	=155980	=155980	[NULL]	[NULL]	=630010330	=UPSTAIRS	=07/26/2010 01:00:00	=0	=F	[NULL]	[NULL]	=09/11/2012 01:52:00	
=633859	=3058	=0	=156460	=156460	[NULL]	[NULL]	=43122191	=COMMONS	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633860	=3076	=0	=156478	=156478	[NULL]	[NULL]	=630010409	=MAIN	=01/01/2000 00:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633861	=3046	=0	=157351	=157351	[NULL]	[NULL]	=0019115377	=MAIN BRKRM	=07/26/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633862	=3238	=0	=157408	=157408	[NULL]	[NULL]	=633-015154	=BRKRM	=07/06/2010 01:00:00	=1	=F	[NULL]	[NULL]	=07/16/2012 01:50:00	
=633864	=3046	=0	=159932	=159932	[NULL]	[NULL]	=43144678	=MAIN BRKRM	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633865	=3075	=0	=161255	=161255	[NULL]	[NULL]	=041310G23064	=MAIN BRKRM	=07/26/2010 01:00:00	=1	=F	[NULL]	[NULL]	=01/09/2012 02:50:00	
=633866	=3026	=0	=161256	=161256	[NULL]	[NULL]	=041310G22641	=MAXISEAL	=07/26/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633867	=3058	=0	=161393	=161393	[NULL]	[NULL]	=041410622764	=COMMONS	=08/03/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633868	=3058	=0	=162365	=162365	[NULL]	[NULL]	=673011211	=COMMONS	=08/03/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633869	=3065	=0	=162605	=162605	[NULL]	[NULL]	=9232112670	=#9	=08/03/2010 01:00:00	=0	=F	[NULL]	[NULL]	=03/31/2011 00:51:00	
=633870	=3073	=0	=164291	=164291	[NULL]	[NULL]	=432011178	=UPSTAIRS	=07/28/2010 01:00:00	=0	=F	[NULL]	[NULL]	=09/11/2012 01:52:00	
=633871	=3073	=0	=164292	=164292	[NULL]	[NULL]	=5110409G25401	=UPSTAIRS	=07/26/2010 01:00:00	=0	=F	[NULL]	[NULL]	=09/11/2012 01:52:00	
=633872	=3049	=0	=164443	=164443	[NULL]	[NULL]	=050810411G25868	=PLANT	=07/23/2010 01:00:00	=0	=F	[NULL]	[NULL]	=09/22/2010 18:12:00	
=633873	=3349	=0	=164722	=164722	[NULL]	[NULL]	=432012067	=MAIN 1ST FLR	=06/02/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633874	=3063	=0	=165614	=165614	[NULL]	[NULL]	=431035672	=MAIN BRKRM	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=09/17/2012 01:55:00	
=633875	=3085	=0	=165777	=165777	[NULL]	[NULL]	=436061837	=PLANT BRKRM	=07/21/2010 01:00:00	=0	=F	[NULL]	[NULL]	=09/01/2010 18:10:00	
=633876	=3063	=0	=165927	=165927	[NULL]	[NULL]	=074611709B11958	[NULL]	=07/21/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633877	=3065	=0	=166401	=166401	[NULL]	[NULL]	=480010302	=#9	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633878	=3075	=0	=166802	=166802	[NULL]	[NULL]	=77190058BE	=MAIN BRKRM	=07/21/2010 01:00:00	=0	=F	[NULL]	[NULL]	=10/23/2011 12:29:00	
=633888	=3071	=0	=152417	=152417	[NULL]	[NULL]	=1763-3121BN	=FRONT LOBBY	=01/01/2000 00:00:00	=0	=F	[NULL]	[NULL]	=05/18/2010 18:07:00	
=633889	=3056	=0	=152804	=152804	[NULL]	[NULL]	=0469-6090CO	=SHOP	=01/01/2000 00:00:00	=0	=F	[NULL]	[NULL]	=05/18/2010 18:07:00	
=633890	=3109	=0	=154406	=154406	[NULL]	[NULL]	=11930	=BREAKROOM	=01/01/2000 00:00:00	=0	=F	[NULL]	[NULL]	=06/14/2010 18:09:00	
=633891	=3109	=0	=155063	=155063	[NULL]	[NULL]	=1212-3121BN	=BREAKROOM	=01/01/2000 00:00:00	=0	=F	[NULL]	[NULL]	=05/18/2010 18:07:00	
=633892	=3064	=0	=162584	=162584	[NULL]	[NULL]	=0219-609DQ	=	=01/01/2000 00:00:00	=0	=F	[NULL]	[NULL]	=05/18/2010 18:08:00	
=633893	=3058	=0	=163343	=163343	[NULL]	[NULL]	=18683183BO	=COMMONS	=01/01/2000 00:00:00	=0	=F	[NULL]	[NULL]	=05/18/2010 18:08:00	
=633894	=3938	=0	=165053	=165053	[NULL]	[NULL]	=071711602B5005	=BRKRM	=07/22/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633899	=3126	=0	=153053	=153053	[NULL]	[NULL]	=627-016540	[NULL]	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633900	=3097	=0	=156375	=156375	[NULL]	[NULL]	=431-024615	=MAIN BRKRM	=08/03/2010 01:00:00	=0	=F	[NULL]	[NULL]	=11/08/2010 18:58:00	
=633901	=3096	=31010	=157362	=157362	[NULL]	[NULL]	=0030106720	=BREAKROOM	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=11/07/2012 19:12:00	
=633902	=3127	=0	=159104	=159104	[NULL]	[NULL]	=21100273034	=2ND FLR	=06/01/2010 01:00:00	=0	=F	[NULL]	[NULL]	=01/13/2011 17:46:00	
=633903	=3096	=0	=161020	=161020	[NULL]	[NULL]	=43145826	=LUNCHROOM	=07/26/2010 01:00:00	=1	=F	[NULL]	[NULL]	=08/22/2012 01:51:00	
=633904	=3096	=0	=161067	=161067	[NULL]	[NULL]	=A12895	=LUNCHROOM	=07/19/2010 01:00:00	=1	=F	[NULL]	[NULL]	=04/03/2012 07:35:00	
=633905	=3173	=0	=161465	=161465	[NULL]	[NULL]	=630011334	=6TH FLR OB	=08/03/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633906	=3126	=0	=162449	=162449	[NULL]	[NULL]	=733203220	[NULL]	=07/28/2010 01:00:00	=1	=F	[NULL]	[NULL]	=10/01/2012 01:55:00	
=633907	=3115	=0	=164444	=164444	[NULL]	[NULL]	=32002016003	=BREAKROOM	=08/03/2010 01:00:00	=0	=F	[NULL]	[NULL]	=08/03/2010 18:09:00	
