Id	MachineId	Name	GroupName	Inventory	Par	AlertLevel	Capacity	PriceInCents	DesiredPriceInCents	ItemId	VendsSinceInitializationQuantity	LastSaleDateTime	
=153	=44	=B9	[NULL]	=7	=8	=2	=8	=175	=175	=938	=930	=08/20/2013 13:34:48	
=154	=44	=C1	[NULL]	=8	=8	=2	=8	=175	=175	=914	=690	=08/16/2013 17:32:54	
=155	=44	=C2	[NULL]	=8	=8	=2	=8	=175	=175	=1174	=462	=08/15/2013 13:32:41	
=156	=44	=C3	=B	=15	=16	=4	=16	=175	=175	=929	=617	=08/20/2013 17:34:51	
=157	=44	=C4	=B	=0	=0	=-1000	=0	=175	=175	=929	=826	=08/14/2013 13:32:38	
=158	=44	=C5	[NULL]	=12	=8	=2	=8	=175	=175	=931	=964	=08/21/2013 13:34:53	
=159	=44	=C6	=D	=13	=16	=2	=16	=175	=175	=947	=716	=08/19/2013 17:34:58	
=160	=44	=C7	=D	=0	=0	=-1000	=0	=175	=175	=947	=831	=08/19/2013 12:31:14	
=161	=44	=C8	[NULL]	=8	=8	=2	=8	=175	=175	=1028	=851	=08/15/2013 09:32:39	
=162	=44	=C9	[NULL]	=8	=8	=2	=8	=175	=175	=946	=503	=08/20/2013 17:34:51	
=163	=44	=D1	[NULL]	=6	=8	=2	=8	=175	=175	=922	=674	=08/21/2013 17:34:56	
=164	=44	=D2	[NULL]	=8	=8	=2	=8	=175	=175	=927	=656	=08/14/2013 15:00:32	
=165	=44	=D3	=C	=14	=16	=2	=16	=175	=175	=926	=745	=08/16/2013 13:32:36	
=166	=44	=D4	=C	=0	=0	=-1000	=0	=175	=175	=926	=802	=08/20/2013 13:34:48	
=167	=44	=D5	[NULL]	=7	=8	=2	=8	=175	=175	=921	=786	=08/16/2013 17:32:54	
=168	=44	=D6	[NULL]	=6	=8	=2	=8	=175	=175	=923	=753	=08/21/2013 21:35:00	
=169	=44	=D7	[NULL]	=8	=8	=2	=8	=175	=175	=1146	=799	=08/16/2013 13:32:36	
=170	=44	=D8	[NULL]	=7	=8	=2	=8	=175	=175	=1154	=678	=08/20/2013 13:34:48	
=171	=44	=D9	[NULL]	=6	=8	=2	=8	=175	=175	=928	=712	=08/21/2013 17:34:56	
=172	=44	=E1	[NULL]	=6	=8	=2	=8	=175	=175	=995	=683	=08/21/2013 17:34:56	
=173	=44	=E2	[NULL]	=7	=8	=2	=8	=175	=175	=992	=535	=08/20/2013 13:34:48	
=174	=44	=E3	[NULL]	=8	=8	=2	=8	=175	=175	=996	=433	=07/22/2013 16:23:13	
=175	=44	=E4	[NULL]	=8	=8	=2	=8	=175	=175	=993	=722	=08/20/2013 21:34:55	
=176	=44	=E5	=A	=32	=40	=10	=40	=125	=125	=910	=781	=08/19/2013 17:34:58	
=177	=44	=E6	=A	=0	=0	=-1000	=0	=125	=125	=910	=701	=08/21/2013 13:34:53	
=178	=44	=E7	=A	=0	=0	=-1000	=0	=125	=125	=910	=761	=08/20/2013 17:34:51	
=179	=44	=E8	=A	=0	=0	=-1000	=0	=125	=125	=910	=534	=08/21/2013 17:34:56	
=180	=44	=E9	=A	=0	=0	=-1000	=0	=125	=125	=910	=389	=08/14/2013 15:00:32	
=181	=44	=F1	=9	=0	=0	=1	[NULL]	=125	=125	=2	=0	[NULL]	
=182	=44	=F2	=9	=0	=0	=-1000	[NULL]	=125	=125	=2	=0	[NULL]	
=183	=44	=F3	=9	=0	=0	=-1000	[NULL]	=125	=125	=2	=0	[NULL]	
=184	=44	=F4	=9	=0	=0	=-1000	[NULL]	=125	=125	=2	=0	[NULL]	
=185	=44	=F5	=9	=0	=0	=-1000	[NULL]	=125	=125	=2	=0	[NULL]	
=186	=44	=F6	=9	=0	=0	=-1000	[NULL]	=125	=125	=2	=0	[NULL]	
=187	=44	=F7	=9	=0	=0	=-1000	[NULL]	=125	=125	=2	=0	[NULL]	
=188	=44	=F8	=9	=0	=0	=-1000	[NULL]	=125	=125	=2	=0	[NULL]	
=189	=44	=F9	=9	=0	=0	=-1000	[NULL]	=125	=125	=2	=0	[NULL]	
=233	=42	=1	=A	=0	=120	=16	=288	=125	[NULL]	=910	=16658	=01/08/2013 16:22:23	
=234	=42	=2	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=3233	=12/13/2012 16:24:04	
=235	=42	=3	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=1699	=12/05/2012 15:42:33	
=236	=42	=4	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=1123	=12/15/2012 12:30:11	
=237	=42	=5	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=768	=01/12/2013 12:51:14	
=238	=42	=6	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=478	=11/27/2012 11:08:43	
=239	=42	=7	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=259	=10/18/2012 17:33:29	
=240	=42	=8	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=165	=11/21/2011 12:13:45	
=241	=42	=9	=A	=0	=0	=-1000	=0	=125	[NULL]	=910	=221	=02/07/2012 21:53:30	
=242	=38	=1	[NULL]	=0	=12	=4	=32	=175	[NULL]	=1012	=3337	=07/11/2013 13:26:06	
=243	=38	=2	[NULL]	=0	=8	=4	=32	=175	[NULL]	=912	=4144	=06/25/2013 17:35:26	
=244	=38	=3	[NULL]	=11	=12	=4	=32	=100	[NULL]	=911	=3841	=07/11/2013 13:26:06	
=245	=38	=4	[NULL]	=0	=12	=4	=32	=175	[NULL]	=990	=3429	=06/03/2013 13:26:10	
=246	=38	=5	[NULL]	=0	=12	=4	=32	=250	[NULL]	=934	=1552	=03/06/2013 21:16:42	
=247	=38	=6	[NULL]	=7	=12	=4	=32	=175	[NULL]	=998	=2109	=08/12/2013 13:46:15	
=248	=38	=7	[NULL]	=7	=12	=4	=32	=175	[NULL]	=999	=1974	=07/30/2013 13:39:11	
=249	=38	=8	[NULL]	=9	=12	=4	=32	=175	[NULL]	=993	=1258	=08/19/2013 21:48:43	
=250	=38	=9	[NULL]	=11	=12	=4	=32	=175	[NULL]	=995	=1847	=08/15/2013 13:46:34	
=251	=38	=10	[NULL]	=12	=12	=4	=32	=175	[NULL]	=2	=1690	=04/11/2013 22:31:51	
=252	=53	=1	=A	=7	=12	=2	=72	=175	=175	=929	=3848	=07/01/2013 21:25:51	
=253	=53	=2	=A	=0	=0	=-1000	=0	=175	=175	=929	=27442	=08/21/2013 09:57:01	
=254	=53	=3	=B	=5	=12	=2	=72	=175	=175	=931	=36979	=08/13/2013 13:52:21	
=255	=53	=4	=B	=0	=0	=-1000	=0	=175	=175	=931	=1835	=04/11/2013 12:22:32	
=256	=53	=5	[NULL]	=8	=12	=2	=36	=175	=175	=921	=2089	=08/21/2013 09:57:01	
=257	=53	=6	[NULL]	=9	=12	=2	=36	=175	=175	=947	=15792	=08/17/2013 13:54:35	
=258	=53	=7	[NULL]	=12	=12	=2	=36	=175	=175	=946	=17587	=06/04/2013 13:11:33	
=259	=53	=8	[NULL]	=8	=12	=2	=36	=175	=175	=1146	=1839	=08/06/2013 13:49:55	
=260	=53	=9	[NULL]	=6	=12	=2	=36	=175	=175	=1154	=811	=08/03/2013 13:47:49	
=261	=53	=10	=C	=59	=72	=2	=108	=125	=125	=910	=3373	=08/20/2013 17:56:54	
=262	=53	=11	=C	=0	=0	=-1000	=0	=125	=125	=910	=3628	=08/14/2013 13:52:26	
=263	=53	=12	=C	=0	=0	=-1000	=0	=125	=125	=910	=923	=08/21/2013 09:57:01	
=264	=52	=1	=A	=7	=12	=6	=64	=175	=175	=929	=410	=08/12/2013 12:53:57	
=265	=52	=2	=A	=0	=0	=-1000	=0	=175	=175	=929	=1471	=08/20/2013 12:58:18	
=266	=52	=3	=A	=0	=0	=-1000	=0	=175	=175	=929	=1430	=08/20/2013 16:58:22	
=267	=52	=4	=A	=0	=0	=-1000	=0	=175	=175	=929	=237	=06/27/2013 20:22:20	
=268	=52	=5	=B	=9	=18	=6	=64	=175	=175	=931	=1186	=08/21/2013 12:58:30	
=269	=52	=6	=B	=0	=0	=-1000	=0	=175	=175	=931	=3473	=08/20/2013 12:58:18	
=270	=52	=7	[NULL]	=12	=12	=4	=32	=175	=175	=947	=2000	=08/16/2013 16:55:57	
=271	=52	=8	[NULL]	=11	=12	=4	=32	=175	=175	=921	=2639	=08/19/2013 20:58:16	
=272	=52	=9	[NULL]	=10	=12	=4	=32	=175	=175	=1146	=2048	=08/19/2013 16:58:11	
=273	=52	=10	=C	=64	=72	=18	=96	=125	=125	=910	=2162	=08/21/2013 08:58:27	
=274	=52	=11	=C	=0	=0	=-1000	=0	=125	=125	=910	=4939	=08/21/2013 12:58:30	
=275	=52	=12	=C	=0	=0	=-1000	=0	=125	=125	=910	=1978	=08/19/2013 12:58:27	
=276	=37	=1	[NULL]	=9	=16	=6	=32	=175	=175	=1012	=9451	=08/21/2013 20:44:54	
=277	=37	=2	[NULL]	=6	=16	=6	=32	=175	=175	=912	=12348	=08/21/2013 16:45:04	
=278	=37	=3	[NULL]	=8	=12	=4	=32	=175	=175	=1132	=3538	=07/24/2013 20:24:14	
=279	=37	=4	[NULL]	=22	=24	=6	=32	=100	=100	=911	=10188	=08/12/2013 12:40:16	
=280	=37	=5	[NULL]	=14	=16	=6	=32	=175	=175	=990	=7575	=08/15/2013 16:40:24	
=281	=37	=6	[NULL]	=13	=16	=4	=32	=175	=175	=998	=4245	=08/15/2013 12:40:35	
=282	=37	=7	[NULL]	=14	=16	=4	=32	=175	=175	=999	=3844	=08/14/2013 16:40:26	
=283	=37	=8	[NULL]	=9	=12	=4	=32	=175	=175	=992	=3579	=08/19/2013 08:42:50	
=284	=37	=9	[NULL]	=9	=12	=4	=32	=175	=175	=996	=4981	=07/09/2013 13:51:43	
=285	=37	=10	[NULL]	=8	=12	=4	=32	=175	=175	=995	=4282	=08/08/2013 16:38:09	
=286	=36	=A0	[NULL]	=7	=9	=1	=11	=100	=100	=1362	=4	=08/16/2013 13:32:32	
=287	=36	=A2	[NULL]	=5	=9	=1	=9	=100	=100	=869	=19	=08/21/2013 17:34:46	
=288	=36	=A4	[NULL]	=9	=9	=1	=9	=100	=100	=868	=4	=08/16/2013 01:33:31	
=289	=36	=A6	[NULL]	=7	=9	=1	=9	=100	=100	=870	=2	=08/19/2013 17:34:55	
=290	=36	=B0	[NULL]	=9	=11	=2	=11	=100	=100	=1328	=9	=08/21/2013 13:34:52	
=291	=36	=B2	[NULL]	=10	=11	=2	=11	=80	=80	=829	=12	=08/19/2013 17:34:55	
=292	=36	=B4	[NULL]	=12	=13	=2	=13	=100	=100	=851	=5	=08/19/2013 17:34:55	
=293	=36	=B6	[NULL]	=11	=11	=2	=11	=80	=80	=845	=0	=07/29/2013 19:24:43	
=294	=36	=C0	[NULL]	=15	=15	=2	=15	=80	=80	=1006	=4	=08/15/2013 13:32:29	
=295	=36	=C2	[NULL]	=10	=10	=2	=15	=125	=125	=847	=3	=08/12/2013 13:30:25	
=296	=36	=C4	[NULL]	=13	=13	=2	=13	=80	=80	=957	=4	=08/16/2013 17:32:39	
=297	=36	=C6	[NULL]	=10	=11	=2	=11	=175	=175	=958	=4	=08/21/2013 09:34:58	
=298	=36	=D0	[NULL]	=15	=17	=2	=17	=125	=125	=799	=2	=08/08/2013 15:26:39	
=299	=36	=D1	[NULL]	=10	=12	=2	=17	=75	=75	=831	=4	=08/15/2013 13:32:29	
=300	=36	=D2	[NULL]	=13	=12	=2	=17	=100	=100	=1367	=1	=08/07/2013 15:26:44	
=301	=36	=D3	[NULL]	=15	=17	=2	=17	=125	=125	=807	=1	=08/19/2013 17:34:55	
=302	=36	=D4	[NULL]	=15	=17	=2	=17	=100	=100	=828	=2	=08/06/2013 11:26:32	
=303	=36	=D5	[NULL]	=20	=20	=2	=20	=125	=125	=811	=3	=08/14/2013 17:32:26	
=304	=36	=D6	[NULL]	=14	=15	=2	=15	=125	=125	=819	=3	=08/19/2013 17:34:55	
=305	=36	=D7	[NULL]	=14	=15	=2	=15	=150	=150	=1241	=5	=08/08/2013 15:26:39	
=306	=36	=E0	[NULL]	=15	=15	=2	=17	=75	=75	=854	=2	=08/12/2013 17:30:29	
=307	=36	=E2	[NULL]	=15	=17	=2	=17	=100	=100	=1246	=4	=08/21/2013 13:34:52	
=308	=36	=E4	[NULL]	=9	=20	=2	=20	=80	=80	=1158	=23	=08/22/2013 01:35:02	
=309	=36	=E6	[NULL]	=9	=15	=2	=15	=75	=75	=1010	=3	=08/21/2013 09:34:58	
=310	=36	=F0	[NULL]	=5	=6	=1	=11	=125	=125	=1076	=8	=08/13/2013 17:30:20	
=311	=36	=F2	[NULL]	=7	=8	=2	=13	=80	=80	=862	=7	=08/19/2013 17:34:55	
=312	=36	=F4	[NULL]	=12	=12	=2	=15	=100	=100	=842	=3	=08/19/2013 09:34:36	
=313	=36	=F6	[NULL]	=9	=11	=2	=11	=100	=100	=964	=2	=08/13/2013 17:30:20	
=314	=36	=H0	[NULL]	=0	=0	=0	[NULL]	=50	=50	=2	=0	=08/13/2012 14:04:44	
=315	=36	=H1	[NULL]	=0	=0	=0	[NULL]	=50	=50	=2	=3	=08/07/2013 15:26:44	
=316	=36	=H2	[NULL]	=0	=0	=0	[NULL]	=50	=50	=2	=0	=08/02/2013 11:24:09	
=317	=36	=H3	[NULL]	=0	=0	=0	[NULL]	=50	=50	=2	=1	=08/08/2013 11:27:16	
=318	=36	=H4	[NULL]	=0	=0	=0	[NULL]	=50	=50	=2	=0	=08/02/2013 11:24:09	
=352	=16	=1	[NULL]	=8	=12	=4	=32	=175	[NULL]	=1012	=9656	=08/20/2013 19:32:35	
=353	=16	=2	[NULL]	=10	=12	=4	=32	=175	[NULL]	=912	=5700	=08/20/2013 15:32:30	
=354	=16	=3	[NULL]	=20	=24	=4	=32	=100	[NULL]	=911	=7171	=08/19/2013 15:32:33	
=355	=16	=4	[NULL]	=11	=12	=4	=18	=350	[NULL]	=933	=4394	=08/16/2013 15:30:20	
=356	=16	=5	[NULL]	=8	=12	=4	=32	=175	[NULL]	=990	=6463	=08/19/2013 15:32:33	
=357	=16	=6	[NULL]	=8	=12	=4	=32	=150	[NULL]	=1373	=4310	=08/21/2013 15:32:31	
=358	=16	=7	[NULL]	=12	=12	=4	=32	=300	[NULL]	=919	=4589	=08/17/2013 15:32:16	
=359	=16	=8	[NULL]	=10	=12	=4	=32	=175	[NULL]	=1132	=3494	=08/21/2013 15:32:31	
=360	=16	=9	[NULL]	=8	=12	=4	=32	=175	[NULL]	=999	=4090	=08/15/2013 11:30:18	
=361	=16	=10	[NULL]	=8	=12	=4	=32	=175	[NULL]	=998	=7111	=08/21/2013 15:32:31	
=362	=41	=A1	[NULL]	=8	=9	=1	=9	=250	=250	=937	=358	=08/09/2013 14:49:23	
=363	=41	=A2	[NULL]	=5	=9	=1	=9	=250	=250	=1094	=323	=08/21/2013 13:23:39	
=364	=41	=A3	[NULL]	=9	=9	=1	=9	=250	=250	=934	=507	=08/15/2013 14:51:28	
=365	=41	=A4	[NULL]	=7	=9	=1	=9	=250	=250	=936	=346	=08/14/2013 14:51:31	
=366	=41	=A5	[NULL]	=9	=9	=1	=9	=250	=250	=1341	=645	=08/13/2013 15:02:11	
=367	=41	=A6	[NULL]	=8	=9	=1	=9	=250	=250	=1342	=591	=08/16/2013 10:53:44	
=368	=41	=A7	[NULL]	=9	=9	=1	=9	=275	=275	=904	=333	=07/27/2013 18:41:19	
=369	=41	=A8	[NULL]	=7	=7	=1	=7	=275	=275	=1148	=450	=08/16/2013 18:53:39	
=370	=41	=A9	[NULL]	=6	=7	=1	=7	=275	=275	=1149	=312	=08/12/2013 14:51:25	
=371	=41	=B1	=A	=14	=16	=2	=16	=175	=175	=931	=445	=08/21/2013 13:23:39	
=372	=41	=B2	=A	=0	=0	=-1000	=0	=175	=175	=931	=305	=08/13/2013 18:51:28	
=373	=41	=B3	[NULL]	=7	=8	=1	=8	=175	=175	=1174	=545	=08/09/2013 14:49:23	
=374	=41	=B4	=B	=12	=16	=2	=16	=175	=175	=947	=724	=08/21/2013 17:22:54	
=375	=41	=B5	=B	=0	=0	=-1000	=0	=175	=175	=947	=679	=08/10/2013 14:49:08	
=376	=41	=B6	[NULL]	=7	=8	=2	=8	=175	=175	=1028	=1422	=08/21/2013 13:23:39	
=377	=41	=B7	[NULL]	=7	=8	=2	=8	=175	=175	=946	=819	=08/21/2013 17:22:54	
=378	=41	=B8	=C	=14	=16	=2	=16	=175	=175	=929	=824	=08/21/2013 17:22:54	
=379	=41	=B9	=C	=0	=0	=-1000	=0	=175	=175	=929	=327	=08/10/2013 10:49:20	
=380	=41	=C1	[NULL]	=8	=8	=1	=8	=175	=175	=914	=308	=08/09/2013 14:49:23	
=381	=41	=C2	=G	=13	=16	=1	=16	=175	=175	=922	=557	=08/15/2013 14:51:28	
=382	=41	=C3	=G	=0	=0	=-1000	=0	=175	=175	=922	=571	=08/15/2013 10:51:42	
=383	=41	=C4	[NULL]	=6	=8	=1	=8	=175	=175	=927	=609	=08/21/2013 17:22:54	
=384	=41	=C5	[NULL]	=8	=8	=1	=8	=175	=175	=923	=474	=08/19/2013 18:53:59	
=385	=41	=C6	=D	=14	=16	=2	=16	=175	=175	=926	=840	=08/21/2013 17:22:54	
=386	=41	=C7	=D	=0	=0	=-1000	=0	=175	=175	=926	=524	=08/16/2013 18:53:39	
=387	=41	=C8	=E	=15	=16	=2	=16	=175	=175	=921	=897	=08/19/2013 14:53:56	
=388	=41	=C9	=E	=0	=0	=-1000	=0	=175	=175	=921	=414	=08/21/2013 21:22:58	
=389	=41	=D1	[NULL]	=6	=8	=1	=8	=190	=190	=1327	=457	=08/21/2013 13:23:39	
=390	=41	=D2	[NULL]	=8	=8	=1	=8	=190	=190	=1244	=578	=08/06/2013 14:49:03	
=391	=41	=D3	[NULL]	=6	=8	=1	=8	=190	=190	=1170	=470	=08/21/2013 09:21:07	
=392	=41	=D4	[NULL]	=5	=8	=1	=8	=190	=190	=1105	=591	=08/21/2013 17:22:54	
=393	=41	=D5	[NULL]	=8	=8	=1	=8	=190	=190	=1073	=678	=08/20/2013 14:53:56	
=394	=41	=D6	[NULL]	=6	=8	=2	=8	=190	=190	=1074	=759	=08/20/2013 10:53:55	
=395	=41	=D7	[NULL]	=7	=8	=2	=8	=190	=190	=1130	=492	=08/21/2013 13:23:39	
=396	=41	=D8	[NULL]	=8	=8	=1	=8	=175	=175	=1146	=494	=08/09/2013 18:49:11	
=397	=41	=D9	[NULL]	=8	=8	=1	=8	=175	=175	=1154	=544	=08/19/2013 18:53:59	
=398	=41	=E1	[NULL]	=5	=8	=1	=8	=175	=175	=938	=241	=08/21/2013 13:23:39	
=399	=41	=E2	=F	=30	=32	=4	=32	=125	=125	=910	=494	=08/20/2013 14:53:56	
=400	=41	=E3	=F	=0	=0	=-1000	=0	=125	=125	=910	=617	=08/21/2013 13:23:39	
=401	=41	=E4	=F	=0	=0	=-1000	=0	=125	=125	=910	=493	=08/20/2013 14:53:56	
=402	=41	=E5	=F	=0	=0	=-1000	=0	=125	=125	=910	=410	=08/21/2013 13:23:39	
=403	=41	=E6	[NULL]	=8	=8	=1	=8	=175	=175	=996	=615	=08/20/2013 14:53:56	
=404	=41	=E7	[NULL]	=8	=8	=1	=8	=175	=175	=993	=447	=08/20/2013 14:53:56	
=405	=41	=E8	[NULL]	=7	=8	=1	=8	=175	=175	=995	=603	=08/19/2013 10:53:49	
=406	=41	=E9	[NULL]	=8	=8	=1	=8	=175	=175	=992	=350	=08/20/2013 18:53:59	
=407	=41	=F1	=9	=0	=0	=0	=0	=0	=0	=2	=0	[NULL]	
